"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","1,005.00","1,016.80","982.15","991.75","986.60","986.90","993.49","1,863.65","840.50",509062,"505,747,341.60",16515
"28-Jan-2022","EQ","979.15","1,028.50","975.00","972.80","996.85","991.75","1,009.43","1,863.65","840.50",887442,"895,814,933.15",32410
"27-Jan-2022","EQ","968.00","985.00","950.00","981.80","984.00","972.80","962.30","1,863.65","840.50",789984,"760,202,146.75",39547
"25-Jan-2022","EQ","975.00","987.65","954.00","982.40","979.50","981.80","977.12","1,863.65","840.50",450881,"440,563,999.80",26918
"24-Jan-2022","EQ","1,024.00","1,024.00","972.25","1,019.95","983.00","982.40","990.50","1,863.65","840.50",530538,"525,497,373.40",30477
"21-Jan-2022","EQ","1,049.00","1,057.40","1,012.65","1,059.45","1,017.00","1,019.95","1,035.59","1,863.65","840.50",342990,"355,198,178.75",17845
"20-Jan-2022","EQ","1,070.00","1,090.00","1,055.05","1,072.30","1,060.00","1,059.45","1,066.77","1,863.65","840.50",615309,"656,396,066.35",25168
"19-Jan-2022","EQ","1,083.00","1,083.80","1,052.10","1,083.75","1,072.55","1,072.30","1,069.76","1,863.65","840.50",824736,"882,267,811.00",32999
"18-Jan-2022","EQ","1,118.00","1,118.00","1,079.40","1,106.80","1,084.75","1,083.75","1,098.16","1,863.65","840.50",568791,"624,622,989.75",28049
"17-Jan-2022","EQ","1,093.30","1,118.00","1,092.95","1,098.15","1,105.15","1,106.80","1,108.42","1,863.65","840.50",434061,"481,121,293.75",17267
"14-Jan-2022","EQ","1,095.00","1,116.00","1,082.00","1,106.50","1,095.50","1,098.15","1,101.46","1,863.65","840.50",344706,"379,679,792.85",14494
"13-Jan-2022","EQ","1,106.00","1,115.00","1,095.00","1,105.25","1,105.60","1,106.50","1,105.74","1,863.65","840.50",514955,"569,407,916.00",17535
"12-Jan-2022","EQ","1,100.00","1,114.50","1,087.65","1,100.10","1,102.00","1,105.25","1,103.51","1,863.65","840.50",645842,"712,692,007.20",35602
"11-Jan-2022","EQ","1,080.00","1,107.80","1,070.30","1,085.15","1,096.60","1,100.10","1,097.36","1,863.65","840.50",1488214,"1,633,100,544.20",57140
"10-Jan-2022","EQ","1,034.80","1,088.30","1,027.05","1,030.95","1,082.15","1,085.15","1,064.13","1,863.65","840.50",2006629,"2,135,313,461.70",76217
"07-Jan-2022","EQ","990.00","1,036.00","990.00","994.35","1,029.05","1,030.95","1,021.74","1,863.65","840.50",1274764,"1,302,476,688.50",44860
"06-Jan-2022","EQ","994.00","996.60","980.00","999.20","995.00","994.35","986.16","1,863.65","840.50",858313,"846,436,307.70",23372
"05-Jan-2022","EQ","994.00","1,001.85","985.55","992.00","1,000.00","999.20","994.89","1,863.65","840.50",664665,"661,268,214.80",18693
"04-Jan-2022","EQ","1,023.70","1,024.65","983.15","1,017.35","993.00","992.00","1,000.39","1,863.65","840.50",1067180,"1,067,594,075.15",30443
"03-Jan-2022","EQ","1,005.95","1,025.00","1,000.65","1,004.60","1,017.45","1,017.35","1,016.85","1,863.65","840.50",713770,"725,798,855.00",41360
"31-Dec-2021","EQ","982.00","1,007.70","980.00","983.10","1,001.90","1,004.60","1,002.55","1,863.65","840.50",546275,"547,667,198.70",21859
"30-Dec-2021","EQ","993.00","999.15","976.55","994.15","983.00","983.10","989.97","1,863.65","840.50",517457,"512,267,351.85",17712
"29-Dec-2021","EQ","989.75","997.70","982.05","989.80","994.60","994.15","991.11","1,863.65","840.50",453361,"449,332,802.30",13834
"28-Dec-2021","EQ","972.00","993.90","950.00","968.15","987.50","989.80","985.30","1,863.65","840.50",724322,"713,672,104.30",26463
"27-Dec-2021","EQ","956.00","973.90","945.00","956.60","968.80","968.15","957.14","1,863.65","840.50",630077,"603,068,792.90",20328
"24-Dec-2021","EQ","969.00","969.00","950.05","964.85","951.50","956.60","958.16","1,863.65","840.50",367846,"352,454,474.35",13386
"23-Dec-2021","EQ","956.50","972.00","947.90","955.95","965.20","964.85","963.34","1,863.65","840.50",375272,"361,514,403.85",12656
"22-Dec-2021","EQ","935.00","961.85","932.00","927.30","954.50","955.95","949.46","1,863.65","840.50",520237,"493,945,260.15",23471
"21-Dec-2021","EQ","920.00","939.00","915.10","909.80","928.00","927.30","928.97","1,863.65","840.50",407256,"378,328,916.95",18725
"20-Dec-2021","EQ","950.05","951.55","903.15","969.95","908.70","909.80","915.84","1,863.65","840.50",801206,"733,777,011.70",42595
"17-Dec-2021","EQ","983.00","984.00","957.00","983.20","966.35","969.95","970.35","1,863.65","840.50",374773,"363,660,738.70",17829
"16-Dec-2021","EQ","998.65","998.65","972.55","991.05","986.00","983.20","982.70","1,863.65","840.50",354451,"348,319,616.55",15705
"15-Dec-2021","EQ","994.00","1,007.00","986.85","988.45","993.00","991.05","995.57","1,863.65","840.50",658618,"655,702,507.15",22134
"14-Dec-2021","EQ","1,008.00","1,014.80","985.15","1,008.00","987.00","988.45","996.33","1,863.65","840.50",695765,"693,213,192.30",26092
"13-Dec-2021","EQ","982.50","1,012.00","978.00","975.90","1,009.95","1,008.00","1,002.66","1,863.65","840.50",1154069,"1,157,137,034.95",45280
"10-Dec-2021","EQ","978.55","981.75","967.00","980.10","974.90","975.90","974.21","1,863.65","840.50",214160,"208,635,781.90",10163
"09-Dec-2021","EQ","987.00","988.00","968.00","981.95","978.75","980.10","976.04","1,863.65","840.50",1016812,"992,447,414.45",12672
"08-Dec-2021","EQ","960.20","984.35","960.20","958.85","983.40","981.95","975.46","1,863.65","840.50",557275,"543,597,026.00",19578
"07-Dec-2021","EQ","959.00","978.00","945.00","956.95","959.00","958.85","959.65","1,863.65","840.50",1306966,"1,254,229,926.45",30144
"06-Dec-2021","EQ","958.00","975.00","954.55","959.00","956.05","956.95","967.05","1,863.65","840.50",528136,"510,733,008.50",27644
"03-Dec-2021","EQ","973.00","983.00","955.55","977.20","958.75","959.00","968.16","1,863.65","840.50",761517,"737,266,761.40",28842
"02-Dec-2021","EQ","952.00","979.00","947.15","949.75","977.00","977.20","966.11","1,863.65","840.50",1090975,"1,054,001,700.15",33317
"01-Dec-2021","EQ","943.20","951.70","933.25","937.30","950.00","949.75","944.39","1,863.65","840.50",294431,"278,058,590.65",12640
"30-Nov-2021","EQ","933.25","954.95","931.00","926.05","936.15","937.30","943.24","1,863.65","840.50",898079,"847,103,578.90",30769
"29-Nov-2021","EQ","919.30","946.00","905.15","929.30","922.05","926.05","927.87","1,863.65","840.50",1086561,"1,008,187,468.15",35122
"26-Nov-2021","EQ","948.00","951.00","924.00","948.50","929.00","929.30","935.86","1,863.65","840.50",733048,"686,033,147.55",27306
"25-Nov-2021","EQ","940.85","955.00","935.00","940.85","949.00","948.50","945.87","1,863.65","840.50",648267,"613,177,454.70",20984
"24-Nov-2021","EQ","931.00","948.00","930.60","930.60","940.00","940.85","939.75","1,863.65","840.50",416228,"391,150,384.95",14990
"23-Nov-2021","EQ","908.50","935.50","901.00","912.45","930.00","930.60","922.90","1,863.65","840.50",762658,"703,856,455.20",27494
"22-Nov-2021","EQ","969.00","969.00","900.00","972.70","911.70","912.45","933.15","1,863.65","840.50",1914206,"1,786,239,283.30",93942
"18-Nov-2021","EQ","993.20","993.90","955.00","987.20","972.20","972.70","972.37","1,863.65","840.50",757909,"736,966,830.75",30893
"17-Nov-2021","EQ","960.90","995.00","960.00","960.30","986.95","987.20","982.58","1,863.65","840.50",1406014,"1,381,517,660.10",53644
"16-Nov-2021","EQ","969.00","979.90","956.15","963.85","960.85","960.30","968.84","1,863.65","840.50",1106004,"1,071,539,755.25",36320
"15-Nov-2021","EQ","948.30","968.25","945.00","948.30","964.00","963.85","955.93","1,863.65","840.50",626812,"599,187,981.70",24976
"12-Nov-2021","EQ","950.10","951.20","932.05","939.90","946.50","948.30","943.66","1,863.65","840.50",1186211,"1,119,380,140.00",23994
"11-Nov-2021","EQ","960.00","961.45","923.30","957.80","942.60","939.90","942.45","1,863.65","840.50",1149550,"1,083,391,918.10",42731
"10-Nov-2021","EQ","955.75","966.50","950.00","953.85","953.95","957.80","957.16","1,863.65","840.50",649338,"621,517,702.05",21614
"09-Nov-2021","EQ","953.05","966.65","951.20","953.30","954.00","953.85","955.15","1,863.65","840.50",398206,"380,348,028.50",21415
"08-Nov-2021","EQ","960.00","964.95","945.00","958.55","955.95","953.30","950.96","1,863.65","840.50",402267,"382,538,962.75",16564
"04-Nov-2021","EQ","955.00","960.90","951.15","947.65","958.85","958.55","957.69","1,863.65","840.50",158886,"152,163,576.95",11624
"03-Nov-2021","EQ","962.00","971.55","936.65","958.20","947.00","947.65","954.48","1,863.65","840.50",760341,"725,732,646.20",37338
"02-Nov-2021","EQ","981.50","996.00","952.45","988.15","959.70","958.20","964.94","1,863.65","840.50",870706,"840,181,911.45",41822
"01-Nov-2021","EQ","970.00","992.75","960.30","964.10","988.70","988.15","975.54","1,863.65","840.50",550713,"537,243,126.50",25666
"29-Oct-2021","EQ","977.95","990.00","946.95","980.05","967.60","964.10","971.46","1,863.65","840.50",534480,"519,226,122.60",25665
"28-Oct-2021","EQ","1,014.00","1,014.00","972.00","1,013.40","985.00","980.05","983.78","1,863.65","840.50",899376,"884,785,516.05",39007
"27-Oct-2021","EQ","1,019.00","1,028.85","1,003.50","1,014.45","1,014.00","1,013.40","1,017.59","1,863.65","840.50",588533,"598,882,741.30",20391
"26-Oct-2021","EQ","1,004.90","1,018.95","1,003.00","1,000.65","1,014.55","1,014.45","1,012.49","1,863.65","840.50",456876,"462,584,208.00",22426
"25-Oct-2021","EQ","1,018.00","1,018.90","963.30","1,010.10","1,000.00","1,000.65","991.17","1,863.65","840.50",741144,"734,600,002.35",36909
"22-Oct-2021","EQ","1,025.00","1,035.85","999.20","1,021.80","1,008.80","1,010.10","1,016.97","1,863.65","840.50",633115,"643,856,352.15",29567
"21-Oct-2021","EQ","1,033.90","1,053.00","1,005.00","1,013.25","1,026.00","1,021.80","1,026.12","1,863.65","840.50",1540391,"1,580,632,995.05",58205
"20-Oct-2021","EQ","1,110.25","1,110.25","970.50","1,102.25","1,025.00","1,013.25","1,035.80","1,863.65","840.50",3066624,"3,176,414,223.75",110690
"19-Oct-2021","EQ","1,166.00","1,168.00","1,093.25","1,156.55","1,111.00","1,102.25","1,130.90","1,863.65","840.50",1036350,"1,172,012,066.00",54749
"18-Oct-2021","EQ","1,113.00","1,165.00","1,106.95","1,107.45","1,159.00","1,156.55","1,147.61","1,863.65","840.50",1679818,"1,927,777,177.65",61224
"14-Oct-2021","EQ","1,109.90","1,127.00","1,101.60","1,108.00","1,107.10","1,107.45","1,113.48","1,863.65","840.50",608663,"677,731,202.50",24632
"13-Oct-2021","EQ","1,108.00","1,123.50","1,099.50","1,109.25","1,108.95","1,108.00","1,114.74","1,863.65","840.50",712933,"794,737,507.75",23003
"12-Oct-2021","EQ","1,111.45","1,118.60","1,088.15","1,111.45","1,109.00","1,109.25","1,103.81","1,863.65","840.50",572140,"631,534,212.40",25406
"11-Oct-2021","EQ","1,114.00","1,131.80","1,097.20","1,109.30","1,110.90","1,111.45","1,117.92","1,863.65","840.50",845051,"944,696,687.75",34640
"08-Oct-2021","EQ","1,086.10","1,123.70","1,073.00","1,080.70","1,110.00","1,109.30","1,101.49","1,863.65","840.50",1734688,"1,910,744,555.00",57285
"07-Oct-2021","EQ","1,066.95","1,115.00","1,065.05","1,060.50","1,080.00","1,080.70","1,095.51","1,863.65","840.50",1818149,"1,991,800,581.40",66797
"06-Oct-2021","EQ","1,066.00","1,083.00","1,053.00","1,066.20","1,060.00","1,060.50","1,068.21","1,863.65","840.50",1754516,"1,874,189,415.10",56575
"05-Oct-2021","EQ","1,030.00","1,073.60","1,009.60","1,021.35","1,064.40","1,066.20","1,052.31","1,863.65","840.50",4383093,"4,612,385,632.15",125254
"04-Oct-2021","EQ","948.95","1,026.00","945.55","942.00","1,024.00","1,021.35","998.04","1,863.65","840.50",6358938,"6,346,464,502.75",168815
"01-Oct-2021","EQ","925.00","949.80","917.45","929.85","941.00","942.00","937.45","1,863.65","840.50",643149,"602,919,694.90",21678
"30-Sep-2021","EQ","941.70","947.40","927.85","937.65","929.00","929.85","934.39","1,863.65","840.50",714066,"667,213,695.95",23978
"29-Sep-2021","EQ","925.90","942.00","916.35","932.50","936.00","937.65","933.60","1,863.65","840.50",980092,"915,011,336.85",29963
