"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","119.90","120.50","116.55","118.20","118.30","117.65","118.02","139.70","79.70",3211162,"378,970,838.60",22063
"28-Jan-2022","EQ","118.95","121.80","117.75","116.95","118.50","118.20","119.63","139.70","78.85",4093078,"489,648,803.25",27622
"27-Jan-2022","EQ","117.00","118.40","113.00","117.70","117.10","116.95","115.99","139.70","78.85",8683931,"1,007,219,200.00",48457
"25-Jan-2022","EQ","114.50","118.40","111.80","114.90","117.75","117.70","116.49","139.70","78.85",3656617,"425,970,266.50",23884
"24-Jan-2022","EQ","123.30","124.15","113.20","123.30","114.80","114.90","117.56","139.70","78.85",5613019,"659,877,580.20",36998
"21-Jan-2022","EQ","126.80","126.85","121.55","127.75","123.30","123.30","124.04","139.70","78.85",4650626,"576,843,130.70",25704
"20-Jan-2022","EQ","130.00","130.40","126.85","129.90","127.85","127.75","128.49","139.70","78.85",2973562,"382,068,370.60",21920
"19-Jan-2022","EQ","127.00","130.65","123.90","127.95","129.95","129.90","127.45","139.70","78.85",4894478,"623,792,016.35",29299
"18-Jan-2022","EQ","133.00","133.30","127.15","132.40","128.00","127.95","130.53","139.70","78.85",3952345,"515,904,708.35",25053
"17-Jan-2022","EQ","133.00","135.70","131.75","133.50","132.60","132.40","133.39","139.70","78.85",4039398,"538,821,985.60",31383
"14-Jan-2022","EQ","133.10","136.40","132.75","133.40","133.65","133.50","134.32","139.70","78.85",4529973,"608,444,757.25",32734
"13-Jan-2022","EQ","134.50","136.00","132.05","134.25","133.40","133.40","133.63","139.70","78.85",4296621,"574,155,202.05",24090
"12-Jan-2022","EQ","136.70","136.80","132.55","135.70","134.20","134.25","134.65","139.70","78.85",3939867,"530,508,755.90",27710
"11-Jan-2022","EQ","132.55","139.20","132.25","132.45","136.00","135.70","136.90","139.70","78.85",17736811,"2,428,162,300.85",83858
"10-Jan-2022","EQ","133.80","134.25","131.60","132.80","132.35","132.45","132.82","139.70","78.85",3217357,"427,326,661.00",20715
"07-Jan-2022","EQ","133.80","135.50","131.00","133.10","132.50","132.80","133.35","139.70","78.85",7338412,"978,558,010.30",39222
"06-Jan-2022","EQ","127.50","134.00","126.70","129.40","132.95","133.10","132.01","139.70","78.85",11460262,"1,512,837,665.25",59391
"05-Jan-2022","EQ","130.70","130.70","127.50","130.90","129.50","129.40","129.21","139.70","78.85",7757626,"1,002,361,857.10",33326
"04-Jan-2022","EQ","130.45","132.50","127.05","129.55","130.90","130.90","130.40","139.70","78.85",10884470,"1,419,309,943.35",57358
"03-Jan-2022","EQ","124.70","130.45","124.00","123.90","129.30","129.55","127.87","139.70","78.85",13428542,"1,717,063,169.45",71037
"31-Dec-2021","EQ","122.00","125.50","121.90","121.00","123.70","123.90","123.91","139.70","78.85",11224135,"1,390,815,274.80",42668
"30-Dec-2021","EQ","123.55","123.55","120.15","123.75","120.85","121.00","121.63","139.70","78.85",3744046,"455,378,879.85",29758
"29-Dec-2021","EQ","121.05","124.50","120.65","119.75","123.50","123.75","122.92","139.70","78.85",8404918,"1,033,161,132.30",57665
"28-Dec-2021","EQ","120.40","121.45","118.85","119.10","119.95","119.75","120.25","139.70","78.85",2957941,"355,695,104.85",23772
"27-Dec-2021","EQ","116.25","120.00","113.75","115.95","119.80","119.10","116.78","139.70","78.85",3313731,"386,974,248.45",30814
"24-Dec-2021","EQ","119.10","119.45","115.50","118.10","116.00","115.95","117.05","139.70","76.00",2431683,"284,625,920.40",19845
"23-Dec-2021","EQ","117.75","119.10","116.80","116.80","117.90","118.10","117.77","139.70","76.00",2238390,"263,607,667.70",19802
