"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","BE","2,020.00","2,046.30","1,950.00","1,986.80","1,978.80","1,970.90","2,018.47","2,141.00","1,650.25",153177,"309,182,494.00",4637
"28-Jan-2022","BE","2,000.00","2,075.00","1,960.00","2,009.30","1,977.20","1,986.80","2,012.91","2,141.00","1,650.25",231963,"466,921,800.30",7721
"27-Jan-2022","BE","2,005.00","2,059.30","1,920.00","1,992.45","1,990.00","2,009.30","2,022.28","2,141.00","1,650.25",94304,"190,708,930.05",8190
"25-Jan-2022","BE","1,950.00","2,089.00","1,934.15","2,035.90","2,004.00","1,992.45","2,032.95","2,141.00","1,650.25",198926,"404,406,202.45",6474
"24-Jan-2022","BE","2,097.00","2,125.00","1,963.50","2,066.80","2,035.00","2,035.90","2,057.42","2,141.00","1,650.25",85918,"176,769,527.15",7341
"21-Jan-2022","BE","2,037.00","2,141.00","1,984.00","2,039.75","2,100.00","2,066.80","2,049.52","2,141.00","1,650.25",82788,"169,675,984.30",5376
"20-Jan-2022","BE","2,002.55","2,049.90","1,975.00","2,043.25","2,020.70","2,039.75","2,024.80","2,050.00","1,650.25",48408,"98,016,475.80",5073
"19-Jan-2022","BE","2,040.00","2,049.40","1,950.00","2,026.75","2,044.90","2,043.25","2,015.59","2,050.00","1,650.25",47517,"95,774,863.45",6361
"18-Jan-2022","BE","2,002.70","2,050.00","1,981.00","2,002.70","2,027.50","2,026.75","2,017.55","2,050.00","1,650.25",81437,"164,303,154.70",10748
"17-Jan-2022","BE","1,995.00","2,016.00","1,970.20","2,020.60","1,998.00","2,002.70","1,997.25","2,045.00","1,650.25",78536,"156,855,762.45",5061
"14-Jan-2022","BE","1,998.00","2,030.00","1,930.00","2,019.70","2,001.75","2,020.60","1,990.37","2,045.00","1,650.25",55454,"110,373,790.60",5622
"13-Jan-2022","BE","1,973.90","2,024.65","1,906.00","1,928.25","2,020.00","2,019.70","2,000.16","2,045.00","1,650.25",143323,"286,669,051.00",20502
"12-Jan-2022","BE","1,880.00","1,958.00","1,822.50","1,867.45","1,955.00","1,928.25","1,897.25","2,045.00","1,650.25",108933,"206,672,918.85",20419
"11-Jan-2022","BE","1,839.00","1,889.00","1,770.00","1,819.70","1,875.00","1,867.45","1,851.86","2,045.00","1,650.25",100209,"185,573,394.35",21918
"10-Jan-2022","BE","1,742.10","1,834.00","1,742.10","1,776.00","1,821.00","1,819.70","1,800.97","2,045.00","1,650.25",68601,"123,548,150.10",5900
"07-Jan-2022","BE","1,740.10","1,780.00","1,721.85","1,760.05","1,772.00","1,776.00","1,761.08","2,045.00","1,650.25",64894,"114,283,755.75",6760
"06-Jan-2022","BE","1,730.00","1,770.00","1,710.00","1,761.05","1,746.00","1,760.05","1,747.61","2,045.00","1,650.25",51023,"89,168,260.70",4716
