"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","3,434.90","3,568.95","3,410.00","3,416.90","3,539.05","3,539.15","3,504.24","4,070.00","2,540.05",156564,"548,637,869.50",12730
"28-Jan-2022","EQ","3,382.00","3,461.30","3,382.00","3,380.70","3,420.00","3,416.90","3,409.97","4,070.00","2,540.05",282796,"964,326,983.40",27838
"27-Jan-2022","EQ","3,440.00","3,440.00","3,348.60","3,454.00","3,364.55","3,380.70","3,390.73","4,070.00","2,540.05",97168,"329,470,375.80",11979
"25-Jan-2022","EQ","3,456.00","3,515.15","3,400.00","3,500.80","3,457.35","3,454.00","3,454.22","4,070.00","2,540.05",51527,"177,985,567.00",6936
"24-Jan-2022","EQ","3,570.00","3,574.95","3,430.00","3,550.70","3,473.05","3,500.80","3,505.20","4,070.00","2,540.05",126469,"443,298,851.95",12397
"21-Jan-2022","EQ","3,527.95","3,574.90","3,454.55","3,526.65","3,573.05","3,550.70","3,511.97","4,070.00","2,540.05",89810,"315,409,928.20",8096
"20-Jan-2022","EQ","3,500.00","3,535.00","3,485.00","3,496.05","3,522.85","3,526.65","3,514.47","4,070.00","2,540.05",33516,"117,790,926.80",3709
"19-Jan-2022","EQ","3,471.00","3,520.00","3,446.00","3,487.95","3,503.05","3,496.05","3,489.36","4,070.00","2,540.05",61280,"213,828,232.00",9537
"18-Jan-2022","EQ","3,609.30","3,609.30","3,477.35","3,577.50","3,495.00","3,487.95","3,538.65","4,070.00","2,540.05",138492,"490,074,529.55",12151
"17-Jan-2022","EQ","3,626.00","3,674.90","3,570.35","3,625.10","3,583.90","3,577.50","3,605.66","4,070.00","2,540.05",73718,"265,802,178.95",9621
"14-Jan-2022","EQ","3,708.25","3,712.40","3,590.00","3,697.45","3,628.00","3,625.10","3,633.09","4,070.00","2,540.05",149874,"544,506,276.65",10121
"13-Jan-2022","EQ","3,699.00","3,719.90","3,652.00","3,695.75","3,706.35","3,697.45","3,682.47","4,070.00","2,540.05",116460,"428,859,910.80",6531
"12-Jan-2022","EQ","3,713.95","3,733.00","3,666.20","3,705.80","3,680.00","3,695.75","3,696.48","4,070.00","2,540.05",166642,"615,988,978.40",13581
"11-Jan-2022","EQ","3,740.00","3,786.00","3,700.00","3,736.55","3,712.65","3,705.80","3,747.65","4,070.00","2,540.05",45111,"169,060,291.95",5227
"10-Jan-2022","EQ","3,697.00","3,752.95","3,680.00","3,683.50","3,735.95","3,736.55","3,738.02","4,070.00","2,540.05",134178,"501,559,812.95",11865
"07-Jan-2022","EQ","3,690.00","3,765.30","3,653.40","3,683.90","3,680.00","3,683.50","3,737.78","4,070.00","2,540.05",241507,"902,699,229.70",15215
"06-Jan-2022","EQ","3,595.75","3,691.00","3,532.35","3,602.80","3,691.00","3,683.90","3,642.15","4,070.00","2,540.05",168450,"613,520,663.35",13126
"05-Jan-2022","EQ","3,620.00","3,629.95","3,565.00","3,613.80","3,609.00","3,602.80","3,600.26","4,070.00","2,540.05",43807,"157,716,663.25",6226
"04-Jan-2022","EQ","3,671.55","3,744.00","3,600.00","3,641.10","3,616.00","3,613.80","3,690.01","4,070.00","2,540.05",317799,"1,172,680,839.75",19236
