"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","619.00","625.00","617.25","614.15","618.75","619.20","620.92","1,009.00","584.25",538487,"334,354,899.15",17363
"28-Jan-2022","EQ","606.90","621.50","602.05","599.00","616.20","614.15","615.85","1,009.00","584.25",769328,"473,793,650.15",21067
"27-Jan-2022","EQ","606.75","606.75","592.40","606.60","600.00","599.00","597.99","1,009.00","584.25",980104,"586,091,046.25",31831
"25-Jan-2022","EQ","601.70","609.50","587.15","601.10","608.50","606.60","602.94","1,009.00","584.25",1176978,"709,648,052.65",38524
"24-Jan-2022","EQ","614.10","619.95","596.45","614.10","601.00","601.10","607.61","1,009.00","584.25",1226254,"745,085,897.25",43321
"21-Jan-2022","EQ","632.00","632.00","610.50","633.10","615.00","614.10","619.93","1,009.20","584.25",1176268,"729,207,387.15",45778
"20-Jan-2022","EQ","645.50","649.00","631.30","646.25","634.00","633.10","638.07","1,009.20","584.25",862512,"550,344,069.00",24984
"19-Jan-2022","EQ","645.00","650.75","637.95","643.75","645.50","646.25","644.84","1,009.20","584.25",851563,"549,118,646.70",25678
"18-Jan-2022","EQ","664.00","664.00","642.00","657.65","645.50","643.75","655.91","1,009.20","584.25",1412260,"926,321,787.95",41068
"17-Jan-2022","EQ","642.00","664.60","640.70","639.05","657.80","657.65","657.55","1,009.20","584.25",2541854,"1,671,407,980.50",61683
"14-Jan-2022","EQ","645.00","650.80","637.00","642.80","637.00","639.05","643.44","1,025.55","584.25",1271804,"818,330,471.75",36399
"13-Jan-2022","EQ","635.00","645.10","630.05","631.35","644.95","642.80","637.76","1,025.55","584.25",592032,"377,573,280.30",16828
"12-Jan-2022","EQ","637.65","638.00","630.15","634.30","631.30","631.35","633.58","1,025.55","584.25",591558,"374,797,776.90",17957
"11-Jan-2022","EQ","636.00","639.45","633.00","635.80","634.50","634.30","636.02","1,025.55","584.25",533868,"339,551,390.20",17764
"10-Jan-2022","EQ","633.20","638.00","631.00","629.90","635.65","635.80","634.78","1,025.55","584.25",695224,"441,311,090.15",18639
"07-Jan-2022","EQ","638.00","639.00","629.00","633.80","630.00","629.90","634.01","1,025.55","584.25",581774,"368,848,980.95",18346
"06-Jan-2022","EQ","632.00","637.85","626.10","634.60","635.00","633.80","632.80","1,025.55","584.25",1222060,"773,324,590.90",26633
"05-Jan-2022","EQ","636.90","639.15","632.20","636.45","634.20","634.60","635.14","1,025.55","584.25",543269,"345,049,763.95",15650
"04-Jan-2022","EQ","640.95","642.15","631.20","638.05","636.35","636.45","636.58","1,025.55","584.25",595552,"379,117,249.75",20970
"03-Jan-2022","EQ","643.90","644.90","635.25","637.15","637.95","638.05","639.42","1,025.55","584.25",1027873,"657,246,171.20",28223
"31-Dec-2021","EQ","623.95","638.25","621.20","618.80","637.00","637.15","632.59","1,025.55","584.25",1176049,"743,953,443.15",32353
"30-Dec-2021","EQ","626.45","626.75","615.55","623.35","619.35","618.80","620.52","1,025.55","584.25",1337169,"829,740,368.80",32344
"29-Dec-2021","EQ","628.00","632.00","621.10","617.80","623.00","623.35","625.62","1,025.55","584.25",2096368,"1,311,525,948.95",42341
"28-Dec-2021","EQ","612.00","618.65","611.05","609.05","618.00","617.80","615.89","1,025.55","584.25",536161,"330,218,031.95",12574
"27-Dec-2021","EQ","611.05","612.00","602.40","611.05","610.60","609.05","608.07","1,025.55","584.25",433222,"263,428,217.85",12200
"24-Dec-2021","EQ","624.00","627.00","608.00","620.90","610.80","611.05","615.07","1,025.55","584.25",810221,"498,345,970.25",22027
"23-Dec-2021","EQ","612.90","623.00","611.00","608.50","620.10","620.90","617.62","1,025.55","584.25",506158,"312,615,679.25",15134
"22-Dec-2021","EQ","608.90","614.50","606.45","604.00","610.40","608.50","610.75","1,025.55","584.25",476042,"290,742,469.05",14626
"21-Dec-2021","EQ","599.00","608.10","594.35","591.40","605.00","604.00","601.75","1,025.55","584.25",526358,"316,735,483.65",18198
"20-Dec-2021","EQ","618.00","618.00","584.25","618.30","591.50","591.40","594.32","1,025.55","584.25",1167171,"693,675,083.15",45781
"17-Dec-2021","EQ","629.00","629.00","616.10","627.75","618.75","618.30","620.19","1,025.55","607.70",458446,"284,321,938.00",22921
"16-Dec-2021","EQ","630.50","635.15","623.50","630.50","627.95","627.75","627.52","1,025.55","607.70",384527,"241,300,227.75",13876
"15-Dec-2021","EQ","639.90","640.70","629.95","638.55","630.20","630.50","635.83","1,025.55","607.70",661266,"420,451,670.75",16554
"14-Dec-2021","EQ","637.50","640.05","632.00","637.15","638.00","638.55","637.13","1,025.55","607.70",437440,"278,707,752.15",16030
"13-Dec-2021","EQ","650.00","652.20","636.00","643.90","638.00","637.15","643.36","1,025.55","607.70",510374,"328,355,279.60",17051
"10-Dec-2021","EQ","640.10","649.00","639.10","639.10","643.00","643.90","645.18","1,025.55","607.70",758247,"489,206,087.75",23017
"09-Dec-2021","EQ","638.00","641.80","635.35","635.75","639.25","639.10","638.85","1,025.55","607.70",679659,"434,201,549.65",16643
"08-Dec-2021","EQ","637.00","637.45","630.50","632.20","635.10","635.75","634.02","1,025.55","607.70",763824,"484,278,947.65",20529
"07-Dec-2021","EQ","631.40","637.80","627.05","625.60","633.40","632.20","632.62","1,025.55","607.70",374208,"236,731,508.80",12014
"06-Dec-2021","EQ","632.60","636.70","624.25","631.65","626.40","625.60","631.08","1,025.55","607.70",464471,"293,120,542.45",16502
"03-Dec-2021","EQ","630.00","639.90","629.80","627.15","631.80","631.65","635.26","1,025.55","607.70",894301,"568,117,438.85",23528
"02-Dec-2021","EQ","624.00","628.95","620.90","620.35","628.00","627.15","624.69","1,025.55","607.70",438071,"273,660,418.60",15656
"01-Dec-2021","EQ","622.00","628.50","613.40","617.90","621.25","620.35","619.71","1,025.55","607.70",840914,"521,125,769.15",24961
"30-Nov-2021","EQ","614.90","623.70","612.40","610.80","616.50","617.90","618.37","1,025.55","607.70",773920,"478,571,057.85",23869
"29-Nov-2021","EQ","620.00","624.00","607.70","624.40","611.00","610.80","615.48","1,025.55","607.70",758513,"466,849,754.70",28130
"26-Nov-2021","EQ","620.10","636.00","618.25","624.20","624.95","624.40","626.14","1,025.55","616.50",1205132,"754,585,053.55",43775
"25-Nov-2021","EQ","635.00","638.45","622.15","634.55","625.50","624.20","626.61","1,025.55","616.50",881940,"552,633,342.50",31485
"24-Nov-2021","EQ","640.20","645.60","631.30","640.20","634.00","634.55","638.89","1,025.55","616.50",818901,"523,190,346.70",29603
"23-Nov-2021","EQ","629.35","642.00","616.50","629.50","640.25","640.20","630.17","1,025.55","616.50",1384656,"872,572,270.95",41492
"22-Nov-2021","EQ","649.00","650.70","624.05","648.45","630.15","629.50","635.84","1,025.55","624.05",1351293,"859,208,336.50",51572
"18-Nov-2021","EQ","666.00","668.20","646.25","665.55","647.50","648.45","652.17","1,025.55","646.25",1297025,"845,882,492.75",58292
"17-Nov-2021","EQ","674.90","675.00","664.50","675.10","665.00","665.55","668.54","1,025.55","664.50",1042990,"697,281,447.65",43243
"16-Nov-2021","EQ","687.50","688.95","673.00","685.00","673.80","675.10","677.86","1,025.55","665.00",1586990,"1,075,763,517.65",50470
"15-Nov-2021","EQ","690.00","694.65","680.40","696.70","685.40","685.00","686.96","1,025.55","665.00",872768,"599,560,605.95",27364
"12-Nov-2021","EQ","699.00","703.50","695.60","698.05","696.70","696.70","698.25","1,025.55","665.00",611957,"427,296,505.65",12624
"11-Nov-2021","EQ","706.70","706.95","694.15","706.55","698.50","698.05","699.95","1,025.55","665.00",573677,"401,547,742.30",16570
"10-Nov-2021","EQ","707.05","714.00","704.05","707.05","706.00","706.55","708.28","1,025.55","665.00",610992,"432,752,378.60",14045
"09-Nov-2021","EQ","707.65","711.95","704.10","706.25","706.60","707.05","707.97","1,025.55","665.00",699660,"495,337,082.90",26255
"08-Nov-2021","EQ","704.00","712.80","696.50","703.00","705.25","706.25","704.90","1,025.55","665.00",1106415,"779,910,731.90",24279
"04-Nov-2021","EQ","703.90","704.75","700.00","694.55","703.00","703.00","702.66","1,025.55","665.00",148738,"104,512,947.10",9495
"03-Nov-2021","EQ","706.80","709.90","692.10","705.05","695.90","694.55","700.10","1,025.55","665.00",496117,"347,332,501.15",15535
"02-Nov-2021","EQ","703.80","710.00","699.30","701.65","704.65","705.05","705.20","1,025.55","665.00",852413,"601,119,187.75",28422
"01-Nov-2021","EQ","686.90","704.80","683.50","680.65","702.00","701.65","697.64","1,025.55","665.00",1929327,"1,345,975,427.70",40852
"29-Oct-2021","EQ","684.95","695.55","673.05","685.35","682.00","680.65","683.87","1,025.55","665.00",962724,"658,374,951.45",28217
"28-Oct-2021","EQ","699.35","700.90","682.70","699.35","684.95","685.35","690.67","1,025.55","665.00",717854,"495,803,702.15",25051
"27-Oct-2021","EQ","704.50","706.10","697.05","699.85","698.55","699.35","701.80","1,025.55","665.00",697554,"489,544,035.60",19404
"26-Oct-2021","EQ","697.35","702.35","692.60","690.70","700.00","699.85","698.83","1,025.55","665.00",732385,"511,811,937.05",19093
"25-Oct-2021","EQ","701.00","703.00","685.00","698.95","694.20","690.70","694.49","1,025.55","665.00",1072272,"744,685,709.85",32964
"22-Oct-2021","EQ","699.70","701.90","688.00","695.20","699.00","698.95","695.18","1,025.55","665.00",846500,"588,471,319.20",30687
"21-Oct-2021","EQ","708.90","712.95","692.00","704.05","695.45","695.20","700.51","1,025.55","665.00",1021222,"715,380,702.20",39168
"20-Oct-2021","EQ","708.95","710.00","692.50","708.85","703.80","704.05","702.98","1,025.55","665.00",1172582,"824,303,490.05",46112
"19-Oct-2021","EQ","733.50","734.80","705.15","726.75","708.25","708.85","716.48","1,025.55","665.00",2370189,"1,698,185,165.90",74004
"18-Oct-2021","EQ","765.50","765.50","721.85","760.15","726.00","726.75","737.97","1,025.55","665.00",3191128,"2,354,956,011.25",97021
"14-Oct-2021","EQ","769.00","771.80","756.05","765.75","759.00","760.15","762.84","1,025.55","665.00",615337,"469,405,021.45",22804
"13-Oct-2021","EQ","770.50","774.95","763.00","767.50","764.85","765.75","770.34","1,025.55","665.00",725572,"558,939,078.60",21315
"12-Oct-2021","EQ","774.95","778.90","764.50","770.55","768.00","767.50","770.86","1,025.55","665.00",864080,"666,080,633.35",27187
"11-Oct-2021","EQ","761.00","781.60","760.00","760.00","770.95","770.55","774.02","1,025.55","665.00",1655290,"1,281,221,993.45",47735
