"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","364.60","369.25","363.00","360.70","365.00","365.15","365.94","442.50","242.10",1955762,"715,696,857.20",42556
"28-Jan-2022","EQ","354.40","367.10","353.00","351.65","360.10","360.70","362.11","442.50","241.75",3157848,"1,143,480,439.05",43808
"27-Jan-2022","EQ","350.90","354.30","340.45","351.50","351.90","351.65","348.00","442.50","241.75",2852549,"992,675,054.95",48460
"25-Jan-2022","EQ","351.95","356.50","343.45","352.85","352.00","351.50","351.36","442.50","241.75",3178488,"1,116,790,474.65",54549
"24-Jan-2022","EQ","368.00","371.20","349.00","368.65","351.95","352.85","354.94","442.50","241.75",4250468,"1,508,675,206.50",49829
"21-Jan-2022","EQ","374.60","374.60","364.05","375.10","369.30","368.65","369.43","442.50","241.75",1426135,"526,850,417.95",34327
"20-Jan-2022","EQ","375.25","379.80","372.45","374.85","375.90","375.10","375.01","442.50","241.75",3354873,"1,258,118,805.90",42116
"19-Jan-2022","EQ","381.95","382.00","373.10","380.65","375.00","374.85","375.83","442.50","241.75",3999114,"1,502,993,898.45",64168
"18-Jan-2022","EQ","410.00","410.00","379.00","407.80","379.95","380.65","389.61","442.50","241.75",7265319,"2,830,621,739.15",105644
"17-Jan-2022","EQ","403.50","408.70","395.00","402.70","407.50","407.80","403.34","442.50","241.75",3057067,"1,233,036,126.10",55715
"14-Jan-2022","EQ","395.10","405.00","394.20","396.40","402.00","402.70","401.99","442.50","241.75",2146874,"863,018,846.55",32589
"13-Jan-2022","EQ","399.00","400.50","394.65","397.90","397.05","396.40","397.87","442.50","241.75",2490304,"990,810,297.15",21598
"12-Jan-2022","EQ","398.25","402.70","395.65","397.65","397.80","397.90","398.26","442.50","241.75",1370663,"545,882,635.25",38871
"11-Jan-2022","EQ","401.00","405.00","393.35","399.35","396.60","397.65","398.96","442.50","241.75",2105501,"840,006,683.90",46022
"10-Jan-2022","EQ","400.00","401.95","397.30","397.25","399.45","399.35","399.53","442.50","241.75",2408661,"962,324,959.20",26597
"07-Jan-2022","EQ","387.05","401.95","387.05","387.05","396.55","397.25","395.66","442.50","241.75",2731750,"1,080,856,461.10",51449
"06-Jan-2022","EQ","390.10","393.00","383.55","393.70","386.10","387.05","387.59","442.50","241.75",2579347,"999,719,450.40",30633
"05-Jan-2022","EQ","389.95","394.65","388.75","390.45","393.20","393.70","392.57","442.50","241.75",1521048,"597,110,984.35",22402
"04-Jan-2022","EQ","387.55","391.70","383.30","387.00","390.25","390.45","389.15","442.50","241.75",3034913,"1,181,040,945.50",34257
"03-Jan-2022","EQ","378.75","389.45","378.20","377.50","387.00","387.00","384.61","442.50","241.75",1643912,"632,257,075.85",26185
"31-Dec-2021","EQ","372.40","384.30","372.00","370.95","377.90","377.50","378.81","442.50","241.70",1907096,"722,430,645.00",31646
"30-Dec-2021","EQ","375.70","377.95","369.60","375.80","371.00","370.95","372.00","442.50","241.70",2179706,"810,839,801.25",22239
"29-Dec-2021","EQ","380.75","382.15","374.50","380.20","375.00","375.80","377.16","442.50","241.70",935759,"352,932,030.70",19579
"28-Dec-2021","EQ","370.20","381.20","368.70","369.95","381.00","380.20","377.64","442.50","241.70",2526008,"953,910,685.05",31154
"27-Dec-2021","EQ","367.00","370.75","364.00","367.90","369.40","369.95","368.45","442.50","241.70",635418,"234,119,621.95",16338
"24-Dec-2021","EQ","369.50","370.80","363.20","369.40","368.00","367.90","366.92","442.50","225.95",1174085,"430,801,002.15",15208
"23-Dec-2021","EQ","367.00","370.50","365.00","363.75","369.50","369.40","368.58","442.50","225.95",1546807,"570,115,600.95",21645
"22-Dec-2021","EQ","361.25","367.00","359.70","361.45","365.25","363.75","363.87","442.50","225.95",1383949,"503,575,689.05",18457
"21-Dec-2021","EQ","353.05","363.80","351.25","350.30","361.25","361.45","360.33","442.50","225.95",2065774,"744,355,839.55",31024
"20-Dec-2021","EQ","361.20","364.20","347.00","368.60","350.50","350.30","352.08","442.50","225.95",6661464,"2,345,377,120.80",65586
"17-Dec-2021","EQ","375.60","377.20","367.00","375.70","368.45","368.60","371.10","442.50","225.95",1784077,"662,078,397.05",26000
"16-Dec-2021","EQ","380.00","381.60","374.60","378.90","376.50","375.70","376.18","442.50","225.95",2366346,"890,175,174.10",48440
"15-Dec-2021","EQ","378.60","381.90","375.30","378.55","378.15","378.90","378.63","442.50","225.95",1796520,"680,222,530.70",29646
"14-Dec-2021","EQ","377.90","380.85","374.00","379.85","377.40","378.55","377.44","442.50","225.95",1789446,"675,411,117.40",40770
"13-Dec-2021","EQ","382.65","382.65","378.60","377.65","379.40","379.85","380.11","442.50","225.95",2654339,"1,008,936,323.35",37345
"10-Dec-2021","EQ","377.60","381.35","376.65","377.55","377.70","377.65","378.69","442.50","225.95",1486593,"562,961,391.05",22905
"09-Dec-2021","EQ","379.40","381.00","375.10","376.95","377.55","377.55","377.51","442.50","225.95",1862168,"702,992,829.25",29325
"08-Dec-2021","EQ","376.40","380.40","375.20","372.75","377.60","376.95","377.41","442.50","225.95",1526507,"576,114,180.35",45514
"07-Dec-2021","EQ","372.90","377.25","370.90","370.15","372.85","372.75","373.63","442.50","225.95",1229614,"459,417,874.70",20570
