"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","749.90","768.00","747.90","746.05","759.45","756.75","756.33","1,038.00","714.00",110505,"83,577,895.20",5326
"28-Jan-2022","EQ","714.00","755.45","714.00","736.05","746.60","746.05","741.59","1,038.00","714.00",276146,"204,786,471.95",11758
"27-Jan-2022","EQ","754.00","761.70","728.10","757.70","735.80","736.05","736.66","1,038.00","720.35",292729,"215,642,906.60",11737
"25-Jan-2022","EQ","747.00","769.65","741.85","756.00","757.50","757.70","758.99","1,038.00","720.35",160496,"121,814,957.90",11964
"24-Jan-2022","EQ","774.10","776.00","744.40","774.10","755.95","756.00","755.20","1,038.00","720.35",412915,"311,832,887.55",25599
"21-Jan-2022","EQ","781.00","781.00","768.00","782.60","773.20","774.10","774.82","1,096.95","720.35",400857,"310,591,453.75",8538
"20-Jan-2022","EQ","793.30","793.45","780.10","789.35","785.00","782.60","786.89","1,096.95","720.35",139420,"109,708,231.95",5585
"19-Jan-2022","EQ","785.00","794.65","772.55","787.60","791.80","789.35","786.82","1,096.95","720.35",190426,"149,831,498.05",8661
"18-Jan-2022","EQ","800.00","808.80","785.10","799.00","787.20","787.60","796.17","1,096.95","720.35",129324,"102,964,101.55",6022
"17-Jan-2022","EQ","809.85","809.85","790.85","802.70","799.45","799.00","797.26","1,096.95","720.35",214722,"171,188,402.75",11469
"14-Jan-2022","EQ","808.00","812.00","801.20","805.65","804.50","802.70","805.74","1,120.00","720.35",126683,"102,073,633.05",8501
"13-Jan-2022","EQ","811.20","822.80","804.40","807.00","808.00","805.65","812.29","1,120.00","720.35",418704,"340,110,156.45",17547
"12-Jan-2022","EQ","822.00","826.65","806.00","818.85","808.00","807.00","812.84","1,120.00","720.35",306482,"249,120,979.05",11460
"11-Jan-2022","EQ","828.00","828.00","814.00","823.65","815.10","818.85","818.17","1,120.00","720.35",409224,"334,813,902.40",11489
"10-Jan-2022","EQ","814.65","828.45","808.25","806.60","823.00","823.65","819.96","1,120.00","720.35",387633,"317,844,800.80",17393
"07-Jan-2022","EQ","820.00","821.95","804.10","817.85","805.80","806.60","813.15","1,120.00","720.35",302048,"245,610,076.35",17208
"06-Jan-2022","EQ","810.00","828.25","798.35","816.55","816.20","817.85","818.24","1,120.00","720.35",424105,"347,018,435.85",22262
"05-Jan-2022","EQ","841.00","844.00","813.05","841.25","816.95","816.55","829.38","1,120.00","720.35",548471,"454,891,405.20",25337
"04-Jan-2022","EQ","810.00","848.55","802.20","808.00","840.00","841.25","830.05","1,120.00","720.35",1477317,"1,226,254,219.35",41954
"03-Jan-2022","EQ","802.00","810.00","801.45","801.90","806.00","808.00","806.39","1,120.00","720.35",272874,"220,043,871.95",9783
"31-Dec-2021","EQ","801.95","809.75","795.65","799.70","801.00","801.90","803.06","1,120.00","720.35",207791,"166,868,054.00",9044
"30-Dec-2021","EQ","805.15","816.00","792.85","804.80","801.95","799.70","806.83","1,120.00","720.35",377002,"304,178,377.70",13702
"29-Dec-2021","EQ","798.95","809.90","794.30","797.55","803.00","804.80","805.15","1,120.00","720.35",209361,"168,566,312.35",6957
"28-Dec-2021","EQ","777.00","804.00","775.10","781.35","796.00","797.55","791.51","1,120.00","720.35",297791,"235,703,850.35",11866
