"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","217.45","219.95","215.75","215.25","216.20","216.65","217.70","261.25","192.40",2524409,"549,575,932.20",15978
"28-Jan-2022","EQ","216.70","223.75","214.35","213.05","216.25","215.25","219.37","261.25","192.40",3201850,"702,383,654.90",28587
"27-Jan-2022","EQ","210.00","218.25","205.50","212.40","215.60","213.05","209.24","261.25","192.40",3866620,"809,065,447.75",31430
"25-Jan-2022","EQ","210.95","213.65","208.25","212.35","212.00","212.40","211.71","261.25","192.40",2458314,"520,455,409.35",31689
"24-Jan-2022","EQ","223.00","224.40","210.05","223.80","212.15","212.35","214.85","261.25","192.40",2871823,"617,023,504.75",28432
"21-Jan-2022","EQ","225.00","229.65","221.75","226.25","224.35","223.80","225.91","261.25","174.50",2567260,"579,961,743.05",25080
"20-Jan-2022","EQ","227.95","231.75","224.00","233.15","226.00","226.25","226.77","261.25","174.50",5357697,"1,214,965,647.00",45818
"19-Jan-2022","EQ","235.00","235.00","227.00","235.30","233.00","233.15","231.54","261.25","174.50",2578370,"597,000,816.60",50733
"18-Jan-2022","EQ","245.00","245.00","234.20","243.45","235.60","235.30","239.25","261.25","174.50",4954232,"1,185,295,926.95",46584
"17-Jan-2022","EQ","232.00","244.00","231.70","231.60","243.80","243.45","240.29","261.25","174.50",7050781,"1,694,241,782.45",58366
"14-Jan-2022","EQ","235.35","237.50","230.50","234.95","232.00","231.60","232.66","261.25","174.50",2592666,"603,220,311.70",20369
"13-Jan-2022","EQ","233.65","236.40","232.05","233.65","234.55","234.95","234.52","261.25","174.50",1745200,"409,280,695.50",17881
"12-Jan-2022","EQ","232.05","235.75","230.50","231.85","233.00","233.65","233.45","261.25","174.50",2430304,"567,355,717.40",25199
"11-Jan-2022","EQ","231.95","233.15","228.75","232.50","231.05","231.85","231.34","261.25","174.50",1911686,"442,252,542.20",27873
"10-Jan-2022","EQ","234.65","234.65","230.40","233.00","231.85","232.50","232.31","261.25","174.50",1965998,"456,730,304.40",21150
"07-Jan-2022","EQ","229.50","234.25","227.10","228.50","233.50","233.00","230.81","261.25","174.50",2872775,"663,078,497.15",36968
"06-Jan-2022","EQ","225.50","229.20","224.15","227.50","228.30","228.50","227.29","261.25","174.50",1876933,"426,603,829.90",18297
"05-Jan-2022","EQ","225.75","228.00","224.00","225.60","226.45","227.50","226.47","261.25","174.50",2086152,"472,449,758.45",17955
"04-Jan-2022","EQ","221.00","227.80","220.90","220.90","225.80","225.60","225.13","261.25","174.50",4076160,"917,649,604.60",40858
"03-Jan-2022","EQ","220.20","222.40","219.15","219.15","220.55","220.90","221.08","261.25","174.50",1126982,"249,156,626.45",11747
"31-Dec-2021","EQ","217.15","222.10","217.15","217.15","218.95","219.15","219.97","261.25","174.50",2218732,"488,054,337.05",19859
"30-Dec-2021","EQ","217.20","218.40","216.00","217.55","217.40","217.15","217.28","261.25","174.50",1655520,"359,706,242.15",12869
"29-Dec-2021","EQ","215.50","217.80","213.20","215.05","217.50","217.55","215.85","261.25","174.50",2510455,"541,879,981.15",21266
"28-Dec-2021","EQ","210.00","217.00","209.15","208.90","216.00","215.05","212.72","261.25","174.50",2419860,"514,760,181.10",17692
"27-Dec-2021","EQ","206.10","209.40","202.00","206.65","208.95","208.90","206.30","261.25","174.50",1280639,"264,193,892.90",11799
"24-Dec-2021","EQ","212.00","212.00","205.90","210.55","206.75","206.65","208.00","261.25","170.35",2689098,"559,337,349.10",21640
"23-Dec-2021","EQ","210.55","213.30","209.25","208.05","210.00","210.55","211.04","261.25","170.35",1704058,"359,623,129.75",16266
"22-Dec-2021","EQ","204.25","210.00","203.75","202.95","210.00","208.05","206.97","261.25","170.35",2260174,"467,798,392.15",15952
"21-Dec-2021","EQ","203.50","206.30","201.15","202.25","203.05","202.95","203.94","261.25","170.35",1645421,"335,563,176.50",15231
"20-Dec-2021","EQ","212.00","212.00","197.80","213.30","201.00","202.25","202.88","261.25","170.35",3666093,"743,769,576.45",39884
"17-Dec-2021","EQ","217.00","217.00","212.00","217.45","213.50","213.30","214.06","261.25","170.35",2010657,"430,397,329.20",17677
"16-Dec-2021","EQ","216.75","218.00","213.60","215.60","217.05","217.45","216.28","261.25","170.35",1570974,"339,768,273.75",16528
"15-Dec-2021","EQ","216.90","220.25","215.20","216.85","215.65","215.60","217.97","261.25","170.35",1511438,"329,442,399.05",16080
"14-Dec-2021","EQ","217.95","218.70","214.35","219.50","216.65","216.85","216.67","261.25","170.35",1921045,"416,229,845.95",17763
"13-Dec-2021","EQ","218.00","221.40","217.60","217.15","219.40","219.50","219.61","261.25","170.35",2421351,"531,758,228.80",27554
"10-Dec-2021","EQ","217.30","218.30","215.05","216.20","216.85","217.15","216.78","261.25","170.35",1206497,"261,544,791.50",11936
"09-Dec-2021","EQ","216.00","217.25","214.10","215.80","216.00","216.20","215.75","261.25","170.35",1264398,"272,796,378.70",12638
"08-Dec-2021","EQ","210.70","217.40","210.05","209.25","215.50","215.80","213.89","261.25","170.35",2648381,"566,463,659.95",19648
"07-Dec-2021","EQ","206.50","212.00","205.55","204.85","209.30","209.25","209.07","261.25","170.35",1825523,"381,663,442.50",19380
"06-Dec-2021","EQ","210.50","211.20","204.25","210.00","205.20","204.85","207.38","261.25","170.35",1606829,"333,219,106.30",18637
"03-Dec-2021","EQ","211.00","212.90","209.00","209.90","209.65","210.00","210.80","261.25","170.35",1476550,"311,256,404.70",16387
"02-Dec-2021","EQ","207.80","210.40","206.75","207.80","210.10","209.90","208.37","261.25","170.35",1492806,"311,049,675.85",19372
"01-Dec-2021","EQ","205.25","209.00","205.25","204.55","209.00","207.80","206.72","261.25","170.35",1720325,"355,630,968.60",18146
"30-Nov-2021","EQ","206.45","211.35","203.50","206.15","204.50","204.55","207.63","261.25","170.35",2292067,"475,899,340.80",27229
"29-Nov-2021","EQ","210.00","210.35","200.80","211.35","206.75","206.15","206.81","261.25","170.35",3902124,"806,982,371.45",38903
