"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","133.45","133.70","130.95","130.75","132.75","132.55","132.56","153.50","106.20",6150983,"815,399,606.75",34595
"28-Jan-2022","EQ","131.90","135.30","130.00","131.00","131.00","130.75","133.16","153.50","106.20",14737610,"1,962,459,955.50",58696
"27-Jan-2022","EQ","129.90","131.70","125.70","130.85","131.00","131.00","128.91","153.50","106.20",16880740,"2,176,056,675.15",93077
"25-Jan-2022","EQ","131.25","132.15","128.00","132.80","131.20","130.85","130.22","153.50","106.20",22178008,"2,887,917,847.55",97169
"24-Jan-2022","EQ","138.00","138.85","130.55","138.30","132.00","132.80","132.92","153.50","106.20",15983816,"2,124,591,874.85",95922
"21-Jan-2022","EQ","138.75","139.95","135.50","139.05","139.05","138.30","138.14","153.50","106.20",11403668,"1,575,294,829.90",50670
"20-Jan-2022","EQ","138.30","141.40","137.50","137.45","139.35","139.05","139.48","153.50","106.20",18864154,"2,631,261,884.45",85017
"19-Jan-2022","EQ","135.40","138.35","130.30","135.45","137.90","137.45","134.97","153.50","106.20",10092581,"1,362,149,740.10",80944
"18-Jan-2022","EQ","140.30","140.30","134.25","139.30","135.45","135.45","137.56","153.50","106.20",10457315,"1,438,544,281.05",61239
"17-Jan-2022","EQ","137.75","141.90","137.55","137.75","139.40","139.30","139.81","153.50","106.20",20167029,"2,819,558,578.25",106414
"14-Jan-2022","EQ","137.65","139.50","136.85","138.05","137.95","137.75","138.06","153.50","106.20",6053961,"835,780,592.90",38713
"13-Jan-2022","EQ","139.20","139.20","136.15","138.90","137.70","138.05","137.82","153.50","106.20",9003201,"1,240,838,060.55",42059
"12-Jan-2022","EQ","135.75","139.30","134.50","135.15","138.35","138.90","137.71","153.50","106.20",11901175,"1,638,904,464.80",73712
"11-Jan-2022","EQ","133.50","136.10","133.00","134.25","134.90","135.15","134.83","153.50","106.20",7638743,"1,029,942,256.30",46337
"10-Jan-2022","EQ","132.40","134.90","132.40","132.40","134.30","134.25","134.08","153.50","106.20",6269461,"840,626,496.70",46450
"07-Jan-2022","EQ","133.80","133.80","131.05","132.45","132.10","132.40","132.29","153.50","99.50",6235554,"824,889,986.30",44561
"06-Jan-2022","EQ","129.20","133.15","129.10","131.75","132.10","132.45","131.65","153.50","99.50",12019899,"1,582,461,594.60",62145
"05-Jan-2022","EQ","127.00","132.25","126.05","127.40","130.90","131.75","130.36","153.50","99.50",17150006,"2,235,710,000.55",69299
