"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","3,140.00","3,193.45","3,136.40","3,110.85","3,160.00","3,152.25","3,161.59","3,590.00","2,260.00",944530,"2,986,219,523.55",112100
"28-Jan-2022","EQ","3,130.00","3,170.00","3,103.00","3,116.95","3,119.00","3,110.85","3,138.30","3,590.00","2,260.00",892060,"2,799,553,587.20",97438
"27-Jan-2022","EQ","3,140.10","3,143.00","3,071.25","3,147.10","3,116.20","3,116.95","3,104.09","3,590.00","2,260.00",1834684,"5,695,030,457.60",138031
"25-Jan-2022","EQ","3,100.00","3,156.95","3,010.75","3,155.15","3,151.00","3,147.10","3,091.76","3,590.00","2,260.00",2699779,"8,347,064,705.55",248234
"24-Jan-2022","EQ","3,268.00","3,270.00","3,135.00","3,274.85","3,148.70","3,155.15","3,169.22","3,590.00","2,260.00",1575665,"4,993,633,028.45",155744
"21-Jan-2022","EQ","3,300.05","3,324.95","3,241.75","3,306.40","3,278.00","3,274.85","3,289.45","3,590.00","2,260.00",1441694,"4,742,374,270.10",111967
"20-Jan-2022","EQ","3,282.00","3,364.90","3,222.00","3,280.40","3,303.00","3,306.40","3,282.29","3,590.00","2,260.00",3075678,"10,095,263,934.75",238580
"19-Jan-2022","EQ","3,370.00","3,370.00","3,267.75","3,373.70","3,282.95","3,280.40","3,292.09","3,590.00","2,260.00",1495218,"4,922,397,653.95",123892
"18-Jan-2022","EQ","3,379.05","3,396.45","3,351.00","3,378.65","3,374.50","3,373.70","3,374.37","3,590.00","2,260.00",558543,"1,884,728,112.20",65228
"17-Jan-2022","EQ","3,364.40","3,399.00","3,321.00","3,364.40","3,371.00","3,378.65","3,348.16","3,590.00","2,260.00",1103159,"3,693,555,745.30",84053
"14-Jan-2022","EQ","3,462.00","3,462.00","3,346.00","3,456.25","3,364.00","3,364.40","3,365.95","3,590.00","2,260.00",1558978,"5,247,444,521.90",146062
"13-Jan-2022","EQ","3,560.00","3,560.00","3,450.00","3,543.80","3,458.15","3,456.25","3,496.82","3,590.00","2,260.00",1153984,"4,035,273,931.75",97385
"12-Jan-2022","EQ","3,556.90","3,582.45","3,534.00","3,538.75","3,547.00","3,543.80","3,550.21","3,590.00","2,260.00",594543,"2,110,749,555.25",78042
"11-Jan-2022","EQ","3,550.60","3,564.00","3,495.05","3,553.50","3,535.05","3,538.75","3,530.40","3,590.00","2,260.00",734344,"2,592,530,395.55",70402
"10-Jan-2022","EQ","3,580.00","3,590.00","3,527.00","3,576.30","3,550.00","3,553.50","3,547.94","3,590.00","2,260.00",657511,"2,332,812,509.50",67243
"07-Jan-2022","EQ","3,514.65","3,582.00","3,496.55","3,514.65","3,573.90","3,576.30","3,562.94","3,582.00","2,260.00",964364,"3,435,968,391.35",61822
"06-Jan-2022","EQ","3,491.15","3,537.55","3,452.15","3,526.80","3,511.00","3,514.65","3,499.81","3,540.00","2,260.00",1312743,"4,594,353,905.20",80773
"05-Jan-2022","EQ","3,470.00","3,540.00","3,452.05","3,459.30","3,526.00","3,526.80","3,511.78","3,540.00","2,260.00",1024506,"3,597,840,737.85",92812
"04-Jan-2022","EQ","3,434.00","3,472.45","3,415.05","3,422.40","3,454.25","3,459.30","3,440.90","3,505.00","2,260.00",790886,"2,721,361,205.35",72589
"03-Jan-2022","EQ","3,383.00","3,440.90","3,383.00","3,382.95","3,425.55","3,422.40","3,425.26","3,505.00","2,260.00",696276,"2,384,925,665.70",67249
"31-Dec-2021","EQ","3,390.00","3,405.00","3,361.40","3,365.70","3,384.00","3,382.95","3,387.80","3,505.00","2,260.00",570671,"1,933,317,041.00",49002
"30-Dec-2021","EQ","3,363.25","3,390.00","3,350.30","3,367.45","3,368.00","3,365.70","3,372.77","3,505.00","2,260.00",691223,"2,331,339,633.30",49791
"29-Dec-2021","EQ","3,372.20","3,386.00","3,346.20","3,368.20","3,362.05","3,367.45","3,370.82","3,505.00","2,260.00",598421,"2,017,168,389.65",55234
"28-Dec-2021","EQ","3,275.95","3,375.00","3,273.00","3,272.40","3,365.00","3,368.20","3,348.39","3,505.00","2,260.00",1211648,"4,057,074,152.35",93064
"27-Dec-2021","EQ","3,280.10","3,284.75","3,226.20","3,284.80","3,270.70","3,272.40","3,258.29","3,505.00","2,260.00",640701,"2,087,589,102.45",68007
"24-Dec-2021","EQ","3,280.00","3,300.00","3,261.00","3,267.90","3,285.00","3,284.80","3,282.46","3,505.00","2,260.00",651404,"2,138,205,846.20",42284
"23-Dec-2021","EQ","3,290.00","3,307.90","3,250.00","3,280.10","3,271.85","3,267.90","3,262.65","3,505.00","2,260.00",1051596,"3,430,988,449.80",52571
"22-Dec-2021","EQ","3,275.70","3,285.65","3,241.00","3,271.35","3,278.70","3,280.10","3,265.96","3,505.00","2,260.00",619865,"2,024,455,814.10",58795
"21-Dec-2021","EQ","3,247.00","3,296.00","3,240.00","3,239.45","3,273.00","3,271.35","3,267.30","3,505.00","2,260.00",712026,"2,326,400,944.85",55407
"20-Dec-2021","EQ","3,227.00","3,275.00","3,181.00","3,243.70","3,236.20","3,239.45","3,213.98","3,505.00","2,260.00",948872,"3,049,657,493.15",82163
"17-Dec-2021","EQ","3,275.00","3,293.30","3,227.70","3,298.60","3,243.90","3,243.70","3,250.31","3,505.00","2,260.00",1019403,"3,313,379,981.80",64236
"16-Dec-2021","EQ","3,325.00","3,325.00","3,270.60","3,301.95","3,300.00","3,298.60","3,297.52","3,505.00","2,260.00",502930,"1,658,420,466.70",51275
"15-Dec-2021","EQ","3,278.15","3,313.95","3,266.50","3,297.50","3,290.55","3,301.95","3,296.89","3,505.00","2,260.00",811946,"2,676,892,688.25",64141
"14-Dec-2021","EQ","3,274.00","3,305.00","3,249.00","3,279.85","3,294.00","3,297.50","3,286.01","3,505.00","2,260.00",863179,"2,836,418,229.10",64474
"13-Dec-2021","EQ","3,285.10","3,341.00","3,270.95","3,283.15","3,284.75","3,279.85","3,303.44","3,505.00","2,260.00",1265832,"4,181,599,570.90",98261
"10-Dec-2021","EQ","3,184.00","3,292.00","3,178.70","3,178.70","3,279.00","3,283.15","3,265.19","3,505.00","2,260.00",2554394,"8,340,592,551.65",112592
"09-Dec-2021","EQ","3,152.40","3,183.05","3,111.00","3,108.50","3,177.00","3,178.70","3,154.95","3,505.00","2,260.00",1287243,"4,061,181,886.10",81244
"08-Dec-2021","EQ","3,031.90","3,123.00","3,031.00","3,030.35","3,110.00","3,108.50","3,078.23","3,505.00","2,260.00",1171484,"3,606,099,724.60",113919
"07-Dec-2021","EQ","3,040.00","3,069.00","3,016.45","3,038.30","3,031.90","3,030.35","3,031.22","3,505.00","2,260.00",2056459,"6,233,579,440.65",108821
"06-Dec-2021","EQ","3,115.00","3,115.00","3,028.25","3,110.45","3,038.55","3,038.30","3,056.94","3,505.00","2,260.00",1107363,"3,385,138,976.10",131088
"03-Dec-2021","EQ","3,185.00","3,187.45","3,106.00","3,180.60","3,115.00","3,110.45","3,140.95","3,505.00","2,206.20",1216263,"3,820,224,962.15",100441
"02-Dec-2021","EQ","3,160.00","3,194.00","3,152.25","3,138.15","3,175.55","3,180.60","3,171.73","3,505.00","2,206.20",939320,"2,979,272,291.50",92854
"01-Dec-2021","EQ","3,155.90","3,199.75","3,124.10","3,143.65","3,136.95","3,138.15","3,159.89","3,505.00","2,206.20",1741820,"5,503,967,714.90",111539
"30-Nov-2021","EQ","3,116.15","3,189.00","3,116.15","3,144.30","3,144.75","3,143.65","3,155.91","3,505.00","2,206.20",2340489,"7,386,376,690.50",134876
"29-Nov-2021","EQ","3,131.00","3,178.90","3,071.90","3,143.10","3,138.00","3,144.30","3,133.72","3,505.00","2,206.20",876651,"2,747,176,827.35",82466
"26-Nov-2021","EQ","3,101.00","3,167.35","3,091.00","3,144.25","3,138.00","3,143.10","3,134.09","3,505.00","2,117.15",1029110,"3,225,319,766.25",89084
"25-Nov-2021","EQ","3,156.50","3,173.35","3,113.00","3,157.00","3,141.85","3,144.25","3,136.88","3,505.00","2,117.15",728825,"2,286,237,710.55",58921
"24-Nov-2021","EQ","3,186.05","3,208.90","3,150.00","3,185.55","3,150.00","3,157.00","3,181.10","3,505.00","2,117.15",1056213,"3,359,919,163.80",81824
"23-Nov-2021","EQ","3,261.25","3,288.30","3,171.55","3,261.25","3,176.50","3,185.55","3,216.71","3,505.00","2,117.15",1482618,"4,769,155,731.40",115581
"22-Nov-2021","EQ","3,241.00","3,308.35","3,215.05","3,226.85","3,263.35","3,261.25","3,273.82","3,505.00","2,117.15",2146970,"7,028,802,293.25",169077
"18-Nov-2021","EQ","3,249.85","3,260.00","3,214.00","3,230.25","3,215.20","3,226.85","3,242.12","3,505.00","2,117.15",1609821,"5,219,239,883.75",108657
"17-Nov-2021","EQ","3,170.00","3,239.90","3,165.05","3,151.70","3,225.95","3,230.25","3,218.95","3,505.00","2,117.15",1616452,"5,203,280,368.95",128259
"16-Nov-2021","EQ","3,165.00","3,209.00","3,120.10","3,168.70","3,154.80","3,151.70","3,160.25","3,505.00","2,117.15",1400107,"4,424,689,381.70",102431
"15-Nov-2021","EQ","3,126.00","3,180.00","3,126.00","3,122.90","3,165.00","3,168.70","3,167.68","3,505.00","2,117.15",696377,"2,205,898,130.80",56166
"12-Nov-2021","EQ","3,089.00","3,128.00","3,075.80","3,063.50","3,124.00","3,122.90","3,104.41","3,505.00","2,117.15",682344,"2,118,273,975.20",45996
"11-Nov-2021","EQ","3,090.00","3,106.65","3,052.00","3,108.30","3,066.85","3,063.50","3,070.29","3,505.00","2,117.15",958143,"2,941,772,475.20",86302
"10-Nov-2021","EQ","3,132.00","3,136.65","3,080.50","3,145.15","3,107.00","3,108.30","3,104.39","3,505.00","2,117.15",872975,"2,710,053,849.80",75000
"09-Nov-2021","EQ","3,140.00","3,155.00","3,120.00","3,138.00","3,146.00","3,145.15","3,137.94","3,505.00","2,117.15",668840,"2,098,778,332.20",63210
"08-Nov-2021","EQ","3,165.00","3,181.00","3,095.15","3,159.25","3,139.00","3,138.00","3,133.29","3,505.00","2,117.15",787824,"2,468,481,779.60",81516
"04-Nov-2021","EQ","3,179.00","3,190.00","3,145.00","3,170.65","3,157.70","3,159.25","3,167.59","3,505.00","2,117.15",263595,"834,961,310.70",34643
"03-Nov-2021","EQ","3,102.10","3,182.90","3,095.00","3,103.35","3,178.90","3,170.65","3,144.32","3,505.00","2,117.15",879227,"2,764,570,508.45",58153
"02-Nov-2021","EQ","3,120.00","3,139.80","3,080.00","3,121.80","3,090.00","3,103.35","3,106.76","3,505.00","2,117.15",881916,"2,739,903,748.60",90351
"01-Nov-2021","EQ","3,128.00","3,142.25","3,091.65","3,100.10","3,117.90","3,121.80","3,120.08","3,505.00","2,117.15",750393,"2,341,289,761.65",79031
"29-Oct-2021","EQ","3,125.00","3,144.70","3,083.30","3,116.30","3,108.00","3,100.10","3,109.04","3,505.00","2,070.05",1118903,"3,478,719,734.15",82379
"28-Oct-2021","EQ","3,103.00","3,147.60","3,062.00","3,094.65","3,125.00","3,116.30","3,110.09","3,505.00","2,070.05",1791065,"5,570,377,093.90",123942
"27-Oct-2021","EQ","3,029.20","3,145.00","3,029.20","2,969.80","3,092.15","3,094.65","3,103.01","3,505.00","2,070.05",4609951,"14,304,730,935.15",279612
"26-Oct-2021","EQ","2,918.05","3,024.00","2,898.00","2,918.05","3,006.00","2,969.80","2,930.77","3,505.00","2,070.05",1988263,"5,827,138,608.95",162734
"25-Oct-2021","EQ","2,950.00","2,950.00","2,857.25","2,982.40","2,923.00","2,918.05","2,904.30","3,505.00","2,070.05",2161537,"6,277,748,600.80",174323
"22-Oct-2021","EQ","2,975.00","3,002.95","2,912.15","3,002.00","2,970.55","2,982.40","2,947.33","3,505.00","2,056.50",2855592,"8,416,371,621.55",227011
"21-Oct-2021","EQ","3,194.00","3,195.45","2,920.45","3,169.60","3,015.00","3,002.00","3,019.98","3,505.00","2,056.50",5103543,"15,412,584,387.95",384801
"20-Oct-2021","EQ","3,190.00","3,219.95","3,136.65","3,183.75","3,177.00","3,169.60","3,184.57","3,505.00","2,056.50",1205540,"3,839,131,189.10",102671
"19-Oct-2021","EQ","3,260.90","3,269.10","3,176.10","3,241.50","3,187.00","3,183.75","3,219.88","3,505.00","2,056.50",1042069,"3,355,340,423.15",89378
"18-Oct-2021","EQ","3,252.50","3,283.95","3,232.00","3,297.80","3,242.00","3,241.50","3,254.33","3,505.00","2,056.50",1576121,"5,129,221,301.85",124215
"14-Oct-2021","EQ","3,342.00","3,352.95","3,290.00","3,323.50","3,297.80","3,297.80","3,315.73","3,505.00","2,041.25",648597,"2,150,573,527.10",63419
"13-Oct-2021","EQ","3,343.00","3,358.90","3,291.40","3,323.25","3,319.00","3,323.50","3,326.44","3,505.00","2,041.25",770144,"2,561,834,675.40",59788
"12-Oct-2021","EQ","3,280.00","3,335.00","3,280.00","3,306.05","3,322.00","3,323.25","3,312.43","3,505.00","2,041.25",564524,"1,869,943,533.35",52763
"11-Oct-2021","EQ","3,326.40","3,344.35","3,297.75","3,306.90","3,303.95","3,306.05","3,324.96","3,505.00","2,041.25",460197,"1,530,138,024.45",45720
"08-Oct-2021","EQ","3,307.00","3,329.00","3,264.10","3,290.85","3,309.10","3,306.90","3,302.69","3,505.00","2,011.00",882436,"2,914,413,923.40",65577
"07-Oct-2021","EQ","3,220.00","3,318.00","3,220.00","3,212.25","3,295.00","3,290.85","3,280.27","3,505.00","2,011.00",1177283,"3,861,801,274.90",95072
"06-Oct-2021","EQ","3,262.00","3,280.00","3,200.65","3,254.75","3,207.05","3,212.25","3,235.72","3,505.00","2,011.00",786378,"2,544,499,596.20",72798
"05-Oct-2021","EQ","3,208.55","3,260.00","3,191.65","3,201.60","3,260.00","3,254.75","3,243.27","3,505.00","2,011.00",909337,"2,949,227,863.15",71023
"04-Oct-2021","EQ","3,202.80","3,230.50","3,178.00","3,177.85","3,202.00","3,201.60","3,205.05","3,505.00","2,011.00",921241,"2,952,622,044.40",82803
"01-Oct-2021","EQ","3,248.00","3,252.95","3,170.00","3,244.65","3,180.95","3,177.85","3,184.72","3,505.00","1,930.00",1512332,"4,816,349,511.35",133953
"30-Sep-2021","EQ","3,329.90","3,347.70","3,220.00","3,323.05","3,248.00","3,244.65","3,260.63","3,505.00","1,930.00",2077896,"6,775,251,151.30",173744
"29-Sep-2021","EQ","3,365.00","3,381.70","3,310.00","3,379.70","3,320.00","3,323.05","3,334.92","3,505.00","1,930.00",973387,"3,246,172,344.50",87400
"28-Sep-2021","EQ","3,424.90","3,429.70","3,350.00","3,430.65","3,385.00","3,379.70","3,376.29","3,505.00","1,930.00",961271,"3,245,526,196.50",99252
"27-Sep-2021","EQ","3,461.60","3,470.00","3,417.65","3,448.60","3,423.00","3,430.65","3,437.34","3,505.00","1,930.00",902449,"3,102,026,991.20",77996
"24-Sep-2021","EQ","3,330.00","3,505.00","3,320.85","3,320.65","3,445.00","3,448.60","3,450.33","3,505.00","1,907.75",2775975,"9,578,032,371.15",213860
"23-Sep-2021","EQ","3,340.00","3,340.00","3,315.00","3,317.50","3,326.00","3,320.65","3,325.31","3,394.60","1,907.75",694716,"2,310,149,118.80",52934
"22-Sep-2021","EQ","3,328.50","3,329.95","3,288.25","3,309.20","3,319.80","3,317.50","3,308.62","3,394.60","1,907.75",825945,"2,732,739,872.60",58258
"21-Sep-2021","EQ","3,271.55","3,335.00","3,271.00","3,271.55","3,308.00","3,309.20","3,309.13","3,394.60","1,907.75",922057,"3,051,203,771.75",58167
"20-Sep-2021","EQ","3,299.95","3,315.00","3,265.00","3,303.05","3,273.60","3,271.55","3,289.84","3,394.60","1,907.75",689288,"2,267,649,635.85",55756
"17-Sep-2021","EQ","3,352.00","3,382.00","3,285.05","3,342.10","3,311.00","3,303.05","3,324.32","3,394.60","1,907.75",1545695,"5,138,380,614.90",61404
"16-Sep-2021","EQ","3,350.00","3,371.00","3,335.00","3,352.30","3,339.50","3,342.10","3,348.72","3,394.60","1,907.75",516746,"1,730,435,189.75",43860
"15-Sep-2021","EQ","3,361.85","3,383.95","3,346.95","3,362.50","3,350.00","3,352.30","3,364.75","3,394.60","1,907.75",587855,"1,977,987,464.80",53905
"14-Sep-2021","EQ","3,384.90","3,388.60","3,356.85","3,367.05","3,362.50","3,362.50","3,368.62","3,394.60","1,907.75",569412,"1,918,134,162.25",56577
