"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","2,146.40","2,179.00","2,124.40","2,100.30","2,162.70","2,159.45","2,149.64","2,630.00","1,411.20",356637,"766,641,553.80",28821
"28-Jan-2022","EQ","2,092.00","2,145.95","2,092.00","2,073.75","2,107.00","2,100.30","2,117.53","2,630.00","1,411.20",524131,"1,109,864,728.70",43707
"27-Jan-2022","EQ","2,110.00","2,110.05","2,050.00","2,112.20","2,079.00","2,073.75","2,076.61","2,630.00","1,411.20",567543,"1,178,568,223.00",60114
"25-Jan-2022","EQ","2,170.00","2,178.00","2,042.55","2,172.30","2,110.00","2,112.20","2,109.90","2,630.00","1,411.20",772069,"1,628,988,417.05",91119
"24-Jan-2022","EQ","2,378.00","2,378.00","2,150.20","2,376.95","2,152.00","2,172.30","2,223.03","2,630.00","1,411.20",683925,"1,520,382,664.40",79585
"21-Jan-2022","EQ","2,444.75","2,444.75","2,357.05","2,443.85","2,376.00","2,376.95","2,396.15","2,630.00","1,411.20",281082,"673,516,022.55",32312
"20-Jan-2022","EQ","2,398.75","2,450.00","2,384.00","2,391.35","2,450.00","2,443.85","2,422.75","2,630.00","1,411.20",268372,"650,198,560.50",42249
"19-Jan-2022","EQ","2,431.15","2,450.00","2,382.20","2,431.15","2,395.00","2,391.35","2,416.71","2,630.00","1,411.20",268489,"648,858,739.50",41080
"18-Jan-2022","EQ","2,475.00","2,478.05","2,410.00","2,465.10","2,443.00","2,431.15","2,440.32","2,630.00","1,411.20",293379,"715,937,859.30",42569
"17-Jan-2022","EQ","2,478.80","2,524.95","2,457.45","2,467.90","2,474.50","2,465.10","2,484.35","2,630.00","1,411.20",428229,"1,063,871,710.70",32658
"14-Jan-2022","EQ","2,490.00","2,508.95","2,450.00","2,483.45","2,481.50","2,467.90","2,479.43","2,630.00","1,411.20",328244,"813,859,241.40",29788
"13-Jan-2022","EQ","2,490.00","2,524.95","2,464.25","2,485.60","2,486.00","2,483.45","2,495.71","2,630.00","1,411.20",410140,"1,023,589,135.90",33477
"12-Jan-2022","EQ","2,478.35","2,494.00","2,445.20","2,452.65","2,484.20","2,485.60","2,472.40","2,630.00","1,411.20",300468,"742,875,774.15",28003
"11-Jan-2022","EQ","2,469.05","2,512.40","2,436.25","2,453.90","2,456.85","2,452.65","2,486.26","2,630.00","1,411.20",619575,"1,540,425,213.00",42531
"10-Jan-2022","EQ","2,436.50","2,471.45","2,433.00","2,436.50","2,452.40","2,453.90","2,457.97","2,630.00","1,411.20",463006,"1,138,053,357.55",36829
"07-Jan-2022","EQ","2,412.00","2,450.55","2,395.15","2,416.10","2,437.80","2,436.50","2,428.12","2,630.00","1,411.20",377819,"917,389,219.80",29830
"06-Jan-2022","EQ","2,413.95","2,448.85","2,371.00","2,419.30","2,412.00","2,416.10","2,414.70","2,630.00","1,411.20",493696,"1,192,127,715.75",36710
