"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","634.00","644.95","625.30","623.90","634.30","634.45","637.46","1,063.90","590.10",1561664,"995,500,118.00",47733
"28-Jan-2022","EQ","619.20","638.00","612.40","608.80","624.50","623.90","628.91","1,063.90","590.10",2307397,"1,451,139,276.75",48021
"27-Jan-2022","EQ","616.85","618.95","594.00","616.85","611.30","608.80","602.18","1,063.90","590.10",3349451,"2,016,977,358.70",80970
"25-Jan-2022","EQ","609.70","621.60","590.10","609.70","619.90","616.85","609.46","1,063.90","590.10",3015220,"1,837,653,102.50",70153
"24-Jan-2022","EQ","655.45","655.45","603.35","655.45","610.90","609.70","623.58","1,063.90","603.35",3355188,"2,092,211,991.00",88673
"21-Jan-2022","EQ","661.20","676.60","650.10","661.20","655.50","655.45","660.11","1,063.90","620.50",2118832,"1,398,658,952.30",63914
"20-Jan-2022","EQ","670.55","673.75","660.05","670.50","661.05","661.20","664.66","1,063.90","620.50",1673792,"1,112,508,446.20",45643
"19-Jan-2022","EQ","668.80","674.90","657.00","668.80","671.55","670.50","667.76","1,063.90","620.50",2051486,"1,369,906,023.50",54289
"18-Jan-2022","EQ","686.00","695.00","666.65","685.80","669.50","668.80","679.83","1,063.90","620.50",3536203,"2,404,018,119.60",78409
"17-Jan-2022","EQ","698.80","699.75","684.50","695.15","686.00","685.80","687.87","1,063.90","620.50",2228627,"1,533,003,562.15",51260
"14-Jan-2022","EQ","686.00","705.00","684.45","717.60","696.00","695.15","693.46","1,063.90","620.50",5879939,"4,077,511,086.05",132353
"13-Jan-2022","EQ","718.90","726.50","715.50","716.90","718.95","717.60","720.19","1,063.90","620.50",1022378,"736,309,226.90",42687
"12-Jan-2022","EQ","723.90","724.00","711.45","719.70","715.15","716.90","716.30","1,063.90","620.50",1136954,"814,404,335.70",48256
"11-Jan-2022","EQ","741.00","742.00","713.40","737.30","720.00","719.70","722.03","1,063.90","620.50",2936101,"2,119,938,782.55",78307
"10-Jan-2022","EQ","713.60","740.00","712.00","710.00","735.25","737.30","727.46","1,063.90","620.50",3081483,"2,241,657,083.25",75136
"07-Jan-2022","EQ","722.00","723.00","707.30","717.95","710.00","710.00","714.75","1,063.90","620.50",1252895,"895,512,533.70",30587
"06-Jan-2022","EQ","718.25","726.85","715.10","721.30","717.10","717.95","719.30","1,063.90","620.50",772910,"555,955,266.80",19381
"05-Jan-2022","EQ","723.10","730.15","717.25","722.25","722.05","721.30","723.70","1,063.90","620.50",1147149,"830,191,660.10",24735
"04-Jan-2022","EQ","734.10","736.95","721.00","732.10","722.00","722.25","724.76","1,063.90","620.50",1134250,"822,056,543.65",22483
"03-Jan-2022","EQ","738.10","738.90","727.05","734.35","731.30","732.10","731.33","1,063.90","620.50",1091773,"798,447,565.20",25656
"31-Dec-2021","EQ","726.00","739.80","720.50","723.50","732.15","734.35","733.54","1,063.90","620.50",1771378,"1,299,378,249.55",39997
"30-Dec-2021","EQ","727.80","731.50","721.20","727.05","726.00","723.50","725.57","1,063.90","620.50",1090975,"791,582,487.75",31178
"29-Dec-2021","EQ","732.00","735.65","723.00","725.25","724.25","727.05","729.29","1,063.90","620.50",1860717,"1,357,004,053.90",41999
"28-Dec-2021","EQ","728.00","732.60","718.80","726.10","725.85","725.25","724.89","1,063.90","620.50",1595111,"1,156,285,940.15",34262
"27-Dec-2021","EQ","710.00","728.80","707.10","708.45","724.50","726.10","719.06","1,063.90","620.50",1979849,"1,423,631,687.75",45172
"24-Dec-2021","EQ","725.10","725.90","705.10","723.10","709.50","708.45","711.21","1,063.90","620.50",1485767,"1,056,686,438.05",40281
"23-Dec-2021","EQ","725.00","726.70","717.65","718.10","722.50","723.10","722.45","1,063.90","620.50",1509479,"1,090,529,943.05",35975
"22-Dec-2021","EQ","691.00","719.90","689.85","693.75","717.50","718.10","710.48","1,063.90","620.50",2412858,"1,714,278,009.45",57302
"21-Dec-2021","EQ","693.00","696.60","680.20","686.55","692.05","693.75","690.10","1,063.90","620.50",1515222,"1,045,653,951.60",37089
"20-Dec-2021","EQ","679.60","689.00","664.55","679.60","684.00","686.55","678.00","1,063.90","620.50",2719116,"1,843,570,094.10",59439
"17-Dec-2021","EQ","687.10","689.00","665.30","683.70","682.00","679.60","679.83","1,063.90","620.50",1879826,"1,277,959,280.95",45807
"16-Dec-2021","EQ","697.00","699.95","675.15","692.95","686.20","683.70","684.37","1,063.90","620.50",1995987,"1,365,989,441.65",45594
"15-Dec-2021","EQ","709.95","713.70","691.00","708.85","691.00","692.95","699.91","1,063.90","620.50",1865950,"1,305,994,777.85",37675
"14-Dec-2021","EQ","694.80","715.00","692.25","693.20","708.35","708.85","706.53","1,063.90","620.50",2663847,"1,882,084,785.35",62116
"13-Dec-2021","EQ","706.10","709.00","691.00","704.35","693.45","693.20","699.40","1,063.90","620.50",1007377,"704,556,098.60",28794
"10-Dec-2021","EQ","708.80","714.00","703.00","705.25","703.20","704.35","706.87","1,063.90","620.50",1881123,"1,329,713,159.30",36577
"09-Dec-2021","EQ","702.00","708.50","700.40","701.95","705.25","705.25","704.68","1,063.90","620.50",2342265,"1,650,552,849.20",49338
"08-Dec-2021","EQ","672.00","703.25","672.00","673.35","700.30","701.95","692.32","1,063.90","620.50",2519705,"1,744,448,660.30",66731
"07-Dec-2021","EQ","661.80","678.60","658.20","661.80","673.90","673.35","669.89","1,063.90","620.50",1901564,"1,273,831,805.35",55461
"06-Dec-2021","EQ","675.00","675.00","660.00","674.15","661.95","661.80","669.09","1,063.90","620.50",1186164,"793,651,133.95",25402
"03-Dec-2021","EQ","677.35","678.00","669.50","673.55","675.00","674.15","673.27","1,063.90","620.50",1098651,"739,687,089.05",27477
"02-Dec-2021","EQ","662.00","674.70","661.25","662.60","673.00","673.55","670.14","1,063.90","620.50",1473264,"987,297,055.70",42117
"01-Dec-2021","EQ","664.00","668.90","653.35","660.25","663.50","662.60","660.62","1,063.90","620.50",1469340,"970,668,332.30",51039
"30-Nov-2021","EQ","653.00","672.25","648.60","654.90","655.65","660.25","661.67","1,063.90","620.50",2793791,"1,848,574,916.10",65612
"29-Nov-2021","EQ","680.00","686.95","652.00","678.55","652.95","654.90","664.37","1,063.90","620.50",2391475,"1,588,822,614.50",93492
"26-Nov-2021","EQ","668.00","691.15","664.05","668.90","675.10","678.55","683.04","1,063.90","620.50",4938416,"3,373,135,147.20",100614
"25-Nov-2021","EQ","659.45","675.00","655.05","658.85","669.00","668.90","668.60","1,063.90","620.50",2955059,"1,975,739,556.95",52779
"24-Nov-2021","EQ","653.00","670.50","651.15","650.95","658.50","658.85","661.25","1,063.90","620.50",1931208,"1,277,007,559.90",48467
"23-Nov-2021","EQ","625.10","652.60","623.00","627.60","650.20","650.95","639.38","1,063.90","620.50",1887108,"1,206,579,120.35",55932
"22-Nov-2021","EQ","639.55","642.75","620.50","639.55","627.90","627.60","630.04","1,063.90","620.50",2200342,"1,386,311,924.30",69494
"18-Nov-2021","EQ","668.00","668.70","634.05","666.55","640.00","639.55","643.25","1,063.90","634.05",4597685,"2,957,483,724.05",109893
"17-Nov-2021","EQ","686.00","686.55","664.90","686.80","665.05","666.55","672.89","1,063.90","660.30",1891189,"1,272,568,124.55",52508
"16-Nov-2021","EQ","697.00","698.95","684.50","695.75","686.00","686.80","689.11","1,063.90","660.30",1166157,"803,612,931.75",30570
"15-Nov-2021","EQ","692.00","699.80","688.10","687.90","695.90","695.75","694.64","1,063.90","660.30",1258305,"874,071,877.45",60930
"12-Nov-2021","EQ","690.00","692.00","681.50","686.55","688.60","687.90","686.59","1,063.90","660.30",1243951,"854,084,725.85",55560
"11-Nov-2021","EQ","698.00","701.45","684.00","699.85","686.45","686.55","689.26","1,063.90","660.30",2324367,"1,602,097,488.00",94813
"10-Nov-2021","EQ","679.00","706.90","678.00","677.00","700.40","699.85","698.52","1,063.90","660.30",8258832,"5,768,999,787.70",166392
"09-Nov-2021","EQ","686.00","713.50","673.75","672.00","677.50","677.00","690.79","1,063.90","660.30",10508221,"7,258,968,825.15",232471
"08-Nov-2021","EQ","690.05","693.70","662.10","690.05","670.85","672.00","670.63","1,063.90","660.30",4500837,"3,018,385,949.80",158695
"04-Nov-2021","EQ","690.00","691.85","685.80","685.80","691.00","690.05","688.54","1,063.90","660.30",153662,"105,803,188.25",4995
"03-Nov-2021","EQ","694.20","697.05","681.00","691.20","686.15","685.80","690.52","1,063.90","660.30",1666668,"1,150,859,530.95",75014
"02-Nov-2021","EQ","700.00","703.95","690.00","697.60","692.00","691.20","695.26","1,063.90","660.30",1700560,"1,182,336,182.80",88702
"01-Nov-2021","EQ","691.80","699.00","683.00","689.35","695.50","697.60","692.24","1,063.90","660.30",1549276,"1,072,471,853.60",77846
"29-Oct-2021","EQ","680.10","699.25","671.75","678.65","692.45","689.35","689.52","1,063.90","660.30",2550003,"1,758,277,242.20",91756
"28-Oct-2021","EQ","706.00","706.50","675.20","706.60","679.50","678.65","688.76","1,063.90","660.30",1919106,"1,321,807,058.00",79027
"27-Oct-2021","EQ","704.70","714.75","702.55","703.50","707.00","706.60","708.87","1,063.90","660.30",1637432,"1,160,730,876.40",62423
"26-Oct-2021","EQ","686.00","705.50","683.40","685.35","704.95","703.50","694.02","1,063.90","660.30",1717288,"1,191,836,431.05",66213
"25-Oct-2021","EQ","697.00","697.80","675.55","695.05","685.10","685.35","685.26","1,063.90","660.30",1798234,"1,232,264,890.25",72913
"22-Oct-2021","EQ","708.00","712.85","689.10","705.90","694.35","695.05","698.75","1,063.90","660.30",1592318,"1,112,635,636.40",72494
"21-Oct-2021","EQ","708.00","717.80","698.10","701.70","706.90","705.90","706.44","1,063.90","660.30",1519098,"1,073,155,715.80",55654
"20-Oct-2021","EQ","713.00","716.70","691.45","712.55","702.00","701.70","705.54","1,063.90","660.30",2049982,"1,446,345,284.65",63718
"19-Oct-2021","EQ","723.00","727.15","710.00","718.25","710.95","712.55","717.99","1,063.90","660.30",1518895,"1,090,551,132.60",76451
"18-Oct-2021","EQ","727.40","731.00","717.15","727.15","719.55","718.25","722.50","1,063.90","660.30",2001971,"1,446,424,768.80",94782
"14-Oct-2021","EQ","734.65","737.00","724.20","728.55","727.00","727.15","729.14","1,063.90","660.30",1592618,"1,161,241,832.90",79610
"13-Oct-2021","EQ","735.00","735.00","725.05","729.85","728.50","728.55","729.48","1,063.90","660.30",1220720,"890,492,815.70",61452
"12-Oct-2021","EQ","722.00","735.50","720.05","720.55","729.20","729.85","727.73","1,063.90","660.30",2505322,"1,823,191,111.05",76681
"11-Oct-2021","EQ","718.70","725.00","711.10","714.75","722.35","720.55","719.21","1,063.90","660.30",1309853,"942,054,237.10",62853
"08-Oct-2021","EQ","721.00","730.45","713.10","719.60","715.70","714.75","718.90","1,063.90","660.30",2179776,"1,567,030,225.85",76142
"07-Oct-2021","EQ","719.70","726.40","716.35","715.35","720.40","719.60","720.82","1,063.90","660.30",1514665,"1,091,801,077.05",59223
"06-Oct-2021","EQ","726.50","729.40","712.15","724.00","714.50","715.35","720.06","1,063.90","660.30",1928858,"1,388,891,628.35",61031
"05-Oct-2021","EQ","732.30","734.90","718.20","732.15","724.00","724.00","723.26","1,063.90","660.30",2241909,"1,621,473,867.85",87763
"04-Oct-2021","EQ","710.00","751.90","708.00","717.30","732.40","732.15","737.60","1,063.90","660.30",5386291,"3,972,939,523.95",163352
"01-Oct-2021","EQ","721.90","724.35","706.50","724.80","714.60","717.30","717.07","1,063.90","660.30",2877882,"2,063,629,945.75",81890
"30-Sep-2021","EQ","720.70","735.85","720.35","727.95","724.50","724.80","728.50","1,063.90","660.30",1993150,"1,452,018,791.25",65006
"29-Sep-2021","EQ","721.40","736.90","718.90","725.05","728.00","727.95","730.22","1,063.90","660.30",2240377,"1,635,957,700.20",79774
"28-Sep-2021","EQ","722.00","730.70","709.60","722.00","726.75","725.05","720.56","1,063.90","660.30",3589557,"2,586,499,806.40",77362
"27-Sep-2021","EQ","725.00","725.15","714.00","721.55","722.00","722.00","718.53","1,063.90","660.30",1333668,"958,281,889.40",50185
"24-Sep-2021","EQ","735.70","737.20","717.50","733.45","720.90","721.55","724.84","1,063.90","660.30",1962703,"1,422,637,774.95",80683
"23-Sep-2021","EQ","739.00","739.00","727.60","731.10","732.00","733.45","732.34","1,063.90","660.30",2015529,"1,476,043,778.55",79602
"22-Sep-2021","EQ","723.60","733.95","719.80","726.40","731.00","731.10","727.45","1,063.90","660.30",1674667,"1,218,233,608.20",55693
