"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","318.00","321.80","314.35","316.95","315.75","315.55","317.43","371.00","229.55",4131810,"1,311,567,948.15",47530
"28-Jan-2022","EQ","324.40","327.50","314.00","322.35","317.25","316.95","320.27","371.00","229.55",5985247,"1,916,871,150.45",56090
"27-Jan-2022","EQ","319.90","327.00","317.50","324.15","321.20","322.35","322.90","371.00","229.55",11189926,"3,613,240,572.75",101447
"25-Jan-2022","EQ","305.00","326.00","303.50","307.85","322.80","324.15","316.29","371.00","229.55",16869427,"5,335,683,026.95",159794
"24-Jan-2022","EQ","299.90","311.00","295.50","295.50","306.50","307.85","304.13","371.00","229.55",33321083,"10,133,940,624.45",237584
"21-Jan-2022","EQ","299.10","302.90","290.55","299.95","297.15","295.50","297.32","372.55","229.55",7171463,"2,132,213,141.10",59058
"20-Jan-2022","EQ","304.50","308.75","298.00","303.60","300.00","299.95","303.43","372.55","229.55",7387568,"2,241,631,656.30",66950
"19-Jan-2022","EQ","292.00","306.90","287.35","295.25","303.75","303.60","300.92","372.55","229.55",15109493,"4,546,812,231.90",102056
"18-Jan-2022","EQ","302.80","305.50","293.50","301.20","295.00","295.25","300.89","372.55","229.55",7630584,"2,295,948,227.95",70823
"17-Jan-2022","EQ","298.00","303.75","296.15","296.55","301.05","301.20","300.23","372.55","229.55",8371706,"2,513,463,753.80",61135
"14-Jan-2022","EQ","291.50","300.15","289.25","294.55","295.65","296.55","296.52","424.90","229.55",9323670,"2,764,681,902.65",81866
"13-Jan-2022","EQ","283.20","296.80","282.00","283.65","293.90","294.55","290.68","424.90","229.55",10765479,"3,129,287,289.50",107606
"12-Jan-2022","EQ","279.50","284.70","278.00","277.35","283.25","283.65","282.64","424.90","229.55",6627728,"1,873,255,431.50",58823
"11-Jan-2022","EQ","272.00","279.60","268.00","274.00","277.40","277.35","274.45","424.90","229.55",8936458,"2,452,604,817.60",75339
"10-Jan-2022","EQ","271.05","275.50","271.00","271.05","273.80","274.00","273.58","424.90","229.55",4369630,"1,195,437,719.40",41663
"07-Jan-2022","EQ","267.05","275.90","264.60","264.45","270.60","271.05","271.21","424.90","229.55",14714881,"3,990,874,282.00",108840
"06-Jan-2022","EQ","261.25","266.40","256.55","263.45","263.95","264.45","261.08","424.90","229.55",10697693,"2,792,941,950.85",73206
"05-Jan-2022","EQ","258.70","265.40","253.50","254.55","264.30","263.45","258.25","424.90","229.55",22673520,"5,855,496,307.50",130371
"04-Jan-2022","EQ","259.15","262.65","252.20","252.40","254.80","254.55","256.11","424.90","229.55",11393172,"2,917,946,419.85",93791
"03-Jan-2022","EQ","252.70","258.00","249.20","252.70","257.00","252.40","251.60","424.90","229.55",11853152,"2,982,194,446.95",72457
"31-Dec-2021","EQ","249.00","253.75","247.10","248.80","252.00","252.70","251.43","424.90","229.55",3764955,"946,615,547.80",35892
"30-Dec-2021","EQ","248.00","252.50","240.75","250.10","249.10","248.80","247.08","424.90","229.55",13971472,"3,452,091,699.25",99191
"29-Dec-2021","EQ","254.00","258.45","249.00","253.75","249.70","250.10","253.32","424.90","229.55",4436346,"1,123,810,392.60",40154
"28-Dec-2021","EQ","255.00","259.00","251.50","252.90","253.05","253.75","254.85","424.90","229.55",4827749,"1,230,337,082.20",42030
"27-Dec-2021","EQ","243.40","255.25","229.55","255.05","253.05","252.90","245.15","424.90","229.55",17637643,"4,323,861,439.50",139406
"24-Dec-2021","EQ","260.00","260.00","251.40","259.00","255.50","255.05","254.51","424.90","243.40",3897062,"991,860,676.90",38103
"23-Dec-2021","EQ","255.85","262.20","254.70","252.80","257.80","259.00","258.58","424.90","243.40",4557090,"1,178,368,715.40",47520
"22-Dec-2021","EQ","249.00","256.50","247.00","246.20","254.00","252.80","249.92","424.90","243.40",4215221,"1,053,482,294.75",45135
"21-Dec-2021","EQ","251.00","253.00","243.40","246.55","246.50","246.20","249.27","424.90","243.40",5120968,"1,276,497,698.60",52003
"20-Dec-2021","EQ","264.00","264.00","244.60","267.05","247.15","246.55","250.26","424.90","244.60",11082199,"2,773,456,862.35",124438
"17-Dec-2021","EQ","275.80","277.25","265.65","275.45","267.30","267.05","268.79","429.25","259.25",4525941,"1,216,542,952.70",53331
"16-Dec-2021","EQ","281.20","281.95","273.50","277.90","275.70","275.45","276.47","429.25","259.25",2815362,"778,358,785.00",31144
"15-Dec-2021","EQ","280.00","282.25","277.40","280.35","277.85","277.90","279.58","429.25","259.25",2415471,"675,324,687.35",28476
"14-Dec-2021","EQ","280.95","281.00","276.65","282.25","279.80","280.35","279.31","429.25","259.25",3963694,"1,107,084,212.60",45346
"13-Dec-2021","EQ","283.00","289.00","281.70","280.05","282.15","282.25","284.59","429.25","259.25",6414381,"1,825,468,905.80",64815
"10-Dec-2021","EQ","283.20","283.40","278.40","281.80","280.00","280.05","280.39","430.70","259.25",4060050,"1,138,415,471.95",35662
"09-Dec-2021","EQ","284.60","284.65","280.25","282.85","281.60","281.80","281.91","430.70","259.25",3369596,"949,914,502.60",33679
"08-Dec-2021","EQ","281.00","286.00","280.50","278.50","282.50","282.85","283.43","430.70","259.25",5858837,"1,660,559,669.85",42969
"07-Dec-2021","EQ","275.00","282.30","273.75","271.35","278.65","278.50","278.39","430.70","259.25",4480934,"1,247,453,888.80",45235
"06-Dec-2021","EQ","277.95","279.80","270.70","277.30","271.95","271.35","273.81","430.70","259.25",4460630,"1,221,345,091.85",49667
"03-Dec-2021","EQ","277.00","285.00","276.05","278.80","277.85","277.30","280.38","430.70","259.25",5738776,"1,609,054,101.30",65484
"02-Dec-2021","EQ","276.40","279.25","274.00","276.20","278.80","278.80","277.13","430.70","259.25",4707273,"1,304,516,851.65",48489
"01-Dec-2021","EQ","277.25","277.75","270.10","272.45","276.40","276.20","273.54","430.70","259.25",8370840,"2,289,777,558.05",76010
"30-Nov-2021","EQ","269.50","283.30","269.00","268.85","272.50","272.45","276.91","430.70","259.25",16181268,"4,480,743,984.85",146156
"29-Nov-2021","EQ","284.00","284.00","266.85","282.65","269.30","268.85","274.83","430.70","259.25",10015616,"2,752,565,964.05",129984
"26-Nov-2021","EQ","310.00","312.65","278.05","315.05","279.75","282.65","291.90","430.70","259.25",15648063,"4,567,723,372.00",187381
"25-Nov-2021","EQ","309.00","316.70","304.40","309.10","315.55","315.05","312.28","430.70","259.25",6499965,"2,029,797,876.10",64760
"24-Nov-2021","EQ","308.10","310.80","303.20","306.50","308.25","309.10","308.51","430.70","259.25",2850072,"879,283,644.60",43402
"23-Nov-2021","EQ","292.90","309.90","291.50","296.90","305.95","306.50","302.09","430.70","259.25",5075898,"1,533,396,928.95",50388
"22-Nov-2021","EQ","306.00","307.80","293.10","305.45","296.95","296.90","298.84","430.70","259.25",6095099,"1,821,459,377.20",51138
"18-Nov-2021","EQ","311.20","312.65","303.25","311.20","305.50","305.45","306.54","430.70","259.25",3442584,"1,055,289,841.30",50509
"17-Nov-2021","EQ","315.90","317.65","309.80","316.30","310.55","311.20","313.64","430.70","259.25",3309474,"1,037,980,727.65",53456
"16-Nov-2021","EQ","313.20","318.90","313.20","312.60","315.65","316.30","316.43","430.70","259.25",5542409,"1,753,794,363.35",61335
"15-Nov-2021","EQ","311.00","314.65","309.15","310.90","311.60","312.60","311.82","430.70","259.25",3239724,"1,010,197,453.05",34695
"12-Nov-2021","EQ","309.70","311.70","304.10","306.85","310.30","310.90","308.83","430.70","259.25",4369452,"1,349,417,292.65",43934
"11-Nov-2021","EQ","306.50","313.60","304.85","311.15","306.20","306.85","308.76","430.70","259.25",5963149,"1,841,168,719.65",55613
"10-Nov-2021","EQ","306.40","318.50","302.00","306.90","311.70","311.15","313.00","430.70","259.25",12423772,"3,888,675,854.25",117847
"09-Nov-2021","EQ","297.10","308.50","295.55","295.50","307.15","306.90","301.54","430.70","259.25",13258081,"3,997,803,876.45",80529
"08-Nov-2021","EQ","299.50","303.20","292.15","299.50","296.55","295.50","295.37","430.70","259.25",7635103,"2,255,204,585.95",72336
"04-Nov-2021","EQ","304.95","304.95","298.50","300.35","299.40","299.50","300.96","430.70","259.25",1326984,"399,368,742.40",18200
"03-Nov-2021","EQ","306.00","309.70","297.65","311.00","300.10","300.35","302.46","430.70","259.25",11919681,"3,605,247,574.25",118373
"02-Nov-2021","EQ","289.45","313.35","284.50","287.75","309.20","311.00","302.54","430.70","259.25",26684503,"8,073,184,163.70",196681
"01-Nov-2021","EQ","279.00","290.75","272.50","291.45","287.50","287.75","280.85","430.70","259.25",31131994,"8,743,388,973.90",278362
"29-Oct-2021","EQ","301.60","303.50","290.45","298.30","291.25","291.45","296.10","430.70","259.25",12331951,"3,651,486,255.65",127072
"28-Oct-2021","EQ","297.15","310.25","294.05","296.15","298.00","298.30","301.64","430.70","259.25",15471570,"4,666,834,826.35",187318
"27-Oct-2021","EQ","309.00","309.00","295.05","305.40","296.00","296.15","299.69","430.70","259.25",9366556,"2,807,049,323.40",100752
"26-Oct-2021","EQ","313.00","315.80","299.20","310.80","305.80","305.40","307.04","430.70","259.25",11208268,"3,441,351,266.90",112676
"25-Oct-2021","EQ","327.50","327.50","308.00","323.25","310.40","310.80","313.28","430.70","259.25",9470478,"2,966,940,638.15",87675
