"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","103.95","108.40","103.05","103.30","107.45","107.55","105.85","108.40","61.75",61044762,"6,461,778,677.15",161027
"28-Jan-2022","EQ","104.45","106.50","102.75","103.50","103.15","103.30","104.60","108.00","61.75",56977661,"5,960,020,135.40",157426
"27-Jan-2022","EQ","97.00","104.00","96.10","98.50","103.55","103.50","101.02","108.00","61.75",94518500,"9,548,715,208.15",257827
"25-Jan-2022","EQ","92.00","99.70","91.55","92.60","98.15","98.50","96.87","108.00","61.75",65620823,"6,356,895,398.90",156567
"24-Jan-2022","EQ","92.30","93.60","90.70","92.70","92.05","92.60","91.99","108.00","61.75",56181631,"5,168,423,747.05",119823
"21-Jan-2022","EQ","95.60","95.70","91.55","96.70","93.05","92.70","93.73","108.00","61.75",39203300,"3,674,434,232.90",93802
"20-Jan-2022","EQ","95.95","97.50","95.55","95.85","96.50","96.70","96.56","108.00","61.75",37096905,"3,582,239,410.85",96480
"19-Jan-2022","EQ","92.25","96.35","91.50","92.25","95.80","95.85","94.26","108.00","61.75",35333475,"3,330,708,606.30",86748
"18-Jan-2022","EQ","93.85","95.90","91.70","93.75","92.30","92.25","94.03","108.00","61.75",36750278,"3,455,650,152.50",97542
"17-Jan-2022","EQ","93.15","94.70","93.15","93.60","93.85","93.75","93.98","108.00","61.75",14506863,"1,363,363,702.25",46946
"14-Jan-2022","EQ","93.10","94.60","92.95","93.90","93.35","93.60","93.80","108.00","61.75",17230925,"1,616,265,599.40",54933
"13-Jan-2022","EQ","92.60","94.65","92.20","92.75","93.90","93.90","93.61","108.00","61.75",25289041,"2,367,358,275.75",60337
"12-Jan-2022","EQ","92.60","93.50","92.10","92.20","92.55","92.75","92.81","108.00","61.75",23947845,"2,222,607,799.85",62549
"11-Jan-2022","EQ","92.20","92.95","91.30","92.15","92.10","92.20","92.19","108.00","61.75",27427262,"2,528,628,796.30",82636
"10-Jan-2022","EQ","88.10","92.45","87.70","87.60","91.90","92.15","90.86","108.00","61.75",42535778,"3,864,962,661.35",137223
"07-Jan-2022","EQ","87.10","88.55","86.50","86.60","87.45","87.60","87.61","108.00","61.75",39877581,"3,493,555,831.95",77562
"06-Jan-2022","EQ","83.45","87.30","83.25","84.90","86.70","86.60","85.49","108.00","61.75",34206729,"2,924,370,882.80",71552
"05-Jan-2022","EQ","83.80","85.85","83.45","83.90","84.75","84.90","84.81","108.00","61.75",33925654,"2,877,382,299.85",71220
"04-Jan-2022","EQ","84.10","84.65","83.10","83.80","83.95","83.90","84.04","108.00","61.75",24456776,"2,055,244,849.90",52455
"03-Jan-2022","EQ","81.60","84.10","81.60","81.95","83.95","83.80","82.99","108.00","61.75",21177306,"1,757,513,921.50",51299
"31-Dec-2021","EQ","80.10","82.30","80.10","80.15","81.95","81.95","81.69","108.00","60.75",22468020,"1,835,460,039.35",51568
"30-Dec-2021","EQ","80.55","80.60","79.60","80.95","80.35","80.15","80.07","108.00","60.75",20421280,"1,635,158,681.70",46299
"29-Dec-2021","EQ","80.50","81.40","80.40","80.90","80.85","80.95","81.00","108.00","60.75",19184063,"1,553,858,457.15",51427
"28-Dec-2021","EQ","81.00","81.20","80.10","79.85","80.75","80.90","80.68","108.00","60.75",20504216,"1,654,313,162.55",56508
"27-Dec-2021","EQ","78.50","80.10","77.05","79.45","80.05","79.85","78.92","108.00","60.75",26525913,"2,093,535,768.90",61887
"24-Dec-2021","EQ","81.40","81.65","78.85","81.20","79.50","79.45","79.63","108.00","56.20",23406108,"1,863,724,838.35",61583
"23-Dec-2021","EQ","80.80","82.00","80.20","79.85","81.15","81.20","81.14","108.00","56.20",23073036,"1,872,060,440.20",61221
"22-Dec-2021","EQ","79.50","81.85","78.70","78.95","80.10","79.85","79.94","108.00","56.20",39202046,"3,133,875,744.50",107549
"21-Dec-2021","EQ","80.80","82.25","78.55","80.15","79.05","78.95","80.41","108.00","56.20",27610330,"2,220,031,691.45",77835
"20-Dec-2021","EQ","83.70","83.75","79.10","84.90","79.90","80.15","80.96","108.00","56.20",34196245,"2,768,622,712.45",111199
"17-Dec-2021","EQ","88.40","88.60","84.65","88.65","84.90","84.90","86.00","108.00","56.20",29601923,"2,545,753,441.65",82889
"16-Dec-2021","EQ","91.00","91.70","88.00","90.25","88.75","88.65","89.33","108.00","56.20",18541507,"1,656,221,437.40",51041
"15-Dec-2021","EQ","91.90","93.05","89.95","92.35","90.30","90.25","91.36","108.00","56.20",19024060,"1,737,962,906.00",45863
