"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","56.00","56.60","53.75","55.25","54.30","54.30","54.64","101.40","48.80",14917995,"815,168,943.20",26661
"28-Jan-2022","EQ","55.85","57.45","55.00","55.15","55.25","55.25","56.30","101.40","47.90",13957307,"785,823,149.15",32124
"27-Jan-2022","EQ","51.75","56.00","51.50","52.35","55.50","55.15","54.17","101.40","47.90",12318436,"667,252,218.35",29683
"25-Jan-2022","EQ","51.10","52.65","50.35","51.15","52.20","52.35","51.90","101.40","47.90",5523751,"286,695,689.35",14915
"24-Jan-2022","EQ","52.00","52.60","50.60","52.30","51.10","51.15","51.59","101.40","47.90",5174254,"266,962,774.20",15927
"21-Jan-2022","EQ","53.40","53.50","52.05","53.80","52.45","52.30","52.66","101.40","47.90",4196698,"221,004,040.85",13121
"20-Jan-2022","EQ","54.25","54.70","53.40","54.10","53.70","53.80","54.05","101.40","47.90",3742604,"202,282,264.50",9021
"19-Jan-2022","EQ","53.30","54.35","52.80","53.20","54.00","54.10","53.38","101.40","47.90",4250299,"226,898,463.80",11889
"18-Jan-2022","EQ","54.60","54.75","53.00","54.35","53.10","53.20","53.78","101.40","47.90",4661053,"250,654,077.60",12834
"17-Jan-2022","EQ","54.70","55.60","54.10","54.40","54.45","54.35","54.56","101.40","47.90",4734738,"258,345,344.25",11593
"14-Jan-2022","EQ","54.00","54.90","53.80","54.20","54.45","54.40","54.40","101.40","47.90",3221669,"175,249,245.00",7910
"13-Jan-2022","EQ","54.90","54.90","54.10","54.65","54.20","54.20","54.46","101.40","47.90",5021357,"273,477,172.60",10076
"12-Jan-2022","EQ","55.20","55.40","54.45","54.70","54.65","54.65","54.75","101.40","47.90",3600004,"197,097,852.65",9772
"11-Jan-2022","EQ","55.40","55.50","54.60","55.45","54.70","54.70","55.04","101.40","47.90",3094992,"170,343,291.80",9589
"10-Jan-2022","EQ","54.50","55.70","54.35","54.45","55.40","55.45","55.16","101.40","47.90",5548302,"306,055,158.70",15664
"07-Jan-2022","EQ","54.15","55.35","53.80","53.95","54.35","54.45","54.46","101.40","47.90",6613802,"360,191,197.55",16936
"06-Jan-2022","EQ","53.75","54.45","53.35","54.10","53.85","53.95","53.82","101.40","47.90",4967189,"267,314,578.50",12322
"05-Jan-2022","EQ","52.95","54.25","52.70","52.95","54.10","54.10","53.68","101.40","47.90",5343001,"286,824,895.15",13341
"04-Jan-2022","EQ","52.90","53.30","52.30","52.65","53.10","52.95","52.87","101.40","47.90",4090067,"216,258,519.30",9803
"03-Jan-2022","EQ","51.65","52.80","51.40","51.40","52.65","52.65","52.16","101.40","47.90",4204439,"219,297,278.10",12415
"31-Dec-2021","EQ","50.45","51.60","50.40","50.85","51.45","51.40","51.33","101.40","47.90",2777199,"142,549,681.65",8771
"30-Dec-2021","EQ","51.40","51.50","50.80","51.35","50.90","50.85","51.02","101.40","47.90",2802538,"142,977,551.20",9758
"29-Dec-2021","EQ","51.45","52.00","51.15","51.35","51.25","51.35","51.47","101.40","47.90",3053199,"157,150,587.65",13585
"28-Dec-2021","EQ","51.30","51.60","50.85","51.10","51.30","51.35","51.32","101.40","47.90",3332730,"171,026,973.80",11583
"27-Dec-2021","EQ","51.00","51.45","50.40","51.55","51.15","51.10","51.07","101.40","47.90",3252759,"166,128,454.80",10287
"24-Dec-2021","EQ","53.15","53.15","51.35","52.70","51.55","51.55","51.79","101.40","45.10",3560899,"184,417,663.15",10395
"23-Dec-2021","EQ","52.05","53.10","51.80","51.55","52.65","52.70","52.50","101.40","45.10",3880884,"203,754,092.55",13016
"22-Dec-2021","EQ","51.00","51.95","51.00","50.80","51.70","51.55","51.50","101.40","45.10",3641393,"187,528,103.55",11358
"21-Dec-2021","EQ","50.40","51.60","50.00","49.55","50.90","50.80","51.01","101.40","45.10",4840284,"246,925,876.40",13926
"20-Dec-2021","EQ","52.40","52.40","48.80","52.70","49.80","49.55","50.04","101.40","45.10",8348746,"417,789,157.85",31405
"17-Dec-2021","EQ","54.80","55.10","52.30","54.85","52.55","52.70","53.36","101.40","45.10",6252100,"333,639,963.55",18857
"16-Dec-2021","EQ","56.30","56.35","54.55","55.75","54.95","54.85","55.15","101.40","45.10",3348844,"184,700,526.90",11551
"15-Dec-2021","EQ","56.15","56.60","55.40","56.15","55.90","55.75","56.19","101.40","45.10",2450234,"137,685,833.70",9683
"14-Dec-2021","EQ","56.75","57.05","56.00","57.25","56.20","56.15","56.56","101.40","45.10",5048826,"285,572,507.85",12784
"13-Dec-2021","EQ","57.90","58.80","57.05","57.20","57.45","57.25","57.77","101.40","45.10",5895670,"340,590,528.00",19670
"10-Dec-2021","EQ","55.00","57.50","54.75","54.85","57.40","57.20","56.30","101.40","45.10",9649608,"543,258,713.90",28634
"09-Dec-2021","EQ","55.10","55.50","54.50","54.80","54.85","54.85","55.02","101.40","45.10",4716248,"259,485,553.80",14396
"08-Dec-2021","EQ","54.35","55.25","54.20","53.95","54.75","54.80","54.76","101.40","45.10",5244866,"287,216,622.45",15605
"07-Dec-2021","EQ","54.25","54.50","53.85","53.75","54.00","53.95","54.11","101.40","45.10",4130803,"223,497,989.25",18804
"06-Dec-2021","EQ","54.45","54.60","53.65","54.10","53.70","53.75","54.16","101.40","45.10",3721794,"201,563,344.35",13243
"03-Dec-2021","EQ","54.50","55.10","54.00","54.35","54.25","54.10","54.44","101.40","45.10",4572992,"248,945,200.30",22058
"02-Dec-2021","EQ","54.10","54.70","53.55","54.10","54.50","54.35","54.07","101.40","45.10",5969700,"322,754,982.10",18679
