"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","2,099.00","2,122.00","2,056.60","2,072.75","2,065.00","2,064.05","2,088.19","2,262.00","1,263.60",672351,"1,403,994,690.55",34207
"28-Jan-2022","EQ","1,975.80","2,089.95","1,970.00","1,955.90","2,080.00","2,072.75","2,066.58","2,262.00","1,263.60",896304,"1,852,279,924.25",41516
"27-Jan-2022","EQ","2,009.55","2,009.55","1,911.35","2,029.80","1,955.00","1,955.90","1,946.67","2,262.00","1,263.60",525187,"1,022,368,299.80",38788
"25-Jan-2022","EQ","1,919.00","2,054.50","1,872.15","1,931.90","2,017.85","2,029.80","1,996.01","2,262.00","1,263.60",1139726,"2,274,902,330.95",47677
"24-Jan-2022","EQ","2,015.50","2,028.20","1,909.05","2,028.60","1,932.00","1,931.90","1,945.90","2,262.00","1,263.60",423414,"823,922,427.00",42864
"21-Jan-2022","EQ","2,059.00","2,078.95","2,003.00","2,052.55","2,030.00","2,028.60","2,052.79","2,262.00","1,263.60",1262475,"2,591,594,680.15",70036
"20-Jan-2022","EQ","2,030.00","2,067.95","2,025.00","2,030.90","2,065.00","2,052.55","2,039.03","2,262.00","1,263.60",487144,"993,303,326.60",22525
"19-Jan-2022","EQ","1,980.00","2,042.30","1,963.65","1,981.00","2,030.00","2,030.90","2,020.95","2,262.00","1,263.60",598112,"1,208,756,322.15",30594
"18-Jan-2022","EQ","2,049.80","2,056.35","1,970.00","2,041.50","1,975.65","1,981.00","2,008.23","2,262.00","1,263.60",422382,"848,240,234.60",24508
"17-Jan-2022","EQ","2,010.00","2,051.50","2,007.15","2,000.95","2,043.00","2,041.50","2,032.73","2,262.00","1,263.60",544536,"1,106,894,892.90",35484
"14-Jan-2022","EQ","1,975.00","2,015.00","1,954.95","1,980.25","2,000.00","2,000.95","1,999.34","2,262.00","1,263.60",385563,"770,872,037.90",20014
"13-Jan-2022","EQ","1,982.85","1,992.00","1,960.05","1,983.60","1,982.90","1,980.25","1,975.92","2,262.00","1,263.60",305542,"603,728,036.65",18582
"12-Jan-2022","EQ","1,933.00","1,987.65","1,925.45","1,921.40","1,978.65","1,983.60","1,963.24","2,262.00","1,263.60",811194,"1,592,572,109.65",34631
"11-Jan-2022","EQ","1,920.00","1,938.70","1,907.45","1,916.40","1,925.00","1,921.40","1,925.74","2,262.00","1,263.60",422485,"813,595,567.90",22969
"10-Jan-2022","EQ","1,870.00","1,927.00","1,869.00","1,869.50","1,919.80","1,916.40","1,910.35","2,262.00","1,263.60",557804,"1,065,598,324.50",37705
"07-Jan-2022","EQ","1,862.90","1,874.95","1,835.45","1,856.95","1,863.50","1,869.50","1,857.81","2,262.00","1,263.60",661422,"1,228,794,477.15",25377
"06-Jan-2022","EQ","1,801.00","1,863.55","1,776.15","1,813.80","1,858.90","1,856.95","1,820.30","2,262.00","1,263.60",785904,"1,430,583,507.45",40693
"05-Jan-2022","EQ","1,845.55","1,852.00","1,810.00","1,845.55","1,814.80","1,813.80","1,817.91","2,262.00","1,263.60",464891,"845,130,204.60",21486
"04-Jan-2022","EQ","1,865.55","1,874.00","1,834.25","1,859.10","1,846.00","1,845.55","1,854.82","2,262.00","1,263.60",225583,"418,416,283.45",11542
"03-Jan-2022","EQ","1,871.65","1,883.70","1,852.20","1,871.65","1,858.00","1,859.10","1,868.07","2,262.00","1,263.60",583390,"1,089,814,759.55",14652
"31-Dec-2021","EQ","1,820.00","1,892.85","1,820.00","1,817.10","1,871.00","1,871.65","1,864.11","2,262.00","1,263.60",723678,"1,349,017,907.05",30413
"30-Dec-2021","EQ","1,812.00","1,838.00","1,796.00","1,810.50","1,830.00","1,817.10","1,810.57","2,262.00","1,263.60",421693,"763,506,695.80",12762
"29-Dec-2021","EQ","1,830.00","1,835.50","1,795.00","1,826.25","1,810.60","1,810.50","1,804.84","2,262.00","1,263.60",446666,"806,161,626.60",16977
"28-Dec-2021","EQ","1,821.00","1,843.95","1,815.40","1,821.00","1,830.00","1,826.25","1,830.63","2,262.00","1,263.60",217410,"397,997,902.40",11390
"27-Dec-2021","EQ","1,810.00","1,824.60","1,785.95","1,825.65","1,820.10","1,821.00","1,805.91","2,262.00","1,263.60",360302,"650,673,623.85",17811
"24-Dec-2021","EQ","1,860.00","1,864.95","1,820.20","1,857.55","1,823.65","1,825.65","1,838.93","2,262.00","1,263.60",171481,"315,341,230.60",10081
"23-Dec-2021","EQ","1,856.90","1,867.30","1,840.00","1,835.35","1,855.00","1,857.55","1,852.06","2,262.00","1,263.60",195325,"361,753,093.70",9927
"22-Dec-2021","EQ","1,828.90","1,857.80","1,814.00","1,817.15","1,841.90","1,835.35","1,828.59","2,262.00","1,263.60",389448,"712,141,072.05",17989
