"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","214.70","219.75","207.65","207.10","209.90","209.70","210.19","228.00","115.85",17925420,"3,767,694,493.55",113020
"28-Jan-2022","EQ","206.75","211.00","205.35","204.90","207.85","207.10","208.47","228.00","115.85",8222111,"1,714,045,558.55",75706
"27-Jan-2022","EQ","201.90","206.30","198.15","204.20","204.95","204.90","203.21","228.00","115.85",7933437,"1,612,115,672.10",65657
"25-Jan-2022","EQ","196.30","205.50","194.20","197.30","204.50","204.20","202.75","228.00","115.85",9906114,"2,008,428,712.05",71307
"24-Jan-2022","EQ","206.95","208.75","195.05","206.95","196.40","197.30","200.24","228.00","115.85",6675179,"1,336,610,057.70",60166
"21-Jan-2022","EQ","211.40","211.65","205.00","212.35","206.90","206.95","208.61","228.00","115.85",5907966,"1,232,461,838.90",44470
"20-Jan-2022","EQ","209.00","212.80","207.45","208.15","212.35","212.35","209.94","228.00","115.85",6759397,"1,419,085,125.05",53099
"19-Jan-2022","EQ","209.15","210.40","205.00","208.35","208.40","208.15","207.36","228.00","115.85",10126239,"2,099,809,764.50",99258
"18-Jan-2022","EQ","218.30","218.50","207.60","216.50","209.65","208.35","211.95","228.00","115.85",5979925,"1,267,461,857.90",94614
"17-Jan-2022","EQ","222.00","222.80","215.80","220.10","216.80","216.50","218.75","228.00","115.85",9614296,"2,103,107,774.45",81370
"14-Jan-2022","EQ","209.10","222.10","208.40","209.55","221.50","220.10","216.56","228.00","115.85",9154550,"1,982,511,032.60",69273
"13-Jan-2022","EQ","211.90","212.30","207.25","210.60","209.80","209.55","209.41","228.00","115.85",4048229,"847,731,824.00",58596
"12-Jan-2022","EQ","211.00","211.95","208.80","210.45","210.50","210.60","209.97","228.00","115.85",2598248,"545,552,978.40",42150
"11-Jan-2022","EQ","211.00","212.15","208.55","210.85","210.00","210.45","209.90","228.00","115.85",3340706,"701,200,934.40",47977
"10-Jan-2022","EQ","208.95","211.50","208.00","208.05","211.30","210.85","209.51","228.00","115.85",3136299,"657,089,252.35",35545
"07-Jan-2022","EQ","211.90","213.95","207.50","211.90","208.30","208.05","209.89","228.00","115.85",4324988,"907,767,724.40",31800
"06-Jan-2022","EQ","211.00","213.15","210.60","213.30","212.00","211.90","212.06","228.00","115.85",2940305,"623,517,533.00",24498
"05-Jan-2022","EQ","215.75","216.90","212.60","216.15","213.00","213.30","214.62","228.00","115.85",3985837,"855,424,270.45",37340
"04-Jan-2022","EQ","212.50","219.05","211.20","211.25","216.00","216.15","215.78","228.00","115.85",10445579,"2,253,943,185.60",86574
"03-Jan-2022","EQ","209.75","212.20","209.50","209.95","211.15","211.25","211.24","228.00","115.85",2991447,"631,902,481.45",27211
"31-Dec-2021","EQ","210.00","213.00","208.60","209.95","209.55","209.95","210.47","228.00","113.40",4227729,"889,812,241.65",27806
"30-Dec-2021","EQ","209.80","212.40","205.00","209.70","211.65","209.95","209.01","228.00","113.40",14065285,"2,939,776,917.80",85224
"29-Dec-2021","EQ","206.90","212.90","206.90","207.05","209.30","209.70","210.09","228.00","113.40",8321687,"1,748,305,751.10",75215
"28-Dec-2021","EQ","208.80","209.10","205.50","206.95","206.90","207.05","207.27","228.00","113.40",3457367,"716,607,879.95",18736
"27-Dec-2021","EQ","204.00","207.45","201.50","204.05","206.95","206.95","205.59","228.00","113.40",2892320,"594,617,652.90",26687
"24-Dec-2021","EQ","208.20","208.70","202.40","208.90","204.30","204.05","204.51","228.00","106.35",3061075,"626,011,819.15",35111
"23-Dec-2021","EQ","204.40","209.75","204.40","203.40","208.35","208.90","207.39","228.00","106.35",2901279,"601,700,976.65",27040
"22-Dec-2021","EQ","200.50","204.20","200.50","199.50","203.50","203.40","202.84","228.00","106.35",2981329,"604,719,876.55",34985
"21-Dec-2021","EQ","195.40","201.45","195.40","195.25","199.50","199.50","198.85","228.00","106.35",3628062,"721,445,099.10",29663
"20-Dec-2021","EQ","200.90","200.90","191.65","201.30","195.00","195.25","195.85","228.00","106.35",5611781,"1,099,081,620.50",39609
"17-Dec-2021","EQ","207.75","208.15","200.30","207.20","201.30","201.30","202.75","228.00","106.35",4183111,"848,116,340.60",33557
"16-Dec-2021","EQ","209.00","210.80","205.55","208.00","207.10","207.20","208.60","228.00","106.35",7736652,"1,613,853,265.45",39572
"15-Dec-2021","EQ","209.50","210.35","206.40","209.80","207.75","208.00","207.95","228.00","106.35",4677227,"972,634,085.75",41946
"14-Dec-2021","EQ","209.40","212.90","208.65","208.95","209.15","209.80","210.55","228.00","106.35",6479571,"1,364,300,990.90",93584
"13-Dec-2021","EQ","206.80","211.40","206.20","205.55","208.75","208.95","209.45","228.00","106.35",9008280,"1,886,787,199.65",68650
"10-Dec-2021","EQ","207.60","210.85","205.10","207.75","205.70","205.55","206.74","228.00","106.35",6092118,"1,259,476,960.75",28863
"09-Dec-2021","EQ","206.10","209.35","204.20","208.95","208.10","207.75","206.18","228.00","106.35",4098041,"844,940,357.00",30560
"08-Dec-2021","EQ","211.05","212.95","208.30","210.40","209.10","208.95","210.35","228.00","106.35",3154142,"663,475,581.90",31331
"07-Dec-2021","EQ","209.40","214.70","208.20","207.85","210.10","210.40","211.19","228.00","106.35",7758408,"1,638,511,775.40",64840
"06-Dec-2021","EQ","206.65","211.20","206.65","206.65","207.65","207.85","209.32","228.00","106.35",4917241,"1,029,260,185.70",44094
"03-Dec-2021","EQ","205.85","209.80","205.60","205.90","206.25","206.65","207.63","228.00","106.35",4160477,"863,842,229.45",26535
"02-Dec-2021","EQ","204.10","206.80","202.25","205.85","205.60","205.90","204.81","228.00","106.35",4409459,"903,095,594.20",35445
"01-Dec-2021","EQ","204.00","206.30","201.50","203.75","205.15","205.85","204.27","228.00","106.35",4712028,"962,504,007.90",43735
"30-Nov-2021","EQ","197.25","205.30","197.20","197.25","203.25","203.75","203.37","228.00","106.35",10758021,"2,187,855,337.95",56078
"29-Nov-2021","EQ","196.25","201.30","188.80","198.20","196.60","197.25","196.87","228.00","106.35",4950197,"974,542,073.80",51935
"26-Nov-2021","EQ","208.50","210.35","196.60","211.65","197.80","198.20","202.35","228.00","104.50",7627123,"1,543,375,305.05",67379
"25-Nov-2021","EQ","208.35","212.60","205.65","208.35","212.40","211.65","209.23","228.00","104.50",3291823,"688,749,464.50",24260
"24-Nov-2021","EQ","212.10","212.95","207.00","211.00","207.30","208.35","209.72","228.00","104.50",3826105,"802,423,282.75",38985
"23-Nov-2021","EQ","203.50","211.65","202.70","203.00","211.60","211.00","207.86","228.00","104.50",5696442,"1,184,049,033.00",58453
"22-Nov-2021","EQ","209.90","210.40","200.75","208.85","203.45","203.00","205.31","228.00","104.50",5747742,"1,180,094,202.95",46768
"18-Nov-2021","EQ","215.55","217.50","208.40","215.45","209.10","208.85","214.16","228.00","95.70",9588714,"2,053,554,095.95",42641
"17-Nov-2021","EQ","217.70","217.80","213.05","217.80","215.15","215.45","215.64","228.00","95.70",6028202,"1,299,894,313.50",42834
"16-Nov-2021","EQ","222.45","224.00","216.70","222.65","217.95","217.80","220.80","228.00","95.70",2676906,"591,056,276.80",29366
