"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","729.90","740.00","720.00","726.40","723.95","722.40","729.10","872.95","675.05",488148,"355,907,043.15",34451
"28-Jan-2022","EQ","720.00","739.45","719.50","714.20","726.95","726.40","731.74","872.95","675.05",523132,"382,799,077.90",22997
"27-Jan-2022","EQ","720.40","723.00","703.80","727.05","714.30","714.20","712.52","872.95","675.05",478070,"340,635,956.95",35426
"25-Jan-2022","EQ","713.45","729.65","694.05","713.45","728.00","727.05","717.12","872.95","675.05",578649,"414,958,285.10",26945
"24-Jan-2022","EQ","749.10","749.10","707.35","744.75","714.35","713.45","724.16","872.95","675.05",701088,"507,697,470.45",36903
"21-Jan-2022","EQ","745.00","751.00","736.65","744.70","747.00","744.75","745.74","872.95","675.05",630202,"469,966,158.90",23157
"20-Jan-2022","EQ","748.80","754.20","736.65","748.45","741.50","744.70","744.53","872.95","675.05",597148,"444,593,806.15",31969
"19-Jan-2022","EQ","758.80","760.50","743.35","761.15","750.00","748.45","751.22","872.95","675.05",317763,"238,709,689.05",16837
"18-Jan-2022","EQ","775.90","780.90","759.10","775.90","762.85","761.15","769.23","872.95","675.05",282888,"217,606,829.50",14819
"17-Jan-2022","EQ","766.00","778.70","758.55","771.35","772.65","775.90","769.15","872.95","675.05",400387,"307,958,423.45",18387
"14-Jan-2022","EQ","783.00","784.85","766.00","781.95","771.00","771.35","772.24","872.95","675.05",329564,"254,503,919.95",17485
"13-Jan-2022","EQ","790.00","793.05","778.75","788.90","783.00","781.95","786.10","872.95","675.05",420171,"330,297,663.95",19581
"12-Jan-2022","EQ","789.00","790.80","781.25","786.20","788.00","788.90","786.45","872.95","675.05",258400,"203,219,495.35",25744
"11-Jan-2022","EQ","783.50","794.95","783.00","783.95","787.00","786.20","786.35","872.95","675.05",320811,"252,271,175.95",29833
"10-Jan-2022","EQ","793.75","799.45","782.00","790.75","783.00","783.95","787.94","872.95","675.05",318891,"251,266,664.15",17477
"07-Jan-2022","EQ","781.50","793.50","778.00","780.60","790.00","790.75","787.36","872.95","675.05",384382,"302,646,795.30",14629
"06-Jan-2022","EQ","785.00","786.55","775.35","789.75","781.00","780.60","781.90","872.95","675.05",338280,"264,501,937.45",19308
"05-Jan-2022","EQ","787.45","792.95","778.55","784.45","789.10","789.75","786.96","872.95","675.05",467130,"367,611,730.10",19895
"04-Jan-2022","EQ","780.00","786.20","768.35","776.40","785.00","784.45","780.07","872.95","675.05",408559,"318,705,483.90",18408
"03-Jan-2022","EQ","772.30","783.30","767.00","771.75","776.00","776.40","774.41","872.95","675.05",304157,"235,543,212.75",13426
"31-Dec-2021","EQ","764.85","781.00","757.20","759.55","772.30","771.75","772.46","872.95","675.05",1040093,"803,431,234.10",26850
"30-Dec-2021","EQ","748.00","765.65","748.00","752.20","761.20","759.55","757.56","872.95","675.05",628625,"476,222,711.40",16777
"29-Dec-2021","EQ","755.80","759.85","750.00","752.60","754.30","752.20","755.26","872.95","675.05",351601,"265,551,803.65",11955
"28-Dec-2021","EQ","746.90","754.95","744.45","746.25","752.50","752.60","751.68","872.95","675.05",258497,"194,306,127.50",13760
"27-Dec-2021","EQ","740.90","748.05","732.25","740.90","747.50","746.25","740.61","872.95","675.05",241926,"179,173,709.40",10385
"24-Dec-2021","EQ","751.55","755.65","739.00","750.55","740.00","740.90","745.87","872.95","675.05",250167,"186,592,293.00",11782
"23-Dec-2021","EQ","750.00","753.45","745.00","746.20","751.05","750.55","749.46","872.95","675.05",224013,"167,888,166.40",12933
"22-Dec-2021","EQ","747.00","753.00","740.60","743.40","747.95","746.20","747.52","872.95","675.05",1090789,"815,389,042.20",29020
"21-Dec-2021","EQ","743.00","753.00","740.20","739.45","744.00","743.40","746.14","872.95","675.05",239091,"178,394,968.00",11702
"20-Dec-2021","EQ","752.55","752.55","728.30","753.25","738.85","739.45","736.00","872.95","675.05",571359,"420,519,240.55",30211
"17-Dec-2021","EQ","761.00","763.75","751.40","760.80","754.55","753.25","755.63","872.95","675.00",784150,"592,527,425.60",18459
"16-Dec-2021","EQ","762.10","766.40","756.55","759.25","761.40","760.80","762.56","872.95","675.00",454200,"346,353,616.80",17493
"15-Dec-2021","EQ","751.00","762.60","751.00","756.85","758.40","759.25","756.82","872.95","675.00",213938,"161,913,224.10",10027
"14-Dec-2021","EQ","755.50","759.40","747.60","755.50","755.35","756.85","754.05","872.95","675.00",415526,"313,328,905.10",19504
"13-Dec-2021","EQ","765.00","768.00","752.25","762.50","757.85","755.50","760.40","872.95","675.00",467776,"355,695,550.00",20948
"10-Dec-2021","EQ","745.80","765.00","740.90","742.45","762.00","762.50","759.01","872.95","662.55",878950,"667,136,070.55",31160
"09-Dec-2021","EQ","754.80","754.80","740.70","747.90","744.00","742.45","744.60","872.95","662.55",906795,"675,199,683.20",24244
"08-Dec-2021","EQ","743.00","749.75","736.80","736.20","748.00","747.90","743.45","872.95","662.55",600959,"446,782,134.95",19423
"07-Dec-2021","EQ","727.15","737.90","727.00","725.80","737.85","736.20","733.89","872.95","662.55",657014,"482,173,553.50",35697
"06-Dec-2021","EQ","733.80","733.80","721.00","729.95","726.40","725.80","725.91","872.95","662.55",826430,"599,916,690.10",42626
"03-Dec-2021","EQ","744.00","751.00","728.00","743.55","729.70","729.95","739.00","872.95","647.10",643321,"475,413,469.50",32017
"02-Dec-2021","EQ","748.00","752.90","733.55","740.95","743.00","743.55","742.05","872.95","647.10",1124671,"834,565,015.80",42588
"01-Dec-2021","EQ","757.90","757.90","738.40","751.75","742.00","740.95","747.20","872.95","647.10",642858,"480,343,741.90",26834
"30-Nov-2021","EQ","740.25","768.95","739.20","740.25","751.70","751.75","753.73","872.95","647.10",3106916,"2,341,768,048.75",53654
"29-Nov-2021","EQ","756.00","763.15","737.15","762.10","741.95","740.25","748.52","872.95","647.10",1100970,"824,102,674.80",38852
