"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","737.80","744.00","729.30","728.90","736.00","735.00","736.62","847.95","555.75",913742,"673,079,600.00",33315
"28-Jan-2022","EQ","722.80","748.95","721.95","719.00","727.95","728.90","738.43","847.95","555.75",864318,"638,235,076.95",22937
"27-Jan-2022","EQ","726.85","728.65","703.45","729.30","717.85","719.00","715.54","847.95","555.75",1167077,"835,091,144.30",42351
"25-Jan-2022","EQ","715.00","733.65","705.05","718.90","730.45","729.30","719.05","847.95","555.75",926048,"665,873,595.35",38787
"24-Jan-2022","EQ","735.00","740.40","710.00","740.40","717.00","718.90","722.33","847.95","555.75",1334962,"964,289,707.90",62386
"21-Jan-2022","EQ","747.00","755.80","732.00","750.20","742.50","740.40","743.27","847.95","555.75",1316006,"978,150,214.40",33453
"20-Jan-2022","EQ","762.10","763.15","742.50","758.35","752.50","750.20","750.12","847.95","555.75",687357,"515,598,047.00",32202
"19-Jan-2022","EQ","757.00","764.00","748.95","761.15","758.15","758.35","756.21","847.95","555.75",627399,"474,444,420.25",20728
"18-Jan-2022","EQ","778.00","779.60","755.20","775.50","758.30","761.15","767.36","847.95","555.75",1330065,"1,020,644,619.80",40705
"17-Jan-2022","EQ","782.00","787.50","770.10","781.10","775.40","775.50","776.41","847.95","555.75",1070495,"831,145,093.05",23005
"14-Jan-2022","EQ","764.00","784.00","761.00","768.00","780.00","781.10","775.49","847.95","555.75",1183085,"917,471,438.05",24454
"13-Jan-2022","EQ","760.00","771.20","756.20","760.50","766.95","768.00","765.08","847.95","555.75",942527,"721,112,310.65",25792
"12-Jan-2022","EQ","744.00","765.75","735.65","769.70","758.90","760.50","754.61","847.95","555.75",3136263,"2,366,652,729.65",80719
"11-Jan-2022","EQ","767.00","773.10","763.05","767.50","769.70","769.70","768.83","847.95","555.75",861216,"662,129,224.15",36646
"10-Jan-2022","EQ","749.10","769.00","749.10","748.30","764.30","767.50","763.44","847.95","555.75",1134669,"866,252,865.50",29401
"07-Jan-2022","EQ","747.70","755.45","742.75","748.95","745.50","748.30","749.14","847.95","534.20",1144890,"857,683,545.90",36330
"06-Jan-2022","EQ","720.00","751.55","715.00","721.00","747.70","748.95","737.35","847.95","534.20",2639418,"1,946,163,316.10",54569
"05-Jan-2022","EQ","723.80","725.00","713.00","717.00","721.50","721.00","719.56","847.95","534.20",1426330,"1,026,326,736.60",35831
"04-Jan-2022","EQ","712.00","723.00","710.75","710.90","716.95","717.00","717.09","847.95","534.20",1192385,"855,052,564.60",35259
"03-Jan-2022","EQ","697.50","714.35","697.50","697.85","709.70","710.90","709.48","847.95","534.20",1177051,"835,094,848.50",32949
"31-Dec-2021","EQ","694.15","702.85","692.10","693.90","697.20","697.85","698.45","847.95","513.35",1117696,"780,657,295.75",45063
"30-Dec-2021","EQ","700.00","701.45","690.30","701.75","694.00","693.90","695.75","847.95","513.35",661932,"460,542,263.90",32582
"29-Dec-2021","EQ","701.95","706.00","695.70","702.05","700.00","701.75","700.75","847.95","513.35",578098,"405,103,238.15",21619
"28-Dec-2021","EQ","689.95","703.00","687.25","687.00","702.60","702.05","695.88","847.95","513.35",865783,"602,481,906.35",34139
