"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","390.00","399.80","387.95","382.50","396.85","397.05","395.83","503.00","357.40",6964092,"2,756,581,458.30",87301
"28-Jan-2022","EQ","384.95","393.50","381.35","382.20","383.95","382.50","388.00","503.00","357.40",4044959,"1,569,450,940.50",62241
"27-Jan-2022","EQ","385.00","385.25","375.00","382.55","381.90","382.20","379.74","503.00","357.40",5737395,"2,178,694,310.25",92808
"25-Jan-2022","EQ","372.10","383.80","368.00","373.10","382.00","382.55","378.24","503.00","357.40",4952650,"1,873,286,866.15",98262
"24-Jan-2022","EQ","381.40","383.85","370.10","381.70","373.05","373.10","376.58","503.00","357.40",5334037,"2,008,713,086.35",83497
"21-Jan-2022","EQ","393.80","396.05","380.00","393.05","382.00","381.70","386.76","503.00","357.40",5155269,"1,993,853,243.05",98629
"20-Jan-2022","EQ","395.00","397.55","390.20","394.35","393.65","393.05","394.01","503.00","357.40",3247617,"1,279,586,756.10",66317
"19-Jan-2022","EQ","396.00","401.50","393.00","398.10","393.95","394.35","396.52","503.00","357.40",5173988,"2,051,591,159.30",92891
"18-Jan-2022","EQ","401.80","406.90","396.35","400.55","399.00","398.10","403.45","503.00","357.40",6610248,"2,666,920,351.40",103625
"17-Jan-2022","EQ","401.00","404.40","398.60","398.45","400.35","400.55","401.84","503.00","357.40",4835805,"1,943,233,616.35",93109
"14-Jan-2022","EQ","395.00","399.95","392.50","394.50","398.60","398.45","397.38","503.00","357.40",3457752,"1,374,048,145.75",54464
"13-Jan-2022","EQ","390.20","397.55","387.25","388.70","395.00","394.50","391.31","503.00","357.40",4245712,"1,661,396,434.00",85055
"12-Jan-2022","EQ","394.50","395.95","386.55","391.15","387.90","388.70","390.06","503.00","357.40",4623410,"1,803,417,855.75",96011
"11-Jan-2022","EQ","398.80","398.80","390.15","397.55","391.00","391.15","392.86","503.00","357.40",3427008,"1,346,338,434.90",76189
"10-Jan-2022","EQ","399.00","399.70","395.60","396.20","397.20","397.55","397.39","503.00","357.40",2089864,"830,494,224.00",39407
"07-Jan-2022","EQ","398.00","402.90","395.00","395.80","396.00","396.20","397.98","503.00","357.40",5957213,"2,370,858,641.75",77591
"06-Jan-2022","EQ","396.00","396.65","390.60","394.70","396.40","395.80","393.60","503.00","357.40",4118574,"1,621,089,060.55",53212
"05-Jan-2022","EQ","384.95","396.50","383.45","385.95","395.85","394.70","390.93","503.00","357.40",6741998,"2,635,669,487.60",66150
"04-Jan-2022","EQ","388.00","393.75","384.75","386.10","385.60","385.95","388.18","503.00","357.40",5899648,"2,290,132,342.35",69656
"03-Jan-2022","EQ","384.00","387.00","384.00","385.45","387.00","386.10","385.86","503.00","357.40",3234192,"1,247,955,801.50",36696
"31-Dec-2021","EQ","376.50","387.40","376.50","377.95","385.50","385.45","384.82","503.00","357.40",3890328,"1,497,076,500.45",54966
"30-Dec-2021","EQ","384.00","385.30","376.00","381.10","378.00","377.95","379.37","503.00","357.40",6085707,"2,308,726,620.30",70762
"29-Dec-2021","EQ","381.00","382.85","377.15","380.40","381.30","381.10","380.14","503.00","357.40",4130329,"1,570,114,418.85",40839
"28-Dec-2021","EQ","375.80","381.40","375.00","374.40","381.25","380.40","378.53","503.00","357.40",3224743,"1,220,673,126.00",40129
"27-Dec-2021","EQ","370.95","375.15","367.50","372.15","374.05","374.40","371.93","503.00","357.40",2316330,"861,503,611.20",35695
"24-Dec-2021","EQ","379.20","379.20","370.30","377.35","372.15","372.15","372.35","503.00","357.00",3143785,"1,170,589,200.10",45442
"23-Dec-2021","EQ","374.80","378.25","372.00","372.45","377.00","377.35","375.22","503.00","357.00",5346933,"2,006,267,473.60",59956
"22-Dec-2021","EQ","366.00","373.80","365.20","364.20","372.75","372.45","370.58","503.00","357.00",5022622,"1,861,297,370.65",57287
"21-Dec-2021","EQ","364.40","365.90","357.40","360.00","364.60","364.20","363.03","503.00","357.00",6427779,"2,333,489,005.55",99111
"20-Dec-2021","EQ","380.85","380.85","359.00","384.70","359.75","360.00","366.14","503.00","357.00",11255280,"4,120,960,934.80",136706
"17-Dec-2021","EQ","393.00","394.55","382.10","391.05","385.65","384.70","384.96","503.00","357.00",8024861,"3,089,259,172.55",72956
"16-Dec-2021","EQ","386.50","392.00","384.45","384.30","391.85","391.05","388.36","503.00","357.00",3954683,"1,535,846,740.70",61020
"15-Dec-2021","EQ","391.00","392.40","383.10","391.65","385.20","384.30","387.11","503.00","357.00",5557592,"2,151,402,984.55",91075
"14-Dec-2021","EQ","392.95","392.95","389.10","392.35","391.00","391.65","390.61","503.00","357.00",3291399,"1,285,658,131.90",52686
"13-Dec-2021","EQ","398.95","400.50","391.05","396.95","392.70","392.35","394.54","503.00","357.00",2599708,"1,025,694,225.35",47303
"10-Dec-2021","EQ","393.50","397.90","391.00","393.75","397.20","396.95","396.07","503.00","357.00",2282959,"904,212,004.50",40491
"09-Dec-2021","EQ","394.25","401.50","392.30","391.15","393.90","393.75","397.01","503.00","357.00",6485041,"2,574,595,058.60",97933
"08-Dec-2021","EQ","389.50","392.25","389.15","387.80","391.45","391.15","391.01","503.00","357.00",3593664,"1,405,155,046.60",35610
"07-Dec-2021","EQ","385.90","388.75","385.25","383.45","388.00","387.80","387.43","503.00","357.00",3637703,"1,409,344,719.45",46121
"06-Dec-2021","EQ","387.35","389.40","381.00","385.90","384.05","383.45","385.38","503.00","357.00",4459906,"1,718,769,580.30",85296
"03-Dec-2021","EQ","382.50","388.40","381.30","378.85","386.00","385.90","385.66","503.00","357.00",8656623,"3,338,539,840.30",128035
"02-Dec-2021","EQ","370.00","379.95","369.05","368.75","379.75","378.85","377.11","503.00","357.00",6224888,"2,347,468,932.65",136232
"01-Dec-2021","EQ","372.75","375.95","365.80","370.00","369.70","368.75","369.32","503.00","357.00",6528783,"2,411,195,381.00",108877
"30-Nov-2021","EQ","370.00","379.50","368.00","367.45","368.00","370.00","372.61","503.00","357.00",9196735,"3,426,763,772.50",143799
"29-Nov-2021","EQ","379.00","380.00","367.00","376.85","367.20","367.45","370.47","503.00","357.00",7518776,"2,785,458,269.15",114146
"26-Nov-2021","EQ","397.15","397.20","375.00","400.10","377.40","376.85","382.65","503.00","357.00",10023331,"3,835,453,300.05",186535
"25-Nov-2021","EQ","404.00","404.40","398.00","403.35","400.90","400.10","400.43","503.00","357.00",3161909,"1,266,136,065.55",51464
"24-Nov-2021","EQ","401.10","409.30","398.80","397.60","402.00","403.35","404.57","503.00","357.00",4241408,"1,715,943,776.95",74310
"23-Nov-2021","EQ","395.00","401.30","394.05","395.60","397.70","397.60","397.99","503.00","357.00",3382706,"1,346,295,032.25",57726
"22-Nov-2021","EQ","406.00","407.90","393.10","405.30","395.50","395.60","399.28","503.00","357.00",5282894,"2,109,367,289.65",87429
"18-Nov-2021","EQ","413.50","415.65","405.00","413.80","405.70","405.30","408.75","503.00","357.00",4995398,"2,041,854,358.40",84271
"17-Nov-2021","EQ","420.50","420.75","412.20","419.90","413.35","413.80","415.34","503.00","357.00",3769399,"1,565,566,320.70",75189
"16-Nov-2021","EQ","426.00","426.55","418.15","426.35","419.25","419.90","421.50","503.00","357.00",2766721,"1,166,165,803.75",53440
"15-Nov-2021","EQ","427.90","430.05","424.65","427.70","426.00","426.35","426.37","503.00","357.00",1919944,"818,602,469.80",42166
"12-Nov-2021","EQ","428.00","430.00","426.35","425.30","427.50","427.70","428.24","503.00","357.00",2144462,"918,348,782.45",38741
"11-Nov-2021","EQ","425.95","427.25","422.05","431.25","426.20","425.30","424.50","503.00","357.00",3316769,"1,407,977,935.95",85928
"10-Nov-2021","EQ","432.00","434.00","430.15","430.50","430.75","431.25","431.69","503.00","357.00",3282554,"1,417,053,665.70",46542
"09-Nov-2021","EQ","432.70","432.75","427.00","431.75","430.65","430.50","429.88","503.00","357.00",2933590,"1,261,090,152.15",50960
"08-Nov-2021","EQ","424.00","432.75","421.45","419.75","432.75","431.75","427.74","503.00","357.00",5935209,"2,538,704,988.85",150180
"04-Nov-2021","EQ","419.85","420.25","418.10","414.90","420.10","419.75","419.40","503.00","344.20",987512,"414,165,330.85",26616
"03-Nov-2021","EQ","418.00","421.55","414.20","416.15","414.50","414.90","416.95","503.00","344.20",5258243,"2,192,398,890.00",100212
"02-Nov-2021","EQ","423.00","423.90","415.60","421.65","416.30","416.15","418.60","503.00","344.20",4049673,"1,695,174,666.95",97920
"01-Nov-2021","EQ","428.00","428.00","419.90","417.70","422.70","421.65","422.32","503.00","344.20",5826200,"2,460,501,398.10",99655
"29-Oct-2021","EQ","419.00","425.00","413.60","420.80","419.30","417.70","419.05","503.00","338.20",6037509,"2,530,027,731.85",101024
"28-Oct-2021","EQ","429.00","431.00","419.05","427.70","421.00","420.80","423.03","503.00","338.20",3621241,"1,531,890,757.25",66949
"27-Oct-2021","EQ","433.45","434.50","427.00","431.05","427.40","427.70","430.87","503.00","338.20",3368898,"1,451,557,746.05",67882
"26-Oct-2021","EQ","431.00","436.95","428.05","431.70","431.50","431.05","431.38","503.00","338.20",4972613,"2,145,077,284.10",54492
"25-Oct-2021","EQ","447.00","448.40","429.85","447.25","432.40","431.70","437.41","503.00","338.20",7275177,"3,182,238,714.05",85059
"22-Oct-2021","EQ","451.00","453.00","442.50","451.05","447.00","447.25","446.99","503.00","338.20",3914996,"1,749,953,289.85",60904
"21-Oct-2021","EQ","445.25","454.00","443.05","441.10","448.65","451.05","450.16","503.00","338.20",9887576,"4,450,958,872.45",91831
"20-Oct-2021","EQ","452.00","452.90","436.35","453.05","441.00","441.10","443.27","503.00","338.20",6543463,"2,900,533,006.10",90478
"19-Oct-2021","EQ","463.90","465.00","449.95","462.50","452.05","453.05","458.58","503.00","338.20",5402657,"2,477,566,582.80",84442
"18-Oct-2021","EQ","470.00","470.00","461.05","459.30","462.25","462.50","463.99","503.00","338.20",4392323,"2,037,992,060.20",60569
"14-Oct-2021","EQ","460.00","462.20","458.00","458.65","459.20","459.30","460.39","503.00","325.00",3947390,"1,817,337,986.70",53511
"13-Oct-2021","EQ","457.00","460.40","453.30","455.25","459.40","458.65","458.35","503.00","325.00",7036361,"3,225,114,314.60",84972
"12-Oct-2021","EQ","454.35","457.20","451.10","454.40","454.50","455.25","454.16","503.00","325.00",5461602,"2,480,468,419.10",65740
"11-Oct-2021","EQ","450.00","455.15","449.50","449.45","454.30","454.40","453.65","503.00","325.00",5916666,"2,684,088,565.45",70191
"08-Oct-2021","EQ","451.50","452.00","444.60","449.20","449.65","449.45","448.64","503.00","325.00",3009652,"1,350,253,206.85",44473
"07-Oct-2021","EQ","451.50","452.00","448.00","447.20","449.00","449.20","450.22","503.00","325.00",3722557,"1,675,986,250.05",55787
"06-Oct-2021","EQ","447.00","451.95","445.15","443.85","446.85","447.20","448.63","503.00","325.00",8124411,"3,644,894,240.65",95789
"05-Oct-2021","EQ","435.85","445.50","435.70","435.85","443.90","443.85","442.01","503.00","325.00",9010146,"3,982,617,828.75",101547
"04-Oct-2021","EQ","434.00","438.00","433.50","433.05","435.45","435.85","436.02","503.00","325.00",2681114,"1,169,013,829.35",56467
"01-Oct-2021","EQ","431.90","437.60","429.00","432.20","432.60","433.05","433.71","503.00","325.00",2744990,"1,190,526,967.05",42421
"30-Sep-2021","EQ","439.80","440.40","431.00","436.90","431.50","432.20","434.43","503.00","325.00",4467366,"1,940,767,516.70",67078
"29-Sep-2021","EQ","429.50","438.00","426.00","429.60","437.90","436.90","433.86","503.00","325.00",7625857,"3,308,559,036.25",115069
"28-Sep-2021","EQ","424.30","430.25","423.00","420.60","429.90","429.60","427.83","503.00","325.00",9133471,"3,907,591,173.25",124560
"27-Sep-2021","EQ","418.45","422.50","416.55","414.80","420.70","420.60","420.05","503.00","325.00",4889433,"2,053,803,244.45",78202
"24-Sep-2021","EQ","421.00","423.25","412.05","419.95","414.70","414.80","416.93","503.00","325.00",6337414,"2,642,233,994.90",87686
"23-Sep-2021","EQ","423.15","424.30","417.15","420.15","419.55","419.95","420.06","503.00","325.00",5884558,"2,471,838,614.25",83802
"22-Sep-2021","EQ","414.50","421.50","414.50","413.80","420.25","420.15","419.40","503.00","325.00",4820035,"2,021,545,616.20",74752
"21-Sep-2021","EQ","419.90","423.90","412.80","420.40","414.20","413.80","416.65","503.00","325.00",11481738,"4,783,916,019.40",137634
"20-Sep-2021","EQ","431.05","433.65","418.95","436.25","419.50","420.40","426.00","503.00","325.00",7372138,"3,140,529,715.20",118332
"17-Sep-2021","EQ","441.00","442.00","432.10","439.05","435.50","436.25","437.12","503.00","325.00",12008204,"5,249,028,365.95",131075
"16-Sep-2021","EQ","437.50","442.05","435.55","489.95","438.95","439.05","439.29","503.00","325.00",17375477,"7,632,888,981.15",244589
"15-Sep-2021","EQ","494.00","494.95","488.10","493.10","491.25","489.95","490.22","503.00","325.00",11374253,"5,575,920,713.70",129541
"14-Sep-2021","EQ","501.00","503.00","490.50","498.10","492.95","493.10","497.44","503.00","325.00",12091391,"6,014,727,277.75",128550
"13-Sep-2021","EQ","494.00","499.25","491.50","491.15","498.90","498.10","494.84","499.25","325.00",10730342,"5,309,770,589.70",125393
"09-Sep-2021","EQ","489.90","492.00","487.75","489.55","491.75","491.15","490.17","496.50","325.00",4542492,"2,226,603,296.65",68264
"08-Sep-2021","EQ","484.00","493.00","481.90","481.95","489.80","489.55","488.76","496.50","325.00",6804831,"3,325,943,012.15",102492
"07-Sep-2021","EQ","490.70","493.50","481.00","490.80","481.75","481.95","486.39","496.50","325.00",6710140,"3,263,723,116.65",120858
"06-Sep-2021","EQ","495.95","496.50","490.00","491.30","490.85","490.80","492.52","496.50","325.00",6989779,"3,442,580,202.75",79473
"03-Sep-2021","EQ","483.00","494.00","480.20","479.80","491.05","491.30","487.49","494.00","325.00",8186035,"3,990,587,435.90",96527
"02-Sep-2021","EQ","478.00","481.55","477.00","477.00","480.30","479.80","479.99","493.90","325.00",4181314,"2,007,003,769.65",61255
"01-Sep-2021","EQ","473.25","479.40","472.20","471.65","476.90","477.00","476.12","493.90","325.00",5219501,"2,485,111,608.55",67440
