"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","3,510.00","3,636.00","3,510.00","3,509.65","3,544.20","3,535.30","3,568.22","4,153.00","3,317.30",462842,"1,651,524,087.90",42676
"28-Jan-2022","EQ","3,494.15","3,595.00","3,494.15","3,494.15","3,530.00","3,509.65","3,538.89","4,153.00","3,317.30",249034,"881,303,431.60",26484
"27-Jan-2022","EQ","3,535.00","3,535.00","3,435.65","3,539.30","3,481.85","3,494.15","3,480.71","4,153.00","3,317.30",353612,"1,230,821,610.45",36861
"25-Jan-2022","EQ","3,502.00","3,565.45","3,430.25","3,523.85","3,555.15","3,539.30","3,509.78","4,153.00","3,317.30",306411,"1,075,435,283.05",31803
"24-Jan-2022","EQ","3,610.00","3,626.55","3,505.00","3,618.30","3,505.00","3,523.85","3,558.50","4,153.00","3,317.30",240598,"856,168,087.75",31876
"21-Jan-2022","EQ","3,606.00","3,629.00","3,575.70","3,605.15","3,616.00","3,618.30","3,611.97","4,153.00","3,317.30",162594,"587,284,730.30",19089
"20-Jan-2022","EQ","3,590.00","3,624.00","3,576.50","3,575.65","3,605.65","3,605.15","3,600.24","4,153.00","3,317.30",173547,"624,810,645.50",21259
"19-Jan-2022","EQ","3,620.00","3,627.55","3,565.00","3,621.90","3,583.45","3,575.65","3,596.28","4,153.00","3,317.30",129227,"464,736,147.50",18094
"18-Jan-2022","EQ","3,668.00","3,694.70","3,611.10","3,665.15","3,629.30","3,621.90","3,643.75","4,153.00","3,317.30",168104,"612,529,194.20",22429
"17-Jan-2022","EQ","3,697.00","3,712.80","3,642.35","3,712.05","3,667.90","3,665.15","3,670.20","4,153.00","3,317.30",170221,"624,745,419.45",17441
"14-Jan-2022","EQ","3,749.05","3,754.90","3,695.30","3,749.05","3,700.00","3,712.05","3,725.66","4,153.00","3,317.30",97013,"361,437,497.60",10269
"13-Jan-2022","EQ","3,700.20","3,759.95","3,691.30","3,700.20","3,756.00","3,749.05","3,725.69","4,153.00","3,317.30",129143,"481,147,293.65",19207
"12-Jan-2022","EQ","3,750.00","3,759.75","3,691.00","3,743.35","3,704.00","3,700.20","3,717.11","4,153.00","3,317.30",311095,"1,156,375,391.85",33322
"11-Jan-2022","EQ","3,768.30","3,800.95","3,738.10","3,768.30","3,746.10","3,743.35","3,767.11","4,153.00","3,317.30",206008,"776,054,224.80",35398
"10-Jan-2022","EQ","3,737.35","3,778.00","3,727.90","3,737.35","3,776.00","3,768.30","3,752.36","4,153.00","3,317.30",351447,"1,318,756,079.25",24224
"07-Jan-2022","EQ","3,685.00","3,742.00","3,682.85","3,675.10","3,729.85","3,737.35","3,720.87","4,153.00","3,317.30",241905,"900,097,783.85",23359
"06-Jan-2022","EQ","3,659.70","3,686.95","3,625.80","3,659.70","3,673.00","3,675.10","3,656.21","4,153.00","3,317.30",340345,"1,244,373,184.60",31627
"05-Jan-2022","EQ","3,638.00","3,689.00","3,633.05","3,638.45","3,656.00","3,659.70","3,658.72","4,153.00","3,317.30",245395,"897,830,567.40",24387
"04-Jan-2022","EQ","3,623.00","3,643.85","3,610.00","3,617.55","3,641.00","3,638.45","3,627.98","4,153.00","3,317.30",317247,"1,150,965,836.25",24579
"03-Jan-2022","EQ","3,610.00","3,626.00","3,582.20","3,606.00","3,622.00","3,617.55","3,610.56","4,153.00","3,317.30",149689,"540,461,785.60",14710
"31-Dec-2021","EQ","3,586.00","3,623.20","3,569.05","3,573.90","3,614.00","3,606.00","3,601.30","4,153.00","3,317.30",244207,"879,461,666.50",18725
"30-Dec-2021","EQ","3,570.00","3,586.00","3,526.05","3,559.60","3,586.00","3,573.90","3,560.00","4,153.00","3,317.30",167005,"594,538,532.30",17199
"29-Dec-2021","EQ","3,550.65","3,569.80","3,525.20","3,550.65","3,565.00","3,559.60","3,548.09","4,153.00","3,317.30",163737,"580,952,948.30",12542
"28-Dec-2021","EQ","3,531.00","3,562.00","3,511.10","3,513.20","3,549.90","3,550.65","3,543.49","4,153.00","3,317.30",99497,"352,566,419.85",10080
