"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","241.40","254.40","241.00","238.90","252.40","252.95","249.59","254.40","124.30",29420484,"7,343,134,662.65",183364
"28-Jan-2022","EQ","242.25","243.90","236.55","240.80","238.70","238.90","240.83","247.60","123.70",21796914,"5,249,267,225.05",131301
"27-Jan-2022","EQ","218.00","242.25","216.00","221.40","240.55","240.80","232.25","247.60","123.70",46941087,"10,902,278,678.25",257958
"25-Jan-2022","EQ","206.50","223.25","205.45","208.70","220.40","221.40","217.30","247.60","123.70",12089545,"2,627,091,802.10",68275
"24-Jan-2022","EQ","215.60","217.60","204.65","215.60","207.45","208.70","210.36","247.60","123.70",10454987,"2,199,319,512.10",65516
"21-Jan-2022","EQ","224.90","226.70","213.30","228.45","216.85","215.60","219.32","247.60","123.70",10638551,"2,333,299,883.75",72420
"20-Jan-2022","EQ","229.20","232.40","226.80","228.40","228.30","228.45","229.91","247.60","123.70",9890494,"2,273,925,177.65",60955
"19-Jan-2022","EQ","222.30","229.90","220.85","223.10","228.20","228.40","225.16","247.60","123.70",7422599,"1,671,305,952.85",43690
"18-Jan-2022","EQ","228.40","230.00","221.70","227.70","223.65","223.10","226.95","247.60","123.70",7247346,"1,644,767,060.80",40764
"17-Jan-2022","EQ","227.60","230.35","227.10","227.65","227.90","227.70","228.66","247.60","123.70",4905876,"1,121,778,207.85",30809
"14-Jan-2022","EQ","224.90","228.35","223.50","225.35","227.20","227.65","226.76","247.60","123.70",8073327,"1,830,707,622.25",56348
"13-Jan-2022","EQ","222.60","227.15","220.70","222.75","225.35","225.35","224.53","247.60","123.70",8399690,"1,886,015,054.55",52157
"12-Jan-2022","EQ","222.80","226.15","221.50","221.40","221.90","222.75","223.91","247.60","123.70",8084558,"1,810,179,558.55",44635
"11-Jan-2022","EQ","217.25","223.25","217.25","219.70","221.00","221.40","220.94","247.60","123.70",11506031,"2,542,128,949.25",57894
"10-Jan-2022","EQ","213.30","220.80","213.30","212.30","219.65","219.70","217.70","247.60","123.70",10305642,"2,243,584,865.80",52681
"07-Jan-2022","EQ","213.25","215.60","209.70","212.50","212.30","212.30","212.98","247.60","123.70",8675299,"1,847,625,905.05",49518
"06-Jan-2022","EQ","208.95","213.75","207.45","211.00","212.30","212.50","210.88","247.60","123.70",10730879,"2,262,936,127.45",49840
"05-Jan-2022","EQ","206.50","212.05","205.15","206.55","210.90","211.00","209.13","247.60","123.70",11554362,"2,416,330,360.60",75382
"04-Jan-2022","EQ","206.45","209.00","204.35","205.45","206.45","206.55","206.86","247.60","123.70",9340933,"1,932,278,376.75",45231
"03-Jan-2022","EQ","199.70","206.40","198.60","199.95","206.20","205.45","203.14","247.60","123.70",7790751,"1,582,650,763.00",45578
"31-Dec-2021","EQ","196.05","201.35","195.85","195.00","199.75","199.95","198.99","247.60","120.15",7201753,"1,433,047,263.70",36426
"30-Dec-2021","EQ","196.00","196.40","193.50","196.70","195.35","195.00","194.95","247.60","120.15",6021677,"1,173,939,371.65",30277
"29-Dec-2021","EQ","197.05","199.45","195.70","197.85","196.00","196.70","197.68","247.60","120.15",5737095,"1,134,110,601.60",31380
"28-Dec-2021","EQ","197.10","198.45","195.65","195.60","197.60","197.85","197.20","247.60","120.15",5387946,"1,062,489,703.95",28507
"27-Dec-2021","EQ","190.00","196.50","186.40","193.95","195.90","195.60","192.91","247.60","120.15",10053249,"1,939,364,875.70",58649
