"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","126.70","127.20","124.20","125.60","124.70","124.70","125.16","154.90","112.95",459183,"57,469,114.65",6700
"28-Jan-2022","EQ","120.55","126.20","120.50","119.85","125.90","125.60","124.71","154.90","112.95",1483160,"184,968,744.55",20188
"27-Jan-2022","EQ","120.50","121.35","118.25","120.35","120.50","119.85","119.21","154.90","112.95",850228,"101,357,209.70",13192
"25-Jan-2022","EQ","114.75","121.80","112.95","117.85","120.30","120.35","117.70","154.90","112.95",1292932,"152,177,706.00",17311
"24-Jan-2022","EQ","123.70","124.20","115.40","123.45","115.80","117.85","119.99","154.90","115.40",1675739,"201,079,467.95",17644
"21-Jan-2022","EQ","123.15","124.95","123.00","123.15","123.80","123.45","124.07","154.90","117.70",697292,"86,515,255.90",9019
"20-Jan-2022","EQ","125.50","125.50","122.60","124.80","123.45","123.15","123.65","154.90","117.70",896023,"110,796,815.45",12493
"19-Jan-2022","EQ","126.50","127.40","123.80","126.15","124.85","124.80","125.39","154.90","117.70",979098,"122,773,663.25",10837
"18-Jan-2022","EQ","128.45","129.10","125.90","128.05","126.60","126.15","127.14","154.90","117.70",989381,"125,791,079.45",10763
"17-Jan-2022","EQ","126.00","128.30","125.95","125.30","128.20","128.05","127.43","154.90","117.70",1473114,"187,724,550.85",15942
"14-Jan-2022","EQ","124.20","125.50","123.60","124.10","125.25","125.30","124.97","154.90","117.70",617802,"77,205,945.45",9642
"13-Jan-2022","EQ","125.45","125.45","123.65","124.80","124.20","124.10","124.17","154.90","117.70",587486,"72,945,492.55",8792
"12-Jan-2022","EQ","124.20","124.95","123.55","123.70","124.80","124.80","124.31","154.90","117.70",684560,"85,100,791.70",9594
"11-Jan-2022","EQ","122.65","124.50","122.10","122.55","123.90","123.70","123.43","154.90","117.70",744677,"91,917,484.55",8540
"10-Jan-2022","EQ","122.70","123.25","121.75","122.10","122.60","122.55","122.47","154.90","117.70",1138358,"139,411,442.15",15506
"07-Jan-2022","EQ","122.20","123.50","121.35","121.95","121.90","122.10","122.22","154.90","117.70",1350505,"165,062,093.55",17133
"06-Jan-2022","EQ","124.00","124.00","121.80","124.15","121.95","121.95","122.15","154.90","117.70",1551200,"189,481,985.80",16988
"05-Jan-2022","EQ","125.10","125.80","123.10","124.85","124.00","124.15","124.86","154.90","117.70",964103,"120,377,524.10",13198
"04-Jan-2022","EQ","124.05","125.55","124.05","124.05","125.15","124.85","124.92","154.90","117.70",502136,"62,729,134.15",7825
"03-Jan-2022","EQ","122.40","124.50","122.35","122.80","124.30","124.05","123.51","154.90","117.70",456456,"56,377,253.20",7540
"31-Dec-2021","EQ","121.95","124.60","121.95","121.95","122.70","122.80","123.46","154.90","117.70",497426,"61,412,567.05",5940
"30-Dec-2021","EQ","122.10","122.65","121.60","122.20","122.10","121.95","121.99","154.90","117.70",255395,"31,155,226.60",4954
"29-Dec-2021","EQ","122.80","123.40","122.10","122.95","122.10","122.20","122.55","154.90","117.70",224932,"27,564,549.00",4124
"28-Dec-2021","EQ","122.70","123.25","122.40","122.65","122.65","122.95","122.78","154.90","117.70",273985,"33,639,577.20",4572
"27-Dec-2021","EQ","121.65","123.40","120.55","121.65","123.25","122.65","122.07","154.90","117.70",367576,"44,869,679.20",5987
"24-Dec-2021","EQ","123.50","123.60","121.50","123.10","121.85","121.65","121.98","154.90","117.70",295015,"35,986,850.80",6762
"23-Dec-2021","EQ","122.00","124.15","121.60","121.65","123.25","123.10","122.52","154.90","117.70",697523,"85,461,661.70",9491
"22-Dec-2021","EQ","121.50","122.00","121.00","121.30","121.60","121.65","121.53","154.90","117.70",372715,"45,295,638.25",5511
"21-Dec-2021","EQ","122.70","123.55","120.75","122.30","121.05","121.30","121.66","154.90","117.70",686936,"83,569,835.05",11642
"20-Dec-2021","EQ","125.50","125.50","119.70","125.65","122.15","122.30","121.76","154.90","117.70",1050233,"127,881,305.30",17742
"17-Dec-2021","EQ","125.50","126.00","124.65","125.50","125.50","125.65","125.50","154.90","117.70",1215373,"152,533,831.40",14504
"16-Dec-2021","EQ","125.45","126.35","124.50","125.20","125.60","125.50","125.26","154.90","117.70",1103727,"138,248,772.50",9340
"15-Dec-2021","EQ","125.00","125.90","124.65","124.65","125.25","125.20","125.32","154.90","117.70",461179,"57,796,368.75",6895
"14-Dec-2021","EQ","125.75","126.55","124.40","125.25","124.75","124.65","125.24","154.90","117.70",771278,"96,597,267.25",13382
"13-Dec-2021","EQ","126.70","126.90","125.05","126.10","125.15","125.25","126.03","154.90","117.70",743024,"93,646,851.10",10976
"10-Dec-2021","EQ","125.95","126.70","125.60","125.55","126.15","126.10","126.11","154.90","117.70",564616,"71,204,402.60",7993
"09-Dec-2021","EQ","126.95","127.45","125.40","126.55","125.50","125.55","125.74","154.90","117.70",1025339,"128,928,688.45",13351
"08-Dec-2021","EQ","127.20","128.45","126.25","126.95","126.90","126.55","126.98","154.90","117.70",869665,"110,432,670.10",13395
"07-Dec-2021","EQ","126.45","127.65","125.25","125.80","126.95","126.95","126.92","154.90","117.70",458441,"58,185,978.30",8732
"06-Dec-2021","EQ","126.80","127.55","125.40","126.90","125.85","125.80","126.57","154.90","117.70",379029,"47,973,396.35",7298
"03-Dec-2021","EQ","126.30","128.05","126.30","126.45","127.20","126.90","127.13","154.90","117.70",462287,"58,771,171.70",10318
"02-Dec-2021","EQ","128.00","128.70","126.15","128.70","126.50","126.45","126.80","154.90","117.70",715622,"90,738,953.60",13613
"01-Dec-2021","EQ","129.00","129.80","125.55","129.25","128.75","128.70","127.66","154.90","117.70",570463,"72,825,098.45",16572
