"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","644.00","651.00","638.15","634.40","645.00","646.25","646.01","754.40","426.20",1193089,"770,744,728.75",49567
"28-Jan-2022","EQ","620.00","647.85","620.00","616.15","637.00","634.40","639.76","754.40","403.00",1564122,"1,000,661,505.40",50077
"27-Jan-2022","EQ","615.05","624.25","600.55","621.05","616.10","616.15","613.49","754.40","403.00",1405220,"862,086,854.95",63110
"25-Jan-2022","EQ","615.00","629.70","606.20","622.55","620.00","621.05","620.35","754.40","403.00",885983,"549,616,339.85",36576
"24-Jan-2022","EQ","626.90","634.40","614.00","623.60","623.00","622.55","625.39","754.40","403.00",1587007,"992,501,114.80",48162
"21-Jan-2022","EQ","661.95","665.85","619.00","660.45","624.55","623.60","630.86","754.40","403.00",4373737,"2,759,214,649.80",86549
"20-Jan-2022","EQ","668.00","670.55","652.10","671.20","666.00","660.45","660.33","754.40","403.00",628188,"414,812,287.70",22262
"19-Jan-2022","EQ","678.00","688.20","669.70","680.90","672.60","671.20","676.72","754.40","403.00",748775,"506,707,708.70",21978
"18-Jan-2022","EQ","688.00","694.35","677.60","687.90","679.50","680.90","688.80","754.40","403.00",1340956,"923,645,420.60",39043
"17-Jan-2022","EQ","692.00","696.45","685.60","692.55","689.00","687.90","690.55","754.40","403.00",1018457,"703,292,347.20",37591
"14-Jan-2022","EQ","671.85","695.00","666.05","669.85","690.00","692.55","683.38","754.40","403.00",2775937,"1,897,016,488.90",52483
"13-Jan-2022","EQ","652.00","671.00","651.00","656.60","670.50","669.85","665.12","754.40","403.00",1294997,"861,334,367.15",41050
"12-Jan-2022","EQ","655.00","661.95","645.35","646.75","655.40","656.60","656.81","754.40","403.00",2059079,"1,352,422,786.50",66862
"11-Jan-2022","EQ","636.00","651.20","636.00","645.35","647.95","646.75","645.42","754.40","403.00",1177009,"759,666,487.50",24472
"10-Jan-2022","EQ","635.05","646.00","635.05","636.60","644.25","645.35","642.48","754.40","403.00",618751,"397,538,066.70",17259
"07-Jan-2022","EQ","637.80","641.00","630.00","634.25","636.60","636.60","634.87","754.40","403.00",792623,"503,216,047.15",28625
"06-Jan-2022","EQ","625.00","639.90","624.00","629.95","634.95","634.25","634.35","754.40","403.00",1052909,"667,910,444.70",24255
"05-Jan-2022","EQ","630.00","636.85","626.00","627.75","630.00","629.95","630.14","754.40","403.00",917088,"577,895,507.50",50770
"04-Jan-2022","EQ","623.00","634.55","616.20","619.80","627.80","627.75","626.75","754.40","403.00",889836,"557,706,339.60",24220
"03-Jan-2022","EQ","618.80","637.60","614.05","614.55","620.30","619.80","618.61","754.40","403.00",453839,"280,749,987.00",10590
"31-Dec-2021","EQ","606.00","616.85","605.85","604.55","614.00","614.55","612.67","754.40","390.25",255735,"156,681,823.15",8696
"30-Dec-2021","EQ","610.20","613.60","602.00","613.70","605.50","604.55","605.94","754.40","390.25",620247,"375,830,376.25",13545
"29-Dec-2021","EQ","611.75","617.45","608.50","611.80","613.45","613.70","613.77","754.40","390.25",395287,"242,615,800.45",10230
"28-Dec-2021","EQ","610.00","616.05","607.05","608.25","613.00","611.80","612.22","754.40","390.25",455357,"278,778,371.25",12208
"27-Dec-2021","EQ","600.00","609.70","595.15","602.25","607.90","608.25","604.04","754.40","390.25",540989,"326,781,061.50",13937
"24-Dec-2021","EQ","626.70","626.80","600.50","622.40","602.15","602.25","607.25","754.40","365.05",1114790,"676,956,859.30",22452
"23-Dec-2021","EQ","614.95","626.35","614.95","614.40","622.50","622.40","621.40","754.40","365.05",954050,"592,842,407.40",21302
"22-Dec-2021","EQ","610.20","621.70","607.00","609.10","613.25","614.40","615.56","754.40","365.05",858345,"528,359,685.30",30227
"21-Dec-2021","EQ","610.80","618.00","605.95","608.45","609.20","609.10","611.73","754.40","365.05",1051138,"643,013,024.15",18240
"20-Dec-2021","EQ","617.45","618.00","593.30","625.00","607.25","608.45","602.56","754.40","365.05",2068382,"1,246,318,668.10",56650
"17-Dec-2021","EQ","646.00","647.00","621.50","645.65","623.00","625.00","628.14","754.40","365.05",957081,"601,184,704.20",29527
"16-Dec-2021","EQ","643.00","649.70","639.55","639.55","647.00","645.65","645.08","754.40","365.05",501955,"323,798,773.80",19303
"15-Dec-2021","EQ","645.25","647.45","635.85","641.65","639.60","639.55","640.91","754.40","365.05",545713,"349,751,355.40",19311
"14-Dec-2021","EQ","644.00","650.00","637.65","645.55","643.00","641.65","642.39","754.40","365.05",574501,"369,052,020.65",9240
"13-Dec-2021","EQ","653.60","654.05","642.15","652.15","647.80","645.55","647.97","754.40","365.05",1127079,"730,310,173.25",18000
"10-Dec-2021","EQ","639.20","656.35","639.20","639.45","649.00","652.15","650.73","754.40","365.05",1115715,"726,024,912.90",25922
"09-Dec-2021","EQ","634.30","641.75","626.50","629.25","639.20","639.45","633.49","754.40","365.05",920524,"583,145,747.05",25442
"08-Dec-2021","EQ","639.00","644.00","628.00","635.70","629.00","629.25","634.83","754.40","365.05",1945693,"1,235,178,262.00",29738
"07-Dec-2021","EQ","632.85","645.00","631.00","629.40","635.20","635.70","638.74","754.40","365.05",885700,"565,736,111.75",17199
"06-Dec-2021","EQ","634.40","650.90","627.15","640.80","629.75","629.40","637.17","754.40","365.05",759744,"484,086,714.05",35357
"03-Dec-2021","EQ","642.00","649.80","634.80","639.25","643.70","640.80","643.27","754.40","365.05",1601872,"1,030,439,493.35",27188
"02-Dec-2021","EQ","632.00","645.35","614.50","631.35","642.00","639.25","638.31","754.40","365.05",1653609,"1,055,515,504.00",31143
"01-Dec-2021","EQ","626.00","635.60","617.15","620.00","632.00","631.35","629.78","754.40","365.05",2052399,"1,292,555,516.70",73524
"30-Nov-2021","EQ","604.25","627.35","599.35","598.25","621.80","620.00","618.65","754.40","365.05",4036435,"2,497,140,582.25",76244
"29-Nov-2021","EQ","604.00","610.75","581.85","604.00","599.20","598.25","601.25","754.40","365.05",1815662,"1,091,665,691.05",77533
"26-Nov-2021","EQ","618.80","618.80","600.00","622.15","603.55","604.00","607.17","754.40","365.05",1596347,"969,246,535.00",41876
"25-Nov-2021","EQ","631.00","631.00","618.50","629.10","623.65","622.15","622.76","754.40","365.05",1445024,"899,900,867.70",36103
"24-Nov-2021","EQ","638.80","641.30","623.25","637.70","625.95","629.10","635.14","754.40","365.05",860804,"546,732,136.50",28735
"23-Nov-2021","EQ","627.00","645.40","626.60","628.15","636.70","637.70","639.15","754.40","365.05",1934790,"1,236,616,092.60",36094
"22-Nov-2021","EQ","654.00","655.95","619.10","653.35","630.55","628.15","633.61","754.40","365.05",1916154,"1,214,087,542.25",52687
"18-Nov-2021","EQ","665.00","667.15","646.00","665.25","652.45","653.35","654.18","754.40","365.05",1210622,"791,969,400.00",46696
"17-Nov-2021","EQ","672.50","672.50","663.00","672.85","665.05","665.25","666.50","754.40","365.05",483272,"322,099,479.25",13627
"16-Nov-2021","EQ","679.80","686.60","670.05","680.70","671.00","672.85","678.44","754.40","365.05",645057,"437,631,269.55",22115
"15-Nov-2021","EQ","690.85","690.85","676.15","687.20","680.05","680.70","680.89","754.40","365.05",961049,"654,373,334.35",37233
"12-Nov-2021","EQ","688.00","693.00","685.15","685.15","687.40","687.20","688.06","754.40","365.05",688301,"473,594,970.90",14714
"11-Nov-2021","EQ","704.00","710.50","680.80","704.50","685.00","685.15","688.00","754.40","365.05",967435,"665,593,458.70",35346
"10-Nov-2021","EQ","700.10","710.80","694.10","701.45","705.25","704.50","705.04","754.40","365.05",1974732,"1,392,274,700.30",39848
"09-Nov-2021","EQ","685.00","710.55","685.00","686.70","702.00","701.45","702.28","754.40","365.05",2999385,"2,106,422,887.20",66168
"08-Nov-2021","EQ","690.95","690.95","682.35","686.55","687.80","686.70","686.67","754.40","365.05",804641,"552,523,175.85",20185
"04-Nov-2021","EQ","688.00","688.50","684.00","681.60","686.00","686.55","686.49","754.40","365.05",174389,"119,716,062.10",6013
"03-Nov-2021","EQ","672.00","690.95","670.40","668.60","682.70","681.60","682.62","754.40","365.05",2000086,"1,365,302,259.50",46245
"02-Nov-2021","EQ","668.90","681.00","665.85","667.05","669.10","668.60","670.39","754.40","365.05",749534,"502,477,242.00",15657
"01-Nov-2021","EQ","664.85","668.85","654.80","655.10","666.15","667.05","662.55","754.40","365.05",596587,"395,266,042.95",17420
"29-Oct-2021","EQ","649.00","669.40","634.00","659.80","657.40","655.10","655.58","754.40","365.05",1321021,"866,034,575.50",37416
"28-Oct-2021","EQ","678.00","682.50","655.20","678.85","659.00","659.80","666.81","754.40","365.05",1059481,"706,476,875.90",27886
"27-Oct-2021","EQ","678.00","688.00","676.65","676.50","679.45","678.85","682.22","754.40","365.05",1356035,"925,110,351.20",39345
"26-Oct-2021","EQ","667.50","681.15","667.00","667.50","676.05","676.50","675.57","754.40","365.05",1691659,"1,142,829,522.15",35887
"25-Oct-2021","EQ","685.45","687.65","663.55","680.15","667.20","667.50","671.68","754.40","365.05",2117356,"1,422,190,270.50",46182
"22-Oct-2021","EQ","680.55","685.00","657.60","664.40","677.50","680.15","673.68","754.40","365.05",3869614,"2,606,878,998.90",72698
"21-Oct-2021","EQ","680.00","682.60","658.00","674.30","666.05","664.40","667.65","754.40","365.05",1416668,"945,841,875.55",44561
"20-Oct-2021","EQ","672.20","685.95","665.25","667.35","676.50","674.30","674.28","754.40","365.05",2784461,"1,877,516,001.80",78584
"19-Oct-2021","EQ","685.30","691.80","661.80","684.65","667.85","667.35","675.54","754.40","365.05",2130322,"1,439,108,657.40",54473
"18-Oct-2021","EQ","684.60","694.95","677.35","677.35","685.00","684.65","687.64","754.40","365.05",1245681,"856,580,263.20",28266
"14-Oct-2021","EQ","695.00","698.00","675.00","688.65","677.00","677.35","682.05","754.40","356.00",3084539,"2,103,804,103.95",83071
"13-Oct-2021","EQ","704.65","704.65","680.00","698.05","689.00","688.65","689.00","754.40","356.00",1717145,"1,183,120,620.20",43293
"12-Oct-2021","EQ","687.60","701.45","682.05","687.60","696.50","698.05","690.72","754.40","356.00",1230182,"849,711,066.70",27946
"11-Oct-2021","EQ","693.00","705.65","686.00","685.05","686.05","687.60","693.15","754.40","356.00",1879221,"1,302,573,523.50",29320
"08-Oct-2021","EQ","700.00","701.45","680.05","694.95","686.75","685.05","688.77","754.40","351.00",1845098,"1,270,846,137.70",40996
"07-Oct-2021","EQ","701.00","705.30","691.15","696.35","694.95","694.95","697.28","754.40","351.00",1638029,"1,142,172,467.40",26999
"06-Oct-2021","EQ","712.00","713.75","693.50","709.10","695.05","696.35","704.29","754.40","351.00",1340297,"943,956,212.05",34634
"05-Oct-2021","EQ","710.85","716.40","701.00","707.10","708.40","709.10","708.31","754.40","351.00",1460282,"1,034,336,583.05",28030
"04-Oct-2021","EQ","707.00","722.00","703.20","703.50","707.50","707.10","711.60","754.40","351.00",2187223,"1,556,434,369.45",45544
"01-Oct-2021","EQ","706.30","710.60","692.15","704.30","702.00","703.50","703.21","754.40","351.00",1255262,"882,714,789.75",32311
"30-Sep-2021","EQ","706.90","713.85","700.75","703.70","704.60","704.30","705.41","754.40","351.00",2088535,"1,473,280,237.30",32611
"29-Sep-2021","EQ","705.70","712.80","697.00","705.75","705.00","703.70","704.46","754.40","351.00",1044662,"735,919,879.95",26509
"28-Sep-2021","EQ","706.00","730.00","697.45","702.45","709.10","705.75","713.89","754.40","351.00",3115104,"2,223,833,140.70",62692
"27-Sep-2021","EQ","700.50","708.05","695.00","699.60","700.90","702.45","701.40","754.40","351.00",1141958,"800,965,353.25",34119
"24-Sep-2021","EQ","715.00","721.25","697.80","711.95","698.60","699.60","705.14","754.40","351.00",1070387,"754,769,186.20",40114
"23-Sep-2021","EQ","702.70","726.50","701.00","696.80","711.90","711.95","714.40","754.40","351.00",2233951,"1,595,928,242.10",46133
"22-Sep-2021","EQ","708.00","713.90","695.05","703.30","697.70","696.80","702.65","754.40","351.00",1019415,"716,291,970.90",22589
"21-Sep-2021","EQ","705.90","708.70","686.00","708.00","703.55","703.30","700.05","754.40","351.00",1409360,"986,623,370.25",42810
"20-Sep-2021","EQ","712.00","731.35","696.50","723.65","701.85","708.00","717.42","754.40","351.00",1058006,"759,039,798.65",27125
"17-Sep-2021","EQ","738.00","743.80","693.15","733.05","721.00","723.65","722.93","754.40","351.00",2284382,"1,651,458,674.30",60242
"16-Sep-2021","EQ","724.95","744.00","719.00","720.10","733.85","733.05","735.01","754.40","351.00",2774056,"2,038,967,223.60",60018
"15-Sep-2021","EQ","732.45","736.85","717.95","729.10","719.90","720.10","723.28","754.40","351.00",1211983,"876,607,799.40",26290
"14-Sep-2021","EQ","740.00","745.60","725.50","740.55","728.90","729.10","732.07","754.40","351.00",1237271,"905,768,791.00",40927
"13-Sep-2021","EQ","743.00","754.40","736.50","742.95","740.00","740.55","744.08","754.40","351.00",1543777,"1,148,693,801.35",37029
"09-Sep-2021","EQ","729.20","753.00","726.45","735.85","741.80","742.95","742.82","753.00","351.00",3821406,"2,838,611,406.40",88055
"08-Sep-2021","EQ","724.00","742.00","718.00","723.65","736.50","735.85","732.99","748.00","351.00",2506155,"1,836,992,042.25",57694
"07-Sep-2021","EQ","735.00","746.30","718.05","728.70","723.25","723.65","731.05","748.00","351.00",1839589,"1,344,836,469.70",45319
"06-Sep-2021","EQ","732.70","741.35","718.05","727.25","728.50","728.70","730.29","748.00","351.00",1197604,"874,600,298.55",28545
"03-Sep-2021","EQ","744.00","745.00","723.60","735.70","728.50","727.25","732.49","748.00","351.00",3161373,"2,315,660,076.00",74027
"02-Sep-2021","EQ","690.00","739.75","686.00","688.50","738.75","735.70","719.26","748.00","351.00",5136638,"3,694,562,999.20",97783
"01-Sep-2021","EQ","680.05","697.40","676.25","679.55","686.05","688.50","689.57","748.00","351.00",2396818,"1,652,764,515.95",58871
"31-Aug-2021","EQ","682.00","694.00","673.10","679.90","680.05","679.55","679.53","748.00","351.00",2201566,"1,496,033,715.10",52420
"30-Aug-2021","EQ","655.00","682.75","655.00","653.35","679.70","679.90","673.57","748.00","351.00",2140598,"1,441,850,215.00",55017
"27-Aug-2021","EQ","656.45","659.95","649.40","653.05","655.00","653.35","654.37","748.00","351.00",996004,"651,758,545.25",24595
"26-Aug-2021","EQ","648.70","664.60","644.35","643.55","653.50","653.05","656.84","748.00","351.00",2850012,"1,872,008,348.45",51326
"25-Aug-2021","EQ","649.00","653.75","638.00","648.40","646.35","643.55","644.46","748.00","351.00",1509816,"973,014,066.35",34405
"24-Aug-2021","EQ","653.20","660.60","644.10","653.20","648.20","648.40","648.44","748.00","351.00",1395465,"904,878,348.90",57537
"23-Aug-2021","EQ","655.00","662.90","648.95","649.90","650.10","653.20","655.22","748.00","351.00",1099874,"720,659,317.50",36673
"20-Aug-2021","EQ","673.45","673.45","648.00","673.45","650.10","649.90","656.23","748.00","351.00",1384705,"908,681,078.35",49538
"18-Aug-2021","EQ","671.00","681.75","661.00","665.65","672.00","673.45","677.02","748.00","351.00",1962740,"1,328,808,274.20",42716
"17-Aug-2021","EQ","678.00","682.30","661.80","675.90","666.00","665.65","670.26","748.00","351.00",1295072,"868,036,996.40",28758
"16-Aug-2021","EQ","671.80","681.95","667.00","666.10","675.10","675.90","676.15","748.00","351.00",1440901,"974,262,207.00",36548
"13-Aug-2021","EQ","670.00","676.90","663.25","673.00","667.00","666.10","669.16","748.00","351.00",629414,"421,180,706.55",17910
