"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","794.85","795.20","782.05","786.80","790.70","789.45","788.35","956.00","709.35",223234,"175,985,993.50",11613
"28-Jan-2022","EQ","765.00","792.90","763.50","759.20","789.95","786.80","783.92","956.00","709.35",465768,"365,124,898.45",14902
"27-Jan-2022","EQ","744.95","764.90","735.15","748.45","760.00","759.20","754.15","956.00","709.35",411586,"310,395,546.95",22193
"25-Jan-2022","EQ","752.60","768.20","731.15","752.60","761.20","748.45","755.18","956.00","709.35",434946,"328,460,476.75",17741
"24-Jan-2022","EQ","771.50","771.50","740.00","770.85","749.90","752.60","756.85","956.00","709.35",414108,"313,419,235.50",17406
"21-Jan-2022","EQ","787.00","792.20","760.00","788.25","775.05","770.85","777.61","956.00","709.35",583737,"453,920,700.80",27870
"20-Jan-2022","EQ","787.20","790.00","778.75","781.60","787.30","788.25","785.71","956.00","709.35",163312,"128,316,263.55",12851
"19-Jan-2022","EQ","780.00","792.90","771.85","782.50","785.35","781.60","782.33","956.00","709.35",501982,"392,715,461.60",18024
"18-Jan-2022","EQ","811.95","816.75","773.50","805.10","786.00","782.50","791.81","956.00","709.35",378963,"300,065,727.60",22530
"17-Jan-2022","EQ","785.95","819.80","783.75","785.95","806.30","805.10","804.06","956.00","709.35",965554,"776,360,667.30",37059
"14-Jan-2022","EQ","785.95","796.00","781.60","788.25","784.05","785.95","787.14","956.00","709.35",335183,"263,835,972.75",18782
"13-Jan-2022","EQ","779.75","792.70","775.00","773.95","788.50","788.25","785.12","956.00","709.35",493780,"387,678,348.50",15830
"12-Jan-2022","EQ","773.60","784.00","762.30","773.50","773.50","773.95","773.67","956.00","709.35",487434,"377,111,292.20",16701
"11-Jan-2022","EQ","758.00","782.00","756.05","772.95","772.95","773.50","773.62","956.00","709.35",1169211,"904,525,218.20",27202
"10-Jan-2022","EQ","779.00","783.80","769.00","778.50","771.55","772.95","777.53","956.00","709.35",343075,"266,749,752.00",13135
"07-Jan-2022","EQ","781.90","786.80","775.55","777.15","777.95","778.50","781.44","956.00","709.35",329214,"257,261,222.85",16563
"06-Jan-2022","EQ","772.80","785.25","766.90","773.90","775.85","777.15","776.86","956.00","709.35",465855,"361,902,596.80",13208
"05-Jan-2022","EQ","774.00","781.45","766.20","769.90","775.80","773.90","777.14","956.00","709.35",363756,"282,689,593.70",15136
"04-Jan-2022","EQ","756.10","783.90","756.05","756.10","769.45","769.90","772.81","956.00","709.35",861764,"665,979,810.10",32612
"03-Jan-2022","EQ","758.95","762.45","752.60","756.05","755.70","756.10","756.98","956.00","709.35",244607,"185,162,296.65",9770
"31-Dec-2021","EQ","753.75","763.70","750.20","752.45","755.00","756.05","756.54","956.00","709.35",152912,"115,683,912.70",12889
"30-Dec-2021","EQ","745.05","755.85","745.05","749.15","753.00","752.45","749.91","956.00","709.35",176223,"132,150,959.90",10156
"29-Dec-2021","EQ","753.50","753.50","745.00","750.90","750.00","749.15","748.53","956.00","709.35",86606,"64,827,202.25",7601
"28-Dec-2021","EQ","752.45","754.00","747.55","749.35","750.00","750.90","751.07","956.00","709.35",93506,"70,229,651.60",6275
"27-Dec-2021","EQ","746.95","755.40","735.35","745.15","746.80","749.35","749.57","956.00","709.35",216448,"162,242,209.50",14001
"24-Dec-2021","EQ","743.50","748.75","735.00","738.55","745.95","745.15","742.59","956.00","709.35",117216,"87,043,832.25",5803
