"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","417.90","427.55","413.35","414.85","425.05","424.45","419.90","512.80","350.35",3276800,"1,375,942,329.75",50553
"28-Jan-2022","EQ","412.40","422.35","411.95","411.95","418.40","414.85","416.87","512.80","350.35",1670053,"696,202,844.70",34470
"27-Jan-2022","EQ","417.90","417.90","408.50","420.25","410.30","411.95","411.07","512.80","350.35",2238682,"920,265,855.70",50502
"25-Jan-2022","EQ","408.80","425.60","397.15","412.60","419.80","420.25","413.97","512.80","350.35",863783,"357,580,332.15",30893
"24-Jan-2022","EQ","420.00","421.20","405.00","420.05","407.00","412.60","413.19","512.80","350.35",826559,"341,522,376.00",29460
"21-Jan-2022","EQ","432.65","433.80","418.05","433.85","420.95","420.05","421.39","512.80","350.35",1487786,"626,938,567.70",34741
"20-Jan-2022","EQ","436.00","436.00","427.10","435.55","434.50","433.85","432.59","512.80","350.35",1577796,"682,544,067.65",21799
"19-Jan-2022","EQ","437.00","439.60","429.05","435.30","436.00","435.55","434.25","512.80","350.35",1461755,"634,762,257.40",24414
"18-Jan-2022","EQ","446.95","451.75","416.30","444.60","451.00","435.30","439.60","512.80","350.35",2445048,"1,074,843,653.70",36766
"17-Jan-2022","EQ","443.70","450.70","443.50","446.65","444.50","444.60","445.75","512.80","350.35",889473,"396,478,927.65",21170
"14-Jan-2022","EQ","445.60","451.95","445.00","448.65","445.50","446.65","447.26","512.80","350.35",1133406,"506,930,603.10",23026
"13-Jan-2022","EQ","443.95","450.75","442.80","444.50","448.40","448.65","446.20","512.80","350.35",1639648,"731,609,204.85",26215
"12-Jan-2022","EQ","443.05","449.35","442.40","444.05","444.00","444.50","445.63","512.80","350.35",781432,"348,226,849.90",22141
"11-Jan-2022","EQ","441.00","451.95","438.45","445.05","443.05","444.05","442.88","512.80","350.35",1864439,"825,726,906.25",28449
"10-Jan-2022","EQ","442.05","446.95","439.00","444.80","445.75","445.05","443.85","512.80","350.35",759025,"336,894,831.25",22956
"07-Jan-2022","EQ","438.10","448.50","438.00","441.15","444.05","444.80","444.27","512.80","350.35",1091678,"485,000,766.15",33445
"06-Jan-2022","EQ","440.15","444.25","433.75","443.05","442.35","441.15","439.91","512.80","350.35",914616,"402,345,327.55",29275
"05-Jan-2022","EQ","435.80","450.00","434.40","436.05","442.05","443.05","444.45","512.80","350.35",1154263,"513,017,669.10",41249
"04-Jan-2022","EQ","441.45","443.05","435.05","441.45","435.80","436.05","439.26","512.80","350.35",535329,"235,147,859.35",26982
"03-Jan-2022","EQ","436.05","443.90","436.05","437.45","442.05","441.45","441.57","512.80","350.35",349612,"154,377,188.85",23749
"31-Dec-2021","EQ","433.00","440.05","430.95","432.20","436.90","437.45","437.24","512.80","350.35",634761,"277,541,901.15",28347
"30-Dec-2021","EQ","432.30","434.95","428.75","430.30","432.50","432.20","431.93","512.80","350.35",667589,"288,350,568.10",24560
"29-Dec-2021","EQ","436.00","436.00","425.60","435.30","430.90","430.30","429.97","512.80","350.35",598761,"257,448,617.80",24267
