"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","144.95","145.40","142.75","143.40","144.05","143.75","143.92","189.70","128.70",813529,"117,086,417.80",11344
"28-Jan-2022","EQ","143.25","147.45","142.80","143.25","142.95","143.40","145.41","189.70","128.70",1499763,"218,080,231.35",16759
"27-Jan-2022","EQ","141.95","144.15","140.65","142.90","143.90","143.25","142.00","189.70","128.70",3199046,"454,270,637.05",20798
"25-Jan-2022","EQ","137.00","144.20","136.95","138.70","142.80","142.90","141.79","189.70","128.70",1285754,"182,312,123.80",17915
"24-Jan-2022","EQ","141.80","142.00","136.80","140.95","139.15","138.70","139.34","189.70","128.70",1402427,"195,407,852.75",14621
"21-Jan-2022","EQ","142.90","143.70","139.20","144.05","141.15","140.95","141.55","189.70","128.70",1257405,"177,980,398.00",14299
"20-Jan-2022","EQ","144.00","145.50","143.45","143.95","143.70","144.05","144.67","189.70","128.70",978720,"141,591,512.30",9523
"19-Jan-2022","EQ","144.00","144.30","142.50","143.65","144.00","143.95","143.63","189.70","128.70",756287,"108,623,681.60",9487
"18-Jan-2022","EQ","146.25","147.00","143.00","146.10","144.15","143.65","144.85","189.70","128.70",1474684,"213,610,112.15",15842
"17-Jan-2022","EQ","147.05","149.70","145.15","146.90","146.20","146.10","147.54","189.70","128.70",2194557,"323,786,013.15",12274
"14-Jan-2022","EQ","148.00","149.25","146.20","149.70","146.95","146.90","147.35","189.70","128.70",939320,"138,410,583.70",7789
"13-Jan-2022","EQ","146.00","150.55","144.25","145.65","149.25","149.70","148.16","189.70","128.70",3463630,"513,167,470.25",18552
"12-Jan-2022","EQ","145.00","146.25","144.50","144.35","145.45","145.65","145.34","189.70","128.70",957090,"139,106,894.85",15675
"11-Jan-2022","EQ","146.90","146.90","143.35","146.00","144.35","144.35","144.70","189.70","128.70",1159834,"167,826,812.55",8411
"10-Jan-2022","EQ","141.00","146.90","139.65","139.40","146.55","146.00","143.62","189.70","128.70",4504051,"646,880,254.90",31666
"07-Jan-2022","EQ","139.50","142.10","138.70","140.00","139.50","139.40","139.79","189.70","128.70",6258154,"874,854,812.45",25361
"06-Jan-2022","EQ","144.00","144.00","139.50","144.30","140.00","140.00","140.87","189.70","128.70",4416454,"622,153,464.15",23258
"05-Jan-2022","EQ","142.40","146.55","140.30","141.95","144.00","144.30","143.84","189.70","128.70",4468337,"642,731,214.90",30456
"04-Jan-2022","EQ","138.60","142.40","138.25","138.60","141.40","141.95","140.89","189.70","128.70",2576588,"363,010,139.85",15958
"03-Jan-2022","EQ","135.00","138.90","134.65","134.65","138.40","138.60","137.21","189.70","128.70",1503638,"206,313,297.05",15332
"31-Dec-2021","EQ","136.50","136.55","134.30","135.95","134.90","134.65","135.28","189.70","128.70",1552392,"210,001,564.30",6725
"30-Dec-2021","EQ","137.70","138.10","135.25","137.90","135.50","135.95","136.37","189.70","128.70",2642747,"360,388,457.25",10738
"29-Dec-2021","EQ","134.60","138.60","133.60","135.10","137.75","137.90","136.52","189.70","128.70",3248017,"443,432,222.65",17075
"28-Dec-2021","EQ","133.00","136.00","131.60","132.00","135.60","135.10","134.34","189.70","128.70",3504063,"470,745,218.25",14034
"27-Dec-2021","EQ","131.05","133.00","130.45","133.70","132.00","132.00","131.93","189.70","128.70",2183778,"288,102,149.20",8442
"24-Dec-2021","EQ","136.05","136.80","133.25","135.90","133.55","133.70","134.28","189.70","128.70",689178,"92,540,744.15",6880
"23-Dec-2021","EQ","135.75","137.50","135.60","135.85","135.70","135.90","136.66","189.70","128.70",1121808,"153,302,132.10",12172
"22-Dec-2021","EQ","135.05","136.95","134.20","134.25","135.75","135.85","135.20","189.70","128.70",1492326,"201,765,669.85",13255
"21-Dec-2021","EQ","135.10","137.80","133.70","134.90","134.50","134.25","135.72","189.70","128.70",1023792,"138,946,422.05",10838
"20-Dec-2021","EQ","139.70","139.80","128.70","140.00","134.80","134.90","133.69","189.70","128.70",5720954,"764,822,323.00",29311
"17-Dec-2021","EQ","143.05","143.85","139.50","143.40","140.00","140.00","140.86","189.80","139.50",1332040,"187,635,112.70",10558
"16-Dec-2021","EQ","146.00","146.65","142.65","145.90","144.00","143.40","143.94","189.80","142.15",1311298,"188,751,032.65",11657
"15-Dec-2021","EQ","147.60","148.85","145.60","147.60","146.00","145.90","146.77","189.80","142.15",748609,"109,875,276.40",6064
"14-Dec-2021","EQ","148.30","148.80","146.60","148.80","147.60","147.60","147.55","189.80","142.15",922594,"136,131,464.70",11701
"13-Dec-2021","EQ","151.35","151.90","148.45","149.95","148.70","148.80","149.81","189.80","142.15",1537017,"230,264,136.30",8774
"10-Dec-2021","EQ","146.75","150.50","146.35","146.00","150.20","149.95","148.96","189.80","142.15",2496171,"371,823,174.95",17399
"09-Dec-2021","EQ","147.40","147.40","145.25","146.05","146.35","146.00","146.00","189.80","142.15",1270791,"185,531,126.85",6514
"08-Dec-2021","EQ","146.90","147.55","145.60","145.05","146.55","146.05","146.20","189.80","142.15",1767185,"258,363,445.80",11862
"07-Dec-2021","EQ","144.00","146.80","143.30","142.65","145.45","145.05","145.57","189.80","142.15",2467932,"359,253,497.50",12500
"06-Dec-2021","EQ","144.20","145.15","142.15","144.20","142.85","142.65","143.83","189.80","142.15",876336,"126,042,613.65",8682
"03-Dec-2021","EQ","146.45","146.50","143.55","145.45","144.00","144.20","145.40","189.80","142.55",1098495,"159,718,990.85",7431
"02-Dec-2021","EQ","146.65","146.65","144.60","145.90","145.80","145.45","145.58","189.80","142.55",1888928,"274,998,134.05",17187
"01-Dec-2021","EQ","144.70","146.90","144.15","144.70","146.00","145.90","145.71","189.80","142.55",810062,"118,033,413.00",8784
"30-Nov-2021","EQ","146.00","148.00","144.05","144.80","144.55","144.70","145.69","189.80","142.55",2091998,"304,772,924.60",16365
