"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","945.90","947.30","933.70","933.70","941.90","942.00","940.51","1,064.45","654.25",234218,"220,283,440.75",12242
"28-Jan-2022","EQ","915.00","944.80","915.00","906.55","940.00","933.70","936.27","1,064.45","601.45",357392,"334,616,164.30",14589
"27-Jan-2022","EQ","928.45","928.45","899.85","929.40","908.00","906.55","906.85","1,064.45","601.45",435590,"395,013,722.95",29089
"25-Jan-2022","EQ","888.20","933.70","877.20","896.10","925.20","929.40","914.48","1,064.45","601.45",736229,"673,269,305.55",32036
"24-Jan-2022","EQ","920.00","927.75","888.90","921.30","892.20","896.10","898.92","1,064.45","601.45",899243,"808,343,849.20",24941
"21-Jan-2022","EQ","948.00","948.00","910.00","948.05","921.50","921.30","928.05","1,064.45","583.35",527085,"489,161,160.85",21678
"20-Jan-2022","EQ","964.00","964.00","940.55","964.55","947.50","948.05","949.59","1,064.45","583.35",1794379,"1,703,925,162.85",40593
"19-Jan-2022","EQ","988.00","991.90","950.80","987.85","965.00","964.55","963.06","1,064.45","583.35",1298605,"1,250,630,617.45",23942
"18-Jan-2022","EQ","1,007.00","1,025.85","981.00","1,001.75","989.25","987.85","1,003.18","1,064.45","583.35",870391,"873,159,621.35",40372
"17-Jan-2022","EQ","998.00","1,009.20","986.00","986.85","1,002.00","1,001.75","1,000.09","1,064.45","583.35",479224,"479,266,431.90",21890
"14-Jan-2022","EQ","977.00","1,018.00","968.00","975.45","988.00","986.85","998.61","1,064.45","583.35",1457453,"1,455,430,713.80",50777
"13-Jan-2022","EQ","974.20","980.25","964.00","974.20","977.20","975.45","971.37","1,064.45","583.35",302741,"294,075,008.10",9424
"12-Jan-2022","EQ","983.60","983.60","963.00","974.80","970.05","974.20","971.15","1,064.45","583.35",201156,"195,352,312.00",7598
"11-Jan-2022","EQ","954.00","985.00","948.30","952.15","971.95","974.80","968.14","1,064.45","583.35",640620,"620,209,081.20",20230
"10-Jan-2022","EQ","940.00","956.00","934.95","943.55","950.00","952.15","947.18","1,064.45","583.35",453512,"429,556,655.50",16807
"07-Jan-2022","EQ","945.00","946.10","935.35","941.65","937.00","943.55","940.85","1,064.45","583.35",217166,"204,320,548.95",8080
"06-Jan-2022","EQ","906.00","944.90","906.00","929.30","939.60","941.65","928.83","1,064.45","583.35",714262,"663,427,068.80",15538
"05-Jan-2022","EQ","948.00","948.00","927.25","949.45","928.95","929.30","931.66","1,064.45","583.35",471227,"439,022,935.55",6783
"04-Jan-2022","EQ","947.15","958.20","935.15","942.25","949.80","949.45","949.97","1,064.45","583.35",236996,"225,139,718.20",11197
"03-Jan-2022","EQ","942.35","954.70","938.90","941.80","942.50","942.25","947.40","1,064.45","583.35",151922,"143,930,229.95",6257
"31-Dec-2021","EQ","932.40","944.40","931.00","932.40","940.65","941.80","940.18","1,064.45","564.45",144411,"135,772,695.10",5686
"30-Dec-2021","EQ","930.40","945.00","925.95","938.95","930.10","932.40","935.46","1,064.45","564.45",352159,"329,429,591.00",12807
"29-Dec-2021","EQ","939.05","947.45","935.25","939.40","939.00","938.95","941.25","1,064.45","564.45",251667,"236,881,066.75",8464
"28-Dec-2021","EQ","927.40","942.35","925.15","919.55","933.85","939.40","934.98","1,064.45","564.45",327873,"306,554,534.95",12471
"27-Dec-2021","EQ","915.00","928.95","910.60","918.40","920.00","919.55","919.24","1,064.45","564.45",227959,"209,549,105.55",9917
