"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","538.10","541.50","535.30","533.95","538.00","536.75","538.76","658.95","497.05",1749168,"942,384,181.90",30232
"28-Jan-2022","EQ","533.25","542.50","531.10","529.05","535.45","533.95","536.47","658.95","497.05",1426419,"765,235,441.65",25980
"27-Jan-2022","EQ","541.00","542.00","527.05","542.80","529.40","529.05","530.57","658.95","497.05",2183776,"1,158,645,490.95",57707
"25-Jan-2022","EQ","544.10","546.15","536.65","546.10","542.00","542.80","542.83","658.95","497.05",1847960,"1,003,127,964.95",44696
"24-Jan-2022","EQ","552.00","554.35","541.00","551.55","546.30","546.10","549.09","658.95","497.05",2431761,"1,335,259,221.40",60621
"21-Jan-2022","EQ","555.20","558.75","547.90","559.85","552.90","551.55","552.21","658.95","497.05",2389963,"1,319,771,888.75",34384
"20-Jan-2022","EQ","568.95","569.00","556.25","568.55","560.20","559.85","560.84","658.95","497.05",1007594,"565,100,304.80",25852
"19-Jan-2022","EQ","563.90","569.60","560.00","563.90","568.10","568.55","565.96","658.95","497.05",1103105,"624,310,240.30",31852
"18-Jan-2022","EQ","569.60","571.30","562.60","569.60","564.00","563.90","564.93","658.95","497.05",1185072,"669,478,719.75",41566
"17-Jan-2022","EQ","575.80","578.45","568.90","575.80","570.00","569.60","571.59","658.95","497.05",1486008,"849,392,524.45",41900
"14-Jan-2022","EQ","576.60","584.20","571.05","580.70","576.00","575.80","575.68","658.95","497.05",2009075,"1,156,593,097.55",45098
"13-Jan-2022","EQ","582.50","584.85","577.55","582.50","581.10","580.70","579.35","658.95","497.05",1421440,"823,517,802.45",42718
"12-Jan-2022","EQ","590.10","590.40","580.60","587.55","582.50","582.50","584.66","658.95","497.05",1287352,"752,660,431.35",39809
"11-Jan-2022","EQ","590.40","590.80","584.00","589.10","587.00","587.55","587.30","658.95","497.05",815198,"478,761,782.00",37297
"10-Jan-2022","EQ","589.00","591.25","586.05","587.50","589.50","589.10","588.79","658.95","497.05",813368,"478,905,880.05",23060
"07-Jan-2022","EQ","583.05","590.85","582.55","582.55","586.90","587.50","587.01","658.95","497.05",1492507,"876,111,228.05",32169
"06-Jan-2022","EQ","582.50","583.45","574.40","582.50","583.35","582.55","579.63","658.95","497.05",1246823,"722,690,891.70",25999
"05-Jan-2022","EQ","575.00","583.50","573.65","574.05","582.00","582.50","579.26","658.95","497.05",1001768,"580,285,644.95",22152
"04-Jan-2022","EQ","583.00","583.00","570.50","581.15","575.00","574.05","574.17","658.95","497.05",3062561,"1,758,420,126.90",41377
