"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","137.00","137.60","130.45","134.25","131.50","131.40","132.61","378.90","122.60",1295964,"171,851,746.15",13016
"28-Jan-2022","EQ","136.80","140.60","132.65","134.05","134.40","134.25","136.10","378.90","122.60",2094594,"285,065,895.30",15352
"27-Jan-2022","EQ","137.40","137.60","128.50","136.35","134.10","134.05","132.97","378.90","122.60",1659512,"220,671,612.80",17424
"25-Jan-2022","EQ","139.90","142.00","122.60","141.60","136.00","136.35","137.16","378.90","122.60",1970080,"270,209,263.35",23216
"24-Jan-2022","EQ","150.00","150.90","140.05","150.80","141.20","141.60","144.32","378.90","139.20",1115829,"161,035,760.85",13875
"21-Jan-2022","EQ","154.80","155.00","148.10","154.70","150.50","150.80","151.83","378.90","139.20",1020497,"154,945,213.80",10848
"20-Jan-2022","EQ","153.80","156.65","150.15","152.50","155.50","154.70","153.09","378.90","139.20",897500,"137,400,141.20",9865
"19-Jan-2022","EQ","154.55","154.55","149.50","153.65","152.30","152.50","151.98","378.90","139.20",971115,"147,586,888.25",11363
"18-Jan-2022","EQ","157.95","159.70","152.95","157.05","153.95","153.65","156.02","378.90","139.20",1118040,"174,436,599.35",12260
"17-Jan-2022","EQ","157.90","160.00","156.65","157.65","157.00","157.05","157.42","378.90","139.20",1037456,"163,320,785.65",10303
"14-Jan-2022","EQ","158.05","161.85","156.55","158.55","157.70","157.65","158.69","395.95","139.20",1285838,"204,049,914.55",12070
"13-Jan-2022","EQ","161.35","161.80","157.65","160.75","158.35","158.55","159.14","395.95","139.20",853919,"135,889,016.90",9598
"12-Jan-2022","EQ","163.95","165.00","159.10","162.70","159.90","160.75","161.84","395.95","139.20",1178995,"190,803,607.45",14109
"11-Jan-2022","EQ","157.50","165.85","157.45","157.25","162.70","162.70","162.72","395.95","139.20",3818239,"621,296,067.20",37146
