"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","4,020.00","4,108.95","3,995.85","3,940.70","4,031.00","4,036.10","4,040.52","5,425.10","3,153.30",454611,"1,836,865,838.25",56886
"28-Jan-2022","EQ","3,941.00","4,070.00","3,930.15","3,939.85","3,954.50","3,940.70","3,999.65","5,425.10","3,153.30",492149,"1,968,422,545.15",65133
"27-Jan-2022","EQ","4,028.95","4,044.60","3,920.00","4,049.20","3,940.00","3,939.85","3,953.05","5,425.10","3,153.30",864770,"3,418,475,364.40",86486
"25-Jan-2022","EQ","4,000.00","4,096.95","3,930.95","4,056.60","4,055.00","4,049.20","4,018.05","5,425.10","3,153.30",561610,"2,256,575,374.20",66428
"24-Jan-2022","EQ","4,189.00","4,190.00","3,788.95","4,179.40","4,056.00","4,056.60","4,002.82","5,425.10","3,153.30",1397434,"5,593,672,010.30",124719
"21-Jan-2022","EQ","4,328.30","4,328.30","4,137.80","4,329.75","4,189.00","4,179.40","4,201.52","5,425.10","3,153.30",1172704,"4,927,144,175.40",118655
"20-Jan-2022","EQ","4,496.00","4,496.00","4,312.00","4,481.50","4,350.10","4,329.75","4,370.69","5,425.10","3,153.30",805433,"3,520,300,745.75",82925
"19-Jan-2022","EQ","4,550.00","4,550.00","4,465.00","4,527.15","4,479.45","4,481.50","4,487.75","5,425.10","3,153.30",365211,"1,638,977,248.25",36235
"18-Jan-2022","EQ","4,635.00","4,640.35","4,512.05","4,630.35","4,531.00","4,527.15","4,562.73","5,425.10","3,153.30",340707,"1,554,554,124.05",33199
"17-Jan-2022","EQ","4,615.00","4,668.00","4,561.00","4,616.60","4,623.00","4,630.35","4,631.73","5,425.10","3,153.30",315394,"1,460,819,975.25",27582
"14-Jan-2022","EQ","4,590.00","4,636.00","4,559.00","4,590.05","4,615.30","4,616.60","4,612.39","5,425.10","3,153.30",399974,"1,844,836,990.15",34987
"13-Jan-2022","EQ","4,493.00","4,619.15","4,466.00","4,492.90","4,589.00","4,590.05","4,564.43","5,425.10","3,153.30",646137,"2,949,247,156.80",66594
