"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","4,300.00","4,524.95","4,189.25","4,392.00","4,416.05","4,407.25","4,333.94","21,499.00","3,345.15",1138496,"4,934,170,262.60",125246
"28-Jan-2022","EQ","4,400.00","4,829.60","4,117.50","4,390.55","4,371.85","4,392.00","4,374.23","21,499.00","3,345.15",1205399,"5,272,697,137.80",142115
"27-Jan-2022","EQ","4,525.00","4,525.00","4,379.05","4,552.10","4,390.00","4,390.55","4,426.47","21,499.00","3,345.15",528674,"2,340,156,959.75",84263
"25-Jan-2022","EQ","4,590.00","4,725.00","4,411.00","4,620.55","4,553.00","4,552.10","4,597.39","21,499.00","3,345.15",589319,"2,709,329,082.00",96907
"24-Jan-2022","EQ","4,980.00","4,997.00","4,588.00","4,979.25","4,625.00","4,620.55","4,684.96","21,499.00","3,345.15",913867,"4,281,426,686.95",115600
"21-Jan-2022","EQ","5,170.00","5,227.00","4,941.55","5,226.25","5,000.00","4,979.25","5,059.67","21,499.00","3,345.15",341256,"1,726,642,291.70",50821
"20-Jan-2022","EQ","5,263.00","5,287.40","5,210.00","5,259.20","5,235.05","5,226.25","5,245.90","21,499.00","3,345.15",132290,"693,979,459.15",16471
"19-Jan-2022","EQ","5,260.00","5,303.70","5,210.00","5,235.65","5,265.00","5,259.20","5,269.77","21,499.00","3,345.15",258538,"1,362,436,256.25",27342
"18-Jan-2022","EQ","5,440.00","5,444.10","5,181.00","5,388.10","5,259.00","5,235.65","5,336.29","21,499.00","3,345.15",286207,"1,527,284,213.15",32593
"17-Jan-2022","EQ","5,280.00","5,410.00","5,255.00","5,268.35","5,388.00","5,388.10","5,362.40","21,499.00","3,345.15",325628,"1,746,146,400.60",37807
"14-Jan-2022","EQ","5,250.00","5,310.00","5,245.90","5,269.45","5,270.00","5,268.35","5,280.26","21,499.00","3,345.15",92897,"490,520,037.15",14165
"13-Jan-2022","EQ","5,330.00","5,352.95","5,245.90","5,266.00","5,278.00","5,269.45","5,285.65","21,499.00","3,345.15",188976,"998,860,764.90",21540
"12-Jan-2022","EQ","5,306.75","5,369.00","5,241.00","5,265.10","5,275.00","5,266.00","5,298.59","21,499.00","3,345.15",261993,"1,388,194,533.15",27069
"11-Jan-2022","EQ","5,296.50","5,328.30","5,258.65","5,290.20","5,267.95","5,265.10","5,288.22","21,499.00","3,345.15",168200,"889,479,269.65",24222
"10-Jan-2022","EQ","5,322.00","5,356.95","5,278.00","5,295.05","5,296.50","5,290.20","5,314.33","21,499.00","3,345.15",174787,"928,875,440.75",19354
"07-Jan-2022","EQ","5,390.85","5,392.95","5,280.00","5,338.50","5,288.00","5,295.05","5,309.96","21,499.00","3,345.15",227966,"1,210,489,837.30",26091
"06-Jan-2022","EQ","5,300.00","5,347.80","5,220.00","5,312.95","5,338.95","5,338.50","5,296.66","21,499.00","3,345.15",276201,"1,462,941,798.70",33224
"05-Jan-2022","EQ","5,479.00","5,479.00","5,300.00","5,480.95","5,325.00","5,312.95","5,358.12","21,499.00","3,345.15",356761,"1,911,569,928.60",63670
"04-Jan-2022","EQ","5,540.00","5,554.70","5,442.20","5,517.10","5,477.00","5,480.95","5,482.10","21,499.00","3,345.15",157713,"864,598,580.60",17950
"03-Jan-2022","EQ","5,526.00","5,573.10","5,505.00","5,509.55","5,531.00","5,517.10","5,529.82","21,499.00","3,345.15",161271,"891,799,908.65",21113
"31-Dec-2021","EQ","5,575.00","5,600.00","5,491.15","5,555.50","5,507.90","5,509.55","5,529.56","21,499.00","3,345.15",220185,"1,217,526,582.35",23351
"30-Dec-2021","EQ","5,543.50","5,584.55","5,500.00","5,554.80","5,553.80","5,555.50","5,544.01","21,499.00","3,345.15",188151,"1,043,111,016.10",19094
