"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","4,249.95","4,368.60","4,240.05","4,218.60","4,296.70","4,302.80","4,321.78","5,614.60","4,135.00",618555,"2,673,260,853.50",50488
"28-Jan-2022","EQ","4,248.80","4,380.00","4,175.45","4,256.35","4,225.00","4,218.60","4,286.68","5,614.60","4,135.00",1302984,"5,585,480,810.80",110193
"27-Jan-2022","EQ","4,340.00","4,365.15","4,232.00","4,402.85","4,254.00","4,256.35","4,286.65","5,614.60","4,135.00",705506,"3,024,254,790.65",82990
"25-Jan-2022","EQ","4,364.35","4,418.95","4,301.00","4,364.35","4,417.00","4,402.85","4,372.66","5,614.60","4,135.00",340902,"1,490,649,385.05",42258
"24-Jan-2022","EQ","4,486.10","4,489.80","4,311.00","4,496.15","4,350.20","4,364.35","4,388.32","5,614.60","4,135.00",556498,"2,442,092,435.50",62200
"21-Jan-2022","EQ","4,561.25","4,570.00","4,435.00","4,591.55","4,501.50","4,496.15","4,495.93","5,614.60","4,135.00",557548,"2,506,695,808.80",76363
"20-Jan-2022","EQ","4,712.00","4,712.00","4,570.00","4,684.95","4,597.10","4,591.55","4,608.08","5,614.60","4,135.00",317739,"1,464,165,617.25",40089
"19-Jan-2022","EQ","4,695.00","4,734.40","4,654.95","4,693.55","4,677.00","4,684.95","4,688.51","5,614.60","4,135.00",307887,"1,443,530,071.15",30153
"18-Jan-2022","EQ","4,670.00","4,724.45","4,621.00","4,672.40","4,691.25","4,693.55","4,679.88","5,614.60","4,135.00",424528,"1,986,742,124.15",35714
"17-Jan-2022","EQ","4,665.50","4,699.95","4,605.50","4,689.20","4,666.40","4,672.40","4,660.49","5,614.60","4,135.00",538649,"2,510,368,157.70",30373
"14-Jan-2022","EQ","4,720.20","4,723.00","4,660.55","4,725.95","4,685.95","4,689.20","4,688.82","5,614.60","4,135.00",318860,"1,495,076,432.95",27039
"13-Jan-2022","EQ","4,700.00","4,759.60","4,684.60","4,693.40","4,732.25","4,725.95","4,729.67","5,614.60","4,135.00",454051,"2,147,513,036.30",46876
"12-Jan-2022","EQ","4,680.00","4,703.30","4,634.00","4,669.25","4,688.00","4,693.40","4,673.02","5,614.60","4,135.00",237769,"1,111,099,423.70",29501
"11-Jan-2022","EQ","4,710.00","4,739.90","4,660.55","4,699.05","4,665.00","4,669.25","4,692.93","5,614.60","4,135.00",309432,"1,452,144,047.80",46460
"10-Jan-2022","EQ","4,728.40","4,728.40","4,655.15","4,708.40","4,697.60","4,699.05","4,686.91","5,614.60","4,135.00",315019,"1,476,465,651.20",28301
"07-Jan-2022","EQ","4,769.45","4,769.45","4,690.00","4,739.45","4,706.50","4,708.40","4,721.36","5,614.60","4,135.00",267123,"1,261,185,078.75",34280
"06-Jan-2022","EQ","4,790.40","4,836.05","4,728.30","4,790.40","4,733.95","4,739.45","4,764.57","5,614.60","4,135.00",381643,"1,818,363,038.55",35851
"05-Jan-2022","EQ","4,880.00","4,904.60","4,757.05","4,835.45","4,790.00","4,790.40","4,819.50","5,614.60","4,135.00",536802,"2,587,117,835.60",51862
"04-Jan-2022","EQ","4,861.00","4,892.90","4,825.00","4,853.15","4,839.00","4,835.45","4,848.58","5,614.60","4,135.00",253438,"1,228,814,017.20",40265
"03-Jan-2022","EQ","4,907.00","4,930.30","4,847.70","4,907.00","4,857.00","4,853.15","4,872.80","5,614.60","4,135.00",292601,"1,425,786,791.15",31353
"31-Dec-2021","EQ","4,904.00","4,931.05","4,876.50","4,904.70","4,905.65","4,907.00","4,905.22","5,614.60","4,135.00",288568,"1,415,488,792.45",28594
"30-Dec-2021","EQ","4,830.00","4,927.95","4,825.05","4,833.15","4,898.95","4,904.70","4,890.99","5,614.60","4,135.00",553146,"2,705,433,556.85",55754
"29-Dec-2021","EQ","4,743.80","4,848.15","4,743.80","4,743.80","4,822.00","4,833.15","4,816.63","5,614.60","4,135.00",505604,"2,435,305,759.00",43249
"28-Dec-2021","EQ","4,736.90","4,773.60","4,703.05","4,736.90","4,749.95","4,743.80","4,742.43","5,614.60","4,135.00",668594,"3,170,760,402.10",31978
"27-Dec-2021","EQ","4,624.10","4,745.00","4,621.10","4,638.65","4,734.00","4,736.90","4,708.89","5,614.60","4,135.00",339268,"1,597,574,216.30",36889
"24-Dec-2021","EQ","4,725.00","4,730.00","4,611.00","4,694.80","4,624.00","4,638.65","4,659.94","5,614.60","4,135.00",251826,"1,173,493,872.30",24496
"23-Dec-2021","EQ","4,673.70","4,700.00","4,655.10","4,648.50","4,693.70","4,694.80","4,686.36","5,614.60","4,135.00",166240,"779,060,624.65",24228
"22-Dec-2021","EQ","4,640.00","4,679.30","4,610.00","4,620.90","4,641.00","4,648.50","4,651.59","5,614.60","4,135.00",213679,"993,946,651.65",25688
"21-Dec-2021","EQ","4,561.05","4,629.20","4,543.80","4,560.70","4,620.00","4,620.90","4,603.23","5,614.60","4,135.00",258754,"1,191,103,466.35",26693
"20-Dec-2021","EQ","4,496.20","4,575.00","4,462.00","4,517.95","4,561.05","4,560.70","4,528.55","5,614.60","4,135.00",341777,"1,547,752,549.50",42976
"17-Dec-2021","EQ","4,630.00","4,648.00","4,496.80","4,597.35","4,512.00","4,517.95","4,540.97","5,614.60","4,135.00",483512,"2,195,614,339.90",45128
"16-Dec-2021","EQ","4,630.00","4,638.95","4,570.00","4,600.30","4,600.95","4,597.35","4,600.31","5,614.60","4,135.00",201321,"926,139,454.75",26363
"15-Dec-2021","EQ","4,645.10","4,646.55","4,572.30","4,646.55","4,610.00","4,600.30","4,596.92","5,614.60","4,135.00",307545,"1,413,761,229.95",17014
