"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","494.90","507.20","489.00","490.15","494.10","498.30","498.22","621.80","442.50",938700,"467,680,217.50",29414
"28-Jan-2022","EQ","480.00","497.00","479.15","479.15","493.00","490.15","490.57","621.80","442.50",966171,"473,973,062.50",19426
"27-Jan-2022","EQ","475.90","489.50","471.95","475.00","480.00","479.15","480.14","621.80","442.50",335178,"160,933,341.50",29548
"25-Jan-2022","EQ","471.00","480.90","467.00","470.35","474.00","475.00","473.93","621.80","442.50",597696,"283,264,077.55",18928
"24-Jan-2022","EQ","474.90","476.80","466.00","472.50","469.40","470.35","470.70","621.80","442.50",567967,"267,340,953.95",20820
"21-Jan-2022","EQ","466.05","487.80","466.05","476.50","469.00","472.50","476.68","621.80","442.50",530867,"253,051,200.50",17959
"20-Jan-2022","EQ","485.00","485.00","475.30","485.95","476.20","476.50","477.56","621.80","442.50",330001,"157,595,683.90",13210
"19-Jan-2022","EQ","493.15","495.25","480.15","494.15","485.50","485.95","484.41","621.80","442.50",688368,"333,448,918.10",25965
"18-Jan-2022","EQ","501.80","501.80","491.80","500.00","492.85","494.15","496.17","621.80","442.50",330117,"163,795,051.90",13544
"17-Jan-2022","EQ","500.00","506.00","499.00","500.00","499.05","500.00","501.24","621.80","442.50",189884,"95,178,283.65",7987
"14-Jan-2022","EQ","500.30","501.55","498.20","500.35","498.95","500.00","500.18","621.80","442.50",146421,"73,236,152.65",7310
"13-Jan-2022","EQ","503.90","505.85","498.00","501.40","498.95","500.35","501.64","621.80","442.50",141169,"70,816,586.20",8849
"12-Jan-2022","EQ","505.85","508.30","498.00","503.25","501.95","501.40","500.85","621.80","442.50",570020,"285,496,554.15",31064
"11-Jan-2022","EQ","509.75","512.30","501.55","509.75","501.95","503.25","506.26","621.80","442.50",204190,"103,373,346.35",11354
"10-Jan-2022","EQ","517.00","518.85","505.00","515.85","509.00","509.75","512.61","621.80","442.50",244549,"125,358,054.35",9062
"07-Jan-2022","EQ","517.00","519.80","509.10","518.10","516.30","515.85","515.00","621.80","420.60",358806,"184,786,477.55",14538
"06-Jan-2022","EQ","509.90","523.10","506.60","511.05","516.50","518.10","517.93","621.80","420.60",1889301,"978,522,031.20",16624
"05-Jan-2022","EQ","515.80","521.50","507.35","514.90","510.00","511.05","513.20","621.80","420.60",395469,"202,954,535.55",15070
"04-Jan-2022","EQ","521.70","524.30","514.00","521.70","514.95","514.90","518.07","621.80","420.60",148537,"76,952,061.25",5582
"03-Jan-2022","EQ","519.60","534.80","519.00","519.00","522.20","521.70","528.72","621.80","420.60",233807,"123,617,479.20",10849
"31-Dec-2021","EQ","507.90","524.00","507.00","507.25","519.55","519.00","512.62","621.80","418.80",342678,"175,664,608.75",7896
"30-Dec-2021","EQ","515.90","519.45","504.05","514.40","506.00","507.25","509.48","621.80","418.80",194003,"98,841,563.65",8053
"29-Dec-2021","EQ","520.00","523.65","510.00","523.00","515.50","514.40","516.55","621.80","418.80",250848,"129,576,555.85",5243
"28-Dec-2021","EQ","519.90","525.00","516.20","517.40","520.65","523.00","519.02","621.80","418.80",409253,"212,412,181.05",5666
"27-Dec-2021","EQ","520.00","523.75","515.70","523.85","517.00","517.40","519.09","621.80","418.80",72668,"37,721,242.25",4437
"24-Dec-2021","EQ","529.00","533.00","521.00","528.85","522.00","523.85","526.99","621.80","393.80",293666,"154,758,319.80",4322
"23-Dec-2021","EQ","536.65","536.65","524.05","534.85","527.20","528.85","532.27","621.80","393.80",832334,"443,025,381.05",9954
"22-Dec-2021","EQ","536.10","537.10","531.40","534.45","532.70","534.85","534.64","621.80","393.80",93989,"50,250,140.55",5159
"21-Dec-2021","EQ","535.65","537.90","528.00","535.60","532.00","534.45","531.21","621.80","393.80",524795,"278,777,446.90",9794
"20-Dec-2021","EQ","530.00","538.00","527.95","542.85","531.70","535.60","533.28","621.80","393.80",144970,"77,309,494.95",8376
"17-Dec-2021","EQ","526.00","550.80","524.50","529.75","537.00","542.85","536.73","621.80","393.80",345256,"185,310,765.05",15145
"16-Dec-2021","EQ","545.00","545.00","527.00","546.30","530.00","529.75","531.00","621.80","393.80",333354,"177,010,292.50",11444
"15-Dec-2021","EQ","527.15","552.40","527.15","527.55","546.00","546.30","545.44","621.80","393.80",745277,"406,501,868.75",20954
"14-Dec-2021","EQ","528.70","534.45","522.25","529.10","523.00","527.55","528.66","621.80","393.80",161809,"85,542,427.90",10197
"13-Dec-2021","EQ","533.30","538.60","527.25","533.20","529.00","529.10","531.46","621.80","393.80",221957,"117,961,960.40",12885
"10-Dec-2021","EQ","531.00","534.70","524.80","528.40","533.50","533.20","529.20","621.80","393.80",175391,"92,816,341.65",6274
"09-Dec-2021","EQ","535.60","536.20","525.15","530.70","527.35","528.40","529.04","621.80","393.80",152454,"80,654,812.45",8745
"08-Dec-2021","EQ","532.90","538.95","525.00","529.90","537.50","530.70","529.45","621.80","393.80",244168,"129,273,819.35",9376
"07-Dec-2021","EQ","537.90","537.90","523.90","537.20","530.00","529.90","530.21","621.80","393.80",343722,"182,243,928.10",11840
"06-Dec-2021","EQ","546.00","552.45","533.55","551.20","535.00","537.20","540.13","621.80","393.80",400994,"216,587,116.60",17677
"03-Dec-2021","EQ","534.00","555.00","519.50","535.25","547.00","551.20","536.98","621.80","393.80",722466,"387,947,222.15",38132
"02-Dec-2021","EQ","514.05","538.70","512.65","514.35","534.90","535.25","521.79","621.80","393.80",830455,"433,322,311.40",16757
"01-Dec-2021","EQ","529.00","529.00","511.00","527.05","514.40","514.35","515.49","621.80","393.80",1239841,"639,127,005.15",13610
"30-Nov-2021","EQ","513.70","532.00","506.25","516.15","525.80","527.05","522.13","621.80","393.80",369740,"193,053,060.35",27057
"29-Nov-2021","EQ","535.00","540.00","511.00","530.80","511.00","516.15","526.20","621.80","393.80",204668,"107,696,145.50",15264
"26-Nov-2021","EQ","522.85","545.55","509.10","525.55","538.55","530.80","522.50","621.80","391.55",417518,"218,154,761.30",10078
"25-Nov-2021","EQ","520.00","527.90","518.15","522.30","524.00","525.55","524.17","621.80","391.55",184156,"96,528,285.15",15554
"24-Nov-2021","EQ","523.00","526.75","515.35","523.50","517.75","522.30","522.22","621.80","391.55",329275,"171,952,770.40",18680
"23-Nov-2021","EQ","517.00","530.00","517.00","530.70","524.00","523.50","526.22","621.80","391.55",2124037,"1,117,711,268.30",13960
