"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","178.85","181.30","171.65","175.35","173.25","173.65","175.87","219.30","152.60",7301500,"1,284,125,767.30",62142
"28-Jan-2022","EQ","174.90","178.75","174.25","173.65","175.50","175.35","177.13","219.30","152.60",1915829,"339,357,436.35",24066
"27-Jan-2022","EQ","174.00","176.85","171.75","175.15","173.60","173.65","173.85","219.30","152.60",3367347,"585,410,352.05",47708
"25-Jan-2022","EQ","171.40","175.75","170.05","173.00","175.50","175.15","174.08","219.30","152.60",1910925,"332,663,230.55",25637
"24-Jan-2022","EQ","175.95","177.50","170.30","176.10","173.00","173.00","173.62","219.30","152.60",2816377,"488,982,908.20",37544
"21-Jan-2022","EQ","176.65","179.50","174.75","177.70","176.65","176.10","177.36","219.30","152.60",2181416,"386,890,818.40",22283
"20-Jan-2022","EQ","179.35","181.30","177.00","179.95","177.65","177.70","178.63","219.30","152.60",1568836,"280,246,738.05",18690
"19-Jan-2022","EQ","178.85","181.00","177.45","179.00","180.00","179.95","179.39","219.30","152.60",2136419,"383,252,927.85",25316
"18-Jan-2022","EQ","183.50","183.50","178.60","182.50","178.90","179.00","181.30","219.30","152.60",3441015,"623,872,294.70",33590
"17-Jan-2022","EQ","176.95","184.05","175.50","173.90","182.50","182.50","180.83","219.30","152.60",13157000,"2,379,213,085.15",102092
"14-Jan-2022","EQ","172.60","176.35","171.75","172.05","173.50","173.90","174.04","219.30","152.60",8464891,"1,473,239,948.95",83593
"13-Jan-2022","EQ","172.45","172.95","170.90","171.80","172.10","172.05","172.04","219.30","152.60",2869085,"493,592,681.90",29482
"12-Jan-2022","EQ","171.00","173.50","170.70","170.20","171.85","171.80","172.45","219.30","152.60",3155760,"544,203,281.20",39211
"11-Jan-2022","EQ","171.50","171.95","169.80","171.35","170.35","170.20","170.71","219.30","152.60",1185761,"202,418,565.65",17586
"10-Jan-2022","EQ","170.80","172.25","170.15","169.65","171.20","171.35","171.24","219.30","152.60",1950936,"334,076,068.60",18658
"07-Jan-2022","EQ","172.00","172.15","169.25","170.95","169.95","169.65","170.42","219.30","152.60",1519215,"258,907,299.05",17739
"06-Jan-2022","EQ","169.00","171.50","168.05","170.50","171.10","170.95","169.95","219.30","152.60",1715072,"291,468,034.25",15721
"05-Jan-2022","EQ","170.25","172.40","169.40","170.05","170.15","170.50","171.01","219.30","152.60",1971454,"337,148,194.40",20745
"04-Jan-2022","EQ","170.90","171.35","168.85","170.35","170.25","170.05","170.13","219.30","152.60",1309625,"222,807,004.10",19826
"03-Jan-2022","EQ","170.00","172.00","169.00","168.35","169.95","170.35","170.18","219.30","152.60",3101370,"527,802,234.20",33672
"31-Dec-2021","EQ","165.90","168.60","165.35","165.15","168.20","168.35","167.74","219.30","152.60",1337204,"224,297,631.60",15652
"30-Dec-2021","EQ","166.95","167.00","164.65","166.95","165.00","165.15","165.89","219.30","152.60",1170693,"194,209,498.00",17308
"29-Dec-2021","EQ","169.60","169.60","166.60","168.45","166.80","166.95","168.12","219.30","152.60",3160443,"531,341,738.10",30244
"28-Dec-2021","EQ","164.75","168.85","164.05","163.55","168.70","168.45","166.54","219.30","152.60",3543245,"590,086,394.00",30975
"27-Dec-2021","EQ","163.00","164.80","161.35","162.60","164.50","163.55","163.30","219.30","152.60",2651952,"433,058,969.55",26615
"24-Dec-2021","EQ","165.25","165.25","162.05","164.45","162.90","162.60","162.94","219.30","152.60",2070644,"337,383,560.35",23747
"23-Dec-2021","EQ","161.00","165.10","159.60","159.05","164.70","164.45","162.53","219.30","152.60",3354746,"545,262,037.55",29600
"22-Dec-2021","EQ","158.90","161.00","158.00","156.50","159.35","159.05","159.27","219.30","152.60",2954029,"470,486,751.90",40489
"21-Dec-2021","EQ","157.00","164.05","155.95","155.25","156.65","156.50","159.21","219.30","152.60",5336636,"849,671,650.90",53478
"20-Dec-2021","EQ","159.40","159.40","152.60","159.80","155.75","155.25","155.23","219.30","152.60",2939176,"456,248,313.35",43067
"17-Dec-2021","EQ","163.00","163.35","159.10","162.95","159.85","159.80","160.54","219.30","156.75",2380145,"382,114,085.30",39175
"16-Dec-2021","EQ","166.00","166.65","162.45","165.65","163.15","162.95","163.66","219.30","156.75",1864609,"305,164,402.65",22766
"15-Dec-2021","EQ","167.95","168.75","165.25","167.65","165.45","165.65","166.68","219.30","156.75",1425502,"237,607,779.05",18402
"14-Dec-2021","EQ","167.10","168.65","165.85","167.35","167.35","167.65","167.31","219.30","156.75",1911493,"319,817,763.60",24779
"13-Dec-2021","EQ","169.95","170.30","167.10","168.70","167.55","167.35","168.74","219.30","156.75",1910333,"322,357,730.05",17167
"10-Dec-2021","EQ","168.40","170.05","167.40","168.40","168.70","168.70","168.64","219.30","156.75",1812899,"305,726,408.45",19912
"09-Dec-2021","EQ","168.00","168.90","166.55","167.35","168.40","168.40","167.62","219.30","156.75",1348577,"226,045,501.10",15828
"08-Dec-2021","EQ","165.20","167.70","165.00","164.45","167.35","167.35","166.25","219.30","156.75",1334637,"221,878,248.25",14835
"07-Dec-2021","EQ","163.00","165.05","163.00","162.45","164.70","164.45","164.31","219.30","156.75",1304132,"214,284,212.05",13121
"06-Dec-2021","EQ","165.80","165.80","162.00","164.95","162.70","162.45","163.98","219.30","156.75",1618586,"265,418,492.10",19829
"03-Dec-2021","EQ","167.00","168.05","164.70","166.25","165.10","164.95","166.30","219.30","156.75",1580224,"262,783,442.90",18563
"02-Dec-2021","EQ","163.45","166.85","163.25","163.15","166.85","166.25","164.92","219.30","156.75",1671327,"275,629,658.60",17212
"01-Dec-2021","EQ","164.80","164.80","162.05","162.80","163.75","163.15","163.05","219.30","156.75",1764098,"287,641,780.55",26145
"30-Nov-2021","EQ","163.70","166.90","162.00","163.70","162.60","162.80","164.48","219.30","156.75",2039097,"335,385,312.05",28584
"29-Nov-2021","EQ","165.05","165.40","160.25","165.70","163.10","163.70","163.30","219.30","156.75",2182798,"356,441,235.00",28768
"26-Nov-2021","EQ","169.00","169.70","165.30","170.10","165.50","165.70","167.16","219.30","156.75",2462903,"411,698,661.65",38576
"25-Nov-2021","EQ","171.35","171.75","168.60","171.35","170.35","170.10","169.74","219.30","156.75",1754515,"297,807,380.40",21684
"24-Nov-2021","EQ","172.75","172.95","170.85","171.55","171.10","171.35","172.11","219.30","156.75",1232564,"212,140,008.95",15839
"23-Nov-2021","EQ","169.25","172.70","167.60","169.60","171.40","171.55","170.71","219.30","156.75",2592639,"442,589,816.30",28479
"22-Nov-2021","EQ","177.00","177.00","168.00","176.05","169.70","169.60","171.04","219.30","156.75",3629053,"620,717,183.90",44523
"18-Nov-2021","EQ","177.10","178.50","174.70","177.50","176.20","176.05","176.37","219.30","156.75",2048271,"361,257,722.25",27992
