"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","267.50","273.90","267.20","265.30","269.55","270.30","270.10","313.45","156.00",834734,"225,460,867.25",11271
"28-Jan-2022","EQ","265.00","272.90","263.85","262.60","265.25","265.30","269.15","313.45","156.00",763449,"205,485,685.25",14827
"27-Jan-2022","EQ","269.70","269.70","261.65","271.05","262.60","262.60","263.69","313.45","156.00",869231,"229,209,945.15",25676
"25-Jan-2022","EQ","263.55","271.90","260.75","266.25","270.90","271.05","266.51","313.45","156.00",953021,"253,991,304.10",19040
"24-Jan-2022","EQ","275.95","275.95","261.20","276.00","262.95","266.25","268.36","313.45","156.00",1675875,"449,738,148.65",24634
"21-Jan-2022","EQ","278.75","280.45","274.00","280.25","276.50","276.00","277.07","313.45","156.00",1064579,"294,967,876.00",15782
"20-Jan-2022","EQ","286.55","290.50","279.00","286.50","280.25","280.25","283.26","313.45","156.00",1645821,"466,191,776.05",31890
"19-Jan-2022","EQ","289.00","290.00","284.10","289.00","286.35","286.50","286.62","313.45","156.00",778330,"223,081,685.65",14822
"18-Jan-2022","EQ","290.65","294.75","285.60","289.40","289.35","289.00","291.14","313.45","156.00",1764331,"513,669,958.30",24062
"17-Jan-2022","EQ","283.55","289.90","283.55","286.45","289.35","289.40","287.67","313.45","156.00",818943,"235,587,737.30",11191
"14-Jan-2022","EQ","287.10","288.55","283.10","287.80","285.00","286.45","285.19","313.45","156.00",1185581,"338,117,952.20",11298
"13-Jan-2022","EQ","295.30","295.30","286.65","293.45","287.10","287.80","288.89","313.45","156.00",1483332,"428,523,766.35",23442
"12-Jan-2022","EQ","288.50","295.50","286.60","286.05","293.45","293.45","292.44","313.45","156.00",1830492,"535,305,970.85",23772
"11-Jan-2022","EQ","286.20","289.10","282.35","289.40","285.95","286.05","285.15","313.45","156.00",1892225,"539,569,128.30",21544
"10-Jan-2022","EQ","286.50","291.50","285.45","286.95","289.65","289.40","288.79","313.45","156.00",1304481,"376,722,394.60",26791
"07-Jan-2022","EQ","288.70","296.50","286.00","288.65","286.50","286.95","291.22","313.45","153.25",2546584,"741,607,329.20",31480
"06-Jan-2022","EQ","289.00","290.95","283.25","293.90","287.80","288.65","287.15","313.45","153.25",2804174,"805,230,731.10",40962
"05-Jan-2022","EQ","302.50","302.50","292.55","304.25","293.50","293.90","295.54","313.45","153.25",2681296,"792,436,354.45",35845
"04-Jan-2022","EQ","312.00","313.45","302.20","309.50","302.90","304.25","306.18","313.45","153.25",2253490,"689,974,661.75",39048
"03-Jan-2022","EQ","299.70","311.30","299.30","297.30","311.00","309.50","306.56","311.30","153.25",4720831,"1,447,215,892.50",59876
"31-Dec-2021","EQ","293.90","308.00","289.15","291.45","297.95","297.30","300.17","308.00","151.40",7036897,"2,112,282,940.35",72652
"30-Dec-2021","EQ","291.00","294.35","288.10","289.50","291.00","291.45","291.45","303.80","151.40",2596642,"756,793,331.15",35551
"29-Dec-2021","EQ","284.00","291.75","282.00","282.80","289.60","289.50","288.17","303.80","151.40",2052365,"591,433,102.75",24718
"28-Dec-2021","EQ","280.90","283.85","278.00","279.40","283.05","282.80","280.87","303.80","151.40",1187570,"333,558,130.40",13847
"27-Dec-2021","EQ","274.35","281.95","272.20","273.65","278.90","279.40","278.36","303.80","151.40",918797,"255,757,340.75",16238
"24-Dec-2021","EQ","277.90","277.90","269.60","277.40","274.70","273.65","273.82","303.80","148.05",900461,"246,564,629.35",10994
"23-Dec-2021","EQ","277.60","280.00","275.00","277.80","276.50","277.40","277.80","303.80","148.05",559743,"155,495,735.20",7378
"22-Dec-2021","EQ","278.45","281.30","275.20","277.95","278.00","277.80","278.11","303.80","148.05",715282,"198,930,027.05",18850
"21-Dec-2021","EQ","271.25","282.00","271.25","268.10","277.00","277.95","278.38","303.80","148.05",1632856,"454,556,538.15",19708
"20-Dec-2021","EQ","273.00","278.90","265.25","276.30","268.00","268.10","271.00","303.80","148.05",1403103,"380,243,443.75",17276
"17-Dec-2021","EQ","290.00","290.00","274.30","290.05","275.40","276.30","280.19","303.80","148.05",1520555,"426,045,488.30",23263
"16-Dec-2021","EQ","290.75","292.50","286.05","289.25","289.80","290.05","289.85","303.80","148.05",2482746,"719,621,797.55",32878
"15-Dec-2021","EQ","282.45","291.90","281.70","282.85","288.90","289.25","289.32","303.80","148.05",2838556,"821,251,402.80",28120
"14-Dec-2021","EQ","280.10","284.50","276.50","283.00","282.70","282.85","280.90","303.80","148.05",1413799,"397,140,275.85",16146
"13-Dec-2021","EQ","279.10","284.90","279.10","280.65","283.00","283.00","283.10","303.80","148.05",1259711,"356,630,387.05",33815
