"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","143.00","144.95","142.45","141.80","144.00","144.30","143.94","171.30","124.25",5185472,"746,377,656.90",29170
"28-Jan-2022","EQ","142.15","146.20","141.30","141.30","141.75","141.80","143.88","171.30","124.25",8927075,"1,284,400,148.30",54207
"27-Jan-2022","EQ","142.00","144.05","140.95","143.75","141.55","141.30","142.14","171.30","124.25",12310614,"1,749,807,716.95",46184
"25-Jan-2022","EQ","138.75","144.15","138.10","140.85","144.00","143.75","142.06","171.30","124.25",11055193,"1,570,482,888.10",43334
"24-Jan-2022","EQ","142.05","143.70","138.70","143.40","140.40","140.85","141.46","171.30","124.25",10501660,"1,485,512,540.35",49765
"21-Jan-2022","EQ","146.45","146.80","141.35","147.35","143.70","143.40","144.40","171.30","124.25",8107838,"1,170,784,750.70",41777
"20-Jan-2022","EQ","147.60","148.50","146.25","147.95","146.50","147.35","147.40","171.30","124.25",6255487,"922,051,480.50",51370
"19-Jan-2022","EQ","142.60","148.50","142.40","142.90","147.40","147.95","146.14","171.30","124.25",19930096,"2,912,577,402.35",114218
"18-Jan-2022","EQ","144.60","146.00","141.95","144.70","142.80","142.90","144.25","171.30","124.25",9183014,"1,324,615,057.10",58037
"17-Jan-2022","EQ","141.55","145.30","140.75","144.30","144.30","144.70","143.21","171.30","124.25",8349604,"1,195,737,711.20",55785
"14-Jan-2022","EQ","144.40","145.60","143.20","144.95","144.05","144.30","144.50","171.30","124.25",4196916,"606,468,314.20",29734
"13-Jan-2022","EQ","143.70","145.35","142.75","143.60","144.90","144.95","144.38","171.30","124.25",6787237,"979,967,337.00",42729
"12-Jan-2022","EQ","142.25","144.00","141.85","141.80","143.50","143.60","142.82","171.30","124.25",4780761,"682,784,969.40",35541
"11-Jan-2022","EQ","142.75","143.45","141.15","142.65","141.70","141.80","142.56","171.30","124.25",6711147,"956,748,280.95",56063
"10-Jan-2022","EQ","140.00","143.00","139.95","139.55","142.45","142.65","141.96","171.30","124.25",8102429,"1,150,243,094.85",44909
"07-Jan-2022","EQ","139.45","140.00","137.65","138.85","139.40","139.55","139.02","171.30","124.25",7511643,"1,044,245,716.70",48689
