"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","491.90","495.00","484.00","487.60","485.55","486.55","489.36","690.95","442.05",547313,"267,832,119.60",12409
"28-Jan-2022","EQ","479.20","496.65","476.00","476.35","487.55","487.60","490.24","690.95","442.05",652573,"319,915,175.95",13538
"27-Jan-2022","EQ","480.00","485.50","474.05","486.05","476.60","476.35","480.68","690.95","442.05",1394447,"670,277,802.65",28059
"25-Jan-2022","EQ","471.10","488.55","465.40","471.95","484.85","486.05","480.11","690.95","442.05",1021124,"490,251,427.05",20368
"24-Jan-2022","EQ","482.30","488.40","467.10","482.95","471.50","471.95","476.61","690.95","442.05",1810487,"862,888,406.90",30667
"21-Jan-2022","EQ","497.35","497.35","481.30","497.35","484.05","482.95","487.62","690.95","442.05",1297526,"632,703,993.55",26531
"20-Jan-2022","EQ","498.40","500.00","491.20","498.15","500.00","497.35","495.34","690.95","442.05",650754,"322,347,656.70",13027
"19-Jan-2022","EQ","494.80","500.00","489.05","495.20","496.80","498.15","495.38","690.95","442.05",807972,"400,252,460.70",17477
"18-Jan-2022","EQ","517.50","521.50","491.00","516.95","494.65","495.20","505.16","690.95","442.05",1488558,"751,952,523.95",26821
"17-Jan-2022","EQ","516.00","520.00","505.00","516.00","517.10","516.95","512.84","690.95","442.05",1002253,"514,000,344.60",17716
"14-Jan-2022","EQ","524.25","528.70","513.60","521.30","515.00","516.00","518.85","690.95","442.05",1001202,"519,471,984.75",23106
"13-Jan-2022","EQ","515.50","528.40","515.50","515.35","521.00","521.30","523.45","690.95","442.05",918751,"480,923,653.25",22277
"12-Jan-2022","EQ","524.00","524.00","511.65","520.15","516.20","515.35","515.81","690.95","442.05",755248,"389,561,835.30",18480
"11-Jan-2022","EQ","519.50","525.00","515.50","519.00","519.35","520.15","520.97","690.95","442.05",638037,"332,396,404.95",15262
"10-Jan-2022","EQ","510.65","523.75","508.20","510.65","520.70","519.00","517.39","690.95","442.05",851516,"440,565,676.65",22473
"07-Jan-2022","EQ","518.90","518.90","508.90","515.05","510.10","510.65","512.70","690.95","442.05",615707,"315,675,663.10",18508
"06-Jan-2022","EQ","519.25","522.55","510.45","519.35","513.80","515.05","515.83","690.95","442.05",967807,"499,223,960.80",12484
"05-Jan-2022","EQ","517.20","521.50","510.70","517.00","520.00","519.35","516.67","690.95","442.05",936152,"483,677,954.25",18899
"04-Jan-2022","EQ","524.25","527.30","515.65","525.25","517.10","517.00","519.49","690.95","442.05",617970,"321,026,650.95",21343
"03-Jan-2022","EQ","530.00","531.20","522.30","528.55","524.25","525.25","525.34","690.95","442.05",507942,"266,843,108.15",13179
"31-Dec-2021","EQ","526.00","531.25","524.40","524.85","527.30","528.55","528.54","690.95","442.05",739385,"390,794,359.80",21306
"30-Dec-2021","EQ","519.15","529.00","516.40","518.10","526.00","524.85","523.69","690.95","442.05",1099614,"575,853,940.05",22970
"29-Dec-2021","EQ","514.00","521.50","511.65","513.30","518.50","518.10","517.23","690.95","442.05",1698456,"878,491,316.45",29488
"28-Dec-2021","EQ","510.20","514.00","507.05","509.65","513.90","513.30","511.65","690.95","442.05",582601,"298,087,682.25",12321
"27-Dec-2021","EQ","492.50","513.50","492.50","495.40","509.95","509.65","506.72","690.95","442.05",1242768,"629,734,432.50",23899
"24-Dec-2021","EQ","506.45","508.50","492.45","504.45","495.00","495.40","499.66","690.95","442.05",879263,"439,333,994.25",17709
"23-Dec-2021","EQ","501.50","506.00","496.95","498.00","503.35","504.45","502.28","690.95","442.05",1024142,"514,401,882.20",21870
"22-Dec-2021","EQ","488.70","499.80","488.10","488.70","499.00","498.00","495.58","690.95","442.05",1098606,"544,450,636.70",23702
"21-Dec-2021","EQ","491.10","496.50","484.05","491.10","488.45","488.70","490.24","690.95","442.05",1198163,"587,389,079.40",24538
"20-Dec-2021","EQ","480.00","493.45","472.50","482.65","487.85","491.10","482.91","690.95","442.05",1944035,"938,803,189.25",36707
"17-Dec-2021","EQ","495.80","499.85","478.20","498.05","481.90","482.65","485.73","690.95","442.05",1256786,"610,452,525.95",29355
"16-Dec-2021","EQ","504.60","507.55","491.10","502.85","498.00","498.05","496.67","690.95","442.05",1428722,"709,598,590.30",28072
"15-Dec-2021","EQ","522.00","524.40","501.35","518.30","503.50","502.85","508.52","690.95","442.05",1464166,"744,563,677.30",30020
"14-Dec-2021","EQ","529.00","537.00","513.40","531.60","517.80","518.30","525.78","690.95","442.05",1661556,"873,618,239.10",29888
"13-Dec-2021","EQ","532.50","542.70","525.50","525.80","534.00","531.60","535.36","690.95","442.05",2403180,"1,286,574,236.70",45889
"10-Dec-2021","EQ","507.00","532.00","505.05","507.75","525.50","525.80","525.08","690.95","442.05",2545835,"1,336,777,242.05",44771
"09-Dec-2021","EQ","509.75","513.35","503.70","507.70","507.30","507.75","508.23","690.95","442.05",745342,"378,806,532.85",14065
"08-Dec-2021","EQ","496.80","512.60","494.00","494.80","506.35","507.70","504.25","690.95","442.05",1021378,"515,031,377.45",23042
"07-Dec-2021","EQ","495.90","499.25","489.15","493.30","495.90","494.80","493.95","690.95","442.05",624606,"308,521,568.30",11743
"06-Dec-2021","EQ","498.00","502.75","490.50","499.05","493.70","493.30","496.01","690.95","442.05",736779,"365,446,775.05",15585
"03-Dec-2021","EQ","507.80","510.00","497.00","505.45","499.45","499.05","502.84","690.95","442.05",1364719,"686,236,603.55",20090
"02-Dec-2021","EQ","504.95","508.00","500.25","501.45","507.80","505.45","503.48","690.95","442.05",1025520,"516,325,476.90",31210
"01-Dec-2021","EQ","522.00","528.15","498.85","523.80","501.90","501.45","509.36","690.95","442.05",2075911,"1,057,383,854.00",36284
"30-Nov-2021","EQ","509.75","530.00","509.75","512.75","523.05","523.80","522.75","690.95","442.05",1597879,"835,284,157.95",27261
"29-Nov-2021","EQ","540.50","541.90","511.00","532.20","512.00","512.75","523.29","690.95","442.05",2303609,"1,205,464,255.60",41714
"26-Nov-2021","EQ","526.80","551.80","522.30","529.30","530.05","532.20","539.60","690.95","442.05",4688437,"2,529,864,789.65",78467
"25-Nov-2021","EQ","519.40","534.00","515.00","519.75","529.60","529.30","528.31","690.95","442.05",2332661,"1,232,365,730.75",36464
"24-Nov-2021","EQ","517.20","526.75","510.45","516.70","519.45","519.75","519.21","690.95","442.05",2280920,"1,184,265,734.05",37378
"23-Nov-2021","EQ","467.00","527.45","465.50","469.25","517.95","516.70","503.82","690.95","442.05",7137567,"3,596,059,043.15",105618
"22-Nov-2021","EQ","485.10","486.20","457.00","482.60","470.10","469.25","469.02","690.95","442.05",1845179,"865,421,746.75",40402
"18-Nov-2021","EQ","501.40","504.00","480.85","501.40","482.20","482.60","489.18","690.95","442.05",1450731,"709,675,050.55",36684
"17-Nov-2021","EQ","517.00","517.45","499.00","517.45","499.90","501.40","507.55","690.95","442.05",1312927,"666,372,802.45",33747
"16-Nov-2021","EQ","537.40","543.50","515.00","535.75","515.80","517.45","525.64","690.95","442.05",3161892,"1,662,019,336.05",61764
"15-Nov-2021","EQ","523.95","539.55","522.30","523.80","537.50","535.75","533.80","690.95","442.05",2569062,"1,371,353,995.30",46929
"12-Nov-2021","EQ","514.85","529.50","512.70","514.85","524.05","523.80","524.22","690.95","442.05",1350485,"707,944,947.45",25975
"11-Nov-2021","EQ","523.35","523.35","513.30","520.70","513.70","514.85","517.62","690.95","442.05",637396,"329,931,210.60",13298
"10-Nov-2021","EQ","523.70","528.50","518.50","524.55","520.00","520.70","522.83","690.95","442.05",660224,"345,183,408.30",16129
"09-Nov-2021","EQ","524.00","532.25","521.60","526.65","523.80","524.55","526.44","690.95","442.05",712315,"374,992,545.20",16379
"08-Nov-2021","EQ","525.00","531.00","519.10","523.40","526.55","526.65","525.48","690.95","442.05",925846,"486,515,580.80",18143
"04-Nov-2021","EQ","521.55","525.00","517.05","514.50","525.00","523.40","522.35","690.95","442.05",328707,"171,700,818.20",7543
"03-Nov-2021","EQ","515.90","524.50","511.00","515.85","514.70","514.50","518.20","690.95","442.05",664263,"344,220,504.55",13753
"02-Nov-2021","EQ","514.00","520.80","507.10","514.30","515.50","515.85","512.90","690.95","442.05",1283376,"658,240,287.45",28624
"01-Nov-2021","EQ","503.95","515.00","502.15","503.90","513.90","514.30","510.75","690.95","442.05",706434,"360,812,977.80",15939
"29-Oct-2021","EQ","492.90","517.60","489.00","494.50","504.55","503.90","504.34","690.95","442.05",1225257,"617,945,480.15",29240
"28-Oct-2021","EQ","503.70","504.70","489.20","503.70","491.10","494.50","494.70","690.95","442.05",1493336,"738,747,620.95",31142
"27-Oct-2021","EQ","509.00","513.70","499.60","507.90","505.00","503.70","506.57","690.95","442.05",1059991,"536,962,810.05",21273
"26-Oct-2021","EQ","490.00","509.55","487.65","485.95","507.85","507.90","500.30","690.95","442.05",1173704,"587,207,966.75",24663
"25-Oct-2021","EQ","496.00","497.25","477.10","493.15","486.10","485.95","485.60","690.95","442.05",1421509,"690,281,321.70",29408
"22-Oct-2021","EQ","503.50","509.85","488.35","502.75","495.00","493.15","497.93","690.95","442.05",1067329,"531,452,959.80",25242
"21-Oct-2021","EQ","507.75","513.45","495.50","505.90","504.00","502.75","502.54","690.95","442.05",1156583,"581,225,840.65",24609
"20-Oct-2021","EQ","515.65","521.00","503.30","515.65","506.80","505.90","510.95","690.95","442.05",913680,"466,844,656.35",21356
"19-Oct-2021","EQ","520.80","526.85","512.10","519.00","513.00","515.65","518.10","690.95","442.05",984273,"509,948,869.70",19301
"18-Oct-2021","EQ","525.00","528.40","517.00","524.80","517.30","519.00","522.12","690.95","442.05",1166193,"608,894,048.60",32997
"14-Oct-2021","EQ","530.00","534.95","523.30","529.80","524.20","524.80","529.27","690.95","442.05",751935,"397,974,345.85",16998
"13-Oct-2021","EQ","527.50","535.00","525.65","526.30","530.00","529.80","530.45","690.95","442.05",909887,"482,651,195.05",17766
"12-Oct-2021","EQ","536.00","539.00","524.00","534.00","525.20","526.30","529.74","690.95","442.05",1442869,"764,351,729.90",29716
