"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","885.35","899.45","884.15","880.95","889.00","888.30","890.94","1,138.00","646.15",399856,"356,248,692.85",27410
"28-Jan-2022","EQ","885.95","900.10","877.65","879.40","880.95","880.95","892.16","1,138.00","646.15",1023782,"913,382,360.60",31416
"27-Jan-2022","EQ","891.00","891.00","870.45","894.45","879.00","879.40","879.98","1,138.00","646.15",801632,"705,416,207.75",43009
"25-Jan-2022","EQ","855.00","901.30","848.75","860.80","893.50","894.45","882.31","1,138.00","646.15",1244694,"1,098,204,828.45",63735
"24-Jan-2022","EQ","890.00","890.70","853.95","891.20","859.85","860.80","868.54","1,138.00","646.15",1449993,"1,259,375,763.30",61531
"21-Jan-2022","EQ","899.00","899.95","883.70","902.75","892.00","891.20","891.88","1,138.00","646.15",844538,"753,229,070.30",42235
"20-Jan-2022","EQ","940.75","940.75","900.25","937.55","902.50","902.75","911.75","1,138.00","646.15",838602,"764,597,800.90",42696
"19-Jan-2022","EQ","933.75","943.60","929.55","928.40","933.50","937.55","938.15","1,138.00","646.15",986677,"925,646,326.55",25900
"18-Jan-2022","EQ","926.00","948.00","925.20","924.95","932.85","928.40","939.58","1,138.00","646.15",1309979,"1,230,829,476.70",45687
"17-Jan-2022","EQ","922.00","934.80","908.00","918.75","925.00","924.95","924.58","1,138.00","646.15",1342109,"1,240,889,338.40",40993
"14-Jan-2022","EQ","915.90","924.45","909.00","924.35","919.50","918.75","917.43","1,138.00","646.15",690471,"633,460,010.45",21544
"13-Jan-2022","EQ","927.80","929.80","916.00","924.95","925.00","924.35","921.55","1,138.00","646.15",411748,"379,445,964.50",23602
"12-Jan-2022","EQ","920.00","926.00","908.70","915.05","924.00","924.95","921.51","1,138.00","646.15",599785,"552,707,244.50",33685
"11-Jan-2022","EQ","936.80","938.00","912.65","931.05","916.30","915.05","921.37","1,138.00","646.15",619574,"570,856,304.05",37716
"10-Jan-2022","EQ","959.00","962.75","928.60","957.55","933.00","931.05","943.11","1,138.00","646.15",811201,"765,048,469.80",26640
"07-Jan-2022","EQ","936.00","962.00","936.00","949.05","957.00","957.55","954.52","1,138.00","646.15",748205,"714,180,168.30",31789
"06-Jan-2022","EQ","951.90","955.50","933.45","954.55","946.50","949.05","945.52","1,138.00","646.15",399966,"378,177,006.65",16286
"05-Jan-2022","EQ","950.00","956.30","941.20","949.70","951.95","954.55","949.66","1,138.00","646.15",280753,"266,621,119.45",14210
"04-Jan-2022","EQ","960.00","960.00","934.00","957.60","950.00","949.70","945.57","1,138.00","646.15",781428,"738,898,580.95",27159
"03-Jan-2022","EQ","973.90","976.00","956.15","968.35","959.20","957.60","963.93","1,138.00","646.15",365511,"352,326,675.55",20875
"31-Dec-2021","EQ","955.00","974.15","952.95","950.35","967.45","968.35","965.59","1,138.00","646.15",766542,"740,163,510.20",28317
