"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","623.00","623.00","610.15","620.45","611.10","612.45","615.74","662.00","426.25",61421,"37,819,518.95",3034
"28-Jan-2022","EQ","623.40","630.00","612.95","622.10","620.00","620.45","623.66","662.00","426.25",90276,"56,301,325.15",9617
"27-Jan-2022","EQ","619.10","631.35","614.10","618.80","617.00","622.10","623.57","662.00","426.25",127139,"79,279,702.05",7016
"25-Jan-2022","EQ","599.10","624.05","596.15","604.25","623.00","618.80","610.11","662.00","426.25",108643,"66,284,581.95",5852
"24-Jan-2022","EQ","618.25","621.30","594.30","618.05","608.00","604.25","604.80","662.00","426.25",217929,"131,803,997.25",12730
"21-Jan-2022","EQ","622.00","629.90","610.85","625.95","622.35","618.05","621.08","662.00","413.05",58821,"36,532,809.50",4609
"20-Jan-2022","EQ","624.60","629.45","622.00","624.70","629.00","625.95","625.95","662.00","413.05",55764,"34,905,346.80",3335
"19-Jan-2022","EQ","626.00","633.80","613.65","624.65","630.00","624.70","621.73","662.00","413.05",113823,"70,766,668.60",5325
"18-Jan-2022","EQ","637.90","638.80","620.90","634.90","628.95","624.65","631.72","662.00","413.05",76885,"48,569,890.10",4021
"17-Jan-2022","EQ","631.10","638.60","628.30","631.10","633.70","634.90","633.44","662.00","413.05",69647,"44,116,930.45",4841
"14-Jan-2022","EQ","638.60","644.00","629.00","638.60","630.65","631.10","633.59","662.00","413.05",95781,"60,686,208.95",4258
"13-Jan-2022","EQ","644.50","652.00","636.05","644.50","640.25","638.60","642.92","662.00","413.05",82356,"52,947,985.80",4930
"12-Jan-2022","EQ","632.00","662.00","631.25","631.25","646.65","644.50","648.81","662.00","413.05",301550,"195,647,947.30",11577
"11-Jan-2022","EQ","636.00","643.45","627.00","636.55","632.00","631.25","633.10","661.35","413.05",76438,"48,393,125.70",4160
"10-Jan-2022","EQ","645.00","647.30","634.30","642.40","639.00","636.55","639.83","661.35","413.05",108434,"69,379,716.95",5657
