"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","686.00","689.00","670.00","677.50","672.60","672.65","678.44","786.00","357.00",437807,"297,024,886.65",18709
"28-Jan-2022","EQ","690.10","709.45","672.90","689.55","679.00","677.50","688.74","786.00","342.05",925539,"637,458,427.10",23185
"27-Jan-2022","EQ","691.00","698.60","666.20","691.50","690.00","689.55","686.25","786.00","342.05",1631861,"1,119,861,042.80",65554
"25-Jan-2022","EQ","686.10","696.55","672.80","691.70","692.50","691.50","683.82","786.00","342.05",961100,"657,215,994.70",48165
"24-Jan-2022","EQ","705.00","705.00","673.00","700.95","695.00","691.70","688.02","786.00","342.05",1200723,"826,120,577.65",45029
"21-Jan-2022","EQ","701.45","714.80","686.10","701.15","701.85","700.95","704.27","786.00","342.05",1897592,"1,336,411,612.15",45846
"20-Jan-2022","EQ","700.00","704.50","673.30","696.75","703.20","701.15","696.34","786.00","342.05",987944,"687,946,264.60",35321
"19-Jan-2022","EQ","672.80","699.35","672.80","676.05","695.10","696.75","689.46","786.00","342.05",1487548,"1,025,603,944.35",35701
"18-Jan-2022","EQ","694.30","697.75","672.60","696.10","677.85","676.05","683.34","786.00","342.05",943756,"644,905,610.45",30466
"17-Jan-2022","EQ","704.80","705.30","685.05","704.80","696.45","696.10","698.02","786.00","342.05",478212,"333,800,508.85",22215
"14-Jan-2022","EQ","712.00","721.80","695.50","715.35","702.90","704.80","711.83","786.00","342.05",1221311,"869,361,488.75",38505
"13-Jan-2022","EQ","712.00","719.00","706.00","713.50","715.45","715.35","712.45","786.00","342.05",423601,"301,796,039.90",14869
"12-Jan-2022","EQ","713.00","718.00","708.85","712.15","711.00","713.50","713.70","786.00","342.05",723948,"516,684,048.15",25879
"11-Jan-2022","EQ","690.00","714.00","685.65","691.35","713.00","712.15","706.02","786.00","342.05",1585866,"1,119,655,337.95",41136
"10-Jan-2022","EQ","685.55","705.90","685.55","684.55","691.00","691.35","697.82","786.00","342.05",2157040,"1,505,226,642.90",62962
"07-Jan-2022","EQ","668.00","686.95","663.00","669.20","685.00","684.55","677.73","786.00","342.05",1847696,"1,252,232,686.10",46399
"06-Jan-2022","EQ","636.25","671.30","635.65","642.30","670.90","669.20","660.05","786.00","342.05",1648740,"1,088,254,788.50",37625
"05-Jan-2022","EQ","645.00","648.80","640.05","649.60","643.85","642.30","643.80","786.00","342.05",369156,"237,663,604.35",13431
"04-Jan-2022","EQ","644.50","651.35","640.05","641.00","649.00","649.60","646.48","786.00","342.05",511475,"330,656,466.00",17383
"03-Jan-2022","EQ","637.00","644.00","635.00","634.85","641.20","641.00","639.66","786.00","342.05",677253,"433,211,862.45",24156
"31-Dec-2021","EQ","628.00","638.45","626.45","625.95","634.80","634.85","632.49","786.00","342.05",468703,"296,450,611.05",14578
"30-Dec-2021","EQ","631.55","633.85","619.30","631.55","625.00","625.95","626.38","786.00","342.05",625067,"391,527,897.25",17062
"29-Dec-2021","EQ","638.10","639.95","627.00","636.35","632.75","631.55","630.95","786.00","342.05",580417,"366,212,465.40",11423
"28-Dec-2021","EQ","628.50","638.90","626.25","625.05","636.90","636.35","635.06","786.00","342.05",456372,"289,824,654.20",14254
"27-Dec-2021","EQ","629.40","629.40","620.00","629.40","625.70","625.05","623.69","786.00","342.05",410303,"255,901,056.95",15845
"24-Dec-2021","EQ","630.00","637.00","625.75","634.10","629.95","629.40","630.86","786.00","340.00",437526,"276,016,114.70",15421
"23-Dec-2021","EQ","628.10","637.75","627.80","627.80","634.00","634.10","632.58","786.00","340.00",631054,"399,191,124.25",23897
"22-Dec-2021","EQ","629.90","637.10","622.55","626.80","628.00","627.80","629.72","786.00","340.00",710946,"447,694,518.35",23669
"21-Dec-2021","EQ","620.65","635.50","612.15","611.60","627.00","626.80","626.40","786.00","340.00",694265,"434,890,534.30",19206
"20-Dec-2021","EQ","614.00","617.75","592.00","626.35","613.50","611.60","608.23","786.00","340.00",937236,"570,053,024.30",32511
