"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","1,148.30","1,188.00","1,148.30","1,142.25","1,187.50","1,184.40","1,177.71","1,504.45","958.00",851868,"1,003,253,931.65",38551
"28-Jan-2022","EQ","1,151.00","1,174.95","1,135.65","1,145.25","1,143.50","1,142.25","1,156.12","1,504.45","958.00",1082194,"1,251,148,966.85",51824
"27-Jan-2022","EQ","1,175.00","1,179.85","1,117.00","1,184.40","1,144.90","1,145.25","1,138.50","1,504.45","958.00",2266013,"2,579,859,652.45",115183
"25-Jan-2022","EQ","1,170.10","1,193.90","1,135.05","1,179.95","1,180.80","1,184.40","1,173.16","1,504.45","958.00",1764518,"2,070,061,355.65",80828
"24-Jan-2022","EQ","1,248.00","1,248.00","1,150.30","1,241.55","1,178.00","1,179.95","1,188.80","1,504.45","958.00",2571377,"3,056,860,238.35",106934
"21-Jan-2022","EQ","1,282.10","1,306.50","1,232.10","1,310.30","1,245.00","1,241.55","1,257.11","1,504.45","958.00",3375259,"4,243,063,377.25",113704
"20-Jan-2022","EQ","1,310.00","1,322.00","1,301.00","1,308.75","1,309.10","1,310.30","1,310.35","1,504.45","958.00",760910,"997,055,978.55",37426
"19-Jan-2022","EQ","1,319.80","1,332.65","1,294.00","1,315.45","1,310.00","1,308.75","1,307.74","1,504.45","958.00",1105569,"1,445,801,130.65",36272
"18-Jan-2022","EQ","1,326.35","1,341.50","1,311.00","1,329.05","1,318.00","1,315.45","1,323.29","1,504.45","958.00",423878,"560,913,583.15",26711
"17-Jan-2022","EQ","1,343.00","1,343.95","1,321.65","1,344.85","1,328.45","1,329.05","1,330.84","1,504.45","958.00",434192,"577,839,927.55",24058
"14-Jan-2022","EQ","1,326.90","1,350.00","1,313.25","1,326.90","1,338.00","1,344.85","1,338.03","1,504.45","958.00",690763,"924,261,050.70",31351
"13-Jan-2022","EQ","1,360.00","1,364.90","1,320.30","1,355.85","1,330.00","1,326.90","1,330.65","1,504.45","958.00",895685,"1,191,842,048.35",49005
"12-Jan-2022","EQ","1,365.00","1,378.00","1,340.00","1,357.85","1,355.00","1,355.85","1,357.04","1,504.45","958.00",806492,"1,094,445,697.20",49520
"11-Jan-2022","EQ","1,349.05","1,365.00","1,330.90","1,351.60","1,360.50","1,357.85","1,351.79","1,504.45","958.00",735871,"994,739,469.55",49755
"10-Jan-2022","EQ","1,380.00","1,380.25","1,349.05","1,368.40","1,353.00","1,351.60","1,355.08","1,504.45","958.00",525478,"712,066,525.25",26519
"07-Jan-2022","EQ","1,387.00","1,418.95","1,360.00","1,386.25","1,368.85","1,368.40","1,387.66","1,504.45","909.25",947383,"1,314,646,447.00",38419
"06-Jan-2022","EQ","1,390.10","1,393.35","1,370.30","1,400.10","1,387.60","1,386.25","1,380.82","1,504.45","909.25",409359,"565,250,259.75",26178
"05-Jan-2022","EQ","1,399.95","1,410.95","1,392.05","1,401.30","1,400.05","1,400.10","1,398.00","1,504.45","909.25",473752,"662,305,529.70",20281
"04-Jan-2022","EQ","1,411.75","1,413.60","1,387.70","1,406.15","1,405.00","1,401.30","1,400.49","1,504.45","909.25",337682,"472,919,091.95",15720
"03-Jan-2022","EQ","1,400.00","1,419.00","1,396.00","1,397.00","1,406.00","1,406.15","1,407.88","1,504.45","909.25",278480,"392,066,431.40",12582
"31-Dec-2021","EQ","1,376.65","1,403.00","1,376.65","1,387.10","1,394.10","1,397.00","1,395.96","1,504.45","893.05",386452,"539,472,852.35",18157
"30-Dec-2021","EQ","1,395.00","1,398.70","1,380.00","1,393.80","1,387.00","1,387.10","1,390.39","1,504.45","893.05",669700,"931,141,457.80",28094
"29-Dec-2021","EQ","1,390.00","1,405.30","1,388.00","1,399.85","1,390.00","1,393.80","1,394.95","1,504.45","893.05",405879,"566,182,850.25",16286
"28-Dec-2021","EQ","1,375.00","1,411.80","1,375.00","1,374.70","1,397.00","1,399.85","1,399.97","1,504.45","893.05",1138137,"1,593,362,716.15",48169
"27-Dec-2021","EQ","1,358.80","1,377.90","1,350.35","1,361.05","1,369.65","1,374.70","1,369.16","1,504.45","893.05",576867,"789,822,595.85",19205
"24-Dec-2021","EQ","1,384.80","1,384.80","1,354.20","1,372.80","1,362.00","1,361.05","1,365.27","1,504.45","857.00",559766,"764,234,140.40",22993
"23-Dec-2021","EQ","1,375.55","1,394.00","1,363.85","1,371.45","1,375.60","1,372.80","1,379.43","1,504.45","857.00",1260219,"1,738,384,644.70",45004
"22-Dec-2021","EQ","1,352.00","1,375.00","1,345.10","1,338.70","1,373.00","1,371.45","1,366.92","1,504.45","857.00",967859,"1,322,990,240.40",42318
"21-Dec-2021","EQ","1,299.00","1,352.00","1,294.05","1,289.65","1,341.45","1,338.70","1,337.77","1,504.45","857.00",1669146,"2,232,925,456.75",56711
"20-Dec-2021","EQ","1,310.00","1,310.00","1,253.40","1,319.85","1,288.00","1,289.65","1,280.31","1,504.45","857.00",1419970,"1,818,004,051.55",48775
"17-Dec-2021","EQ","1,355.00","1,360.00","1,313.95","1,361.00","1,318.15","1,319.85","1,332.52","1,504.45","822.10",1080803,"1,440,195,020.15",49029
"16-Dec-2021","EQ","1,359.00","1,370.45","1,350.35","1,351.35","1,358.05","1,361.00","1,361.46","1,504.45","822.10",822094,"1,119,251,954.80",46185
"15-Dec-2021","EQ","1,350.00","1,364.40","1,345.00","1,352.45","1,348.35","1,351.35","1,351.65","1,504.45","822.10",766527,"1,036,072,613.85",29663
"14-Dec-2021","EQ","1,372.00","1,372.95","1,340.00","1,370.00","1,350.15","1,352.45","1,349.90","1,504.45","822.10",1322715,"1,785,536,612.25",53236
"13-Dec-2021","EQ","1,381.10","1,394.50","1,367.20","1,392.20","1,371.70","1,370.00","1,376.51","1,504.45","822.10",1124454,"1,547,818,336.90",35154
"10-Dec-2021","EQ","1,389.00","1,398.00","1,376.10","1,389.00","1,390.00","1,392.20","1,387.33","1,504.45","813.00",887283,"1,230,957,188.00",41455
"09-Dec-2021","EQ","1,418.00","1,424.65","1,382.00","1,417.95","1,390.00","1,389.00","1,393.06","1,504.45","813.00",1065129,"1,483,792,982.30",54531
"08-Dec-2021","EQ","1,429.00","1,429.40","1,407.20","1,410.85","1,413.85","1,417.95","1,416.40","1,504.45","813.00",948420,"1,343,343,497.50",50077
"07-Dec-2021","EQ","1,377.70","1,419.00","1,370.05","1,370.45","1,408.95","1,410.85","1,401.61","1,504.45","813.00",1410645,"1,977,167,136.60",50270
"06-Dec-2021","EQ","1,385.50","1,395.80","1,368.25","1,383.25","1,371.00","1,370.45","1,381.16","1,504.45","813.00",791805,"1,093,611,511.40",29810
"03-Dec-2021","EQ","1,368.15","1,395.95","1,368.15","1,379.15","1,379.45","1,383.25","1,383.93","1,504.45","798.10",1085502,"1,502,263,109.95",34033
"02-Dec-2021","EQ","1,361.00","1,385.00","1,335.00","1,361.00","1,379.00","1,379.15","1,363.40","1,504.45","798.10",1539592,"2,099,073,108.00",70104
"01-Dec-2021","EQ","1,360.30","1,376.75","1,320.00","1,360.35","1,367.00","1,361.00","1,345.80","1,504.45","798.10",1624319,"2,186,005,505.65",61967
"30-Nov-2021","EQ","1,331.90","1,409.95","1,324.00","1,330.10","1,350.00","1,360.35","1,370.19","1,504.45","798.10",6604500,"9,049,418,405.95",136698
"29-Nov-2021","EQ","1,315.00","1,356.80","1,291.80","1,327.20","1,325.05","1,330.10","1,333.96","1,504.45","798.10",1261578,"1,682,889,937.35",60588
"26-Nov-2021","EQ","1,379.00","1,379.00","1,321.05","1,389.45","1,327.00","1,327.20","1,345.19","1,504.45","796.00",1219366,"1,640,273,923.15",35401
"25-Nov-2021","EQ","1,376.00","1,395.85","1,361.80","1,372.55","1,391.00","1,389.45","1,383.91","1,504.45","796.00",1110099,"1,536,279,504.90",28482
"24-Nov-2021","EQ","1,399.00","1,407.60","1,360.45","1,392.30","1,363.05","1,372.55","1,387.94","1,504.45","796.00",995846,"1,382,174,432.35",34809
"23-Nov-2021","EQ","1,360.00","1,410.00","1,360.00","1,377.50","1,395.85","1,392.30","1,394.87","1,504.45","796.00",1071227,"1,494,220,087.50",35108
"22-Nov-2021","EQ","1,385.20","1,424.35","1,358.00","1,372.95","1,384.00","1,377.50","1,394.12","1,504.45","796.00",2587391,"3,607,137,793.05",84590
"18-Nov-2021","EQ","1,370.00","1,382.00","1,340.35","1,375.25","1,374.45","1,372.95","1,362.51","1,504.45","796.00",771508,"1,051,186,167.80",33412
"17-Nov-2021","EQ","1,400.00","1,402.60","1,365.30","1,398.85","1,369.00","1,375.25","1,382.18","1,504.45","796.00",825684,"1,141,243,805.80",31993
"16-Nov-2021","EQ","1,391.50","1,404.95","1,360.00","1,389.20","1,393.20","1,398.85","1,386.36","1,504.45","796.00",944782,"1,309,807,472.75",52880
