"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","2,229.00","2,229.00","2,192.25","2,183.80","2,202.00","2,205.20","2,208.37","3,365.00","2,118.00",462838,"1,022,116,613.60",43481
"28-Jan-2022","EQ","2,174.90","2,251.40","2,141.80","2,140.75","2,190.00","2,183.80","2,201.74","3,365.00","2,118.00",805044,"1,772,495,552.10",64360
"27-Jan-2022","EQ","2,234.70","2,234.70","2,118.00","2,230.65","2,149.50","2,140.75","2,143.48","3,365.00","2,118.00",983786,"2,108,723,431.05",83785
"25-Jan-2022","EQ","2,225.00","2,254.00","2,170.65","2,258.85","2,243.00","2,230.65","2,224.60","3,365.00","2,170.65",570533,"1,269,207,800.50",44024
"24-Jan-2022","EQ","2,379.80","2,379.80","2,235.00","2,369.40","2,253.00","2,258.85","2,287.03","3,365.00","2,235.00",418139,"956,296,240.15",52338
"21-Jan-2022","EQ","2,388.90","2,388.90","2,347.15","2,393.10","2,373.90","2,369.40","2,362.75","3,365.00","2,280.00",221731,"523,895,430.35",16616
"20-Jan-2022","EQ","2,388.00","2,399.00","2,356.75","2,394.20","2,395.45","2,393.10","2,382.05","3,365.00","2,280.00",241681,"575,696,139.60",25566
"19-Jan-2022","EQ","2,463.20","2,463.20","2,388.55","2,449.50","2,398.95","2,394.20","2,404.35","3,365.00","2,280.00",264613,"636,222,738.60",23645
"18-Jan-2022","EQ","2,494.00","2,504.95","2,430.65","2,489.15","2,459.65","2,449.50","2,469.14","3,365.00","2,280.00",375035,"926,013,537.10",22333
"17-Jan-2022","EQ","2,484.40","2,494.60","2,463.30","2,470.60","2,490.80","2,489.15","2,483.21","3,365.00","2,280.00",180829,"449,037,213.60",15795
"14-Jan-2022","EQ","2,470.00","2,499.00","2,455.00","2,474.00","2,471.45","2,470.60","2,478.32","3,365.00","2,280.00",589008,"1,459,747,885.30",15441
"13-Jan-2022","EQ","2,503.90","2,507.35","2,467.25","2,491.30","2,476.90","2,474.00","2,486.28","3,365.00","2,280.00",190160,"472,791,482.95",12978
"12-Jan-2022","EQ","2,509.00","2,509.00","2,465.05","2,487.25","2,493.95","2,491.30","2,482.70","3,365.00","2,280.00",162960,"404,580,089.25",14310
"11-Jan-2022","EQ","2,500.45","2,538.00","2,481.00","2,518.25","2,491.95","2,487.25","2,509.30","3,365.00","2,280.00",162099,"406,755,343.50",15745
"10-Jan-2022","EQ","2,460.00","2,530.00","2,445.00","2,440.75","2,518.05","2,518.25","2,511.29","3,365.00","2,280.00",285654,"717,359,527.15",23886
"07-Jan-2022","EQ","2,467.75","2,467.75","2,435.40","2,450.20","2,440.95","2,440.75","2,450.81","3,365.00","2,280.00",233181,"571,482,472.00",12731
"06-Jan-2022","EQ","2,468.00","2,468.00","2,441.20","2,479.65","2,449.85","2,450.20","2,451.10","3,365.00","2,280.00",160936,"394,469,488.65",10276
"05-Jan-2022","EQ","2,480.00","2,491.00","2,466.90","2,475.80","2,477.65","2,479.65","2,482.03","3,365.00","2,280.00",131020,"325,196,140.80",12036
"04-Jan-2022","EQ","2,475.00","2,481.90","2,452.00","2,466.20","2,475.00","2,475.80","2,467.17","3,365.00","2,280.00",140925,"347,685,749.30",12925
"03-Jan-2022","EQ","2,465.65","2,474.45","2,450.00","2,446.10","2,465.05","2,466.20","2,465.19","3,365.00","2,280.00",160239,"395,020,241.15",14251
"31-Dec-2021","EQ","2,415.95","2,449.95","2,411.00","2,408.55","2,449.00","2,446.10","2,438.83","3,365.00","2,280.00",117665,"286,965,150.10",12815
"30-Dec-2021","EQ","2,420.90","2,424.95","2,382.00","2,418.80","2,410.85","2,408.55","2,399.93","3,365.00","2,280.00",276518,"663,623,619.95",18565
"29-Dec-2021","EQ","2,415.00","2,433.95","2,406.05","2,417.90","2,415.00","2,418.80","2,417.97","3,365.00","2,280.00",110745,"267,777,733.75",8896
"28-Dec-2021","EQ","2,378.10","2,427.15","2,368.25","2,372.20","2,412.45","2,417.90","2,408.45","3,365.00","2,280.00",154901,"373,071,406.10",13696
"27-Dec-2021","EQ","2,340.00","2,376.00","2,325.95","2,349.10","2,372.50","2,372.20","2,355.10","3,365.00","2,280.00",140630,"331,197,105.40",9985
"24-Dec-2021","EQ","2,389.35","2,390.00","2,325.40","2,378.30","2,352.00","2,349.10","2,346.46","3,365.00","2,280.00",280056,"657,140,814.05",14851
"23-Dec-2021","EQ","2,362.25","2,384.45","2,345.10","2,357.55","2,383.90","2,378.30","2,364.83","3,365.00","2,280.00",338975,"801,616,596.10",17458
"22-Dec-2021","EQ","2,334.95","2,373.00","2,333.45","2,327.15","2,359.90","2,357.55","2,355.87","3,365.00","2,280.00",246728,"581,258,152.75",13763
"21-Dec-2021","EQ","2,335.00","2,361.15","2,315.60","2,313.60","2,329.90","2,327.15","2,341.03","3,365.00","2,280.00",182979,"428,359,847.75",14796
"20-Dec-2021","EQ","2,396.50","2,397.00","2,280.00","2,397.95","2,311.50","2,313.60","2,318.55","3,365.00","2,280.00",419054,"971,596,197.85",45969
