"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","625.50","627.50","615.45","620.45","623.10","622.45","621.80","775.65","615.45",4374943,"2,720,350,612.90",88099
"28-Jan-2022","EQ","621.35","632.90","619.05","621.50","621.40","620.45","626.53","775.65","617.00",1317526,"825,463,272.20",41582
"27-Jan-2022","EQ","625.80","625.90","617.15","630.80","620.65","621.50","621.42","775.65","617.00",1914985,"1,190,009,905.25",70211
"25-Jan-2022","EQ","627.20","633.50","617.00","627.60","630.00","630.80","627.80","775.65","617.00",1827902,"1,147,563,906.40",88927
"24-Jan-2022","EQ","639.85","639.85","619.10","641.45","628.50","627.60","626.82","775.65","619.10",2628472,"1,647,587,043.15",98503
"21-Jan-2022","EQ","645.00","646.95","633.35","649.45","643.25","641.45","638.82","775.65","627.00",2963518,"1,893,167,474.55",76226
"20-Jan-2022","EQ","654.60","660.60","647.55","656.05","649.45","649.45","652.48","775.65","627.00",1429228,"932,540,320.40",65301
"19-Jan-2022","EQ","665.00","667.40","652.25","669.10","656.40","656.05","657.43","775.65","627.00",1945857,"1,279,255,495.75",59771
"18-Jan-2022","EQ","678.00","678.80","666.75","674.15","667.45","669.10","672.05","775.65","627.00",979679,"658,389,673.40",38975
"17-Jan-2022","EQ","671.00","675.55","668.00","671.45","674.00","674.15","673.24","775.65","627.00",1255654,"845,351,867.00",43247
"14-Jan-2022","EQ","668.00","674.85","666.20","670.35","670.50","671.45","671.28","775.65","627.00",1292789,"867,818,908.85",49707
"13-Jan-2022","EQ","673.90","676.40","668.40","673.25","670.00","670.35","671.91","775.65","627.00",1807858,"1,214,713,336.95",54194
"12-Jan-2022","EQ","658.30","674.25","658.30","658.15","671.05","673.25","667.70","775.65","627.00",2091488,"1,396,492,960.90",61456
"11-Jan-2022","EQ","662.95","665.90","656.25","662.95","658.00","658.15","658.80","775.65","627.00",1484964,"978,297,215.60",57721
"10-Jan-2022","EQ","666.00","669.70","660.00","660.30","663.00","662.95","664.80","775.65","627.00",1480419,"984,176,321.70",43338
"07-Jan-2022","EQ","647.00","662.95","646.00","646.90","662.00","660.30","654.29","775.65","627.00",2168995,"1,419,145,405.70",50615
"06-Jan-2022","EQ","651.00","651.95","644.90","653.55","647.00","646.90","647.11","775.65","627.00",2548339,"1,649,057,572.30",56617
"05-Jan-2022","EQ","655.00","658.25","650.65","653.15","654.50","653.55","653.89","775.65","627.00",3326875,"2,175,409,412.20",66032
"04-Jan-2022","EQ","652.40","655.00","649.05","650.50","652.50","653.15","651.49","775.65","627.00",2293391,"1,494,124,203.75",60003
"03-Jan-2022","EQ","654.00","654.65","646.30","649.55","650.75","650.50","649.42","775.65","627.00",1892087,"1,228,756,262.65",55428
"31-Dec-2021","EQ","645.35","655.00","642.15","640.90","651.40","649.55","649.74","775.65","627.00",1592842,"1,034,934,768.85",39167
"30-Dec-2021","EQ","644.75","645.35","640.10","644.75","641.50","640.90","642.13","775.65","627.00",1280995,"822,562,622.25",48396
"29-Dec-2021","EQ","645.00","646.75","639.10","642.30","645.00","644.75","642.98","775.65","627.00",1505964,"968,300,368.30",41178
