"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","2,680.15","2,734.05","2,680.15","2,672.15","2,714.00","2,724.30","2,716.96","3,629.05","2,310.00",442531,"1,202,337,600.65",32856
"28-Jan-2022","EQ","2,720.20","2,755.00","2,663.05","2,715.00","2,674.00","2,672.15","2,714.70","3,629.05","2,310.00",466238,"1,265,695,031.85",43894
"27-Jan-2022","EQ","2,733.00","2,770.00","2,689.00","2,782.05","2,715.00","2,715.00","2,718.63","3,629.05","2,310.00",559824,"1,521,951,907.10",54960
"25-Jan-2022","EQ","2,704.10","2,789.00","2,652.85","2,706.20","2,769.85","2,782.05","2,754.88","3,629.05","2,310.00",971148,"2,675,393,790.00",100812
"24-Jan-2022","EQ","2,740.00","2,769.40","2,667.55","2,750.10","2,712.00","2,706.20","2,707.68","3,629.05","2,310.00",593277,"1,606,402,097.40",53417
"21-Jan-2022","EQ","2,703.70","2,777.00","2,657.25","2,709.45","2,752.00","2,750.10","2,746.71","3,629.05","2,310.00",1170753,"3,215,724,652.45",64181
"20-Jan-2022","EQ","2,700.00","2,759.25","2,696.05","2,699.80","2,713.00","2,709.45","2,731.61","3,629.05","2,310.00",1022978,"2,794,376,112.45",104388
"19-Jan-2022","EQ","2,695.00","2,740.00","2,675.05","2,692.85","2,700.60","2,699.80","2,713.32","3,629.05","2,310.00",763040,"2,070,373,128.45",55089
"18-Jan-2022","EQ","2,703.00","2,727.00","2,655.20","2,701.50","2,690.80","2,692.85","2,692.88","3,629.05","2,310.00",1082632,"2,915,400,946.50",55167
"17-Jan-2022","EQ","2,599.00","2,724.45","2,591.45","2,569.70","2,701.00","2,701.50","2,693.03","3,629.05","2,310.00",2357848,"6,349,756,756.15",117069
"14-Jan-2022","EQ","2,590.00","2,594.80","2,555.00","2,593.60","2,566.00","2,569.70","2,570.22","3,629.05","2,310.00",267065,"686,415,400.35",30904
"13-Jan-2022","EQ","2,599.00","2,600.00","2,570.00","2,590.50","2,594.00","2,593.60","2,586.23","3,629.05","2,310.00",243121,"628,765,838.05",27528
"12-Jan-2022","EQ","2,575.00","2,595.00","2,562.00","2,568.25","2,586.45","2,590.50","2,582.46","3,629.05","2,310.00",410716,"1,060,656,365.75",31300
"11-Jan-2022","EQ","2,584.65","2,592.15","2,560.80","2,578.10","2,565.10","2,568.25","2,576.61","3,629.05","2,310.00",372092,"958,734,825.00",27846
"10-Jan-2022","EQ","2,489.30","2,584.00","2,489.30","2,499.10","2,581.00","2,578.10","2,561.12","3,629.05","2,310.00",783876,"2,007,598,579.70",59132
"07-Jan-2022","EQ","2,509.00","2,515.50","2,482.00","2,496.00","2,505.15","2,499.10","2,499.83","3,629.05","2,310.00",308537,"771,291,057.90",26671
"06-Jan-2022","EQ","2,490.00","2,509.00","2,464.00","2,506.00","2,503.00","2,496.00","2,489.83","3,629.05","2,310.00",406402,"1,011,871,323.65",31162
"05-Jan-2022","EQ","2,484.95","2,512.95","2,477.95","2,484.90","2,510.00","2,506.00","2,500.61","3,629.05","2,310.00",294097,"735,423,128.80",32006
"04-Jan-2022","EQ","2,492.00","2,496.60","2,468.40","2,476.60","2,484.95","2,484.90","2,484.40","3,629.05","2,310.00",181575,"451,105,625.80",19738
"03-Jan-2022","EQ","2,463.00","2,496.50","2,463.00","2,462.10","2,476.95","2,476.60","2,478.08","3,629.05","2,310.00",234912,"582,129,826.15",18977
