"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","498.90","499.75","488.15","490.35","489.60","489.05","493.74","551.85","226.55",4846015,"2,392,668,858.50",82717
"28-Jan-2022","EQ","493.05","506.60","488.45","489.15","490.10","490.35","497.84","551.85","224.55",6616401,"3,293,912,194.80",94080
"27-Jan-2022","EQ","482.60","492.85","478.45","485.75","490.20","489.15","486.24","551.85","224.55",6746500,"3,280,387,170.95",101357
"25-Jan-2022","EQ","475.55","486.50","474.65","478.40","484.65","485.75","483.21","551.85","224.55",5498495,"2,656,917,050.70",101910
"24-Jan-2022","EQ","498.95","500.50","475.50","506.70","477.50","478.40","483.78","551.85","224.55",11020372,"5,331,427,857.10",124768
"21-Jan-2022","EQ","501.00","515.80","499.25","503.40","507.60","506.70","508.34","551.85","224.55",14173177,"7,204,790,626.30",163743
"20-Jan-2022","EQ","503.85","508.00","498.10","504.80","503.30","503.40","503.70","551.85","224.55",4243563,"2,137,499,938.20",65008
"19-Jan-2022","EQ","495.20","506.25","490.30","496.00","503.95","504.80","498.88","551.85","224.55",5799747,"2,893,362,057.80",77023
"18-Jan-2022","EQ","508.80","512.35","493.80","505.95","496.00","496.00","504.61","551.85","224.55",6194537,"3,125,827,663.65",85392
"17-Jan-2022","EQ","509.00","509.00","496.00","506.35","505.00","505.95","502.92","551.85","224.55",6721706,"3,380,480,600.55",79804
"14-Jan-2022","EQ","506.00","509.50","503.00","507.50","505.90","506.35","506.50","551.85","224.55",5461072,"2,766,055,297.75",68540
"13-Jan-2022","EQ","502.20","509.00","499.15","497.95","506.10","507.50","504.42","551.85","224.55",9366574,"4,724,678,867.15",112654
"12-Jan-2022","EQ","494.00","500.85","491.00","486.35","497.35","497.95","497.20","551.85","224.55",9296587,"4,622,216,773.45",148542
"11-Jan-2022","EQ","491.90","497.20","485.70","492.90","486.40","486.35","490.53","551.85","224.55",5346073,"2,622,433,714.20",75250
"10-Jan-2022","EQ","497.00","497.30","490.05","493.50","492.20","492.90","493.41","551.85","224.55",4746931,"2,342,194,708.05",59106
"07-Jan-2022","EQ","481.10","495.25","480.05","479.10","493.00","493.50","488.46","551.85","224.55",9300149,"4,542,794,717.05",145242
"06-Jan-2022","EQ","474.50","485.70","473.50","475.35","478.80","479.10","480.76","551.85","224.55",12132277,"5,832,684,482.35",148948
"05-Jan-2022","EQ","473.20","479.40","472.00","476.10","475.05","475.35","475.91","551.85","224.55",4489031,"2,136,378,732.75",75259
"04-Jan-2022","EQ","479.00","481.50","472.00","478.05","476.00","476.10","476.28","551.85","224.55",5063834,"2,411,789,114.80",69690
"03-Jan-2022","EQ","475.55","479.95","472.10","475.55","477.75","478.05","475.94","551.85","224.55",5549693,"2,641,315,787.00",69826
"31-Dec-2021","EQ","455.50","477.35","455.50","449.65","474.75","475.55","470.82","551.85","224.55",18257598,"8,596,073,581.95",178245
"30-Dec-2021","EQ","454.00","456.00","448.40","454.25","451.95","449.65","450.83","551.85","224.55",3843627,"1,732,825,558.70",42249
"29-Dec-2021","EQ","457.00","457.65","450.50","458.15","453.85","454.25","453.82","551.85","224.55",3050356,"1,384,325,830.60",47345
"28-Dec-2021","EQ","456.60","459.15","452.80","452.80","457.85","458.15","456.83","551.85","224.55",2889804,"1,320,147,234.50",45811
"27-Dec-2021","EQ","456.90","458.60","451.10","458.90","452.40","452.80","452.92","551.85","224.55",6146709,"2,783,975,880.00",72845
"24-Dec-2021","EQ","464.00","464.40","452.85","461.30","459.00","458.90","457.35","551.85","224.55",3122116,"1,427,888,647.05",38627
"23-Dec-2021","EQ","465.05","468.45","459.30","463.35","460.00","461.30","463.71","551.85","224.55",6986665,"3,239,803,503.50",120682
"22-Dec-2021","EQ","450.85","464.65","447.35","445.45","463.05","463.35","458.34","551.85","224.55",7765878,"3,559,414,902.40",121930
"21-Dec-2021","EQ","438.00","449.70","437.35","433.10","445.55","445.45","445.57","551.85","224.55",5029410,"2,240,967,835.85",71491
"20-Dec-2021","EQ","444.80","445.25","426.70","450.15","434.75","433.10","434.48","551.85","224.55",5952052,"2,586,036,575.30",77184
"17-Dec-2021","EQ","449.50","457.00","444.75","450.50","450.20","450.15","451.35","551.85","224.55",14337902,"6,471,463,945.30",92168
"16-Dec-2021","EQ","464.00","464.00","448.55","458.35","450.25","450.50","452.63","551.85","224.55",8879417,"4,019,104,161.85",99592
"15-Dec-2021","EQ","461.60","463.85","456.05","461.70","456.60","458.35","459.88","551.85","224.55",3651118,"1,679,078,182.15",57048
"14-Dec-2021","EQ","454.90","464.40","454.70","458.25","461.55","461.70","461.27","551.85","224.55",8027659,"3,702,956,437.35",107362
"13-Dec-2021","EQ","460.00","469.50","457.45","455.10","459.65","458.25","463.67","551.85","224.55",9401208,"4,359,101,847.40",109599
"10-Dec-2021","EQ","455.40","460.95","453.45","455.65","454.15","455.10","456.75","551.85","224.55",5308752,"2,424,774,073.75",62162
"09-Dec-2021","EQ","457.45","458.70","452.20","457.45","455.25","455.65","455.39","551.85","224.55",5586232,"2,543,941,283.70",68096
"08-Dec-2021","EQ","446.00","458.45","440.10","442.50","456.40","457.45","450.56","551.85","224.55",13700443,"6,172,933,603.35",222991
"07-Dec-2021","EQ","427.40","444.40","425.20","421.35","443.05","442.50","438.84","551.85","224.55",18303734,"8,032,406,307.15",186115
"06-Dec-2021","EQ","424.95","432.50","418.20","424.65","421.50","421.35","426.54","551.85","224.55",8160853,"3,480,937,526.80",82504
"03-Dec-2021","EQ","427.80","433.80","424.00","432.10","424.90","424.65","428.52","551.85","222.50",5938378,"2,544,732,818.60",79085
"02-Dec-2021","EQ","428.00","433.90","421.00","424.90","432.80","432.10","426.90","551.85","222.50",7775405,"3,319,301,651.00",79235
"01-Dec-2021","EQ","419.50","426.10","416.10","412.75","425.25","424.90","422.52","551.85","222.50",8183556,"3,457,736,126.30",100053
"30-Nov-2021","EQ","418.95","430.00","410.00","420.15","412.50","412.75","417.23","551.85","222.50",14850682,"6,196,106,263.40",161383
"29-Nov-2021","EQ","414.00","433.50","407.10","417.00","421.00","420.15","422.80","551.85","222.50",19069247,"8,062,383,420.00",167358
"26-Nov-2021","EQ","441.80","442.70","414.70","447.05","417.70","417.00","426.23","551.85","215.55",14826141,"6,319,390,573.05",176496
"25-Nov-2021","EQ","451.50","458.80","443.65","452.10","447.65","447.05","447.85","551.85","215.55",8633424,"3,866,520,315.80",97177
"24-Nov-2021","EQ","453.90","456.90","444.20","450.20","450.20","452.10","451.63","551.85","215.55",7761523,"3,505,356,904.00",92017
"23-Nov-2021","EQ","439.25","453.40","437.05","442.15","450.90","450.20","448.48","551.85","215.55",9020906,"4,045,678,366.75",107084
"22-Nov-2021","EQ","442.60","447.70","432.90","440.30","442.50","442.15","441.52","551.85","215.55",10007050,"4,418,266,107.95",153506
"18-Nov-2021","EQ","448.10","454.00","436.30","445.40","439.05","440.30","444.47","551.85","210.10",9688141,"4,306,050,852.85",126917
"17-Nov-2021","EQ","442.00","449.20","439.50","445.60","444.20","445.40","444.33","551.85","210.10",7474301,"3,321,059,593.35",101563
"16-Nov-2021","EQ","457.00","459.90","443.05","455.90","444.30","445.60","451.32","551.85","210.10",8937525,"4,033,700,918.80",121340
"15-Nov-2021","EQ","473.60","473.60","455.15","468.55","456.00","455.90","461.10","551.85","210.10",8882843,"4,095,878,266.45",106838
"12-Nov-2021","EQ","460.50","470.50","458.95","453.95","468.10","468.55","465.29","551.85","189.30",17010073,"7,914,661,209.50",183166
"11-Nov-2021","EQ","449.05","456.30","446.60","449.75","454.65","453.95","452.60","551.85","189.30",7789754,"3,525,633,571.15",103765
"10-Nov-2021","EQ","463.65","464.00","448.50","464.60","449.05","449.75","453.13","551.85","189.30",14672997,"6,648,816,630.10",147824
"09-Nov-2021","EQ","470.70","476.20","462.30","469.80","464.85","464.60","467.51","551.85","189.30",8628327,"4,033,841,920.65",79821
"08-Nov-2021","EQ","480.00","481.45","459.20","472.60","469.25","469.80","465.43","551.85","189.30",13018619,"6,059,196,879.10",147932
"04-Nov-2021","EQ","482.00","482.00","470.00","478.30","472.25","472.60","474.73","551.85","167.65",1615558,"766,949,280.75",27522
"03-Nov-2021","EQ","471.00","480.45","469.85","468.40","479.25","478.30","476.52","551.85","167.65",6928590,"3,301,644,706.75",68401
"02-Nov-2021","EQ","480.00","481.00","467.15","478.15","468.90","468.40","473.04","551.85","167.65",5953912,"2,816,452,154.10",84234
"01-Nov-2021","EQ","463.80","481.10","463.35","459.80","480.35","478.15","473.70","551.85","167.65",7466267,"3,536,737,259.45",101772
"29-Oct-2021","EQ","469.45","474.20","456.65","468.80","463.90","459.80","466.71","551.85","165.30",8306338,"3,876,656,949.45",83623
"28-Oct-2021","EQ","455.85","477.15","453.45","479.85","466.75","468.80","467.91","551.85","165.30",12659503,"5,923,553,426.65",160855
"27-Oct-2021","EQ","483.00","487.70","475.65","486.05","477.60","479.85","481.62","551.85","165.30",8972879,"4,321,506,825.40",95785
"26-Oct-2021","EQ","475.05","488.00","472.55","473.25","487.70","486.05","481.55","551.85","165.30",8120433,"3,910,415,521.60",94965
