"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","125.30","126.75","122.65","123.80","123.70","123.55","124.05","196.75","58.00",3879396,"481,222,393.55",17091
"28-Jan-2022","EQ","123.40","128.15","123.25","122.00","123.80","123.80","125.60","196.75","53.60",5312619,"667,264,904.85",23289
"27-Jan-2022","EQ","123.00","123.30","120.00","124.65","122.45","122.00","122.07","196.75","53.60",3537193,"431,798,028.00",19206
"25-Jan-2022","EQ","120.80","126.05","116.80","120.65","124.40","124.65","122.39","196.75","53.60",5118615,"626,481,635.40",29486
"24-Jan-2022","EQ","129.60","130.60","118.30","131.25","120.00","120.65","122.56","196.75","53.60",8542100,"1,046,927,373.70",45264
"21-Jan-2022","EQ","133.75","135.70","128.50","133.90","131.25","131.25","132.87","196.75","53.60",5155619,"685,047,429.20",28675
"20-Jan-2022","EQ","130.30","134.60","130.10","129.60","133.90","133.90","133.45","196.75","53.60",6368032,"849,792,139.05",30416
"19-Jan-2022","EQ","130.50","131.75","126.60","131.05","129.70","129.60","129.49","196.75","53.60",4885838,"632,644,351.40",24873
"18-Jan-2022","EQ","138.00","139.20","130.50","137.55","130.95","131.05","134.20","196.75","53.60",5754710,"772,307,034.15",29871
"17-Jan-2022","EQ","137.00","141.60","136.75","136.65","137.80","137.55","138.76","196.75","53.60",6405711,"888,879,324.15",32151
"14-Jan-2022","EQ","136.00","137.50","134.70","136.10","137.00","136.65","136.17","196.75","53.60",5639448,"767,926,100.35",23076
"13-Jan-2022","EQ","135.00","140.50","134.50","133.90","136.20","136.10","137.81","196.75","53.60",14228398,"1,960,876,671.55",69611
"12-Jan-2022","EQ","131.20","134.95","129.80","130.20","133.90","133.90","132.44","196.75","53.60",4845617,"641,748,097.05",24718
"11-Jan-2022","EQ","131.95","133.00","129.15","131.80","130.10","130.20","130.81","196.75","53.60",3427948,"448,421,698.40",17452
"10-Jan-2022","EQ","131.95","135.00","131.40","131.55","131.95","131.80","133.01","196.75","53.60",5192602,"690,658,697.80",22906
"07-Jan-2022","EQ","132.00","133.30","128.35","131.80","130.90","131.55","131.00","196.75","53.60",7146876,"936,231,580.85",24802
"06-Jan-2022","EQ","132.80","134.75","131.00","134.75","131.80","131.80","132.57","196.75","53.60",4658289,"617,536,227.90",22029
"05-Jan-2022","EQ","133.75","137.25","130.80","133.45","134.45","134.75","134.98","196.75","53.60",10030438,"1,353,936,866.00",41944
"04-Jan-2022","EQ","129.00","134.75","129.00","127.75","133.05","133.45","132.96","196.75","53.60",16125645,"2,144,026,464.45",69938
"03-Jan-2022","EQ","124.70","128.95","123.35","124.70","128.80","127.75","125.53","196.75","53.60",5969893,"749,418,231.40",23256
"31-Dec-2021","EQ","123.00","127.50","122.85","122.65","124.40","124.70","125.53","196.75","53.60",5386417,"676,162,308.80",24903
"30-Dec-2021","EQ","125.50","126.70","121.85","125.95","122.45","122.65","124.23","196.75","53.60",3623603,"450,143,235.40",21138
"29-Dec-2021","EQ","125.05","129.00","122.80","124.40","125.60","125.95","125.78","196.75","53.60",7053277,"887,167,243.60",36404
"28-Dec-2021","EQ","118.00","125.75","117.95","117.00","125.10","124.40","122.06","196.75","53.60",5039035,"615,055,722.15",28483
"27-Dec-2021","EQ","117.05","117.85","115.50","117.65","116.85","117.00","116.53","196.75","53.60",1604766,"187,000,476.70",10303
"24-Dec-2021","EQ","120.00","120.30","116.80","119.80","117.90","117.65","117.84","196.75","52.30",1903275,"224,284,772.80",12753
"23-Dec-2021","EQ","119.05","121.85","119.05","118.05","120.15","119.80","120.50","196.75","52.30",2475292,"298,271,288.35",16676
"22-Dec-2021","EQ","116.20","119.15","115.00","115.25","118.00","118.05","117.76","196.75","52.30",2319260,"273,108,496.00",14235
"21-Dec-2021","EQ","114.25","117.60","113.25","112.25","114.95","115.25","115.34","196.75","52.30",2672904,"308,289,652.10",17132
"20-Dec-2021","EQ","116.80","117.00","110.25","118.85","112.80","112.25","112.83","196.75","52.30",3894785,"439,450,212.85",28728
"17-Dec-2021","EQ","124.30","124.60","118.05","123.95","119.30","118.85","120.47","196.75","44.55",3481384,"419,397,919.70",24771
"16-Dec-2021","EQ","128.00","128.35","123.15","126.50","124.20","123.95","124.85","196.75","44.55",2705563,"337,794,099.55",14206
"15-Dec-2021","EQ","127.45","132.70","125.60","126.85","126.20","126.50","128.43","196.75","44.55",5761570,"739,939,419.05",31833
"14-Dec-2021","EQ","128.50","130.00","126.00","129.75","126.95","126.85","128.01","196.75","44.55",2839843,"363,530,175.10",15524
"13-Dec-2021","EQ","132.00","133.00","129.20","130.90","129.95","129.75","130.67","196.75","44.55",3529420,"461,192,473.65",21516
"10-Dec-2021","EQ","123.10","132.65","122.85","124.30","131.25","130.90","128.14","196.75","42.25",5915366,"758,011,794.60",35920
"09-Dec-2021","EQ","127.00","127.10","123.75","126.05","123.80","124.30","124.65","196.75","42.25",2279416,"284,123,562.75",15098
"08-Dec-2021","EQ","127.00","127.95","124.00","125.80","126.00","126.05","126.24","196.75","42.25",4960540,"626,231,947.75",31791
"07-Dec-2021","EQ","116.65","128.35","116.50","114.30","126.80","125.80","123.57","196.75","42.25",15309168,"1,891,814,432.15",85580
"06-Dec-2021","EQ","118.50","118.80","113.80","117.55","114.15","114.30","116.53","196.75","42.25",1841121,"214,550,436.05",13714
"03-Dec-2021","EQ","118.00","119.35","117.05","118.25","117.50","117.55","118.06","196.75","40.65",1799905,"212,500,953.95",14085
"02-Dec-2021","EQ","115.00","119.30","114.45","115.30","118.50","118.25","116.96","196.75","40.65",2673917,"312,753,327.85",18951
"01-Dec-2021","EQ","116.50","117.35","113.00","111.35","115.30","115.30","114.62","196.75","40.65",3274600,"375,322,085.40",26957
"30-Nov-2021","EQ","110.65","114.65","110.35","110.65","111.05","111.35","112.55","196.75","40.65",2159854,"243,091,203.70",18131
"29-Nov-2021","EQ","114.00","114.80","108.30","115.75","110.80","110.65","111.82","196.75","40.65",3332738,"372,656,002.65",30349
"26-Nov-2021","EQ","119.10","119.45","115.40","120.75","116.85","115.75","117.08","196.75","36.30",2398781,"280,860,752.90",21561
"25-Nov-2021","EQ","119.45","121.50","117.80","119.40","121.00","120.75","119.66","196.75","36.30",1707146,"204,272,945.25",13570
"24-Nov-2021","EQ","120.70","121.65","119.10","119.90","119.35","119.40","120.24","196.75","36.30",1747843,"210,159,973.40",14218
"23-Nov-2021","EQ","113.05","121.50","113.05","115.55","120.10","119.90","118.62","196.75","36.30",2819107,"334,403,734.60",21456
"22-Nov-2021","EQ","118.40","119.80","114.65","117.90","115.65","115.55","116.82","196.75","36.30",2848314,"332,745,056.10",21847
"18-Nov-2021","EQ","122.00","123.20","116.95","121.40","117.85","117.90","119.62","196.75","35.00",2759630,"330,117,818.55",23116
"17-Nov-2021","EQ","124.20","124.90","121.00","125.00","121.55","121.40","123.02","196.75","35.00",1659116,"204,103,925.10",14096
"16-Nov-2021","EQ","124.00","126.70","123.15","125.15","125.00","125.00","125.07","196.75","35.00",2233769,"279,369,712.40",17856
"15-Nov-2021","EQ","128.00","128.60","124.85","127.10","125.10","125.15","126.23","196.75","35.00",1835457,"231,683,813.40",14116
"12-Nov-2021","EQ","128.50","130.45","126.10","128.10","127.15","127.10","128.15","196.75","34.25",2313161,"296,441,745.85",17682
"11-Nov-2021","EQ","130.00","133.00","127.30","130.05","127.60","128.10","130.15","196.75","34.25",2812865,"366,103,430.60",17536
"10-Nov-2021","EQ","133.80","135.95","129.05","133.10","129.70","130.05","131.98","196.75","34.25",4894855,"646,007,600.40",34772
"09-Nov-2021","EQ","131.50","134.45","130.45","130.60","132.85","133.10","132.92","196.75","34.25",4013443,"533,478,465.85",26351
"08-Nov-2021","EQ","131.50","132.00","128.45","130.35","130.60","130.60","130.24","196.75","34.25",2935680,"382,347,171.60",19221
"04-Nov-2021","EQ","128.80","130.95","128.35","127.85","130.75","130.35","129.85","196.75","32.15",974860,"126,586,644.35",9635
"03-Nov-2021","EQ","130.00","132.40","126.40","128.95","128.00","127.85","129.16","196.75","32.15",3830984,"494,821,189.35",24179
"02-Nov-2021","EQ","129.50","130.75","128.35","128.50","129.35","128.95","129.28","196.75","32.15",2772811,"358,482,445.45",20454
"01-Nov-2021","EQ","128.00","132.75","126.90","126.95","128.50","128.50","129.53","196.75","32.15",4147591,"537,227,933.15",28473
"29-Oct-2021","EQ","128.30","131.25","124.30","129.05","127.15","126.95","127.93","196.75","32.15",4973347,"636,218,446.05",32633
"28-Oct-2021","EQ","132.00","133.00","128.10","134.50","129.20","129.05","130.23","196.75","32.15",4492425,"585,057,401.55",32917
"27-Oct-2021","EQ","137.50","138.55","132.90","136.50","134.80","134.50","135.40","196.75","32.15",3857510,"522,298,252.50",26303
"26-Oct-2021","EQ","130.85","137.50","129.60","130.10","137.00","136.50","134.15","196.75","32.15",8891273,"1,192,791,900.70",50244
"25-Oct-2021","EQ","130.75","135.00","125.95","129.65","130.05","130.10","130.46","196.75","32.15",7932152,"1,034,844,000.45",49754
"22-Oct-2021","EQ","136.00","138.40","127.50","136.70","129.70","129.65","132.03","196.75","31.95",7458356,"984,711,128.45",49696
"21-Oct-2021","EQ","144.65","148.45","135.00","143.05","136.55","136.70","139.48","196.75","31.95",10395166,"1,449,946,232.35",64987
"20-Oct-2021","EQ","149.05","149.15","139.70","149.15","142.30","143.05","143.87","196.75","31.95",11556906,"1,662,664,963.95",74066
"19-Oct-2021","EQ","152.75","159.40","145.40","149.20","149.25","149.15","153.41","196.75","31.95",24618892,"3,776,687,152.70",153333
"18-Oct-2021","EQ","138.10","152.70","138.00","132.35","149.20","149.20","146.73","196.75","31.95",33963715,"4,983,611,071.65",199694
"14-Oct-2021","EQ","129.00","137.95","129.00","125.95","132.25","132.35","133.80","196.75","31.30",16200880,"2,167,672,437.10",91369
"13-Oct-2021","EQ","127.00","127.35","125.30","126.35","125.85","125.95","126.14","196.75","31.30",4430850,"558,920,918.40",22951
"12-Oct-2021","EQ","125.90","128.50","125.15","125.85","126.20","126.35","126.61","196.75","31.30",3856904,"488,338,057.05",24024
"11-Oct-2021","EQ","127.80","128.00","124.80","127.00","125.50","125.85","126.18","196.75","31.30",3600660,"454,343,037.25",21950
"08-Oct-2021","EQ","128.40","128.80","124.45","127.05","127.00","127.00","126.71","196.75","31.30",4524708,"573,307,688.85",30968
"07-Oct-2021","EQ","127.45","130.50","126.30","125.00","126.90","127.05","128.01","196.75","31.30",8297399,"1,062,184,168.85",49603
