"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","316.25","318.55","315.00","315.35","316.00","315.45","316.50","408.60","257.00",264966,"83,861,526.90",9086
"28-Jan-2022","EQ","314.95","319.40","314.40","312.95","315.00","315.35","316.53","408.60","257.00",377815,"119,589,507.35",9544
"27-Jan-2022","EQ","309.50","317.00","309.50","312.25","312.50","312.95","313.44","408.60","257.00",599365,"187,862,237.20",10818
"25-Jan-2022","EQ","314.10","319.50","308.00","316.55","312.65","312.25","312.86","408.60","257.00",707511,"221,351,548.10",17907
"24-Jan-2022","EQ","326.60","326.70","312.50","326.00","316.70","316.55","319.37","408.60","257.00",697303,"222,700,654.05",16616
"21-Jan-2022","EQ","322.20","329.40","316.80","322.20","325.65","326.00","324.90","408.60","257.00",2227785,"723,814,216.05",34441
"20-Jan-2022","EQ","325.00","327.60","319.60","324.20","322.60","322.20","323.20","408.60","257.00",398781,"128,886,129.70",7814
"19-Jan-2022","EQ","326.00","328.55","323.00","325.80","324.50","324.20","324.77","408.60","257.00",292701,"95,061,308.65",6450
"18-Jan-2022","EQ","329.90","329.90","325.10","327.50","326.00","325.80","327.41","408.60","257.00",243633,"79,767,350.20",5762
"17-Jan-2022","EQ","328.10","329.95","327.00","330.00","327.15","327.50","328.06","408.60","257.00",285705,"93,727,777.45",6696
"14-Jan-2022","EQ","331.95","332.65","328.30","331.40","329.90","330.00","330.44","408.60","257.00",220490,"72,858,970.90",5428
"13-Jan-2022","EQ","330.10","333.00","330.05","330.70","330.95","331.40","331.77","408.60","257.00",291606,"96,745,297.75",6496
"12-Jan-2022","EQ","328.00","331.75","327.00","326.75","329.75","330.70","330.15","408.60","257.00",405320,"133,817,145.90",9983
"11-Jan-2022","EQ","324.00","329.45","323.85","330.45","326.30","326.75","326.90","408.60","257.00",381278,"124,638,647.75",9361
"10-Jan-2022","EQ","334.00","334.95","329.50","333.00","330.95","330.45","330.98","408.60","257.00",326601,"108,099,744.80",8083
"07-Jan-2022","EQ","333.00","334.10","328.40","331.45","332.00","333.00","331.66","408.60","240.50",417489,"138,463,263.90",8901
"06-Jan-2022","EQ","331.00","332.50","328.00","331.95","331.20","331.45","330.08","408.60","240.50",349833,"115,471,886.50",9678
"05-Jan-2022","EQ","329.80","333.20","326.10","330.55","332.35","331.95","329.47","408.60","240.50",565040,"186,162,311.55",12190
"04-Jan-2022","EQ","331.70","334.50","326.50","319.60","329.80","330.55","329.71","408.60","240.50",2498082,"823,652,666.85",40976
"03-Jan-2022","EQ","316.95","320.00","316.85","316.80","320.00","319.60","318.79","408.60","240.50",297955,"94,984,483.30",6457
"31-Dec-2021","EQ","317.00","318.35","316.05","315.65","317.00","316.80","317.20","408.60","237.20",262845,"83,374,679.45",5830
"30-Dec-2021","EQ","315.70","318.00","315.00","315.70","315.60","315.65","316.27","408.60","237.20",220544,"69,750,759.55",5405
"29-Dec-2021","EQ","318.80","320.30","315.05","317.00","315.80","315.70","317.33","408.60","237.20",362907,"115,162,290.00",7169
"28-Dec-2021","EQ","317.00","318.00","316.00","315.45","316.45","317.00","317.22","408.60","237.20",244343,"77,511,686.45",5784
"27-Dec-2021","EQ","313.60","316.50","310.80","313.65","315.45","315.45","314.88","408.60","237.20",381503,"120,127,357.25",8903
"24-Dec-2021","EQ","317.50","317.90","312.30","315.05","313.95","313.65","313.91","408.60","224.80",368237,"115,594,793.75",7666
"23-Dec-2021","EQ","315.95","319.35","313.00","312.15","314.90","315.05","316.49","408.60","224.80",649236,"205,479,899.50",14623
"22-Dec-2021","EQ","314.30","316.65","309.15","312.85","312.00","312.15","312.87","408.60","224.80",696814,"218,010,506.80",13408
"21-Dec-2021","EQ","310.55","319.50","310.55","310.90","313.50","312.85","315.65","408.60","224.80",658526,"207,864,520.45",14460
"20-Dec-2021","EQ","313.40","313.40","305.75","313.40","311.00","310.90","309.43","408.60","224.80",933224,"288,770,562.20",19696
"17-Dec-2021","EQ","325.55","327.50","311.50","323.80","313.50","313.40","318.60","408.60","224.80",1424154,"453,738,611.60",26496
"16-Dec-2021","EQ","333.00","335.00","323.00","333.00","324.10","323.80","326.51","408.60","224.80",1180628,"385,492,609.10",22786
"15-Dec-2021","EQ","339.95","341.90","332.00","338.60","332.85","333.00","337.58","408.60","224.80",873355,"294,825,108.70",15506
"14-Dec-2021","EQ","349.80","352.05","333.15","367.95","337.00","338.60","343.90","408.60","224.80",2717685,"934,605,821.05",49810
"13-Dec-2021","EQ","369.80","369.85","364.40","365.45","368.50","367.95","367.20","408.60","224.80",1464889,"537,905,901.95",21218
"10-Dec-2021","EQ","368.00","368.25","363.30","367.20","365.70","365.45","365.14","408.60","224.80",1345835,"491,423,331.40",20096
"09-Dec-2021","EQ","364.55","368.35","363.60","361.75","367.40","367.20","366.18","408.60","224.80",2019400,"739,461,561.80",32280
"08-Dec-2021","EQ","357.00","363.75","355.20","353.60","362.90","361.75","359.23","408.60","224.80",4226137,"1,518,176,174.45",55148
"07-Dec-2021","EQ","354.00","355.00","350.55","349.00","354.20","353.60","352.87","408.60","224.80",1291881,"455,871,474.40",19648
"06-Dec-2021","EQ","351.45","352.70","345.60","347.65","349.25","349.00","349.46","408.60","224.80",1984752,"693,584,770.60",32661
"03-Dec-2021","EQ","345.10","350.00","340.05","333.30","349.10","347.65","344.09","408.60","224.80",3532515,"1,215,518,644.85",51449
"02-Dec-2021","EQ","330.00","334.85","329.05","332.60","333.20","333.30","332.71","408.60","224.80",490104,"163,061,450.25",8239
"01-Dec-2021","EQ","333.40","335.80","328.80","333.05","332.25","332.60","332.16","408.60","224.80",630349,"209,376,580.25",11392
"30-Nov-2021","EQ","329.00","333.90","325.95","329.85","333.05","333.05","330.38","408.60","224.80",1291897,"426,810,530.05",23736
"29-Nov-2021","EQ","330.90","331.90","322.50","330.30","328.55","329.85","328.87","408.60","224.80",921006,"302,895,762.80",19863
"26-Nov-2021","EQ","330.00","334.00","324.00","331.65","332.00","330.30","329.63","408.60","218.00",1380003,"454,894,948.10",17583
