"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","788.95","798.70","784.00","781.15","789.00","788.80","791.23","867.00","531.15",14824509,"11,729,532,549.20",307444
"28-Jan-2022","EQ","803.75","805.85","778.50","794.65","782.00","781.15","792.77","867.00","512.00",14072314,"11,156,041,081.65",250672
"27-Jan-2022","EQ","786.90","801.50","781.05","801.65","797.50","794.65","790.93","867.00","512.00",23984679,"18,970,171,408.70",345466
"25-Jan-2022","EQ","789.00","804.30","786.05","798.45","800.50","801.65","798.31","867.00","512.00",19513184,"15,577,635,109.65",330519
"24-Jan-2022","EQ","813.00","816.70","783.30","804.50","792.00","798.45","803.26","867.00","512.00",29612316,"23,786,340,972.40",424239
"21-Jan-2022","EQ","803.00","811.35","795.50","810.25","810.65","804.50","802.84","867.00","512.00",12078277,"9,696,933,532.80",218577
"20-Jan-2022","EQ","803.00","812.95","795.40","808.60","811.60","810.25","806.12","867.00","512.00",13567654,"10,937,112,632.00",177566
"19-Jan-2022","EQ","816.00","821.00","803.25","823.10","809.80","808.60","811.33","867.00","512.00",16416144,"13,318,915,834.85",224243
"18-Jan-2022","EQ","821.00","836.00","818.20","819.30","823.00","823.10","827.77","867.00","512.00",10835146,"8,968,989,845.80",208473
"17-Jan-2022","EQ","820.00","828.90","814.55","820.00","820.30","819.30","820.82","867.00","512.00",6722700,"5,518,147,261.30",156099
"14-Jan-2022","EQ","821.00","822.00","811.60","824.70","818.35","820.00","816.95","867.00","512.00",7552844,"6,170,324,363.20",137003
"13-Jan-2022","EQ","821.00","828.00","817.40","823.75","824.00","824.70","824.04","867.00","512.00",9372244,"7,723,100,104.05",210731
"12-Jan-2022","EQ","818.60","825.45","812.05","810.65","823.30","823.75","821.46","867.00","512.00",13034848,"10,707,618,220.85",197467
"11-Jan-2022","EQ","809.75","814.70","801.90","810.75","810.00","810.65","808.90","867.00","512.00",9982061,"8,074,488,825.20",196523
"10-Jan-2022","EQ","800.25","812.80","799.00","793.25","809.55","810.75","805.84","867.00","512.00",10905080,"8,787,751,845.50",207026
"07-Jan-2022","EQ","792.20","802.30","786.25","785.05","794.50","793.25","795.26","867.00","512.00",12250210,"9,742,137,042.85",191092
"06-Jan-2022","EQ","775.05","792.50","774.00","788.05","786.80","785.05","781.94","867.00","512.00",13018067,"10,179,410,575.90",216014
"05-Jan-2022","EQ","773.00","795.85","771.20","772.85","787.00","788.05","786.85","867.00","512.00",19741360,"15,533,584,419.45",328782
"04-Jan-2022","EQ","767.95","778.00","763.60","764.70","773.45","772.85","772.69","867.00","512.00",12114437,"9,360,694,598.65",249942
"03-Jan-2022","EQ","743.05","766.00","743.00","740.15","765.50","764.70","756.87","867.00","512.00",9653095,"7,306,129,276.45",245297
"31-Dec-2021","EQ","736.55","746.25","736.55","735.70","740.80","740.15","741.65","867.00","512.00",6973055,"5,171,551,586.05",170712
"30-Dec-2021","EQ","733.30","740.50","729.00","735.70","736.00","735.70","736.01","867.00","512.00",14326182,"10,544,252,583.85",173530
"29-Dec-2021","EQ","738.00","744.95","731.90","735.80","732.85","735.70","739.52","867.00","512.00",7143073,"5,282,469,404.85",119283
"28-Dec-2021","EQ","740.40","742.45","732.50","736.00","736.50","735.80","737.61","867.00","512.00",17833655,"13,154,200,658.05",149087
"27-Dec-2021","EQ","724.00","738.75","716.10","727.10","736.50","736.00","730.51","867.00","512.00",7955163,"5,811,333,268.75",157237
"24-Dec-2021","EQ","733.90","733.90","719.60","731.30","728.00","727.10","725.74","867.00","488.20",8800690,"6,387,037,609.75",201257
"23-Dec-2021","EQ","739.05","739.50","727.95","732.80","728.80","731.30","734.17","867.00","488.20",9994049,"7,337,357,874.40",173446
"22-Dec-2021","EQ","726.25","734.95","720.05","720.35","733.70","732.80","727.56","867.00","488.20",9843359,"7,161,672,551.70",152755
"21-Dec-2021","EQ","720.00","728.95","716.15","709.95","721.00","720.35","723.36","867.00","488.20",14563335,"10,534,552,281.40",190336
"20-Dec-2021","EQ","718.10","720.20","698.20","728.30","710.00","709.95","708.41","867.00","488.20",16900016,"11,972,204,502.90",377207
"17-Dec-2021","EQ","742.00","742.00","726.05","741.15","729.20","728.30","731.28","867.00","488.20",13227787,"9,673,196,333.25",202468
"16-Dec-2021","EQ","757.90","757.90","738.95","752.25","741.95","741.15","746.16","867.00","488.20",14123215,"10,538,128,058.50",209571
"15-Dec-2021","EQ","757.60","759.50","750.90","758.65","751.55","752.25","755.20","867.00","488.20",7358740,"5,557,341,088.65",145351
"14-Dec-2021","EQ","751.05","764.35","746.30","754.00","757.80","758.65","756.34","867.00","488.20",17488089,"13,227,025,251.80",236748
"13-Dec-2021","EQ","763.00","769.70","752.50","758.00","754.85","754.00","761.71","867.00","488.20",16855546,"12,838,969,674.65",229658
"10-Dec-2021","EQ","756.50","759.80","751.05","755.00","757.35","758.00","755.25","867.00","488.20",7627774,"5,760,908,575.50",117956
"09-Dec-2021","EQ","759.05","763.00","748.40","753.40","754.30","755.00","755.98","867.00","488.20",16007459,"12,101,308,616.85",220895
"08-Dec-2021","EQ","747.90","758.80","744.10","734.65","753.55","753.40","751.77","867.00","488.20",33432411,"25,133,481,383.80",362183
