"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","549.75","563.20","548.10","545.35","561.10","560.45","557.49","724.30","418.50",854900,"476,595,379.85",26555
"28-Jan-2022","EQ","545.10","558.00","541.25","543.35","544.50","545.35","548.92","724.30","418.50",1481096,"813,008,145.85",56236
"27-Jan-2022","EQ","556.00","556.00","537.00","556.25","543.00","543.35","544.26","724.30","418.50",1360316,"740,371,418.80",63127
"25-Jan-2022","EQ","560.00","568.65","552.65","568.05","556.00","556.25","558.88","724.30","418.50",1496614,"836,427,392.45",56514
"24-Jan-2022","EQ","578.50","578.50","557.30","577.55","570.00","568.05","566.08","724.30","418.50",1103122,"624,455,618.55",34844
"21-Jan-2022","EQ","578.00","585.55","570.65","578.45","578.50","577.55","578.30","724.30","418.50",1039247,"600,996,308.60",29138
"20-Jan-2022","EQ","573.80","580.55","568.20","573.80","578.95","578.45","575.16","724.30","418.50",837671,"481,792,718.90",21541
"19-Jan-2022","EQ","601.00","601.00","565.00","608.00","572.20","573.80","575.17","724.30","418.50",3567443,"2,051,874,110.15",72965
"18-Jan-2022","EQ","618.50","648.85","603.55","615.65","609.45","608.00","613.01","724.30","418.50",1705767,"1,045,644,743.55",44334
"17-Jan-2022","EQ","591.00","621.00","591.00","591.10","617.00","615.65","611.43","724.30","418.50",2806939,"1,716,239,206.55",65184
"14-Jan-2022","EQ","592.50","603.40","587.25","590.75","590.80","591.10","595.48","724.30","418.50",1146250,"682,568,391.45",23909
"13-Jan-2022","EQ","592.20","598.00","586.50","588.25","592.40","590.75","591.90","724.30","418.50",825569,"488,654,020.85",20633
"12-Jan-2022","EQ","585.00","590.00","574.90","583.10","588.10","588.25","582.79","724.30","418.50",1343692,"783,087,308.25",34056
"11-Jan-2022","EQ","590.00","598.55","580.50","589.70","581.65","583.10","589.49","724.30","418.50",1842785,"1,086,308,754.85",28893
"10-Jan-2022","EQ","584.80","591.00","582.50","583.80","589.50","589.70","587.72","724.30","418.50",1187483,"697,902,871.90",16164
"07-Jan-2022","EQ","575.10","586.50","574.60","575.05","583.95","583.80","581.98","724.30","418.50",843083,"490,654,701.15",22779
"06-Jan-2022","EQ","574.15","578.00","565.35","575.25","573.45","575.05","572.39","724.30","418.50",599257,"343,007,091.70",13506
"05-Jan-2022","EQ","573.50","580.00","569.20","570.95","574.15","575.25","575.39","724.30","418.50",1058318,"608,945,428.25",23111
