"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","11.00","11.05","10.50","10.80","10.70","10.65","10.73","16.80","4.55",242691613,"2,603,595,331.40",167888
"28-Jan-2022","EQ","10.90","11.30","10.70","10.65","10.75","10.80","10.97","16.80","4.55",307103764,"3,369,773,703.50",156917
"27-Jan-2022","EQ","11.00","11.20","10.60","11.30","10.75","10.65","10.78","16.80","4.55",330017669,"3,556,727,540.45",198868
"25-Jan-2022","EQ","10.80","11.50","10.80","10.95","11.20","11.30","11.25","16.80","4.55",385767954,"4,340,014,257.00",169961
"24-Jan-2022","EQ","11.40","11.85","10.75","11.85","10.95","10.95","11.14","16.80","4.55",345228541,"3,846,603,302.45",210306
"21-Jan-2022","EQ","11.85","12.25","11.75","12.05","11.80","11.85","12.05","16.80","4.55",169930902,"2,047,361,460.75",111806
"20-Jan-2022","EQ","11.90","12.35","11.85","11.95","12.00","12.05","12.10","16.80","4.55",124495401,"1,506,571,376.25",109507
"19-Jan-2022","EQ","11.85","12.05","11.60","12.05","11.90","11.95","11.83","16.80","4.55",229377462,"2,712,400,003.05",152718
"18-Jan-2022","EQ","12.60","12.60","12.00","12.50","12.10","12.05","12.19","16.80","4.55",179807332,"2,192,494,919.95",154422
"17-Jan-2022","EQ","12.80","12.95","12.45","12.75","12.50","12.50","12.59","16.80","4.55",172004314,"2,165,939,941.90",151508
"14-Jan-2022","EQ","12.85","13.00","12.70","12.80","12.70","12.75","12.85","16.80","4.55",158830431,"2,041,755,938.15",138070
"13-Jan-2022","EQ","13.15","13.25","12.60","12.80","12.80","12.80","12.85","16.80","4.55",258126625,"3,316,569,410.35",191613
"12-Jan-2022","EQ","12.20","13.50","12.00","11.80","12.85","12.80","12.75","16.80","4.55",856995853,"10,929,859,469.15",467312
"11-Jan-2022","EQ","13.40","13.60","11.40","14.85","11.75","11.80","12.52","16.80","4.55",2108703849,"26,407,444,661.65",862095
"10-Jan-2022","EQ","15.25","15.35","14.65","15.10","14.75","14.85","14.99","16.80","4.55",217190508,"3,256,688,339.65",136312
"07-Jan-2022","EQ","15.55","15.60","15.00","15.30","15.10","15.10","15.23","16.80","4.55",256333161,"3,902,692,289.00",153412
"06-Jan-2022","EQ","15.00","15.75","14.90","15.10","15.30","15.30","15.31","16.80","4.55",304801531,"4,667,099,412.95",157246
"05-Jan-2022","EQ","15.30","15.60","15.05","15.25","15.15","15.10","15.26","16.80","4.55",251510189,"3,838,134,773.10",137518
"04-Jan-2022","EQ","15.70","15.85","15.10","15.55","15.20","15.25","15.41","16.80","4.55",286611986,"4,415,994,096.40",171503
"03-Jan-2022","EQ","15.35","16.05","15.25","15.35","15.55","15.55","15.66","16.80","4.55",392307918,"6,143,908,109.80",228254
"31-Dec-2021","EQ","14.15","15.70","14.05","14.00","15.30","15.35","14.89","16.80","4.55",635686929,"9,468,492,456.45",320850
"30-Dec-2021","EQ","14.45","14.80","13.90","14.45","14.00","14.00","14.39","16.80","4.55",396404094,"5,705,625,143.45",228506
"29-Dec-2021","EQ","13.75","14.80","13.70","13.75","14.35","14.45","14.20","16.80","4.55",348532953,"4,949,345,969.60",199441
"28-Dec-2021","EQ","13.55","14.00","13.50","13.45","13.75","13.75","13.79","16.80","4.55",186304390,"2,568,895,197.40",186694
"27-Dec-2021","EQ","13.45","13.75","13.30","13.65","13.45","13.45","13.52","16.80","4.55",133998036,"1,811,428,535.00",157462
"24-Dec-2021","EQ","13.85","14.10","13.40","13.80","13.50","13.65","13.72","16.80","4.55",248366228,"3,408,090,395.70",150209
"23-Dec-2021","EQ","14.05","14.20","13.70","13.90","13.75","13.80","13.90","16.80","4.55",110183733,"1,531,246,399.50",170591
"22-Dec-2021","EQ","14.15","14.25","13.65","13.95","14.00","13.90","13.90","16.80","4.55",269158618,"3,740,740,214.50",188834
"21-Dec-2021","EQ","13.85","14.80","13.80","13.65","13.90","13.95","14.25","16.80","4.55",415801774,"5,926,769,820.00",267691
