"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","208.50","218.50","208.50","207.30","216.00","215.60","215.26","237.40","93.75",7624838,"1,641,340,401.85",53307
"28-Jan-2022","EQ","203.50","211.80","202.00","200.70","207.05","207.30","208.22","237.40","93.75",7077893,"1,473,744,997.05",41683
"27-Jan-2022","EQ","195.00","203.00","194.15","197.85","202.45","200.70","198.56","237.40","93.75",3737985,"742,224,381.80",30240
"25-Jan-2022","EQ","194.00","199.55","190.85","195.25","197.45","197.85","195.63","237.40","93.75",6793399,"1,329,021,716.35",41781
"24-Jan-2022","EQ","205.00","207.35","191.20","206.35","193.80","195.25","197.46","237.40","93.75",5947982,"1,174,463,031.95",38484
"21-Jan-2022","EQ","209.00","211.30","203.75","209.45","206.90","206.35","208.60","237.40","93.75",3341819,"697,113,381.75",23435
"20-Jan-2022","EQ","207.45","210.50","205.80","207.45","209.95","209.45","208.08","237.40","93.75",2400231,"499,441,379.70",16955
"19-Jan-2022","EQ","207.35","208.90","202.85","207.35","206.10","207.45","205.80","237.40","93.75",2503569,"515,225,774.35",17444
"18-Jan-2022","EQ","210.20","214.00","206.00","208.95","206.60","207.35","210.51","237.40","93.75",6202115,"1,305,593,042.70",38706
"17-Jan-2022","EQ","210.45","212.75","208.25","210.70","208.80","208.95","210.04","237.40","93.75",3557863,"747,277,010.30",18666
"14-Jan-2022","EQ","207.90","213.95","207.55","210.50","210.70","210.70","211.65","237.40","93.75",4035525,"854,127,358.80",26237
"13-Jan-2022","EQ","209.00","211.35","206.40","208.25","209.80","210.50","209.20","237.40","93.75",6360773,"1,330,704,515.20",56148
"12-Jan-2022","EQ","199.00","209.20","197.95","197.05","208.50","208.25","205.61","237.40","93.75",13520393,"2,779,887,475.85",104013
