"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","4,947.00","5,070.00","4,890.50","4,825.60","5,003.00","4,988.70","4,945.62","9,950.00","4,301.10",457459,"2,262,419,619.70",48106
"28-Jan-2022","EQ","4,605.75","4,898.45","4,580.50","4,564.25","4,830.00","4,825.60","4,766.24","9,950.00","4,301.10",674072,"3,212,791,112.50",87109
"27-Jan-2022","EQ","4,990.00","4,990.00","4,301.10","5,005.00","4,541.15","4,564.25","4,538.74","9,950.00","4,301.10",1481806,"6,725,525,570.60",190189
"25-Jan-2022","EQ","5,480.00","5,686.65","4,970.00","5,837.95","5,050.00","5,005.00","5,160.54","9,950.00","4,970.00",938662,"4,844,007,252.85",139724
"24-Jan-2022","EQ","6,125.00","6,174.95","5,720.00","6,120.30","5,825.00","5,837.95","5,906.91","9,950.00","5,720.00",182809,"1,079,836,655.70",36081
"21-Jan-2022","EQ","6,329.95","6,385.00","6,066.05","6,353.95","6,140.00","6,120.30","6,187.26","9,950.00","6,066.05",166841,"1,032,288,496.70",32937
"20-Jan-2022","EQ","6,440.00","6,440.00","6,336.00","6,412.00","6,365.00","6,353.95","6,377.26","9,950.00","6,290.00",66064,"421,307,188.90",12668
"19-Jan-2022","EQ","6,539.00","6,539.00","6,375.00","6,502.75","6,435.00","6,412.00","6,430.45","9,950.00","6,290.00",83628,"537,765,907.65",15145
"18-Jan-2022","EQ","6,709.95","6,733.30","6,451.35","6,703.55","6,525.00","6,502.75","6,586.20","9,950.00","6,290.00",91903,"605,291,517.85",16280
"17-Jan-2022","EQ","6,762.30","6,850.00","6,644.65","6,769.90","6,700.00","6,703.55","6,726.64","9,950.00","6,290.00",62385,"419,641,578.55",12788
"14-Jan-2022","EQ","6,756.45","6,870.00","6,650.00","6,736.75","6,750.00","6,769.90","6,734.87","9,950.00","6,290.00",108380,"729,925,414.00",16995
"13-Jan-2022","EQ","6,870.00","6,898.75","6,711.00","6,850.25","6,742.75","6,736.75","6,759.85","9,950.00","6,290.00",123071,"831,940,914.70",18430
"12-Jan-2022","EQ","6,560.00","6,907.00","6,508.00","6,504.10","6,849.90","6,850.25","6,794.76","9,950.00","6,290.00",311975,"2,119,794,350.45",41143
"11-Jan-2022","EQ","6,639.95","6,639.95","6,485.00","6,602.70","6,504.00","6,504.10","6,522.50","9,950.00","6,290.00",124478,"811,908,373.15",18782
"10-Jan-2022","EQ","6,700.00","6,736.80","6,585.00","6,671.90","6,592.00","6,602.70","6,640.88","9,950.00","6,290.00",91050,"604,652,380.25",16490
"07-Jan-2022","EQ","6,619.00","6,698.95","6,570.05","6,569.20","6,685.00","6,671.90","6,640.40","9,950.00","6,290.00",102113,"678,070,786.00",18979
"06-Jan-2022","EQ","6,536.00","6,642.40","6,440.00","6,582.20","6,552.10","6,569.20","6,528.99","9,950.00","6,290.00",104420,"681,756,905.75",16565
"05-Jan-2022","EQ","6,625.00","6,626.40","6,521.00","6,612.70","6,589.10","6,582.20","6,577.24","9,950.00","6,290.00",72496,"476,823,456.45",13733
"04-Jan-2022","EQ","6,629.00","6,694.00","6,491.25","6,574.15","6,629.90","6,612.70","6,612.38","9,950.00","6,290.00",126776,"838,291,678.60",20491
"03-Jan-2022","EQ","6,470.00","6,614.00","6,430.00","6,476.40","6,565.00","6,574.15","6,521.29","9,950.00","6,290.00",121756,"794,005,942.35",20545
"31-Dec-2021","EQ","6,350.70","6,540.00","6,291.00","6,307.00","6,475.60","6,476.40","6,439.41","9,950.00","6,175.00",168537,"1,085,278,878.05",22417
"30-Dec-2021","EQ","6,348.00","6,398.90","6,291.00","6,336.30","6,321.00","6,307.00","6,333.27","9,950.00","6,175.00",103155,"653,308,777.35",16759
"29-Dec-2021","EQ","6,448.00","6,448.00","6,290.00","6,431.35","6,336.00","6,336.30","6,343.46","9,950.00","6,175.00",188996,"1,198,889,403.75",28993
"28-Dec-2021","EQ","6,529.00","6,539.95","6,420.00","6,491.55","6,429.00","6,431.35","6,471.83","9,950.00","6,175.00",84345,"545,866,520.60",15922
"27-Dec-2021","EQ","6,448.85","6,559.20","6,339.30","6,448.85","6,495.00","6,491.55","6,470.86","9,950.00","6,175.00",91193,"590,097,576.10",12553
"24-Dec-2021","EQ","6,620.00","6,697.00","6,435.00","6,568.50","6,440.00","6,448.85","6,492.30","9,950.00","4,911.00",80424,"522,136,497.05",16219
"23-Dec-2021","EQ","6,655.00","6,741.40","6,561.80","6,597.05","6,577.75","6,568.50","6,632.68","9,950.00","4,911.00",88468,"586,779,771.20",17945
"22-Dec-2021","EQ","6,599.50","6,684.95","6,525.00","6,505.05","6,591.90","6,597.05","6,587.99","9,950.00","4,911.00",83880,"552,600,581.10",14765
"21-Dec-2021","EQ","6,660.00","6,733.00","6,383.00","6,567.90","6,514.00","6,505.05","6,565.44","9,950.00","4,911.00",150466,"987,875,798.65",26529
"20-Dec-2021","EQ","6,939.00","6,943.90","6,472.30","6,967.10","6,581.00","6,567.90","6,652.97","9,950.00","4,911.00",143063,"951,794,150.30",32834
"17-Dec-2021","EQ","7,110.00","7,150.70","6,948.40","7,130.45","6,970.00","6,967.10","7,005.19","9,950.00","4,911.00",136174,"953,924,523.10",24659
"16-Dec-2021","EQ","7,220.00","7,220.00","7,102.00","7,147.95","7,133.00","7,130.45","7,136.01","9,950.00","4,911.00",31121,"222,079,807.65",5425
