"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","152.40","160.70","152.05","150.10","156.25","156.70","157.16","194.95","87.50",8772066,"1,378,604,599.95",58192
"28-Jan-2022","EQ","147.50","151.85","146.25","145.85","150.00","150.10","149.46","194.95","86.60",5673629,"847,966,097.45",56214
"27-Jan-2022","EQ","134.00","146.90","133.20","135.35","145.75","145.85","141.93","194.95","86.60",6993098,"992,499,724.70",42055
"25-Jan-2022","EQ","133.00","136.35","130.90","134.55","135.15","135.35","134.39","194.95","86.60",3551569,"477,295,607.75",21609
"24-Jan-2022","EQ","139.65","140.25","132.00","139.30","133.00","134.55","135.66","194.95","86.60",3048479,"413,562,705.65",24752
"21-Jan-2022","EQ","141.00","141.65","138.50","141.90","139.85","139.30","140.21","194.95","86.20",1177358,"165,079,953.05",8787
"20-Jan-2022","EQ","141.80","143.35","141.10","141.75","141.85","141.90","142.15","194.95","86.20",1564301,"222,369,831.20",8968
"19-Jan-2022","EQ","141.90","142.75","139.80","141.50","141.10","141.75","141.30","194.95","86.20",1998676,"282,414,080.90",15677
"18-Jan-2022","EQ","146.50","146.85","139.15","145.75","141.90","141.50","144.08","194.95","86.20",1865733,"268,807,600.70",14308
"17-Jan-2022","EQ","147.00","147.90","145.40","146.05","145.70","145.75","146.60","194.95","86.20",1480166,"216,986,174.95",11135
"14-Jan-2022","EQ","145.00","148.00","144.30","144.95","146.35","146.05","146.12","194.95","85.35",3713740,"542,667,265.90",32821
"13-Jan-2022","EQ","146.70","147.00","144.60","145.85","144.90","144.95","145.28","194.95","85.35",1721817,"250,140,312.80",20012
"12-Jan-2022","EQ","147.30","148.25","145.40","145.70","145.85","145.85","146.37","194.95","85.35",1977157,"289,395,462.85",11625
"11-Jan-2022","EQ","148.85","148.95","145.10","148.50","145.70","145.70","146.76","194.95","85.35",1649118,"242,028,910.50",13008
"10-Jan-2022","EQ","144.70","149.30","144.70","144.15","148.80","148.50","147.72","194.95","85.35",3344728,"494,099,170.20",20979
"07-Jan-2022","EQ","143.70","146.15","143.10","143.10","144.10","144.15","144.69","194.95","85.35",2435193,"352,339,214.65",14483
"06-Jan-2022","EQ","142.00","144.45","141.30","144.25","142.90","143.10","142.95","194.95","85.35",2452008,"350,520,601.35",17942
"05-Jan-2022","EQ","143.60","147.45","142.85","143.75","143.75","144.25","145.34","194.95","85.35",3134266,"455,524,560.30",20571
"04-Jan-2022","EQ","143.00","146.45","142.15","142.15","143.95","143.75","144.23","194.95","85.35",2321248,"334,782,134.60",16477
"03-Jan-2022","EQ","138.80","142.95","138.80","139.60","142.25","142.15","141.56","194.95","85.35",1776764,"251,519,585.90",13348
"31-Dec-2021","EQ","138.25","141.15","138.25","137.90","139.60","139.60","139.86","194.95","84.60",1281459,"179,220,054.00",10023
"30-Dec-2021","EQ","138.45","139.90","137.30","139.65","138.20","137.90","138.33","194.95","84.60",1304902,"180,512,504.00",11808
"29-Dec-2021","EQ","142.20","142.90","138.85","141.00","139.45","139.65","140.58","194.95","84.60",2275339,"319,864,357.95",18268
"28-Dec-2021","EQ","137.40","163.30","137.15","136.10","140.90","141.00","140.39","194.95","84.60",2234026,"313,638,431.45",16465
"27-Dec-2021","EQ","136.25","137.35","133.25","137.55","136.45","136.10","135.57","194.95","84.60",2117020,"287,006,491.30",15637
"24-Dec-2021","EQ","142.00","142.50","137.05","141.50","137.70","137.55","138.60","194.95","74.05",2120048,"293,835,792.30",15575
"23-Dec-2021","EQ","139.30","143.00","138.60","137.55","141.25","141.50","140.82","194.95","74.05",2467509,"347,481,046.30",16616
"22-Dec-2021","EQ","140.10","143.50","136.60","138.45","137.60","137.55","139.12","194.95","74.05",4294571,"597,461,678.50",31853
"21-Dec-2021","EQ","139.80","141.95","137.35","137.35","138.90","138.45","139.96","194.95","74.05",1846856,"258,482,043.50",15438
"20-Dec-2021","EQ","142.10","142.25","133.45","142.25","137.55","137.35","136.38","194.95","74.05",3192606,"435,420,617.25",28777
"17-Dec-2021","EQ","150.45","150.45","141.60","149.30","143.50","142.25","144.60","194.95","74.05",3107628,"449,367,938.10",24272
