"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","257.45","260.00","251.55","253.10","253.15","252.55","255.20","332.80","194.10",2977647,"759,908,294.65",27316
"28-Jan-2022","EQ","254.50","262.40","251.00","249.60","252.05","253.10","255.68","332.80","194.10",7406660,"1,893,736,695.65",65958
"27-Jan-2022","EQ","253.90","254.65","245.00","253.55","250.00","249.60","249.03","332.80","194.10",3594666,"895,178,096.20",39155
"25-Jan-2022","EQ","246.10","256.40","243.30","248.55","253.00","253.55","249.55","332.80","194.10",2649933,"661,298,370.50",26896
"24-Jan-2022","EQ","257.70","259.25","246.45","258.70","248.05","248.55","251.19","332.80","194.10",2191607,"550,502,922.20",27640
"21-Jan-2022","EQ","265.95","270.60","257.50","266.40","259.15","258.70","264.05","332.80","194.10",3259006,"860,551,777.35",42737
"20-Jan-2022","EQ","270.50","271.60","265.70","270.70","267.20","266.40","268.05","332.80","194.10",1008831,"270,419,085.60",16112
"19-Jan-2022","EQ","263.25","271.85","262.00","261.65","270.50","270.70","268.95","332.80","194.10",3683574,"990,711,155.05",34997
"18-Jan-2022","EQ","273.00","275.00","260.40","271.55","263.00","261.65","266.56","332.80","194.10",2560562,"682,534,485.50",30086
"17-Jan-2022","EQ","272.10","274.00","270.40","272.10","271.90","271.55","271.77","332.80","194.10",1471859,"400,010,854.30",20194
"14-Jan-2022","EQ","275.00","276.55","271.20","275.95","271.80","272.10","273.20","332.80","194.10",1940406,"530,122,709.50",25858
"13-Jan-2022","EQ","278.00","278.10","274.00","275.80","275.80","275.95","276.06","332.80","194.10",2052380,"566,570,162.40",31844
"12-Jan-2022","EQ","269.85","277.90","268.05","267.55","275.60","275.80","274.20","332.80","194.10",3819111,"1,047,182,529.90",41736
"11-Jan-2022","EQ","263.00","269.45","253.75","261.20","267.30","267.55","264.98","332.80","194.10",7664067,"2,030,794,466.75",67191
"10-Jan-2022","EQ","261.00","263.80","260.00","261.20","260.60","261.20","261.31","332.80","194.10",1077333,"281,515,279.25",16436
"07-Jan-2022","EQ","264.00","264.15","258.10","261.90","261.50","261.20","261.32","332.80","194.10",1903747,"497,481,067.80",29459
"06-Jan-2022","EQ","256.00","263.00","253.60","256.40","262.30","261.90","260.37","332.80","194.10",3362343,"875,466,271.35",49212
"05-Jan-2022","EQ","255.70","259.00","251.60","255.15","256.30","256.40","256.35","332.80","194.10",3049705,"781,777,061.95",37399
"04-Jan-2022","EQ","250.00","257.35","244.55","248.85","255.00","255.15","253.28","332.80","194.10",6167759,"1,562,184,773.90",97149
"03-Jan-2022","EQ","248.00","249.80","246.50","248.30","249.00","248.85","248.38","332.80","194.10",2088281,"518,695,439.95",18529
"31-Dec-2021","EQ","242.15","249.80","241.10","240.45","247.90","248.30","247.32","332.80","194.10",2926408,"723,744,782.80",34074
"30-Dec-2021","EQ","245.00","245.20","239.25","244.95","240.85","240.45","241.81","332.80","194.10",2175695,"526,111,347.90",32087
