"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","1,020.10","1,039.00","1,008.65","1,012.80","1,035.00","1,034.65","1,029.94","2,766.20","990.00",391944,"403,678,668.20",13369
"28-Jan-2022","EQ","1,000.00","1,024.05","990.00","1,005.50","1,013.85","1,012.80","1,015.02","2,766.20","990.00",222773,"226,119,952.80",12926
"27-Jan-2022","EQ","1,035.00","1,045.70","998.05","1,043.20","1,002.00","1,005.50","1,013.67","2,766.20","998.05",406915,"412,478,473.70",29454
"25-Jan-2022","EQ","1,040.00","1,049.45","1,018.00","1,043.00","1,046.00","1,043.20","1,037.16","2,766.20","1,018.00",526167,"545,718,390.80",25413
"24-Jan-2022","EQ","1,055.00","1,059.85","1,020.00","1,054.70","1,050.20","1,043.00","1,039.24","2,766.20","1,020.00",554842,"576,612,941.45",35818
"21-Jan-2022","EQ","1,054.00","1,077.00","1,042.45","1,067.60","1,056.00","1,054.70","1,061.94","2,766.20","1,028.40",361783,"384,191,731.45",17744
"20-Jan-2022","EQ","1,073.00","1,082.00","1,061.60","1,075.15","1,072.00","1,067.60","1,072.02","2,766.20","1,028.40",214363,"229,801,415.50",13603
"19-Jan-2022","EQ","1,041.00","1,082.60","1,030.00","1,048.85","1,071.00","1,075.15","1,053.68","2,766.20","1,028.40",878015,"925,149,012.40",21723
"18-Jan-2022","EQ","1,070.00","1,072.40","1,045.00","1,063.10","1,048.05","1,048.85","1,053.02","2,766.20","1,028.40",314866,"331,560,928.00",19866
"17-Jan-2022","EQ","1,065.00","1,078.80","1,055.90","1,062.35","1,062.00","1,063.10","1,069.48","2,766.20","1,028.40",249850,"267,208,766.60",18721
"14-Jan-2022","EQ","1,061.70","1,066.70","1,045.05","1,059.95","1,064.00","1,062.35","1,056.84","2,766.20","1,028.40",237758,"251,273,318.70",12592
"13-Jan-2022","EQ","1,040.00","1,067.00","1,031.25","1,045.30","1,060.00","1,059.95","1,057.40","2,766.20","1,028.40",407600,"430,997,501.20",19356
"12-Jan-2022","EQ","1,061.50","1,067.95","1,037.00","1,057.30","1,040.10","1,045.30","1,055.43","2,766.20","1,028.40",339266,"358,071,408.65",17858
"11-Jan-2022","EQ","1,061.00","1,076.95","1,045.00","1,061.00","1,056.00","1,057.30","1,060.90","2,766.20","1,028.40",312149,"331,158,727.60",17199
"10-Jan-2022","EQ","1,123.95","1,128.50","1,028.40","2,199.80","1,062.50","1,061.00","1,065.68","2,766.20","1,028.40",1504551,"1,603,373,582.60",73235
"07-Jan-2022","EQ","2,152.00","2,222.00","2,137.40","2,151.20","2,196.00","2,199.80","2,196.18","2,766.20","1,785.40",352877,"774,982,909.15",31657
"06-Jan-2022","EQ","2,150.45","2,192.00","2,140.00","2,165.15","2,147.95","2,151.20","2,160.46","2,766.20","1,785.40",201252,"434,797,236.55",17791
"05-Jan-2022","EQ","2,185.00","2,208.00","2,121.25","2,171.55","2,185.00","2,165.15","2,183.21","2,766.20","1,785.40",417917,"912,401,734.45",25586
"04-Jan-2022","EQ","2,160.00","2,208.15","2,160.00","2,159.60","2,168.85","2,171.55","2,181.80","2,766.20","1,785.40",180459,"393,725,031.60",12399
"03-Jan-2022","EQ","2,170.00","2,186.75","2,151.35","2,166.80","2,156.70","2,159.60","2,169.15","2,766.20","1,785.40",136182,"295,399,366.30",10985
"31-Dec-2021","EQ","2,180.00","2,190.00","2,152.50","2,176.45","2,167.00","2,166.80","2,168.51","2,766.20","1,785.40",166061,"360,105,399.85",12193
"30-Dec-2021","EQ","2,122.00","2,199.45","2,101.95","2,119.80","2,175.00","2,176.45","2,165.83","2,766.20","1,785.40",428584,"928,240,839.85",24977
"29-Dec-2021","EQ","2,094.00","2,130.00","2,060.00","2,083.40","2,109.00","2,119.80","2,108.19","2,766.20","1,785.40",409604,"863,523,699.60",19225
