"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","855.00","880.95","849.60","844.60","869.00","868.00","870.28","6,396.30","639.45",4650001,"4,046,801,916.10",113714
"28-Jan-2022","EQ","825.75","860.00","817.00","813.80","845.00","844.60","847.18","6,396.30","639.45",5541007,"4,694,233,329.15",132533
"27-Jan-2022","EQ","818.60","824.40","803.00","829.90","815.00","813.80","811.97","6,396.30","639.45",4740612,"3,849,213,803.90",157350
"25-Jan-2022","EQ","809.00","833.00","784.80","809.80","828.00","829.90","816.52","6,396.30","639.45",5090144,"4,156,208,357.50",155470
"24-Jan-2022","EQ","859.50","860.15","805.00","861.70","810.00","809.80","822.35","6,396.30","639.45",7654105,"6,294,360,365.90",294831
"21-Jan-2022","EQ","873.00","881.00","855.00","880.40","863.00","861.70","867.67","6,396.30","639.45",3915909,"3,397,700,187.85",110211
"20-Jan-2022","EQ","875.75","885.00","865.65","875.95","879.00","880.40","877.12","6,396.30","639.45",3262969,"2,862,014,917.90",83499
"19-Jan-2022","EQ","863.50","877.95","850.30","861.10","875.75","875.95","864.76","6,396.30","639.45",4437914,"3,837,717,036.50",111023
"18-Jan-2022","EQ","899.90","904.20","855.90","897.35","864.00","861.10","876.60","6,396.30","639.45",5857768,"5,134,923,406.05",182707
"17-Jan-2022","EQ","910.00","918.65","891.25","902.70","894.50","897.35","906.13","6,396.30","639.45",6834869,"6,193,257,199.35",166612
"14-Jan-2022","EQ","863.90","908.00","856.70","868.15","905.00","902.70","896.94","6,396.30","639.45",14072932,"12,622,599,788.95",321407
"13-Jan-2022","EQ","861.25","874.00","853.05","861.25","866.30","868.15","865.69","6,396.30","639.45",3384510,"2,929,931,190.25",94226
"12-Jan-2022","EQ","868.80","869.40","848.25","862.40","860.70","861.25","858.86","6,396.30","639.45",3419540,"2,936,911,595.05",90779
"11-Jan-2022","EQ","875.00","883.00","859.15","873.45","861.30","862.40","872.77","6,396.30","639.45",3257687,"2,843,218,476.60",98066
"10-Jan-2022","EQ","862.50","878.75","862.50","860.95","874.00","873.45","871.72","6,396.30","639.45",4778546,"4,165,556,387.30",138868
"07-Jan-2022","EQ","843.25","888.00","842.45","843.25","860.50","860.95","872.13","6,396.30","639.45",12254034,"10,687,148,687.65",261202
"06-Jan-2022","EQ","825.00","847.90","825.00","840.60","843.10","843.25","837.60","6,396.30","639.45",2842824,"2,381,144,376.75",80886
"05-Jan-2022","EQ","845.00","847.10","828.00","848.05","840.45","840.60","837.22","6,396.30","639.45",3312721,"2,773,487,785.50",85868
"04-Jan-2022","EQ","850.00","853.70","843.30","845.65","847.80","848.05","849.60","6,396.30","639.45",2496924,"2,121,394,269.80",59197
"03-Jan-2022","EQ","831.90","850.00","830.35","831.75","845.90","845.65","840.03","6,396.30","639.45",3501695,"2,941,523,121.35",81184
"31-Dec-2021","EQ","834.90","840.00","829.15","833.00","831.40","831.75","833.88","6,396.30","639.45",2712460,"2,261,872,948.55",72688
"30-Dec-2021","EQ","846.70","847.80","831.10","849.35","833.50","833.00","837.39","6,396.30","639.45",3488161,"2,920,966,485.65",82711
"29-Dec-2021","EQ","859.45","864.00","847.00","863.50","848.20","849.35","853.63","6,396.30","639.45",3670117,"3,132,904,906.90",87820
"28-Dec-2021","EQ","840.70","876.60","840.55","839.00","862.65","863.50","865.13","6,396.30","639.45",8220616,"7,111,865,068.00",174005
"27-Dec-2021","EQ","823.00","840.00","823.00","837.20","838.70","839.00","833.31","6,396.30","639.45",2640676,"2,200,501,787.50",65900
"24-Dec-2021","EQ","841.00","842.80","828.50","841.35","837.20","837.20","835.90","6,396.30","639.45",2502607,"2,091,919,185.10",54948
"23-Dec-2021","EQ","846.70","847.35","834.20","839.75","841.30","841.35","841.29","6,396.30","639.45",2917612,"2,454,561,013.50",63682
"22-Dec-2021","EQ","820.00","842.60","819.00","814.75","841.50","839.75","830.00","6,396.30","639.45",3721795,"3,089,072,486.25",88983
"21-Dec-2021","EQ","805.00","818.85","800.00","794.10","815.00","814.75","810.45","6,396.30","639.45",3613582,"2,928,624,070.70",88733
"20-Dec-2021","EQ","807.00","825.70","780.70","832.40","792.60","794.10","794.00","6,396.30","639.45",7418777,"5,890,534,342.20",269284
"17-Dec-2021","EQ","850.00","851.90","825.45","852.15","831.00","832.40","834.94","6,396.30","639.45",4227183,"3,529,436,334.45",115508
"16-Dec-2021","EQ","857.05","860.80","841.35","851.20","853.50","852.15","849.88","6,396.30","639.45",2918474,"2,480,360,944.90",68211
"15-Dec-2021","EQ","851.20","867.40","848.00","855.05","851.00","851.20","856.03","6,396.30","639.45",2762485,"2,364,769,300.35",72430
"14-Dec-2021","EQ","860.00","860.00","843.00","858.70","857.00","855.05","851.30","6,396.30","639.45",3374432,"2,872,638,664.65",91538
"13-Dec-2021","EQ","862.50","878.20","856.25","857.95","859.00","858.70","867.60","6,396.30","639.45",4485978,"3,892,020,892.65",107118
"10-Dec-2021","EQ","851.00","869.95","850.00","856.85","855.20","857.95","860.30","6,396.30","639.45",4358630,"3,749,740,362.55",105156
"09-Dec-2021","EQ","856.00","863.00","841.55","851.40","855.85","856.85","854.29","6,396.30","639.45",5118754,"4,372,924,791.65",114670
"08-Dec-2021","EQ","830.50","856.70","829.05","823.05","853.60","851.40","848.17","6,396.30","639.45",7190775,"6,098,979,619.80",173391
"07-Dec-2021","EQ","809.95","829.80","807.00","801.40","823.55","823.05","818.45","6,396.30","639.45",4528051,"3,705,981,454.90",106886
"06-Dec-2021","EQ","815.00","819.50","798.20","819.90","799.95","801.40","809.87","6,396.30","639.45",4473930,"3,623,319,283.05",125738
"03-Dec-2021","EQ","819.00","831.45","810.00","821.25","819.10","819.90","821.93","6,396.30","639.45",4777395,"3,926,672,679.20",120039
"02-Dec-2021","EQ","815.25","825.00","803.00","811.95","823.50","821.25","812.53","6,396.30","639.45",4869021,"3,956,228,476.50",122710
"01-Dec-2021","EQ","809.00","817.00","796.35","795.15","815.00","811.95","806.14","6,396.30","639.45",6448797,"5,198,613,259.50",160741
"30-Nov-2021","EQ","790.30","819.90","787.60","775.80","798.80","795.15","798.64","6,396.30","639.45",37176726,"29,690,867,859.10",402139
"29-Nov-2021","EQ","786.00","801.00","750.55","823.05","776.25","775.80","781.65","6,396.30","639.45",13888743,"10,856,067,033.70",485110
"26-Nov-2021","EQ","849.00","854.95","820.00","865.55","822.30","823.05","836.31","6,396.30","639.45",10211011,"8,539,598,189.05",372118
"25-Nov-2021","EQ","863.00","874.50","835.65","862.80","862.50","865.55","852.82","6,396.30","639.45",9169669,"7,820,037,651.00",260928
