"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","23.40","23.40","23.15","23.05","23.40","23.35","23.27","26.70","20.80",6102682,"142,033,735.80",14101
"28-Jan-2022","EQ","23.05","23.30","23.00","22.95","23.05","23.05","23.13","26.70","20.80",5703163,"131,890,437.45",13052
"27-Jan-2022","EQ","23.00","23.15","22.80","23.00","23.00","22.95","22.97","26.70","20.80",7169492,"164,707,759.85",15575
"25-Jan-2022","EQ","22.80","23.10","22.50","22.85","23.00","23.00","22.93","26.70","20.80",6995265,"160,376,754.60",17244
"24-Jan-2022","EQ","23.35","23.50","22.75","23.30","22.85","22.85","23.01","26.70","20.80",12317944,"283,383,719.60",26117
"21-Jan-2022","EQ","23.50","23.85","23.25","23.55","23.35","23.30","23.50","26.70","20.80",8028725,"188,655,699.20",15511
"20-Jan-2022","EQ","23.55","23.75","23.50","23.55","23.55","23.55","23.58","26.70","20.80",5622661,"132,591,194.20",15296
"19-Jan-2022","EQ","23.65","23.75","23.50","23.70","23.55","23.55","23.57","26.70","20.80",5504174,"129,750,788.30",14535
"18-Jan-2022","EQ","24.25","24.35","23.65","24.05","23.70","23.70","23.92","26.70","20.80",7441045,"177,965,717.30",19434
"17-Jan-2022","EQ","23.95","24.25","23.80","23.70","24.10","24.05","24.06","26.70","20.80",16579585,"398,968,562.30",30269
"14-Jan-2022","EQ","23.00","23.75","22.90","23.00","23.75","23.70","23.46","26.70","20.80",16831189,"394,930,303.00",23945
"13-Jan-2022","EQ","23.10","23.10","22.95","23.05","23.00","23.00","23.02","26.70","20.80",6196111,"142,611,163.95",14415
"12-Jan-2022","EQ","23.15","23.15","22.95","22.95","23.05","23.05","23.05","26.70","20.80",7981078,"183,999,658.90",20231
"11-Jan-2022","EQ","22.95","23.20","22.85","22.95","22.95","22.95","23.02","26.70","20.80",11344815,"261,186,698.15",21128
"10-Jan-2022","EQ","23.05","23.05","22.90","22.95","22.95","22.95","22.97","26.70","20.80",8226337,"188,974,075.35",20164
"07-Jan-2022","EQ","23.00","23.05","22.90","22.85","22.95","22.95","22.96","26.70","20.80",5352715,"122,918,892.20",15275
"06-Jan-2022","EQ","22.80","22.95","22.70","22.85","22.85","22.85","22.80","26.70","20.80",7417986,"169,152,644.60",15298
"05-Jan-2022","EQ","23.05","23.10","22.70","23.05","22.90","22.85","22.87","26.70","20.80",7127303,"163,001,294.45",16742
"04-Jan-2022","EQ","23.10","23.20","22.95","23.05","23.05","23.05","23.06","26.70","20.80",6402243,"147,628,458.20",18839
"03-Jan-2022","EQ","22.95","23.10","22.90","22.85","23.10","23.05","23.00","26.70","20.80",6385594,"146,883,339.10",17644
"31-Dec-2021","EQ","22.90","23.00","22.80","22.80","22.90","22.85","22.88","26.70","20.80",3542826,"81,072,462.60",12476
"30-Dec-2021","EQ","22.90","22.95","22.75","22.85","22.85","22.80","22.83","26.70","20.80",2701320,"61,674,341.50",13172
"29-Dec-2021","EQ","22.85","23.05","22.80","22.80","22.85","22.85","22.91","26.70","20.80",3573893,"81,895,459.75",12162
