"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","388.85","390.55","382.65","382.60","385.80","386.00","387.06","501.70","257.15",4610487,"1,784,513,954.50",49601
"28-Jan-2022","EQ","380.00","396.75","380.00","375.50","382.50","382.60","388.70","501.70","257.15",6025485,"2,342,097,571.10",60577
"27-Jan-2022","EQ","370.00","378.45","361.15","376.55","375.00","375.50","369.80","501.70","257.15",6635808,"2,453,947,578.75",81545
"25-Jan-2022","EQ","377.00","383.35","371.30","376.95","374.80","376.55","377.45","501.70","257.15",5563162,"2,099,792,511.70",73088
"24-Jan-2022","EQ","402.00","402.65","370.65","405.15","377.30","376.95","384.69","501.70","257.15",8097592,"3,115,055,691.80",84519
"21-Jan-2022","EQ","414.00","417.40","401.00","418.20","406.45","405.15","407.90","501.70","257.15",6469700,"2,638,992,016.80",67780
"20-Jan-2022","EQ","411.45","420.60","407.85","409.00","419.05","418.20","415.77","501.70","257.15",5606748,"2,331,122,797.50",58992
"19-Jan-2022","EQ","402.50","413.60","398.35","402.40","408.65","409.00","405.77","501.70","257.15",6338539,"2,572,011,047.25",58206
"18-Jan-2022","EQ","420.00","421.65","400.50","418.65","402.50","402.40","410.92","501.70","257.15",5251367,"2,157,868,696.70",53134
"17-Jan-2022","EQ","420.00","423.60","414.55","418.65","418.90","418.65","419.04","501.70","257.15",5629017,"2,358,774,739.55",78232
"14-Jan-2022","EQ","411.00","421.40","408.60","413.20","417.60","418.65","417.08","501.70","257.15",6714395,"2,800,413,078.85",71581
"13-Jan-2022","EQ","391.50","414.50","391.15","390.40","411.70","413.20","408.59","501.70","257.15",12631114,"5,160,942,102.55",112672
"12-Jan-2022","EQ","387.00","394.60","386.55","383.95","390.10","390.40","389.89","501.70","257.15",3823504,"1,490,748,326.80",49956
"11-Jan-2022","EQ","400.00","403.70","382.60","404.30","384.80","383.95","390.31","501.70","257.15",8641956,"3,372,998,648.90",85676
"10-Jan-2022","EQ","410.40","410.60","402.85","406.60","404.50","404.30","406.38","501.70","257.15",3564673,"1,448,607,276.90",35972
"07-Jan-2022","EQ","406.90","408.75","399.60","402.90","405.80","406.60","405.32","501.70","257.15",3868930,"1,568,167,960.85",42548
"06-Jan-2022","EQ","404.00","411.10","400.30","406.40","403.45","402.90","404.62","501.70","257.15",5791462,"2,343,348,236.85",65089
"05-Jan-2022","EQ","388.00","408.45","386.25","388.20","406.10","406.40","399.88","501.70","257.15",9891594,"3,955,479,841.10",86726
"04-Jan-2022","EQ","388.05","390.45","382.00","385.85","387.20","388.20","387.19","501.70","257.15",3847048,"1,489,550,454.35",40730
"03-Jan-2022","EQ","379.25","387.40","377.05","377.25","386.50","385.85","382.61","501.70","257.15",2331615,"892,094,859.80",22983
"31-Dec-2021","EQ","371.00","381.70","371.00","370.10","377.50","377.25","377.08","501.70","257.15",2721297,"1,026,151,557.70",27689
"30-Dec-2021","EQ","374.15","379.40","368.75","376.15","371.50","370.10","373.29","501.70","257.15",2800848,"1,045,529,136.45",36824
"29-Dec-2021","EQ","383.70","383.75","373.00","383.20","375.50","376.15","376.86","501.70","257.15",3347746,"1,261,622,497.30",36664
"28-Dec-2021","EQ","385.00","385.70","381.25","381.00","383.30","383.20","383.44","501.70","257.15",1855502,"711,468,020.20",19226
"27-Dec-2021","EQ","382.00","383.40","377.20","384.30","381.15","381.00","380.75","501.70","257.15",2220250,"845,349,340.00",21800
"24-Dec-2021","EQ","386.00","387.55","377.85","385.55","383.40","384.30","382.42","501.70","244.85",3293420,"1,259,459,509.05",39821
"23-Dec-2021","EQ","383.00","389.80","382.60","379.95","384.90","385.55","386.36","501.70","244.85",5102828,"1,971,508,501.55",57122
"22-Dec-2021","EQ","380.00","383.80","375.65","378.05","380.60","379.95","380.43","501.70","244.85",2714085,"1,032,513,867.40",31472
"21-Dec-2021","EQ","370.80","382.15","366.15","364.15","378.85","378.05","377.03","501.70","244.85",5272426,"1,987,870,902.40",50937
