"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","3,395.00","3,511.00","3,360.10","3,304.60","3,399.00","3,384.25","3,450.12","4,590.00","2,543.95",978550,"3,376,114,117.35",81388
"28-Jan-2022","EQ","3,298.40","3,445.00","3,269.70","3,243.05","3,317.00","3,304.60","3,363.91","4,590.00","2,543.95",1016183,"3,418,349,971.45",94129
"27-Jan-2022","EQ","3,424.80","3,424.80","3,134.75","3,451.25","3,253.80","3,243.05","3,234.28","4,590.00","2,543.95",1663947,"5,381,674,509.75",179394
"25-Jan-2022","EQ","3,451.00","3,526.25","3,328.85","3,500.65","3,455.05","3,451.25","3,449.22","4,590.00","2,543.95",977091,"3,370,197,618.95",78971
"24-Jan-2022","EQ","3,695.00","3,699.00","3,474.00","3,701.70","3,508.80","3,500.65","3,565.69","4,590.00","2,543.95",523004,"1,864,871,525.05",51524
"21-Jan-2022","EQ","3,670.00","3,755.90","3,611.00","3,695.55","3,700.00","3,701.70","3,696.12","4,590.00","2,543.95",484738,"1,791,648,881.80",50371
"20-Jan-2022","EQ","3,753.90","3,766.70","3,650.10","3,741.50","3,690.00","3,695.55","3,702.21","4,590.00","2,543.95",402373,"1,489,670,423.55",43016
"19-Jan-2022","EQ","3,787.20","3,799.00","3,710.00","3,787.20","3,745.00","3,741.50","3,743.45","4,590.00","2,543.95",468367,"1,753,309,249.60",45530
"18-Jan-2022","EQ","3,924.90","3,924.90","3,775.00","3,893.95","3,799.00","3,787.20","3,833.36","4,590.00","2,543.95",431274,"1,653,227,193.90",42069
"17-Jan-2022","EQ","3,980.00","3,985.00","3,861.80","3,931.50","3,895.00","3,893.95","3,900.01","4,590.00","2,543.95",474596,"1,850,927,417.55",44921
"14-Jan-2022","EQ","3,900.00","4,032.00","3,860.00","3,918.55","3,923.00","3,931.50","3,937.57","4,590.00","2,543.95",1091610,"4,298,285,862.10",74892
"13-Jan-2022","EQ","3,950.00","3,955.00","3,885.00","3,917.20","3,915.50","3,918.55","3,915.35","4,590.00","2,543.95",420710,"1,647,226,204.00",47237
"12-Jan-2022","EQ","3,826.00","3,925.00","3,814.00","3,806.60","3,910.00","3,917.20","3,890.65","4,590.00","2,543.95",661149,"2,572,299,850.85",56781
"11-Jan-2022","EQ","3,782.25","3,879.85","3,782.25","3,782.25","3,795.00","3,806.60","3,831.79","4,590.00","2,543.95",664561,"2,546,459,934.00",61142
"10-Jan-2022","EQ","3,784.80","3,818.75","3,750.00","3,763.45","3,778.00","3,782.25","3,779.89","4,590.00","2,543.95",516902,"1,953,831,750.40",46866
"07-Jan-2022","EQ","3,598.00","3,773.00","3,585.00","3,579.90","3,750.00","3,763.45","3,719.89","4,590.00","2,543.95",1410163,"5,245,656,739.65",95936
"06-Jan-2022","EQ","3,624.80","3,624.80","3,505.75","3,637.90","3,595.00","3,579.90","3,553.99","4,590.00","2,543.95",628955,"2,235,296,819.15",49055
