"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","504.30","516.80","500.45","499.80","503.00","502.70","508.28","723.75","333.05",4306689,"2,188,991,034.30",71649
"28-Jan-2022","EQ","440.00","505.80","440.00","464.70","497.80","499.80","480.95","723.75","333.05",11401075,"5,483,311,586.95",147177
"27-Jan-2022","EQ","470.00","475.40","440.00","475.00","462.15","464.70","457.35","723.75","333.05",8426311,"3,853,811,366.75",169001
"25-Jan-2022","EQ","467.00","477.25","456.75","469.55","474.00","475.00","469.61","723.75","333.05",1946273,"913,997,365.65",49347
"24-Jan-2022","EQ","481.80","481.80","460.75","481.80","466.00","469.55","468.89","723.75","333.05",2388950,"1,120,165,896.90",67267
"21-Jan-2022","EQ","482.00","494.00","475.05","485.25","482.85","481.80","485.25","723.75","333.05",2254540,"1,094,026,272.75",44246
"20-Jan-2022","EQ","495.00","499.60","481.75","497.40","487.30","485.25","489.16","723.75","333.05",2792725,"1,366,100,947.70",65404
"19-Jan-2022","EQ","495.00","503.10","490.00","499.90","499.50","497.40","496.85","723.75","333.05",3016181,"1,498,582,573.50",48200
"18-Jan-2022","EQ","510.75","514.35","496.45","507.70","500.00","499.90","506.80","723.75","333.05",2204732,"1,117,364,458.25",48572
"17-Jan-2022","EQ","520.85","521.60","504.00","520.85","508.95","507.70","510.11","723.75","333.05",3038253,"1,549,843,050.85",60768
"14-Jan-2022","EQ","520.40","525.55","518.00","522.90","520.85","520.85","521.67","723.75","333.05",1317071,"687,072,767.05",26387
"13-Jan-2022","EQ","522.50","528.80","518.30","520.50","523.10","522.90","522.81","723.75","333.05",1305607,"682,585,172.35",23086
"12-Jan-2022","EQ","528.65","528.65","515.60","525.85","519.55","520.50","520.09","723.75","333.05",1850779,"962,564,576.25",36623
"11-Jan-2022","EQ","513.00","531.00","513.00","521.10","525.00","525.85","525.08","723.75","333.05",1689829,"887,298,589.90",29159
"10-Jan-2022","EQ","525.00","529.75","520.20","525.80","521.25","521.10","523.67","723.75","333.05",1445105,"756,762,348.15",27067
"07-Jan-2022","EQ","529.05","531.00","520.00","526.00","525.50","525.80","526.99","723.75","333.05",1875432,"988,325,430.25",36304
"06-Jan-2022","EQ","529.10","536.00","522.65","527.25","525.10","526.00","528.73","723.75","333.05",2933261,"1,550,890,605.00",43100
"05-Jan-2022","EQ","524.05","545.00","523.15","519.05","526.00","527.25","535.05","723.75","333.05",5622565,"3,008,338,693.90",80541
"04-Jan-2022","EQ","530.00","532.95","513.60","528.75","519.50","519.05","520.51","723.75","333.05",2076145,"1,080,657,697.40",38956
"03-Jan-2022","EQ","543.50","546.65","528.00","538.90","529.75","528.75","533.10","723.75","333.05",1620492,"863,880,464.25",29592
"31-Dec-2021","EQ","540.10","544.85","536.65","537.95","539.65","538.90","540.90","723.75","333.05",1029583,"556,900,419.70",22544
"30-Dec-2021","EQ","550.00","554.40","536.40","548.25","539.95","537.95","544.41","723.75","333.05",2783295,"1,515,261,854.55",55705
"29-Dec-2021","EQ","530.00","555.00","528.35","529.00","548.00","548.25","545.85","723.75","333.05",4920221,"2,685,707,324.70",76686
"28-Dec-2021","EQ","524.70","532.00","520.20","519.25","529.20","529.00","528.00","723.75","333.05",2561361,"1,352,397,309.60",43284
"27-Dec-2021","EQ","499.95","525.00","494.05","501.65","520.00","519.25","518.20","723.75","333.05",3268802,"1,693,907,072.45",58158
"24-Dec-2021","EQ","507.65","509.20","498.45","505.10","502.90","501.65","503.84","723.75","311.00",1147739,"578,274,832.60",22220
"23-Dec-2021","EQ","501.00","508.50","495.25","497.30","505.35","505.10","502.19","723.75","311.00",1264863,"635,196,528.35",20696
"22-Dec-2021","EQ","489.00","499.60","486.15","485.20","498.50","497.30","493.49","723.75","311.00",1266204,"624,854,326.70",22328
"21-Dec-2021","EQ","480.00","494.00","479.30","478.80","484.95","485.20","485.40","723.75","311.00",1333221,"647,142,570.75",25145
"20-Dec-2021","EQ","490.00","492.20","468.00","497.60","478.50","478.80","478.28","723.75","311.00",1929629,"922,894,841.85",45692
"17-Dec-2021","EQ","506.00","506.75","490.60","505.20","498.00","497.60","496.72","723.75","311.00",1407711,"699,235,354.75",35391
"16-Dec-2021","EQ","515.65","518.00","502.00","513.60","505.05","505.20","507.28","723.75","311.00",934316,"473,961,145.20",23515
"15-Dec-2021","EQ","513.00","521.40","508.00","514.70","511.60","513.60","514.23","723.75","311.00",1137416,"584,889,977.25",25252
"14-Dec-2021","EQ","512.90","524.90","509.25","513.05","513.85","514.70","517.65","723.75","311.00",1219520,"631,281,567.10",26750
"13-Dec-2021","EQ","528.90","531.70","511.00","526.55","513.00","513.05","519.72","723.75","311.00",1507763,"783,618,518.10",30232
"10-Dec-2021","EQ","520.00","534.80","510.65","516.15","525.40","526.55","524.79","723.75","311.00",2969269,"1,558,257,368.85",50476
"09-Dec-2021","EQ","509.00","519.45","503.20","506.55","518.45","516.15","513.68","723.75","311.00",2150155,"1,104,484,287.75",38093
"08-Dec-2021","EQ","503.85","510.00","500.05","499.55","506.30","506.55","505.39","723.75","311.00",2015168,"1,018,452,207.10",44800
"07-Dec-2021","EQ","502.50","510.80","498.80","501.95","500.00","499.55","502.40","723.75","311.00",1436647,"721,768,015.50",35604
"06-Dec-2021","EQ","507.60","513.10","494.65","511.40","503.00","501.95","502.62","723.75","311.00",1762672,"885,955,815.00",27949
"03-Dec-2021","EQ","519.40","524.00","510.10","516.80","510.80","511.40","514.99","723.75","311.00",1073416,"552,796,144.40",22093
"02-Dec-2021","EQ","509.80","522.60","508.05","508.30","516.50","516.80","516.49","723.75","311.00",1967388,"1,016,128,955.20",37293
"01-Dec-2021","EQ","510.80","518.00","502.15","508.65","506.00","508.30","507.58","723.75","311.00",1773216,"900,046,845.45",31137
"30-Nov-2021","EQ","501.00","521.65","496.20","502.35","507.00","508.65","506.30","723.75","311.00",3538635,"1,791,621,266.00",70026
"29-Nov-2021","EQ","524.40","533.00","496.20","523.20","500.90","502.35","515.15","723.75","311.00",3480614,"1,793,038,237.50",71927
"26-Nov-2021","EQ","531.75","555.20","520.00","535.05","521.95","523.20","540.26","723.75","282.55",7928100,"4,283,202,257.95",154741
"25-Nov-2021","EQ","505.50","538.75","502.70","502.10","537.00","535.05","523.41","723.75","282.55",7258852,"3,799,344,115.55",115853
"24-Nov-2021","EQ","490.00","514.50","488.75","487.80","502.50","502.10","504.85","723.75","282.55",5698106,"2,876,687,229.80",87413
"23-Nov-2021","EQ","472.00","494.40","465.70","471.85","487.00","487.80","484.45","723.75","282.55",2256747,"1,093,271,506.60",47835
"22-Nov-2021","EQ","485.00","495.95","467.35","482.05","474.50","471.85","481.57","723.75","282.55",3689969,"1,776,982,113.35",86163
"18-Nov-2021","EQ","486.50","486.50","471.00","484.00","482.90","482.05","478.83","723.75","267.55",1582591,"757,785,361.15",33797
"17-Nov-2021","EQ","491.70","493.90","477.25","491.50","485.00","484.00","484.35","723.75","267.55",1954843,"946,835,522.05",34113
"16-Nov-2021","EQ","492.70","499.50","483.10","491.05","491.95","491.50","492.58","723.75","267.55",3248113,"1,599,940,520.35",61247
"15-Nov-2021","EQ","453.00","494.45","452.30","452.45","490.45","491.05","480.85","723.75","267.55",7428322,"3,571,942,309.30",124753
"12-Nov-2021","EQ","462.60","472.00","451.00","462.20","453.20","452.45","458.63","723.75","252.00",4250872,"1,949,591,603.30",85621
"11-Nov-2021","EQ","489.55","491.25","455.25","489.55","462.60","462.20","469.88","723.75","252.00",5034806,"2,365,740,866.70",122768
"10-Nov-2021","EQ","489.95","497.00","487.00","490.60","489.15","489.55","491.10","723.75","252.00",1983813,"974,240,971.70",49683
"09-Nov-2021","EQ","499.45","500.00","490.05","497.20","490.55","490.60","494.13","723.75","252.00",1881363,"929,635,306.15",76060
"08-Nov-2021","EQ","500.00","502.40","488.90","498.50","497.75","497.20","496.02","723.75","252.00",1709942,"848,172,252.30",37470
"04-Nov-2021","EQ","502.00","502.00","496.50","495.05","498.50","498.50","499.01","723.75","252.00",514961,"256,971,255.15",21009
"03-Nov-2021","EQ","493.40","498.50","489.95","491.35","498.00","495.05","493.42","723.75","252.00",1909379,"942,121,211.50",32194
"02-Nov-2021","EQ","492.00","503.40","489.60","495.85","492.50","491.35","495.46","723.75","252.00",3411041,"1,690,044,779.15",76033
"01-Nov-2021","EQ","520.00","521.30","486.00","515.80","495.30","495.85","498.50","723.75","252.00",7309931,"3,644,006,157.65",116444
"29-Oct-2021","EQ","502.90","523.15","488.10","538.55","516.15","515.80","509.59","723.75","252.00",7597665,"3,871,709,105.45",136999
"28-Oct-2021","EQ","579.00","579.20","522.00","574.90","535.55","538.55","548.79","723.75","252.00",3795215,"2,082,787,271.90",70890
"27-Oct-2021","EQ","565.00","577.95","559.15","564.60","574.00","574.90","571.37","723.75","252.00",1853498,"1,059,036,910.70",51432
"26-Oct-2021","EQ","558.00","568.00","550.20","553.70","565.45","564.60","561.15","723.75","252.00",2283635,"1,281,456,774.95",56895
"25-Oct-2021","EQ","536.50","561.95","528.75","536.50","555.00","553.70","547.71","723.75","252.00",4064835,"2,226,358,981.55",89723
"22-Oct-2021","EQ","570.00","574.15","520.00","572.25","535.70","536.50","539.48","723.75","252.00",8567734,"4,622,135,384.65",195355
"21-Oct-2021","EQ","603.00","603.80","560.35","599.45","573.85","572.25","578.51","723.75","252.00",4388343,"2,538,680,629.10",106500
"20-Oct-2021","EQ","615.00","616.95","590.40","617.00","601.90","599.45","604.66","723.75","252.00",2364834,"1,429,923,859.45",64677
"19-Oct-2021","EQ","645.70","656.00","608.00","645.15","615.70","617.00","633.96","723.75","252.00",2211029,"1,401,699,698.85",47226
"18-Oct-2021","EQ","655.00","663.00","640.00","651.00","643.60","645.15","657.59","723.75","252.00",3803132,"2,500,890,846.05",61511
"14-Oct-2021","EQ","636.70","653.40","628.20","634.40","653.40","651.00","646.18","723.75","252.00",2968994,"1,918,490,008.15",66829
"13-Oct-2021","EQ","631.85","636.90","627.80","630.60","631.80","634.40","634.42","723.75","252.00",2349684,"1,490,683,288.80",25312
"12-Oct-2021","EQ","639.00","640.00","627.15","639.10","627.75","630.60","632.40","723.75","252.00",1378007,"871,457,289.90",40256
"11-Oct-2021","EQ","650.00","651.75","634.05","649.15","638.30","639.10","642.44","723.75","252.00",1778154,"1,142,362,312.50",40217
"08-Oct-2021","EQ","654.70","657.90","645.30","650.65","648.60","649.15","650.38","723.75","252.00",2260601,"1,470,260,919.50",37057
"07-Oct-2021","EQ","644.00","655.00","639.00","626.90","650.00","650.65","648.84","723.75","252.00",4804002,"3,117,034,939.35",81469
"06-Oct-2021","EQ","623.00","631.50","613.35","622.20","626.90","626.90","619.75","723.75","252.00",1947159,"1,206,757,988.80",33751
"05-Oct-2021","EQ","619.00","623.80","614.15","620.50","621.70","622.20","619.23","723.75","252.00",1207264,"747,574,732.75",23204
"04-Oct-2021","EQ","622.05","628.25","617.50","619.20","618.45","620.50","623.76","723.75","252.00",2643784,"1,649,079,648.25",43928
"01-Oct-2021","EQ","618.80","622.00","611.35","616.45","617.30","619.20","616.61","1,460.85","252.00",1514828,"934,050,939.65",23657
"30-Sep-2021","EQ","604.10","623.00","603.25","599.70","618.40","616.45","613.02","1,460.85","252.00",3309583,"2,028,847,033.75",62488
"29-Sep-2021","EQ","589.95","602.00","587.25","592.55","599.60","599.70","597.39","1,460.85","252.00",1941262,"1,159,684,442.15",38781
"28-Sep-2021","EQ","595.00","606.00","588.00","599.70","591.50","592.55","594.53","1,460.85","252.00",1860597,"1,106,186,362.35",46793
"27-Sep-2021","EQ","602.90","606.40","590.25","610.15","601.85","599.70","596.37","1,460.85","252.00",3334512,"1,988,600,398.75",82742
"24-Sep-2021","EQ","625.30","626.90","608.10","622.15","610.45","610.15","614.10","1,550.00","252.00",2093230,"1,285,455,334.15",45883
"23-Sep-2021","EQ","623.70","627.25","613.55","620.90","622.70","622.15","620.58","1,550.00","252.00",1939792,"1,203,796,343.80",42260
"22-Sep-2021","EQ","625.00","630.00","618.00","624.15","619.00","620.90","624.09","1,550.00","252.00",1628104,"1,016,087,394.35",39718
"21-Sep-2021","EQ","628.00","629.95","605.00","632.95","625.05","624.15","617.35","1,550.00","252.00",3559102,"2,197,213,788.15",76698
"20-Sep-2021","EQ","647.00","648.80","630.00","651.15","631.90","632.95","640.35","1,550.00","252.00",1692423,"1,083,751,459.15",42517
"17-Sep-2021","EQ","651.05","658.80","640.70","649.80","652.90","651.15","650.05","1,550.00","252.00",7469405,"4,855,466,520.30",67408
"16-Sep-2021","EQ","665.00","665.50","648.05","662.85","649.90","649.80","654.63","1,550.00","252.00",1780161,"1,165,343,438.80",49109
