"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","394.90","394.90","382.00","383.15","385.60","385.35","385.71","542.45","329.65",4516325,"1,741,973,729.35",59071
"28-Jan-2022","EQ","358.95","396.75","355.00","345.50","385.30","383.15","386.36","542.45","329.65",27295740,"10,545,934,323.65",270556
"27-Jan-2022","EQ","339.90","347.90","329.65","341.25","346.70","345.50","336.56","542.45","329.65",5402870,"1,818,404,538.10",73636
"25-Jan-2022","EQ","337.60","345.80","330.00","338.15","342.00","341.25","340.35","542.45","330.00",4665632,"1,587,952,178.55",70279
"24-Jan-2022","EQ","352.00","355.90","332.20","351.95","337.95","338.15","343.55","542.45","332.20",5550090,"1,906,705,826.90",81936
"21-Jan-2022","EQ","363.80","367.30","348.60","366.90","352.80","351.95","357.57","542.45","339.75",3934544,"1,406,873,033.10",66364
"20-Jan-2022","EQ","372.25","374.05","363.50","371.05","367.40","366.90","367.23","542.45","339.75",3570906,"1,311,353,834.85",57659
"19-Jan-2022","EQ","378.55","378.55","367.20","378.60","370.75","371.05","371.59","542.45","339.75",4411110,"1,639,125,715.30",71574
"18-Jan-2022","EQ","393.00","394.85","376.65","389.50","377.90","378.60","387.26","542.45","339.75",3918505,"1,517,478,849.20",58841
"17-Jan-2022","EQ","378.90","392.35","378.10","378.90","390.50","389.50","386.77","542.45","339.75",7240364,"2,800,326,857.30",79020
"14-Jan-2022","EQ","380.00","380.85","375.20","380.00","378.70","378.90","378.04","542.45","339.75",2534148,"958,015,641.80",49717
"13-Jan-2022","EQ","384.10","384.10","379.10","381.65","379.95","380.00","380.79","542.45","339.75",2309062,"879,264,662.90",55565
"12-Jan-2022","EQ","377.90","388.10","377.50","375.50","380.00","381.65","383.38","542.45","339.75",5175043,"1,983,984,396.65",69309
"11-Jan-2022","EQ","382.35","383.00","374.55","380.20","374.80","375.50","376.31","542.45","339.75",2360674,"888,341,875.25",55298
"10-Jan-2022","EQ","378.00","383.50","377.10","376.00","380.35","380.20","380.12","542.45","339.75",2619247,"995,632,308.10",36573
"07-Jan-2022","EQ","381.50","381.90","372.40","379.55","376.05","376.00","376.96","542.45","339.75",1775363,"669,246,272.05",41377
"06-Jan-2022","EQ","378.00","381.85","374.60","381.30","379.35","379.55","377.89","542.45","339.75",2103162,"794,772,769.90",32604
"05-Jan-2022","EQ","379.50","384.00","378.60","379.20","380.75","381.30","381.84","542.45","339.75",1828781,"698,299,371.50",28944
"04-Jan-2022","EQ","379.50","382.75","373.35","379.40","379.50","379.20","378.64","542.45","339.75",1779669,"673,859,175.05",24558
"03-Jan-2022","EQ","371.30","380.55","370.65","369.65","379.15","379.40","377.46","542.45","339.75",2359074,"890,463,443.45",35781
"31-Dec-2021","EQ","363.40","372.30","363.05","361.85","369.95","369.65","369.61","542.45","339.75",1168341,"431,825,312.65",17803
"30-Dec-2021","EQ","367.35","367.35","360.00","365.65","362.55","361.85","363.30","542.45","339.75",1272509,"462,299,183.05",16321
"29-Dec-2021","EQ","370.60","372.40","364.30","370.10","366.10","365.65","368.44","542.45","339.75",1300953,"479,316,731.45",15535
"28-Dec-2021","EQ","365.90","371.50","365.50","364.95","370.10","370.10","369.29","542.45","339.75",2003215,"739,767,112.05",21728
"27-Dec-2021","EQ","354.75","365.90","350.00","355.90","365.40","364.95","359.88","542.45","339.75",2415160,"869,164,776.75",41224
"24-Dec-2021","EQ","366.60","366.60","354.35","363.30","356.10","355.90","358.31","542.45","334.50",1408649,"504,734,321.05",20780
"23-Dec-2021","EQ","355.40","367.60","354.55","351.75","363.80","363.30","362.42","542.45","334.50",3177147,"1,151,455,456.50",40750
"22-Dec-2021","EQ","344.65","352.75","344.65","343.50","352.50","351.75","348.63","542.45","334.50",1578995,"550,479,380.85",20358
"21-Dec-2021","EQ","351.00","355.00","341.20","346.95","344.45","343.50","348.62","542.45","334.50",2334572,"813,881,504.70",34726
"20-Dec-2021","EQ","361.80","361.80","339.75","364.60","346.95","346.95","348.97","542.45","334.50",3126110,"1,090,932,128.60",59266
"17-Dec-2021","EQ","376.30","377.65","362.00","376.15","363.65","364.60","368.14","542.45","334.50",2323032,"855,212,341.25",33397
"16-Dec-2021","EQ","385.65","386.20","373.50","382.85","376.00","376.15","378.17","542.45","334.50",2059546,"778,855,712.35",25829
"15-Dec-2021","EQ","388.00","388.00","382.05","386.20","382.40","382.85","384.45","542.45","334.50",1313997,"505,161,558.40",21081
"14-Dec-2021","EQ","386.00","387.55","381.15","389.15","386.00","386.20","384.75","542.45","334.50",1926062,"741,050,767.85",27071
"13-Dec-2021","EQ","397.70","399.20","388.00","394.10","389.25","389.15","393.69","542.45","334.50",1595959,"628,307,090.70",24996
"10-Dec-2021","EQ","393.90","394.75","389.40","394.20","394.05","394.10","392.37","542.45","334.50",1315332,"516,099,886.25",22575
"09-Dec-2021","EQ","386.00","396.45","386.00","389.75","394.85","394.20","392.58","542.45","334.50",1818633,"713,963,472.35",23868
"08-Dec-2021","EQ","387.00","391.75","385.85","383.95","389.55","389.75","389.32","542.45","334.50",1166296,"454,061,011.45",18896
"07-Dec-2021","EQ","380.75","386.00","378.85","378.70","383.70","383.95","383.09","542.45","334.50",1464421,"560,997,990.60",27256
"06-Dec-2021","EQ","384.95","386.60","377.10","382.10","378.40","378.70","382.17","542.45","334.50",1330006,"508,286,791.45",21388
"03-Dec-2021","EQ","379.90","389.00","379.15","378.65","382.65","382.10","384.75","542.45","325.70",1648472,"634,247,548.50",27099
"02-Dec-2021","EQ","375.50","380.00","373.45","375.15","378.90","378.65","377.61","542.45","325.70",2470937,"933,050,476.75",33953
"01-Dec-2021","EQ","374.00","377.95","370.25","372.10","375.90","375.15","374.38","542.45","325.70",2149966,"804,912,146.40",30641
"30-Nov-2021","EQ","377.40","385.25","371.00","374.85","371.60","372.10","376.72","542.45","325.70",2402727,"905,144,114.15",48272
"29-Nov-2021","EQ","376.00","379.40","367.00","379.15","375.15","374.85","375.50","542.45","325.70",2575385,"967,054,849.90",54536
"26-Nov-2021","EQ","392.00","393.80","377.35","396.25","378.60","379.15","384.74","542.45","319.70",2705393,"1,040,872,150.00",69207
"25-Nov-2021","EQ","400.55","401.90","393.00","399.75","396.80","396.25","396.05","542.45","319.70",2002569,"793,126,579.00",32446
"24-Nov-2021","EQ","404.00","407.95","399.10","401.30","400.20","399.75","403.74","542.45","319.70",1980365,"799,560,555.60",37328
"23-Nov-2021","EQ","395.00","404.45","388.60","395.40","401.55","401.30","397.78","542.45","319.70",2549831,"1,014,281,599.00",34022
"22-Nov-2021","EQ","405.50","406.40","391.80","405.80","396.55","395.40","397.02","542.45","319.70",2694794,"1,069,878,994.20",52572
"18-Nov-2021","EQ","409.30","412.55","403.50","409.85","405.10","405.80","407.64","542.45","312.25",1569199,"639,673,531.80",28488
"17-Nov-2021","EQ","414.00","416.80","409.00","415.30","409.25","409.85","413.13","542.45","312.25",1318483,"544,704,863.90",24350
"16-Nov-2021","EQ","424.50","425.55","412.10","425.85","413.40","415.30","418.49","542.45","312.25",1710229,"715,720,820.95",35685
"15-Nov-2021","EQ","433.25","433.25","420.30","431.05","424.95","425.85","425.20","542.45","312.25",2106267,"895,585,558.10",40242
"12-Nov-2021","EQ","430.90","433.50","426.10","427.60","430.45","431.05","430.26","542.45","299.20",2393294,"1,029,746,294.40",44848
"11-Nov-2021","EQ","439.00","440.30","425.55","438.90","428.00","427.60","432.27","542.45","299.20",1936889,"837,257,360.30",24160
"10-Nov-2021","EQ","430.00","439.95","429.70","433.65","439.60","438.90","437.66","542.45","299.20",1813080,"793,513,097.45",25276
"09-Nov-2021","EQ","435.70","438.50","430.50","432.75","433.75","433.65","434.81","542.45","299.20",1517814,"659,965,676.80",21977
"08-Nov-2021","EQ","425.00","434.50","425.00","426.80","433.00","432.75","431.24","542.45","299.20",1485301,"640,520,069.30",26146
"04-Nov-2021","EQ","428.70","429.00","425.00","425.65","426.65","426.80","427.40","542.45","283.65",264474,"113,035,718.40",8631
"03-Nov-2021","EQ","427.95","430.30","422.10","425.20","424.90","425.65","426.40","542.45","283.65",1566002,"667,748,753.10",26853
"02-Nov-2021","EQ","415.70","426.00","415.15","415.75","426.00","425.20","421.95","542.45","283.65",2324123,"980,670,768.80",32452
"01-Nov-2021","EQ","407.00","416.80","407.00","406.85","415.90","415.75","413.26","542.45","283.65",2187265,"903,907,491.75",46759
"29-Oct-2021","EQ","403.50","412.70","396.20","403.50","407.00","406.85","406.60","542.45","280.85",1976377,"803,597,943.55",30595
"28-Oct-2021","EQ","411.95","413.35","401.10","411.95","403.40","403.50","408.68","542.45","280.85",2444801,"999,142,429.10",47490
"27-Oct-2021","EQ","407.50","413.90","407.05","405.80","410.65","411.95","410.47","542.45","280.85",2599738,"1,067,120,962.90",38292
"26-Oct-2021","EQ","401.85","408.20","398.65","401.20","406.00","405.80","405.47","542.45","280.85",2967467,"1,203,228,950.10",55484
