"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","1,890.20","1,924.00","1,850.45","1,897.55","1,912.00","1,909.20","1,900.77","2,078.55","1,306.00",3161064,"6,008,458,244.10",133776
"28-Jan-2022","EQ","1,916.10","1,948.00","1,891.30","1,910.85","1,897.85","1,897.55","1,922.61","2,078.55","1,306.00",2233620,"4,294,386,759.65",108456
"27-Jan-2022","EQ","1,914.55","1,922.00","1,867.00","1,925.30","1,913.20","1,910.85","1,896.79","2,078.55","1,306.00",2932713,"5,562,738,543.25",161007
"25-Jan-2022","EQ","1,895.00","1,931.30","1,850.10","1,899.90","1,919.35","1,925.30","1,899.52","2,078.55","1,306.00",2998042,"5,694,826,480.30",150876
"24-Jan-2022","EQ","1,955.00","1,959.00","1,881.55","1,956.05","1,897.00","1,899.90","1,913.63","2,078.55","1,306.00",2307120,"4,414,973,871.80",121335
"21-Jan-2022","EQ","1,982.15","1,994.80","1,943.05","2,003.50","1,963.50","1,956.05","1,965.56","2,078.55","1,306.00",2209132,"4,342,182,618.90",150766
"20-Jan-2022","EQ","2,020.00","2,035.00","1,984.10","2,020.90","2,002.40","2,003.50","2,002.76","2,078.55","1,306.00",2031107,"4,067,829,372.90",88049
"19-Jan-2022","EQ","2,019.90","2,027.00","1,987.00","2,022.20","2,016.85","2,020.90","2,011.25","2,078.55","1,306.00",2336679,"4,699,645,889.30",97519
"18-Jan-2022","EQ","2,075.65","2,078.55","2,010.55","2,069.40","2,025.95","2,022.20","2,045.06","2,078.55","1,306.00",1460676,"2,987,164,610.55",87061
"17-Jan-2022","EQ","2,044.75","2,071.95","2,042.00","2,044.75","2,070.65","2,069.40","2,058.24","2,071.95","1,306.00",1858651,"3,825,557,931.20",73766
"14-Jan-2022","EQ","2,014.00","2,049.95","2,007.00","2,018.40","2,042.00","2,044.75","2,038.32","2,049.95","1,306.00",3124945,"6,369,645,018.55",110302
"13-Jan-2022","EQ","1,975.55","2,029.00","1,975.55","1,974.20","2,023.00","2,018.40","2,000.94","2,029.00","1,306.00",2373324,"4,748,888,278.75",114519
"12-Jan-2022","EQ","1,978.50","1,984.00","1,960.30","1,961.15","1,967.45","1,974.20","1,972.68","1,984.00","1,306.00",1585970,"3,128,617,893.95",100678
"11-Jan-2022","EQ","1,949.00","1,970.00","1,937.65","1,953.10","1,960.00","1,961.15","1,957.29","1,981.75","1,306.00",2232435,"4,369,533,380.95",116361
"10-Jan-2022","EQ","1,910.00","1,959.95","1,907.25","1,904.90","1,952.95","1,953.10","1,932.01","1,981.75","1,306.00",2397846,"4,632,669,596.00",113910
"07-Jan-2022","EQ","1,929.05","1,934.95","1,897.15","1,924.50","1,906.00","1,904.90","1,911.48","1,981.75","1,295.05",1447123,"2,766,141,879.50",65033
"06-Jan-2022","EQ","1,944.50","1,953.00","1,919.60","1,948.60","1,924.50","1,924.50","1,931.24","1,981.75","1,295.05",1372015,"2,649,686,781.00",75564
"05-Jan-2022","EQ","1,940.70","1,951.00","1,927.65","1,937.55","1,945.80","1,948.60","1,939.88","1,981.75","1,295.05",1711667,"3,320,421,905.45",64313
"04-Jan-2022","EQ","1,922.85","1,943.00","1,914.55","1,922.85","1,937.50","1,937.55","1,930.71","1,981.75","1,295.05",1643920,"3,173,938,386.60",61437
"03-Jan-2022","EQ","1,895.00","1,937.45","1,893.65","1,895.90","1,924.00","1,922.85","1,923.55","1,981.75","1,295.05",1906676,"3,667,582,418.15",78718
"31-Dec-2021","EQ","1,887.35","1,907.10","1,887.30","1,885.70","1,896.80","1,895.90","1,898.16","1,981.75","1,266.50",1145546,"2,174,427,188.90",47149
"30-Dec-2021","EQ","1,892.30","1,901.70","1,880.90","1,894.85","1,887.15","1,885.70","1,888.06","1,981.75","1,266.50",1805349,"3,408,613,986.55",49950
"29-Dec-2021","EQ","1,895.00","1,908.95","1,890.05","1,899.50","1,895.00","1,894.85","1,899.00","1,981.75","1,266.50",1287946,"2,445,809,490.40",56359
"28-Dec-2021","EQ","1,872.10","1,909.00","1,872.10","1,866.20","1,897.80","1,899.50","1,898.30","1,981.75","1,266.50",1916098,"3,637,337,486.50",70957
"27-Dec-2021","EQ","1,859.40","1,875.65","1,845.80","1,859.40","1,868.00","1,866.20","1,863.40","1,981.75","1,266.50",1139744,"2,123,802,007.60",66560
"24-Dec-2021","EQ","1,888.75","1,888.75","1,850.00","1,878.45","1,860.00","1,859.40","1,860.40","1,981.75","1,154.00",1203991,"2,239,900,439.30",57327
"23-Dec-2021","EQ","1,883.00","1,887.85","1,862.10","1,871.00","1,876.00","1,878.45","1,874.36","1,981.75","1,154.00",1677127,"3,143,533,359.90",73421
"22-Dec-2021","EQ","1,827.55","1,879.55","1,827.55","1,827.55","1,876.00","1,871.00","1,855.62","1,981.75","1,154.00",1692505,"3,140,637,818.70",61603
"21-Dec-2021","EQ","1,817.90","1,852.20","1,812.50","1,799.35","1,830.00","1,827.55","1,831.63","1,981.75","1,154.00",2077840,"3,805,828,292.60",84117
"20-Dec-2021","EQ","1,821.00","1,829.65","1,771.50","1,847.10","1,799.00","1,799.35","1,794.21","1,981.75","1,154.00",2488158,"4,464,267,127.80",104518
"17-Dec-2021","EQ","1,866.50","1,874.70","1,831.70","1,873.90","1,846.00","1,847.10","1,847.72","1,981.75","1,154.00",2352938,"4,347,570,654.65",69332
"16-Dec-2021","EQ","1,892.00","1,908.00","1,866.30","1,880.80","1,874.15","1,873.90","1,880.47","1,981.75","1,154.00",2469902,"4,644,582,089.55",100836
"15-Dec-2021","EQ","1,866.00","1,898.75","1,863.65","1,865.70","1,880.45","1,880.80","1,880.41","1,981.75","1,154.00",2176709,"4,093,097,855.95",72406
"14-Dec-2021","EQ","1,850.00","1,874.00","1,846.20","1,861.50","1,870.15","1,865.70","1,860.58","1,981.75","1,154.00",1685243,"3,135,531,139.90",87874
"13-Dec-2021","EQ","1,893.70","1,896.25","1,855.05","1,873.40","1,862.00","1,861.50","1,871.66","1,981.75","1,154.00",1857829,"3,477,217,468.05",106092
"10-Dec-2021","EQ","1,879.80","1,890.85","1,861.05","1,879.80","1,868.25","1,873.40","1,876.65","1,981.75","1,144.00",1771926,"3,325,281,211.05",62366
"09-Dec-2021","EQ","1,835.00","1,884.15","1,827.95","1,825.05","1,879.95","1,879.80","1,858.90","1,981.75","1,144.00",3791595,"7,048,213,942.50",106987
"08-Dec-2021","EQ","1,802.00","1,841.00","1,802.00","1,798.10","1,823.40","1,825.05","1,829.63","1,981.75","1,144.00",3433206,"6,281,505,102.30",82617
"07-Dec-2021","EQ","1,790.20","1,810.00","1,772.10","1,782.65","1,793.55","1,798.10","1,794.92","1,981.75","1,144.00",2097201,"3,764,310,667.40",93762
"06-Dec-2021","EQ","1,799.00","1,821.00","1,778.00","1,801.25","1,783.85","1,782.65","1,798.71","1,981.75","1,144.00",1566109,"2,816,974,801.90",100780
"03-Dec-2021","EQ","1,799.95","1,844.80","1,796.55","1,789.20","1,800.00","1,801.25","1,819.28","1,981.75","1,104.10",3612772,"6,572,656,163.40",136583
"02-Dec-2021","EQ","1,785.95","1,794.00","1,763.00","1,786.00","1,793.00","1,789.20","1,779.01","1,981.75","1,104.10",2813690,"5,005,592,325.10",100594
"01-Dec-2021","EQ","1,764.00","1,794.00","1,762.05","1,764.75","1,790.05","1,786.00","1,783.74","1,981.75","1,104.10",1359786,"2,425,501,910.20",71955
"30-Nov-2021","EQ","1,767.25","1,798.90","1,751.30","1,767.25","1,764.00","1,764.75","1,768.65","1,981.75","1,104.10",3385628,"5,987,979,387.05",127241
"29-Nov-2021","EQ","1,778.00","1,790.05","1,735.15","1,778.15","1,767.10","1,767.25","1,772.43","1,981.75","1,104.10",2111420,"3,742,338,305.40",109839
"26-Nov-2021","EQ","1,820.00","1,841.75","1,768.60","1,849.90","1,781.00","1,778.15","1,797.95","1,981.75","1,092.00",2796595,"5,028,137,166.00",140633
"25-Nov-2021","EQ","1,855.00","1,866.85","1,838.20","1,862.50","1,849.95","1,849.90","1,850.90","1,981.75","1,092.00",1930012,"3,572,256,725.65",76065
"24-Nov-2021","EQ","1,894.00","1,902.40","1,845.95","1,886.35","1,854.00","1,862.50","1,881.65","1,981.75","1,092.00",1361828,"2,562,477,186.70",71031
"23-Nov-2021","EQ","1,850.00","1,895.60","1,844.50","1,864.50","1,893.05","1,886.35","1,874.94","1,981.75","1,092.00",2028470,"3,803,261,071.60",83058
