"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","6,070.00","6,320.00","6,009.00","5,911.55","6,282.00","6,270.35","6,178.91","7,588.80","3,525.00",746524,"4,612,701,491.05",76571
"28-Jan-2022","EQ","5,760.00","6,094.00","5,760.00","5,745.70","5,910.10","5,911.55","5,992.91","7,588.80","3,525.00",720772,"4,319,518,492.70",86138
"27-Jan-2022","EQ","6,000.00","6,000.00","5,722.00","6,034.15","5,748.75","5,745.70","5,802.24","7,588.80","3,525.00",548141,"3,180,446,733.45",82092
"25-Jan-2022","EQ","5,826.00","6,067.45","5,750.00","5,969.10","6,042.90","6,034.15","5,969.18","7,588.80","3,525.00",528975,"3,157,545,600.00",65085
"24-Jan-2022","EQ","6,408.00","6,495.00","5,826.00","6,393.80","5,965.00","5,969.10","6,023.83","7,588.80","3,525.00",632383,"3,809,368,022.95",82347
"21-Jan-2022","EQ","6,575.00","6,589.90","6,346.05","6,606.45","6,411.00","6,393.80","6,466.40","7,588.80","3,525.00",538820,"3,484,228,235.40",70928
"20-Jan-2022","EQ","6,949.80","6,982.25","6,570.15","6,697.05","6,600.85","6,606.45","6,692.93","7,588.80","3,525.00",977600,"6,543,012,928.00",114273
"19-Jan-2022","EQ","6,700.00","6,738.00","6,550.00","6,869.50","6,714.00","6,697.05","6,650.98","7,588.80","3,525.00",555061,"3,691,700,079.35",69307
"18-Jan-2022","EQ","7,077.00","7,158.80","6,850.00","7,103.00","6,869.95","6,869.50","7,001.20","7,588.80","3,525.00",212064,"1,484,703,172.50",30092
"17-Jan-2022","EQ","7,077.70","7,127.80","6,976.10","7,078.35","7,115.00","7,103.00","7,049.59","7,588.80","3,525.00",212781,"1,500,019,056.00",28320
"14-Jan-2022","EQ","7,087.20","7,141.95","7,030.25","7,132.60","7,084.00","7,078.35","7,081.83","7,588.80","3,525.00",291638,"2,065,331,348.15",27781
"13-Jan-2022","EQ","7,199.95","7,240.00","7,085.65","7,170.75","7,141.90","7,132.60","7,140.08","7,588.80","3,525.00",198001,"1,413,742,415.55",23940
"12-Jan-2022","EQ","7,229.95","7,229.95","7,135.50","7,174.15","7,149.00","7,170.75","7,180.64","7,588.80","3,525.00",242957,"1,744,586,473.95",26333
